Date,Open,High,Low,Close,Volume,Status
2020-01-02,105.33,105.86,104.34,105.56,837106,ok
2020-01-03,104.64,104.64,103.73,104.3,392683,ok
2020-01-06,103.49,103.87,103.08,103.75,571566,ok
2020-01-07,103.37,104.0218,103.03,103.65,311390,ok
2020-01-08,103.82,104.69,103.13,103.6,367558,ok
2020-01-09,104.4,104.66,103.9,104.65,311178,ok
2020-01-10,104.61,105.01,103.99,104.25,270411,ok
2020-01-13,104.21,104.5,103.88,104.09,772172,ok
2020-01-14,104.01,104.24,103.65,103.93,396619,ok
2020-01-15,103.51,103.99,103.34,103.72,440349,ok
2020-01-16,104.2,104.54,103.74,104.45,577498,ok
2020-01-17,104.82,105.36,104.06,104.45,613820,ok
2020-01-21,103.94,104.68,103.61,103.85,381639,ok
2020-01-22,104.24,104.8,103.57,103.66,433604,ok
2020-01-23,103.02,105.0,102.79,104.77,386229,ok
2020-01-24,104.89,105.5,103.93,104.79,299955,ok
2020-01-27,102.82,103.7894,102.66,103.24,366211,ok
2020-01-28,103.8,105.65,103.3559,104.99,474789,ok
2020-01-29,105.24,106.25,105.24,105.96,299855,ok
2020-01-30,105.2,107.37,105.2,107.29,329542,ok
2020-01-31,106.37,106.7,103.86,104.26,506683,ok
2020-02-03,105.21,106.1,105.065,105.41,436382,ok
2020-02-04,106.54,107.67,106.54,107.13,454379,ok
2020-02-05,105.59,108.65,104.61,108.4,652262,ok
2020-02-06,108.98,109.1,107.48,108.08,370313,ok
2020-02-07,107.92,109.0,107.7618,108.58,383013,ok
2020-02-10,108.04,108.95,107.89,108.79,241481,ok
2020-02-11,109.0,109.825,108.92,109.44,424282,ok
2020-02-12,109.79,110.4,109.275,109.39,236882,ok
2020-02-13,109.15,110.67,108.98,110.59,334420,ok
2020-02-14,110.62,111.0,110.11,110.95,288507,ok
2020-02-18,110.59,111.07,109.71,110.33,298680,ok
2020-02-19,110.81,111.08,110.24,110.57,215049,ok
2020-02-20,110.27,111.43,109.35,111.16,414116,ok
2020-02-21,110.71,111.12,109.63,110.14,428846,ok
2020-02-24,107.69,108.48,106.22,106.67,371799,ok
2020-02-25,106.91,106.91,102.69,103.08,454458,ok
2020-02-26,103.5,104.19,100.67,100.74,676028,ok
2020-02-27,99.0,100.49,95.44,95.48,744261,ok
2020-02-28,92.47,93.81,90.27,92.66,1402357,ok
2020-03-02,93.16,96.16,92.083,96.14,773204,ok
2020-03-03,95.68,96.81,90.98,91.18,822617,ok
2020-03-04,92.77,95.13,90.33,95.05,787774,ok
2020-03-05,92.0,92.46,88.53,89.65,639245,ok
2020-03-06,86.06,87.63,84.73,86.6,990307,ok
2020-03-09,79.0,80.16,74.16,74.97,1235854,ok
2020-03-10,77.25,78.78,73.86,78.73,959636,ok
2020-03-11,76.46,77.23,72.88,73.37,1045636,ok
2020-03-12,67.99,68.695,62.57,63.78,1134672,ok
2020-03-13,68.18,71.65,63.8,71.58,1003281,ok
2020-03-16,62.57,67.64,61.6,61.95,947257,ok
2020-03-17,63.29,67.79,60.73,67.63,928798,ok
2020-03-18,63.92,69.01,62.01,67.06,1512504,ok
2020-03-19,65.66,67.09,62.38,64.5,804842,ok
2020-03-20,64.62,66.98,61.03,61.41,1224541,ok
2020-03-23,61.5,61.5,56.74,58.15,720120,ok
2020-03-24,60.57,65.6,60.51,65.38,660401,ok
2020-03-25,64.9,71.65,63.67,67.82,978278,ok
2020-03-26,68.73,73.0,67.0736,72.31,1027132,ok
2020-03-27,70.13,72.99,68.92,71.23,631207,ok
2020-03-30,70.98,74.64,68.96,74.22,808352,ok
2020-03-31,73.19,74.78,71.29,71.97,869094,ok
2020-04-01,68.07,69.675,65.04,66.02,857078,ok
2020-04-02,65.05,67.84,64.91,66.96,768738,ok
2020-04-03,65.81,66.72,63.08,63.93,816737,ok
2020-04-06,67.81,72.495,67.34,71.87,715250,ok
2020-04-07,75.68,76.6,71.04,71.3,727662,ok
2020-04-08,71.58,75.63,70.64,75.21,614490,ok
2020-04-09,76.07,81.27,75.94,80.4,668401,ok
2020-04-13,78.75,80.24,77.525,79.71,517508,ok
2020-04-14,81.5,81.665,78.63,80.02,834703,ok
2020-04-15,77.19,77.27,74.57,75.0,698252,ok
2020-04-16,74.19,75.145,72.55,72.8,610376,ok
2020-04-17,76.13,77.82,74.895,77.25,646608,ok
2020-04-20,75.82,76.7,74.07,75.6,723359,ok
2020-04-21,73.56,74.75,72.89,73.51,598960,ok
2020-04-22,75.67,75.67,73.2,73.22,503657,ok
2020-04-23,72.89,77.11,71.65,74.86,871184,ok
2020-04-24,75.69,76.21,73.89,76.07,599898,ok
2020-04-27,76.37,82.49,76.34,82.23,863672,ok
2020-04-28,84.44,86.08,82.815,83.07,759725,ok
2020-04-29,85.7,86.41,83.66,85.39,439484,ok
2020-04-30,83.1,84.57,82.25,82.34,485860,ok
2020-05-01,80.8,81.035,79.055,79.99,532169,ok
2020-05-04,78.99,79.71,77.46,78.56,641295,ok
2020-05-05,80.4,80.61,77.5,77.54,475879,ok
2020-05-06,78.07,78.32,74.09,74.19,529232,ok
2020-05-07,75.04,77.845,75.04,75.73,661663,ok
2020-05-08,77.45,77.75,75.52,77.75,645465,ok
2020-05-11,76.47,77.28,75.0,75.11,612485,ok
2020-05-12,74.98,75.39,71.61,71.61,574209,ok
2020-05-13,70.81,70.81,65.9,66.55,821761,ok
2020-05-14,65.29,67.545,62.75,67.37,754360,ok
2020-05-15,66.48,69.03,65.31,68.76,2836480,ok
2020-05-18,72.49,75.04,71.6,73.94,1604318,ok
2020-05-19,73.68,73.83,70.74,70.75,481570,ok
2020-05-20,71.81,73.62,71.57,72.6,447479,ok
2020-05-21,72.12,73.85,72.12,73.38,397297,ok
2020-05-22,73.36,73.45,71.67,72.54,546926,ok
2020-05-26,75.82,78.23,75.27,76.83,471966,ok
2020-05-27,80.35,81.055,78.14,78.44,578275,ok
2020-05-28,79.18,79.18,76.73,77.08,516476,ok
2020-05-29,76.04,77.81,75.25,77.02,879002,ok
2020-06-01,77.33,79.95,76.38,79.25,696229,ok
2020-06-02,80.67,81.005,78.51,78.94,620497,ok
2020-06-03,80.94,82.77,80.34,80.86,521309,ok
2020-06-04,80.25,82.68,79.54,82.64,651268,ok
2020-06-05,87.36,88.43,85.69,85.92,611761,ok
2020-06-08,86.32,88.53,86.22,87.24,649772,ok
2020-06-09,84.63,85.94,83.765,85.01,441658,ok
2020-06-10,84.41,84.91,82.31,82.49,551559,ok
2020-06-11,78.14,79.69,73.92,74.0,591819,ok
2020-06-12,77.27,77.75,73.69,75.9,511820,ok
2020-06-15,72.95,77.4,72.82,76.86,537480,ok
2020-06-16,81.0,81.0,76.72,78.22,605081,ok
2020-06-17,78.43,78.6358,76.11,76.48,897111,ok
2020-06-18,75.42,77.425,75.33,76.64,394180,ok
2020-06-19,78.64,78.64,74.6,76.2,1010305,ok
2020-06-22,75.81,75.81,74.32,75.45,499620,ok
2020-06-23,77.04,77.25,74.77,74.82,647775,ok
2020-06-24,73.83,73.83,71.13,71.19,978578,ok
2020-06-25,70.65,72.8,70.46,72.66,651071,ok
2020-06-26,71.54,72.03,70.19,70.85,888613,ok
2020-06-29,72.13,73.02,71.14,72.35,501405,ok
2020-06-30,72.18,74.76,72.18,74.23,631495,ok
2020-07-01,74.6,74.625,72.27,72.8,583462,ok
2020-07-02,74.61,75.04,72.285,72.53,424240,ok
2020-07-06,74.4,75.18,73.06,73.92,537588,ok
2020-07-07,72.79,73.08,71.38,71.5,760575,ok
2020-07-08,71.82,73.095,71.2,72.2,846782,ok
2020-07-09,72.15,72.15,69.47,70.19,426727,ok
2020-07-10,70.37,72.35,70.32,72.32,661297,ok
2020-07-13,73.35,73.68,71.98,72.52,379902,ok
2020-07-14,72.25,73.65,71.7801,73.38,387464,ok
2020-07-15,75.05,75.79,74.12,75.31,344365,ok
2020-07-16,74.56,77.32,74.4,75.97,380278,ok
2020-07-17,76.19,76.19,74.74,75.32,423699,ok
2020-07-20,74.78,75.12,73.525,74.14,354934,ok
2020-07-21,74.31,76.15,74.22,75.21,502152,ok
2020-07-22,74.56,75.86,74.44,75.68,469660,ok
2020-07-23,78.97,80.89,78.025,80.32,999533,ok
2020-07-24,81.18,81.26,78.94,80.37,773296,ok
2020-07-27,79.61,80.225,78.715,79.57,716927,ok
2020-07-28,79.12,80.1,78.31,78.39,334352,ok
2020-07-29,78.14,81.1,78.14,80.74,505633,ok
2020-07-30,78.88,80.105,78.47,79.74,607950,ok
2020-07-31,79.63,80.41,78.93,79.6,678269,ok
2020-08-03,79.84,80.19,78.94,79.55,503765,ok
2020-08-04,79.22,79.58,78.56,78.68,339737,ok
2020-08-05,79.45,80.71,79.3,80.3,617705,ok
2020-08-06,80.05,81.1,79.92,80.33,580677,ok
2020-08-07,79.91,82.8,79.81,82.68,431380,ok
2020-08-10,82.82,85.08,82.76,84.79,431199,ok
2020-08-11,86.57,87.51,85.411,85.76,487936,ok
2020-08-12,87.28,87.28,84.62,85.54,330149,ok
2020-08-13,84.5,85.54,83.84,84.98,267258,ok
2020-08-14,84.37,85.94,84.37,85.48,250543,ok
2020-08-17,85.17,85.41,83.28,83.41,358797,ok
2020-08-18,83.37,83.86,82.255,82.66,473233,ok
2020-08-19,82.68,83.56,82.43,82.61,271020,ok
2020-08-20,81.35,82.1193,81.01,81.16,283855,ok
2020-08-21,81.04,81.66,80.29,80.73,317891,ok
2020-08-24,81.39,84.5,80.98,84.49,398246,ok
2020-08-25,85.39,85.63,83.91,84.31,348965,ok
2020-08-26,84.09,84.59,83.24,84.16,345997,ok
2020-08-27,83.91,85.92,83.91,85.09,406393,ok
2020-08-28,85.77,85.77,84.45,84.82,430649,ok
2020-08-31,84.66,84.66,82.44,82.48,499894,ok
2020-09-01,81.86,83.6,81.45,82.03,494143,ok
2020-09-02,82.0,83.57,81.61,82.98,599442,ok
2020-09-03,83.88,85.99,81.47,81.85,625379,ok
2020-09-04,84.0,84.72,82.79,83.89,640873,ok
2020-09-08,83.4,83.4,80.63,81.52,527825,ok
2020-09-09,82.36,82.58,81.27,81.6,440578,ok
2020-09-10,82.16,82.7,80.07,80.07,480318,ok
2020-09-11,80.08,81.9,79.55,81.47,368699,ok
2020-09-14,82.24,83.83,82.24,83.23,346002,ok
2020-09-15,83.15,84.01,82.38,83.39,576485,ok
2020-09-16,83.25,85.18,83.25,83.81,591022,ok
2020-09-17,83.0,84.15,82.56,83.4,542160,ok
2020-09-18,82.98,84.02,82.36,82.46,836900,ok
2020-09-21,80.47,81.32,78.22,79.29,861411,ok
2020-09-22,78.99,80.665,78.99,79.47,786637,ok
2020-09-23,79.88,80.96,77.31,77.41,443679,ok
2020-09-24,77.37,79.18,75.39,77.78,463814,ok
2020-09-25,77.0,78.92,76.87,78.47,326018,ok
2020-09-28,79.88,80.71,79.26,79.85,450550,ok
2020-09-29,79.39,80.03,78.72,79.01,414556,ok
2020-09-30,79.37,80.65,79.11,79.9,511081,ok
2020-10-01,79.79,80.765,78.89,80.52,415871,ok
2020-10-02,79.26,81.62,79.085,80.79,372202,ok
2020-10-05,81.91,82.8,81.46,82.17,323231,ok
2020-10-06,82.86,83.775,80.91,81.06,409445,ok
2020-10-07,81.94,83.04,81.71,82.14,399402,ok
2020-10-08,82.9,83.6,82.19,82.97,457033,ok
2020-10-09,83.83,84.0,81.77,81.79,300640,ok
2020-10-12,81.75,82.985,81.75,82.44,266636,ok
2020-10-13,81.75,82.4,80.78,81.32,537840,ok
2020-10-14,81.86,83.02,81.44,81.52,451176,ok
2020-10-15,80.43,83.26,80.23,82.87,428669,ok
2020-10-16,82.99,83.81,82.2974,83.24,413982,ok
2020-10-19,83.22,84.57,82.44,82.68,398105,ok
2020-10-20,83.25,84.6,83.13,83.45,440298,ok
2020-10-21,83.46,84.67,83.46,84.13,591163,ok
2020-10-22,84.08,86.99,81.981,86.48,814931,ok
2020-10-23,87.16,87.75,85.4,86.14,499290,ok
2020-10-26,85.0,85.0,83.475,83.83,471957,ok
2020-10-27,83.36,83.94,81.26,81.35,414926,ok
2020-10-28,79.81,80.62,78.62,78.79,513120,ok
2020-10-29,78.48,80.47,77.71,79.77,484095,ok
2020-10-30,79.58,81.63,79.35,81.09,731635,ok
2020-11-02,82.53,83.74,81.655,83.25,379683,ok
2020-11-03,84.86,86.335,84.27,85.15,478698,ok
2020-11-04,83.01,86.36,82.25,83.75,361947,ok
2020-11-05,84.27,86.75,84.27,86.3,326894,ok
2020-11-06,86.72,87.35,84.23,84.7,283386,ok
2020-11-09,93.01,93.59,90.0307,91.47,744886,ok
2020-11-10,91.83,93.4,91.44,92.77,388510,ok
2020-11-11,93.18,93.18,90.77,91.99,340135,ok
2020-11-12,91.03,91.395,88.57,89.35,342579,ok
2020-11-13,90.44,92.57,90.36,92.04,331044,ok
2020-11-16,94.57,94.97,92.93,94.26,369573,ok
2020-11-17,92.99,94.22,92.245,93.79,334517,ok
2020-11-18,93.89,95.21,92.38,92.46,381893,ok
2020-11-19,91.75,93.61,91.2025,93.35,399408,ok
2020-11-20,92.98,93.73,92.54,93.29,373757,ok
2020-11-23,94.48,95.06,93.71,94.63,412975,ok
2020-11-24,96.31,97.6,95.385,97.52,504204,ok
2020-11-25,96.6,96.945,95.34,96.65,308926,ok
2020-11-27,96.17,97.45,95.84,96.02,194139,ok
2020-11-30,95.25,95.78,92.93,93.1,1550246,ok
2020-12-01,94.93,95.545,93.8554,94.44,477779,ok
2020-12-02,94.25,95.339,94.105,95.13,267992,ok
2020-12-03,94.7,95.73,94.57,94.95,323238,ok
2020-12-04,95.73,97.17,95.66,96.46,370396,ok
2020-12-07,95.77,96.02,94.56,94.88,294777,ok
2020-12-08,93.71,94.75,93.71,94.55,426363,ok
2020-12-09,95.17,95.25,93.82,94.36,340974,ok
2020-12-10,93.58,95.15,93.58,94.88,395074,ok
2020-12-11,93.77,95.16,93.49,93.7,332176,ok
2020-12-14,95.07,95.07,91.77,91.77,426554,ok
2020-12-15,92.84,93.88,92.1,93.71,411822,ok
2020-12-16,94.13,94.53,92.95,93.53,315612,ok
2020-12-17,93.56,93.64,92.64,93.43,337911,ok
2020-12-18,93.37,94.06,92.08,92.81,1211647,ok
2020-12-21,93.31,93.31,89.92,92.25,471704,ok
2020-12-22,92.23,92.93,91.59,91.75,477805,ok
2020-12-23,92.11,93.63,92.11,92.9,554256,ok
2020-12-24,93.3,93.56,91.88,92.87,76085,ok
2020-12-28,93.44,94.66,92.93,93.29,345523,ok
2020-12-29,93.72,93.77,92.08,92.16,514751,ok
2020-12-30,92.65,93.84,92.65,93.21,399992,ok
2020-12-31,93.08,95.12,92.695,94.96,250848,ok
2021-01-04,95.36,95.6,92.04,92.4,390696,ok
2021-01-05,92.12,93.22,91.88,92.33,289094,ok
2021-01-06,94.36,97.79,93.85,97.47,624690,ok
2021-01-07,98.07,98.82,96.92,96.97,457138,ok
2021-01-08,97.14,97.38,95.38,96.44,297267,ok
2021-01-11,95.27,96.38,94.85,95.36,341606,ok
2021-01-12,95.42,96.58,95.12,95.65,392255,ok
2021-01-13,95.44,96.24,95.11,95.91,389536,ok
2021-01-14,96.48,97.23,96.0,96.58,357525,ok
2021-01-15,95.57,96.4,95.0924,96.08,365688,ok
2021-01-19,96.42,97.74,96.14,96.88,409008,ok
2021-01-20,96.74,96.98,95.96,96.52,351959,ok
2021-01-21,96.23,96.605,95.56,95.71,375125,ok
2021-01-22,94.48,95.03,94.01,94.34,592073,ok
2021-01-25,93.32,94.45,92.35,93.5,455429,ok
2021-01-26,93.85,94.16,93.09,93.11,382869,ok
2021-01-27,91.56,92.36,90.07,90.2,489546,ok
2021-01-28,91.33,94.335,90.95,92.76,475474,ok
2021-01-29,92.01,92.21,89.84,90.39,547181,ok
2021-02-01,91.1,91.59,89.58,91.33,632102,ok
2021-02-02,92.5,93.5,91.27,92.58,501900,ok
2021-02-03,92.4,94.33,89.77,90.84,648958,ok
2021-02-04,90.93,94.045,90.93,93.03,407500,ok
2021-02-05,93.4,93.81,91.95,93.66,379246,ok
2021-02-08,93.53,94.46,93.4,94.1,461264,ok
2021-02-09,93.59,93.79,92.66,92.75,414994,ok
2021-02-10,93.14,93.19,91.82,92.36,464341,ok
2021-02-11,92.26,93.23,92.0415,92.71,377839,ok
2021-02-12,92.85,94.055,92.85,94.02,306455,ok
2021-02-16,94.1,94.905,93.7,93.78,693846,ok
2021-02-17,93.57,94.85,93.085,94.68,481144,ok
2021-02-18,94.12,94.435,93.03,93.58,762723,ok
2021-02-19,94.05,95.71,93.275,95.3,603845,ok
2021-02-22,94.97,97.22,94.97,96.54,531802,ok
2021-02-23,97.26,97.44,95.37,96.17,666735,ok
2021-02-24,96.14,98.99,96.14,98.32,372411,ok
2021-02-25,99.1,99.2606,95.43,96.23,400715,ok
2021-02-26,95.82,96.0,93.3,93.4,700814,ok
2021-03-01,95.07,96.595,94.93,95.12,501257,ok
2021-03-02,95.04,96.73,94.93,96.06,392423,ok
2021-03-03,96.22,97.75,96.05,96.32,358814,ok
2021-03-04,96.0,96.43,93.55,94.51,410173,ok
2021-03-05,95.44,97.84,94.17,97.32,423496,ok
2021-03-08,98.43,101.5799,98.2594,99.47,491816,ok
2021-03-09,98.66,100.795,97.565,99.05,507890,ok
2021-03-10,98.9,101.8,98.9,101.14,418592,ok
2021-03-11,99.15,101.02,99.15,99.85,340545,ok
2021-03-12,101.31,101.53,100.07,101.39,414457,ok
2021-03-15,101.15,101.19,99.635,101.18,254914,ok
2021-03-16,100.29,100.89,98.9,99.63,264622,ok
2021-03-17,100.55,101.39,99.49,100.51,317384,ok
2021-03-18,101.75,102.245,99.89,100.04,443188,ok
2021-03-19,99.19,100.02,97.88,98.96,985340,ok
2021-03-22,98.21,98.845,97.435,98.17,392180,ok
2021-03-23,97.27,98.32,95.77,96.25,494968,ok
2021-03-24,96.95,98.25,96.61,96.65,391629,ok
2021-03-25,96.72,98.41,95.53,98.14,462953,ok
2021-03-26,99.19,99.19,97.41,98.46,381481,ok
2021-03-29,97.26,98.34,96.38,97.32,373724,ok
2021-03-30,97.68,98.615,97.27,98.32,291469,ok
2021-03-31,97.67,98.47,96.6,96.63,466347,ok
2021-04-01,95.96,98.725,95.9213,98.69,371683,ok
2021-04-05,99.4,100.01,98.365,98.69,303351,ok
2021-04-06,98.64,99.33,98.25,98.92,510418,ok
2021-04-07,98.66,99.64,98.28,98.89,243727,ok
2021-04-08,98.24,98.53,97.66,97.98,227032,ok
2021-04-09,99.03,99.41,98.4285,99.41,344997,ok
2021-04-12,99.79,101.25,99.18,100.8,444597,ok
2021-04-13,100.25,101.03,99.64,100.64,369926,ok
2021-04-14,100.44,101.85,100.44,101.76,371143,ok
2021-04-15,101.99,102.36,101.125,102.1,319274,ok
2021-04-16,103.43,104.62,103.41,104.41,492867,ok
2021-04-19,104.68,105.045,103.91,104.27,320277,ok
2021-04-20,103.83,104.2,102.81,103.32,560706,ok
2021-04-21,103.68,105.58,103.24,105.37,474918,ok
2021-04-22,104.84,104.84,101.26,102.11,538693,ok
2021-04-23,102.14,103.65,102.14,103.08,344585,ok
2021-04-26,103.57,104.62,102.41,102.47,295838,ok
2021-04-27,102.05,103.06,101.89,102.7,316701,ok
2021-04-28,103.18,103.19,102.22,102.31,250963,ok
2021-04-29,103.15,103.81,102.66,103.43,303802,ok
2021-04-30,103.18,103.52,102.17,102.49,418701,ok
2021-05-03,103.77,104.2,103.155,103.33,428536,ok
2021-05-04,102.94,104.11,102.56,103.96,351277,ok
2021-05-05,103.91,105.26,103.6,105.23,383913,ok
2021-05-06,105.69,106.42,104.7,106.28,393483,ok
2021-05-07,104.61,106.11,104.34,105.99,349878,ok
2021-05-10,106.62,108.22,105.83,105.86,319004,ok
2021-05-11,105.1,105.67,103.83,103.91,349574,ok
2021-05-12,104.5,104.5,101.87,102.12,328216,ok
2021-05-13,101.68,105.56,101.68,105.1,335589,ok
2021-05-14,105.19,106.8,104.7,106.43,233063,ok
