Date,Open,High,Low,Close,Volume,Status
2020-01-02,106.6,106.84,104.81,105.81,751968,ok
2020-01-03,104.56,104.875,103.06,104.31,799060,ok
2020-01-06,103.42,103.755,101.68,102.1,644116,ok
2020-01-07,101.72,103.0,100.77,101.71,583205,ok
2020-01-08,101.71,102.57,101.37,101.42,597278,ok
2020-01-09,101.59,101.77,100.14,100.81,707067,ok
2020-01-10,101.2,101.24,98.58,98.9,818496,ok
2020-01-13,98.8,99.85,97.87,99.7,711881,ok
2020-01-14,99.51,100.16,99.19,100.0,871203,ok
2020-01-15,99.99,100.7479,98.9,99.3,650901,ok
2020-01-16,99.8,101.59,99.55,101.58,714014,ok
2020-01-17,102.0,102.84,101.14,102.8,953212,ok
2020-01-21,102.09,102.3,101.04,101.42,952446,ok
2020-01-22,101.74,102.08,99.95,100.21,447029,ok
2020-01-23,99.67,100.36,98.9,100.17,737390,ok
2020-01-24,100.28,100.4,97.69,98.07,657069,ok
2020-01-27,96.96,97.05,95.68,96.16,754711,ok
2020-01-28,96.88,97.22,96.01,96.58,566877,ok
2020-01-29,96.87,97.93,96.59,97.16,564423,ok
2020-01-30,96.16,97.03,95.55,96.88,533659,ok
2020-01-31,96.69,96.91,93.47,93.57,851759,ok
2020-02-03,94.17,95.535,93.88,94.3,718192,ok
2020-02-04,95.94,97.16,95.36,95.39,674518,ok
2020-02-05,96.16,98.25,96.12,98.02,623378,ok
2020-02-06,98.6,98.68,95.72,96.15,693302,ok
2020-02-07,95.57,95.84,94.9204,95.38,516475,ok
2020-02-10,95.34,95.56,94.43,95.14,425856,ok
2020-02-11,95.21,96.07,94.84,95.71,492260,ok
2020-02-12,96.07,96.77,95.71,96.55,457011,ok
2020-02-13,96.01,96.97,95.69,96.96,464731,ok
2020-02-14,96.98,96.98,95.68,96.47,641752,ok
2020-02-18,96.34,97.705,95.91,96.76,1215700,ok
2020-02-19,100.0,102.0,98.505,99.35,1383603,ok
2020-02-20,98.68,99.93,98.0,99.61,750523,ok
2020-02-21,99.02,99.39,96.0,96.21,2780058,ok
2020-02-24,94.21,96.79,93.45,95.72,1381190,ok
2020-02-25,95.9,95.9,91.98,92.04,1219465,ok
2020-02-26,93.1,94.79,90.12,90.18,1313615,ok
2020-02-27,88.95,90.9,86.7,86.71,1506096,ok
2020-02-28,84.68,87.34,84.41,87.24,1727756,ok
2020-03-02,87.61,89.08,84.63,89.04,1371806,ok
2020-03-03,88.39,89.7035,85.16,86.36,1415909,ok
2020-03-04,87.67,89.37,85.67,89.25,963540,ok
2020-03-05,85.92,87.004,84.37,85.65,1053472,ok
2020-03-06,83.35,84.86,80.78,82.85,1837015,ok
2020-03-09,78.55,81.93,77.36,80.15,1892690,ok
2020-03-10,83.08,85.99,81.495,85.92,1270895,ok
2020-03-11,83.55,85.45,82.7,83.9,1495063,ok
2020-03-12,78.66,82.59,75.22,78.45,2101325,ok
2020-03-13,81.26,81.88,75.68,79.27,1604672,ok
2020-03-16,70.76,74.595,70.0,70.95,1459883,ok
2020-03-17,72.05,76.86,70.5,76.85,1462706,ok
2020-03-18,72.1,73.27,60.9,66.35,1362863,ok
2020-03-19,65.51,66.32,62.33,64.31,1558730,ok
2020-03-20,65.16,65.29,55.02,55.35,2418331,ok
2020-03-23,55.23,55.45,49.681,50.29,2208070,ok
2020-03-24,52.62,61.26,52.31,60.81,1684524,ok
2020-03-25,60.94,68.78,59.895,64.78,1845543,ok
2020-03-26,65.05,69.26,63.49,68.64,1615304,ok
2020-03-27,65.21,66.87,63.28,64.46,1231352,ok
2020-03-30,64.46,67.2,63.41,66.08,1100007,ok
