Date,Open,High,Low,Close,Volume,Status
2020-01-02,183.95,186.665,183.605,185.67,1816365,ok
2020-01-03,183.15,185.805,182.27,184.4,1310888,ok
2020-01-06,184.13,188.0,183.56,187.97,1533522,ok
2020-01-07,188.24,189.6,187.17,187.37,1521782,ok
2020-01-08,187.42,191.02,187.42,188.86,1325832,ok
2020-01-09,190.45,191.98,190.32,191.37,1045174,ok
2020-01-10,192.09,192.98,190.01,190.44,1336321,ok
2020-01-13,191.58,193.52,191.09,193.3,1207372,ok
2020-01-14,193.7,194.27,191.2,191.31,1417972,ok
2020-01-15,192.18,195.14,191.8996,194.38,1754436,ok
2020-01-16,195.85,196.32,193.26,195.95,1490221,ok
2020-01-17,196.49,199.34,195.99,198.62,1854566,ok
2020-01-21,197.16,200.35,197.16,198.79,1631241,ok
2020-01-22,200.02,201.54,199.25,200.06,1443306,ok
2020-01-23,200.29,200.35,198.4633,199.78,1269725,ok
2020-01-24,200.74,202.58,198.41,198.77,1206302,ok
2020-01-27,194.91,197.13,193.81,195.5,1299379,ok
2020-01-28,196.01,198.92,195.62,198.03,1237328,ok
2020-01-29,199.07,201.11,198.2242,199.27,1087703,ok
2020-01-30,197.91,200.28,197.14,200.04,1013392,ok
2020-01-31,198.85,200.01,194.77,195.45,2439386,ok
2020-02-03,196.79,199.93,196.28,198.06,1427390,ok
2020-02-04,201.0,203.82,200.735,202.94,1718438,ok
2020-02-05,205.08,205.37,198.2,200.65,1833103,ok
2020-02-06,201.02,202.65,200.79,201.67,1370015,ok
2020-02-07,200.64,201.93,198.35,200.79,1161276,ok
2020-02-10,200.25,204.66,200.25,204.64,1505135,ok
2020-02-11,205.16,206.18,202.38,203.18,2100542,ok
2020-02-12,199.61,203.683,198.23,201.65,2535628,ok
2020-02-13,200.79,204.42,199.25,202.73,1884202,ok
2020-02-14,203.51,206.37,203.27,206.37,1801334,ok
2020-02-18,206.0,208.32,205.45,207.07,2363144,ok
2020-02-19,208.39,209.62,206.87,206.98,1270198,ok
2020-02-20,206.53,209.62,203.62,208.47,1979498,ok
2020-02-21,207.56,207.92,203.04,204.39,1442876,ok
2020-02-24,197.61,201.545,195.525,200.42,2083736,ok
2020-02-25,201.13,202.24,190.8227,191.2,2814109,ok
2020-02-26,190.91,196.4295,188.77,189.65,2089755,ok
2020-02-27,185.38,189.24,182.36,183.75,3416447,ok
2020-02-28,176.75,184.04,175.0,183.97,4061473,ok
2020-03-02,185.05,192.42,183.15,192.39,3027198,ok
2020-03-03,192.4,195.31,184.82,187.58,2378913,ok
2020-03-04,190.19,194.22,188.05,193.92,1490129,ok
2020-03-05,189.34,190.51,182.85,185.73,2415665,ok
2020-03-06,179.43,181.06,173.84,179.56,2589074,ok
2020-03-09,166.75,170.69,161.35,164.75,3144704,ok
2020-03-10,170.31,183.65,165.5,181.77,4335506,ok
2020-03-11,176.53,179.0,168.765,172.15,3240093,ok
2020-03-12,160.0,170.0,151.73,157.11,3537470,ok
2020-03-13,165.56,173.53,156.01,172.99,2972005,ok
2020-03-16,150.01,155.07,136.73,139.83,5461612,ok
2020-03-17,141.97,148.35,134.2708,147.81,5254835,ok
2020-03-18,135.96,139.55,116.24,134.56,4864744,ok
2020-03-19,132.97,137.09,122.6652,130.52,5356440,ok
2020-03-20,132.87,135.31,117.38,119.0,5212023,ok
2020-03-23,116.68,118.69,105.54,116.07,5084647,ok
2020-03-24,121.91,142.8,121.48,141.23,4652619,ok
2020-03-25,141.9,154.17,139.56,146.7,3411188,ok
2020-03-26,149.51,155.85,145.07,152.87,3185178,ok
2020-03-27,145.02,150.48,143.15,144.96,2576846,ok
2020-03-30,144.69,152.42,142.29,151.23,2651694,ok
2020-03-31,148.66,150.03,142.715,144.23,3551081,ok
