Date,Open,High,Low,Close,Volume,Status
2020-01-02,17.7,17.8,17.02,17.28,8181857,ok
2020-01-03,17.17,17.5,17.02,17.44,4817265,ok
2020-01-06,17.34,18.49,17.31,18.28,8960431,ok
2020-01-07,17.98,18.5,17.85,18.03,8678648,ok
2020-01-08,18.11,18.42,17.84,18.07,4472942,ok
2020-01-09,17.94,17.99,17.205,17.43,5468108,ok
2020-01-10,17.44,17.83,17.37,17.8,4168798,ok
2020-01-13,17.8,18.16,17.59,17.98,5116973,ok
2020-01-14,17.99,18.3,17.92,18.14,3111838,ok
2020-01-15,18.06,18.16,17.89,17.92,3058422,ok
2020-01-16,18.04,18.64,17.92,18.61,8209370,ok
2020-01-17,18.82,18.9199,18.2,18.53,9408084,ok
2020-01-21,18.53,18.53,18.02,18.15,6271471,ok
2020-01-22,18.27,18.3,17.95,17.96,3897410,ok
2020-01-23,17.85,17.9,17.5047,17.81,3338106,ok
2020-01-24,17.84,17.99,17.47,17.66,4700245,ok
2020-01-27,17.34,17.89,17.25,17.69,4148973,ok
2020-01-28,17.84,18.265,17.7,18.13,3929930,ok
2020-01-29,18.3,18.48,18.08,18.11,3425908,ok
2020-01-30,17.92,18.18,17.85,18.12,4456689,ok
2020-01-31,18.08,18.12,17.16,17.41,7634944,ok
2020-02-03,17.45,18.06,17.23,17.45,4689468,ok
2020-02-04,17.82,18.0914,17.75,17.8,4240333,ok
2020-02-05,18.1,18.73,18.02,18.68,5776863,ok
2020-02-06,18.88,18.99,18.49,18.49,3829903,ok
2020-02-07,18.38,18.38,17.72,17.85,4743990,ok
2020-02-10,17.87,17.97,17.6,17.66,2258939,ok
2020-02-11,17.82,17.82,17.51,17.63,4361927,ok
2020-02-12,17.94,18.5,17.84,18.46,4102151,ok
2020-02-13,18.29,18.36,17.875,18.33,6381575,ok
2020-02-14,18.29,18.435,18.07,18.14,4745770,ok
2020-02-18,18.09,18.09,17.21,17.4,5164383,ok
2020-02-19,17.38,17.425,16.98,17.18,4774899,ok
2020-02-20,17.13,17.63,17.01,17.47,3831337,ok
2020-02-21,17.33,17.585,16.985,17.06,4093415,ok
2020-02-24,16.41,16.615,16.09,16.29,7992517,ok
2020-02-25,16.39,16.39,15.27,15.37,9900178,ok
2020-02-26,15.65,15.73,14.69,14.7,7455978,ok
2020-02-27,14.27,14.84,13.47,14.19,11351346,ok
2020-02-28,13.76,14.49,13.72,14.33,11432657,ok
2020-03-02,14.36,14.48,13.49,14.03,12373843,ok
2020-03-03,14.08,14.68,13.67,13.82,9841508,ok
2020-03-04,13.95,14.29,13.73,14.28,7287545,ok
2020-03-05,13.88,13.99,13.16,13.36,7536785,ok
2020-03-06,12.86,13.5,12.63,13.19,7394892,ok
2020-03-09,12.29,12.36,11.54,11.77,8322655,ok
2020-03-10,12.25,12.69,11.64,12.43,8773869,ok
2020-03-11,12.03,12.09,10.93,10.97,13851714,ok
2020-03-12,10.04,10.42,9.35,10.07,14243327,ok
2020-03-13,10.79,11.36,10.29,10.81,17753312,ok
2020-03-16,9.32,9.77,7.75,8.34,18884972,ok
2020-03-17,8.38,8.54,6.79,8.35,17251363,ok
2020-03-18,7.69,8.98,6.8,7.89,14056962,ok
2020-03-19,7.66,8.59,7.22,8.07,10645894,ok
2020-03-20,8.28,8.5334,7.12,7.22,11055904,ok
2020-03-23,7.13,7.23,6.04,6.28,13734833,ok
2020-03-24,6.9,8.23,6.62,8.13,11112566,ok
2020-03-25,8.52,9.695,7.78,8.98,12522959,ok
2020-03-26,9.06,9.34,8.43,8.45,10841429,ok
2020-03-27,7.82,8.0,7.4,7.79,8422272,ok
2020-03-30,7.65,7.67,7.12,7.42,7686124,ok
2020-03-31,7.19,7.43,6.9,7.04,9535436,ok
2020-04-01,6.53,6.65,5.7,5.89,14975253,ok
2020-04-02,5.82,6.14,5.26,5.5,17446021,ok
2020-04-03,5.5,5.79,5.47,5.65,15268642,ok
2020-04-06,6.22,6.8,6.11,6.59,14020057,ok
2020-04-07,7.23,7.86,6.8833,6.97,21926828,ok
2020-04-08,7.15,8.07,6.92,7.85,11660983,ok
2020-04-09,8.35,9.39,8.25,9.09,18870217,ok
2020-04-13,9.16,9.32,8.11,8.33,11479377,ok
2020-04-14,8.81,9.01,8.175,8.43,8991747,ok
2020-04-15,8.0,8.06,7.41,7.71,10331461,ok
2020-04-16,7.73,7.85,7.41,7.63,6467627,ok
2020-04-17,8.17,8.82,8.08,8.35,11515412,ok
2020-04-20,8.02,8.29,7.71,7.84,7297994,ok
2020-04-21,7.45,7.84,7.285,7.56,6383796,ok
2020-04-22,7.71,7.84,6.96,7.11,11319422,ok
2020-04-23,7.02,7.4407,6.98,7.1,10938869,ok
2020-04-24,7.17,7.25,6.595,6.9,14140971,ok
2020-04-27,6.94,7.84,6.85,7.79,9654911,ok
2020-04-28,8.16,8.77,8.075,8.61,14675036,ok
2020-04-29,9.09,9.37,8.78,9.05,11407272,ok
2020-04-30,8.76,8.77,7.98,8.12,23168715,ok
2020-05-01,7.73,7.88,7.48,7.83,9521120,ok
2020-05-04,7.5,7.97,7.33,7.94,10586563,ok
2020-05-05,8.1,8.445,7.43,7.45,11150206,ok
2020-05-06,7.66,7.76,7.115,7.17,11480681,ok
2020-05-07,7.27,7.83,7.27,7.42,9429602,ok
2020-05-08,7.67,8.16,7.66,8.1,10960764,ok
2020-05-11,7.94,7.97,7.44,7.67,10657897,ok
2020-05-12,7.75,8.01,7.31,7.32,8188798,ok
2020-05-13,7.26,7.27,6.78,6.94,9727851,ok
2020-05-14,6.71,7.49,6.535,7.17,13123756,ok
2020-05-15,7.01,7.74,6.92,7.6,12072612,ok
2020-05-18,8.03,8.3,7.705,7.82,18138091,ok
2020-05-19,7.67,7.898,7.19,7.61,10955552,ok
2020-05-20,7.76,7.79,7.215,7.34,11167200,ok
2020-05-21,7.34,8.39,7.28,8.19,17377450,ok
2020-05-22,8.21,8.6,7.95,8.21,12515130,ok
2020-05-26,8.88,9.13,8.68,8.93,13720528,ok
2020-05-27,9.55,10.595,9.31,10.57,21358155,ok
2020-05-28,10.68,10.8,9.5101,9.59,14442556,ok
2020-05-29,9.39,9.435,8.805,8.9,26845947,ok
2020-06-01,9.38,10.23,9.33,9.89,20129123,ok
2020-06-02,10.11,10.715,9.84,10.65,15946947,ok
2020-06-03,10.97,12.1,10.97,11.95,20411675,ok
2020-06-04,11.31,12.19,11.23,12.14,22990545,ok
2020-06-05,12.79,12.82,11.16,12.31,29915847,ok
2020-06-08,12.57,13.75,12.55,13.65,19764096,ok
