Date,Open,High,Low,Close,Volume,Status
2021-07-29,38.0,40.25,33.35,34.82,102474737,ok
2021-07-30,34.93,36.9795,33.25,35.15,40632228,ok
2021-08-02,35.97,37.98,35.3,37.68,19948534,ok
2021-08-03,37.911,48.59,37.1594,46.8,93819198,ok
2021-08-04,54.45,85.0,54.4,70.39,175790537,ok
2021-08-05,62.9,66.5,50.46,50.97,82470402,ok
2021-08-06,57.77,60.88,53.1,55.01,70131720,ok
2021-08-09,59.0835,59.96,56.0,56.83,27495240,ok
2021-08-10,56.4852,58.49,53.5,53.94,17066352,ok
2021-08-11,54.5683,54.6058,49.0,51.19,15893137,ok
2021-08-12,50.125,50.39,47.52,48.1,13426242,ok
2021-08-13,48.45,53.2,48.22,50.63,25659808,ok
2021-08-16,49.4,49.79,47.0,47.19,12052503,ok
2021-08-17,47.3,48.85,46.01,46.67,9160299,ok
2021-08-18,47.9651,52.06,47.2,49.8,24407995,ok
2021-08-19,45.06,46.88,44.135,44.69,18517574,ok
2021-08-20,45.2,45.56,42.44,42.64,11764299,ok
2021-08-23,44.16,46.85,43.32,45.29,15664716,ok
2021-08-24,46.46,50.24,46.0,49.38,17122747,ok
2021-08-25,48.425,50.99,47.5,48.98,10837516,ok
2021-08-26,48.0,49.8499,46.4,46.86,7187728,ok
2021-08-27,46.7986,48.1,46.14,46.87,6058053,ok
2021-08-30,46.3,46.6,42.56,43.64,12363840,ok
2021-09-02,45.202,45.7999,44.2,44.4175,3536106,ok
