Date,Open,High,Low,Close,Volume,Status
2020-01-02,20.68,20.83,20.65,20.79,7194662,ok
2020-01-03,20.48,20.68,20.45,20.53,5423425,ok
2020-01-06,20.66,20.79,20.51,20.61,9313586,ok
2020-01-07,20.56,20.775,20.51,20.66,6560159,ok
2020-01-08,20.53,20.99,20.53,20.93,7781818,ok
2020-01-09,21.0,21.255,20.97,21.24,9378878,ok
2020-01-10,21.26,21.54,21.26,21.38,10012191,ok
2020-01-13,21.46,21.545,21.34,21.46,7157678,ok
2020-01-14,21.51,21.54,21.26,21.4,11997664,ok
2020-01-15,21.35,21.61,21.31,21.42,13958165,ok
2020-01-16,21.41,21.67,21.29,21.67,7861719,ok
2020-01-17,21.63,21.98,21.53,21.97,13476351,ok
2020-01-21,21.92,21.97,21.77,21.96,10312167,ok
2020-01-22,21.96,21.96,21.53,21.93,9776062,ok
2020-01-23,21.94,22.17,21.87,22.1,10814512,ok
2020-01-24,22.18,22.2,21.8,21.98,10299926,ok
2020-01-27,21.63,21.79,21.4901,21.58,10554429,ok
2020-01-28,21.75,21.91,21.575,21.64,8610929,ok
2020-01-29,21.75,21.795,21.4,21.43,8548053,ok
2020-01-30,21.28,21.61,21.2,21.53,8308289,ok
2020-01-31,21.45,21.53,21.16,21.32,11420523,ok
2020-02-03,21.4,21.695,21.24,21.3,8205229,ok
2020-02-04,21.66,21.74,21.42,21.55,10185110,ok
2020-02-05,21.76,21.79,21.55,21.78,8857171,ok
2020-02-06,21.86,21.93,21.74,21.84,5703470,ok
2020-02-07,21.68,21.765,21.545,21.73,7343149,ok
2020-02-10,22.7,22.87,21.845,21.9,13112171,ok
2020-02-11,22.02,22.3,21.96,22.23,9180990,ok
2020-02-12,22.3,22.525,22.3,22.48,12993465,ok
2020-02-13,22.35,22.39,22.14,22.22,9202786,ok
2020-02-14,22.25,22.41,22.24,22.37,8979258,ok
2020-02-18,22.07,22.29,22.0,22.24,8466081,ok
2020-02-19,22.35,22.63,22.24,22.43,13283600,ok
2020-02-20,22.39,22.82,22.38,22.64,20458214,ok
2020-02-21,22.56,22.775,22.51,22.7,16987215,ok
2020-02-24,22.28,22.44,21.9601,22.1,21989409,ok
2020-02-25,22.98,23.93,22.7,23.35,44019244,ok
2020-02-26,23.5,23.5,22.71,22.71,16673641,ok
2020-02-27,22.26,22.36,21.73,21.88,23949817,ok
2020-02-28,20.98,21.37,20.17,20.79,26358289,ok
2020-03-02,20.9,21.88,20.77,21.86,15428109,ok
2020-03-03,21.8,21.84,20.41,20.75,19957467,ok
2020-03-04,21.01,21.64,20.75,21.6,18364178,ok
2020-03-05,21.08,21.7,20.97,21.54,16562265,ok
2020-03-06,20.89,21.49,20.89,21.41,12858895,ok
2020-03-09,19.96,20.2899,18.92,18.96,14985329,ok
2020-03-10,19.5,20.33,18.81,19.79,9319699,ok
2020-03-11,19.19,19.47,18.57,19.36,14195077,ok
2020-03-12,17.4,18.57,16.35,17.51,12917152,ok
2020-03-13,18.57,18.62,16.43,17.18,16605081,ok
2020-03-16,15.72,15.72,14.32,14.46,16105146,ok
2020-03-17,14.64,15.14,13.61,14.4,20724667,ok
2020-03-18,13.55,14.0,12.73,13.11,11237946,ok
2020-03-19,13.01,14.705,12.54,14.4,13536519,ok
2020-03-20,14.42,14.795,13.59,13.95,17318854,ok
2020-03-23,13.78,13.96,12.97,13.7,15106526,ok
2020-03-24,14.29,15.64,14.01,15.47,14245747,ok
2020-03-25,15.48,16.8,14.87,15.38,14110602,ok
2020-03-26,15.53,18.21,15.31,17.94,20616563,ok
2020-03-27,17.0,17.31,16.12,16.86,11273214,ok
2020-03-30,16.93,18.09,16.55,17.84,11892742,ok
2020-03-31,17.84,17.97,16.93,17.36,16771881,ok
2020-04-01,16.25,16.67,14.61,14.84,18685352,ok
2020-04-02,14.81,15.82,14.75,15.49,15832239,ok
2020-04-03,15.39,15.7,14.205,14.48,12047490,ok
2020-04-06,15.22,15.46,14.93,15.0,21195984,ok
2020-04-07,15.7,16.09,15.08,15.12,23111146,ok
2020-04-08,15.44,16.14,15.32,15.72,21466257,ok
2020-04-09,16.03,16.49,15.83,15.97,14773129,ok
2020-04-13,15.95,15.95,15.41,15.54,9803180,ok
2020-04-14,15.91,16.15,15.53,15.92,17586018,ok
2020-04-15,15.5,15.55,14.93,15.0,9487278,ok
2020-04-16,15.05,15.34,14.55,15.24,12117384,ok
2020-04-17,15.45,15.73,15.36,15.52,17718688,ok
2020-04-20,15.22,15.49,14.9,15.36,16572135,ok
2020-04-21,15.06,15.21,14.4,14.42,12232337,ok
2020-04-22,14.8,14.9,14.51,14.79,12847536,ok
2020-04-23,14.89,15.1,14.59,14.62,11357269,ok
2020-04-24,14.8,15.0465,14.76,15.0,11255625,ok
2020-04-27,15.12,15.26,14.98,15.03,11356199,ok
2020-04-28,15.39,15.87,15.37,15.52,15964389,ok
2020-04-29,15.9,16.64,15.855,16.28,18232308,ok
2020-04-30,16.17,16.18,15.49,15.51,11954747,ok
