Date,Open,High,Low,Close,Volume,Status
2020-01-02,18.65,18.66,18.13,18.23,8615576,ok
2020-01-03,17.94,18.1,17.925,18.04,7338717,ok
2020-01-06,17.93,17.935,17.53,17.57,6040556,ok
2020-01-07,17.57,17.58,17.37,17.52,10964093,ok
2020-01-08,17.54,17.785,17.51,17.64,8460635,ok
2020-01-09,17.62,17.68,17.39,17.43,5100505,ok
2020-01-10,17.44,17.545,17.32,17.52,7675018,ok
2020-01-13,17.52,17.68,17.47,17.67,5951971,ok
2020-01-14,17.69,17.715,17.53,17.68,4737794,ok
2020-01-15,17.64,17.805,17.575,17.64,4598415,ok
2020-01-16,17.73,17.9,17.71,17.88,4561448,ok
2020-01-17,17.92,18.02,17.84,17.88,6042903,ok
2020-01-21,17.83,17.83,17.49,17.59,12637339,ok
2020-01-22,17.61,17.745,17.495,17.52,5837575,ok
2020-01-23,17.48,17.515,17.27,17.45,7150366,ok
2020-01-24,17.43,17.46,16.83,17.08,9593336,ok
2020-01-27,16.65,16.78,16.5,16.66,8908939,ok
2020-01-28,16.77,16.97,16.59,16.89,9413937,ok
2020-01-29,16.95,17.05,16.77,16.77,9220210,ok
2020-01-30,16.61,16.75,16.38,16.55,8969789,ok
2020-01-31,16.49,16.53,16.27,16.34,9191879,ok
2020-02-03,16.38,16.6,16.3,16.35,6575370,ok
2020-02-04,16.55,17.015,16.55,16.84,10785797,ok
2020-02-05,16.95,17.245,16.93,17.04,8640232,ok
2020-02-06,17.2,17.215,16.92,17.0,5160574,ok
2020-02-07,16.84,16.95,16.61,16.7,5129371,ok
2020-02-10,16.7,16.785,16.56,16.69,4414741,ok
2020-02-11,16.84,16.95,16.8,16.93,5499008,ok
2020-02-12,17.03,17.275,17.0,17.09,6454922,ok
2020-02-13,16.97,17.055,16.86,16.87,5235867,ok
2020-02-14,16.92,16.965,16.825,16.91,4978292,ok
2020-02-18,16.82,16.98,16.74,16.85,8527771,ok
2020-02-19,16.9,16.98,16.7,16.71,10452611,ok
2020-02-20,17.3345,17.3345,16.685,17.18,10585886,ok
2020-02-21,17.1,17.4,16.96,17.38,8200499,ok
2020-02-24,16.94,16.96,16.31,16.43,10316732,ok
2020-02-25,16.51,16.51,15.39,15.39,14476735,ok
2020-02-26,15.47,15.555,14.89,14.89,14437515,ok
2020-02-27,14.55,15.42,14.29,14.78,18896499,ok
2020-02-28,14.41,14.905,14.32,14.48,20376848,ok
2020-03-02,14.58,14.985,14.055,14.97,10950488,ok
2020-03-03,14.93,15.11,14.075,14.17,12121890,ok
2020-03-04,14.42,14.44,13.88,14.27,14922084,ok
2020-03-05,13.91,13.91,13.03,13.15,19704716,ok
2020-03-06,12.68,13.62,12.57,13.46,19246051,ok
2020-03-09,12.48,13.05,11.92,12.07,9909393,ok
2020-03-10,12.62,13.055,11.98,12.62,11289981,ok
2020-03-11,12.25,12.28,11.44,11.55,15610733,ok
2020-03-12,10.5,10.99,9.95,10.51,19298633,ok
2020-03-13,11.12,11.42,9.73,11.41,27175318,ok
2020-03-16,10.15,10.23,8.975,9.62,22642374,ok
2020-03-17,9.77,10.07,7.855,10.07,30035049,ok
2020-03-18,9.31,10.28,8.26,9.31,23942677,ok
2020-03-19,9.17,10.89,8.73,10.35,32838084,ok
2020-03-20,10.56,11.51,9.75,10.64,32067402,ok
2020-03-23,10.54,11.32,10.25,10.68,24853661,ok
2020-03-24,11.43,12.1499,10.31,11.11,20507482,ok
2020-03-25,11.35,12.44,10.56,12.14,18291813,ok
2020-03-26,12.35,13.78,11.99,12.46,16527366,ok
2020-03-27,11.79,11.81,10.81,11.28,12528796,ok
2020-03-30,11.37,11.48,10.405,11.42,13639352,ok
2020-03-31,11.38,11.54,10.63,11.04,12151649,ok
2020-04-01,10.26,10.39,10.04,10.28,12319057,ok
2020-04-02,10.11,10.47,9.38,9.55,12895887,ok
2020-04-03,9.41,9.7,8.83,9.06,11869177,ok
2020-04-06,9.9,10.54,9.67,10.42,12677236,ok
2020-04-07,11.35,11.54,10.54,10.69,10877861,ok
2020-04-08,10.9,11.385,10.66,11.26,10420083,ok
2020-04-09,11.82,12.295,11.5,11.91,11532141,ok
2020-04-13,11.92,11.94,11.2,11.41,8546148,ok
2020-04-14,11.76,11.91,11.305,11.44,12585059,ok
2020-04-15,10.9,11.33,10.565,11.27,13702356,ok
2020-04-16,11.2,11.34,10.77,11.0,12591612,ok
2020-04-17,11.45,11.63,11.25,11.37,15377184,ok
2020-04-20,11.06,11.32,10.8,10.8,11317979,ok
2020-04-21,10.39,10.84,10.35,10.56,10045207,ok
2020-04-22,10.84,11.0597,10.47,10.62,6093509,ok
2020-04-23,11.01,11.06,10.63,10.81,7611673,ok
2020-04-24,11.18,11.355,10.81,11.1,10370322,ok
2020-04-27,11.26,11.785,11.075,11.57,7854528,ok
2020-04-28,11.92,12.005,11.535,11.69,11852783,ok
2020-04-29,12.13,12.79,11.98,12.57,24373708,ok
2020-04-30,12.33,12.47,11.885,12.31,12007967,ok
2020-05-01,11.86,11.99,11.34,11.44,8277261,ok
2020-05-04,11.2,11.41,10.92,11.11,9934946,ok
2020-05-05,11.35,11.55,10.92,10.97,11238427,ok
2020-05-06,11.05,11.2,10.51,10.53,10132356,ok
2020-05-07,10.74,11.27,10.74,11.05,9037701,ok
2020-05-08,11.25,11.28,10.72,11.06,9927112,ok
2020-05-11,10.78,10.91,10.14,10.17,15165970,ok
2020-05-12,10.19,10.435,9.82,9.83,13440481,ok
2020-05-13,9.68,9.76,9.36,9.45,20341480,ok
2020-05-14,9.13,10.05,9.06,10.04,13458904,ok
2020-05-15,9.88,10.11,9.55,10.06,17502605,ok
2020-05-18,10.63,11.93,10.59,11.78,27957720,ok
2020-05-19,11.64,12.0,11.355,11.55,10976993,ok
2020-05-20,11.71,11.77,11.4,11.54,12415732,ok
2020-05-21,11.39,11.67,11.33,11.43,10680942,ok
2020-05-22,11.43,11.56,10.94,11.23,8159478,ok
2020-05-26,12.22,12.22,11.86,12.17,15908980,ok
2020-05-27,12.57,12.83,12.27,12.52,19369756,ok
2020-05-28,12.64,12.71,11.88,12.03,13983858,ok
2020-05-29,11.81,12.15,11.5401,11.94,17952656,ok
2020-06-01,11.86,12.4,11.81,12.25,11424730,ok
2020-06-02,12.43,12.595,12.23,12.28,12923214,ok
2020-06-03,12.5,12.9,12.38,12.61,12064197,ok
2020-06-04,12.57,13.25,12.43,13.06,20934811,ok
2020-06-05,14.16,14.635,13.855,14.01,27611363,ok
2020-06-08,14.48,14.95,14.47,14.82,13987045,ok
2020-06-09,14.24,14.575,13.98,14.45,11883544,ok
2020-06-10,14.26,14.29,13.085,13.29,19970416,ok
2020-06-11,12.06,12.65,11.86,12.17,12040796,ok
2020-06-12,12.82,12.97,12.16,12.64,8148301,ok
2020-06-15,12.0,12.66,11.9,12.45,13214257,ok
2020-06-16,13.17,13.23,12.25,12.81,14222026,ok
2020-06-17,12.87,12.89,12.17,12.31,15893424,ok
2020-06-18,12.1,12.445,12.04,12.2,20923885,ok
2020-06-19,12.36,12.38,11.49,11.67,24741633,ok
2020-06-22,11.52,11.52,11.06,11.29,15073573,ok
2020-06-23,11.47,11.53,11.175,11.24,16632640,ok
2020-06-24,10.97,11.01,10.49,10.98,14071542,ok
2020-06-25,10.78,10.925,10.54,10.86,13428736,ok
2020-06-26,10.74,10.815,10.55,10.74,19299298,ok
2020-06-29,10.73,11.04,10.58,10.96,12777151,ok
2020-06-30,10.97,11.19,10.66,10.79,25473309,ok
2020-07-01,10.9,11.51,10.86,10.89,17424762,ok
2020-07-02,11.2,11.38,10.84,10.95,7231328,ok
2020-07-06,11.24,11.45,10.96,11.21,9223747,ok
2020-07-07,11.02,11.04,10.605,10.84,13258992,ok
2020-07-08,10.8,10.83,10.595,10.73,12047096,ok
2020-07-09,10.68,10.75,10.39,10.51,9443799,ok
2020-07-10,10.46,10.87,10.42,10.84,9987272,ok
2020-07-13,10.96,11.105,10.655,10.82,8339119,ok
2020-07-14,10.7,10.815,10.5,10.61,6070011,ok
2020-07-15,11.06,11.64,11.04,11.62,12488950,ok
2020-07-16,11.33,11.415,11.2,11.25,8294955,ok
2020-07-17,11.26,11.35,10.99,11.01,7911843,ok
2020-07-20,10.94,10.97,10.6,10.6,9089236,ok
2020-07-21,10.75,10.98,10.7,10.89,7559226,ok
2020-07-22,10.75,10.9,10.65,10.87,8421331,ok
2020-07-23,10.73,10.81,10.54,10.73,9055842,ok
2020-07-24,10.5,10.63,10.32,10.5,9623156,ok
2020-07-27,10.5,10.51,10.145,10.32,11145523,ok
2020-07-28,10.28,10.635,10.26,10.52,7402011,ok
2020-07-29,10.77,11.035,10.54,11.02,9742579,ok
2020-07-30,10.78,10.89,10.61,10.84,11190337,ok
2020-07-31,10.76,10.86,10.25,10.78,18973378,ok
2020-08-03,10.67,10.67,10.3,10.31,9115273,ok
2020-08-04,10.23,11.465,10.2,10.91,34284661,ok
2020-08-05,11.06,11.1,10.76,10.89,8643483,ok
2020-08-06,10.79,10.945,10.68,10.76,8427370,ok
2020-08-07,10.67,11.53,10.62,11.5,13942319,ok
2020-08-10,11.6,11.945,11.525,11.88,9891227,ok
2020-08-11,12.24,12.49,11.605,11.67,9951114,ok
2020-08-12,11.79,11.86,11.375,11.57,8261230,ok
2020-08-13,11.49,11.71,11.23,11.27,6140765,ok
2020-08-14,11.2,11.42,11.17,11.25,6201553,ok
2020-08-17,11.27,11.3,10.67,10.89,10192037,ok
2020-08-18,10.87,10.94,10.66,10.78,8166646,ok
2020-08-19,10.73,10.95,10.66,10.79,4909339,ok
2020-08-20,10.69,10.89,10.62,10.74,6061764,ok
2020-08-21,10.77,10.835,10.54,10.6,6159648,ok
2020-08-24,10.65,11.1,10.515,11.09,5954699,ok
2020-08-25,11.21,11.4,11.095,11.3,6870148,ok
2020-08-26,11.23,11.265,11.0,11.01,5328142,ok
2020-08-27,11.04,11.415,11.0,11.33,6192967,ok
2020-08-28,11.46,11.72,11.29,11.69,5823668,ok
2020-08-31,11.64,11.66,11.23,11.23,8119358,ok
2020-09-01,11.08,11.38,10.97,11.28,7919352,ok
2020-09-02,11.26,11.42,11.15,11.42,5374305,ok
2020-09-03,11.51,11.83,11.445,11.57,7166259,ok
2020-09-04,11.75,11.995,11.68,11.94,7350739,ok
2020-09-08,11.79,11.865,11.455,11.64,8658590,ok
2020-09-09,11.7,11.72,11.47,11.65,11963755,ok
2020-09-10,11.68,11.87,11.38,11.4,10075102,ok
2020-09-11,11.42,11.43,10.885,11.13,7320783,ok
2020-09-14,11.26,11.93,11.21,11.92,10404530,ok
2020-09-15,11.88,12.25,11.84,12.02,14812094,ok
2020-09-16,12.12,12.185,11.775,12.06,11202344,ok
2020-09-17,11.86,11.91,11.55,11.65,8687226,ok
2020-09-18,11.59,11.6018,11.13,11.15,13427986,ok
2020-09-21,10.92,10.92,10.37,10.49,12074207,ok
2020-09-22,10.53,10.62,10.34,10.4,9711826,ok
2020-09-23,10.37,10.69,10.195,10.24,9956898,ok
2020-09-24,10.18,10.365,10.04,10.19,8598070,ok
2020-09-25,10.11,10.695,10.11,10.64,7459442,ok
2020-09-28,10.89,11.13,10.835,10.93,6413360,ok
2020-09-29,10.3,10.79,10.3,10.73,6901775,ok
2020-09-30,10.74,11.09,10.63,10.79,8872715,ok
2020-10-01,10.88,11.16,10.78,11.14,10430136,ok
2020-10-02,10.74,11.325,10.71,11.29,6346419,ok
2020-10-05,11.39,11.47,11.16,11.38,5893252,ok
2020-10-06,11.5,11.66,11.27,11.3,10008091,ok
2020-10-07,11.38,11.665,11.365,11.61,10167941,ok
2020-10-08,11.76,11.875,11.6,11.85,10669936,ok
2020-10-09,11.94,11.98,11.52,11.58,7935048,ok
2020-10-12,11.58,11.63,11.365,11.49,9384416,ok
2020-10-13,11.56,11.56,11.13,11.17,9583402,ok
2020-10-14,11.16,11.265,10.95,10.95,5494212,ok
2020-10-15,10.84,11.07,10.675,11.02,6790235,ok
2020-10-16,11.01,11.075,10.77,10.95,4439757,ok
2020-10-19,10.84,10.95,10.65,10.67,5680625,ok
2020-10-20,10.81,10.95,10.7,10.78,5409161,ok
2020-10-21,11.14,11.14,10.63,11.04,6090452,ok
2020-10-22,11.08,11.555,11.06,11.48,6363265,ok
2020-10-23,11.57,11.79,11.5,11.64,5959471,ok
2020-10-26,11.48,11.63,11.015,11.19,6897985,ok
2020-10-27,11.12,11.16,10.85,10.86,6153330,ok
2020-10-28,10.62,10.73,10.37,10.45,7829330,ok
2020-10-29,10.4,10.6,10.275,10.52,9517648,ok
2020-10-30,10.47,10.6478,10.275,10.48,11023552,ok
2020-11-02,10.58,10.965,10.39,10.94,13349971,ok
2020-11-03,11.17,11.5,11.07,11.38,14687709,ok
2020-11-04,11.5,11.5,10.87,10.99,15840512,ok
2020-11-05,11.02,11.295,10.86,10.93,9666754,ok
2020-11-06,10.94,11.05,10.41,10.485,12549815,ok
2020-11-09,13.0,14.98,12.76,13.64,29635504,ok
2020-11-10,13.59,13.765,13.24,13.38,16846450,ok
2020-11-11,13.18,13.37,12.665,12.82,9616290,ok
2020-11-12,12.66,12.75,12.05,12.21,11849176,ok
2020-11-13,12.32,13.2899,12.27,13.25,14809637,ok
2020-11-16,14.0,14.04,13.39,13.725,18235327,ok
2020-11-17,13.43,14.18,13.15,14.14,18593394,ok
2020-11-18,14.09,14.45,13.8013,14.15,11022878,ok
2020-11-19,13.97,14.5,13.5506,14.45,14974009,ok
2020-11-20,14.48,14.48,13.985,14.15,8092566,ok
2020-11-23,14.39,14.905,14.18,14.71,14211174,ok
2020-11-24,15.09,15.17,14.73,14.83,14185526,ok
2020-11-25,14.51,14.79,14.335,14.73,6752028,ok
2020-11-27,14.52,14.74,14.3778,14.62,2966588,ok
2020-11-30,14.57,14.57,13.99,14.03,17143833,ok
2020-12-01,14.4,14.575,14.31,14.51,7774106,ok
2020-12-02,14.08,14.95,14.08,14.895,8618617,ok
2020-12-03,15.18,15.24,14.83,15.11,8738810,ok
2020-12-04,15.25,15.74,15.17,15.65,8237173,ok
2020-12-07,15.48,15.58,15.03,15.17,4653242,ok
2020-12-08,15.12,15.29,14.92,15.14,4999957,ok
2020-12-09,15.37,15.37,15.0,15.18,8867594,ok
2020-12-10,14.43,14.965,14.4,14.83,8860426,ok
2020-12-11,14.72,14.85,14.44,14.51,7047288,ok
2020-12-14,14.67,14.83,14.02,14.03,8397717,ok
2020-12-15,14.42,14.53,13.99,14.51,8454052,ok
2020-12-16,14.4577,14.59,14.225,14.415,6491054,ok
2020-12-17,14.5,14.55,13.97,14.29,8227849,ok
2020-12-18,14.19,14.235,13.925,14.09,14884775,ok
2020-12-21,13.86,14.17,13.62,13.77,9606013,ok
2020-12-22,13.75,13.76,13.51,13.62,5607953,ok
2020-12-23,13.77,14.09,13.7,14.04,5076997,ok
2020-12-24,14.05,14.2,13.88,14.2,2138581,ok
2020-12-28,14.3,14.63,14.21,14.56,4930743,ok
2020-12-29,14.48,14.72,14.33,14.35,2967618,ok
2020-12-30,14.36,14.83,14.36,14.6,4590057,ok
2020-12-31,14.63,14.69,14.35,14.63,3835473,ok
2021-01-04,14.72,14.84,14.01,14.15,9386273,ok
2021-01-05,14.13,14.26,13.925,13.95,10783496,ok
2021-01-06,14.27,14.96,14.155,14.75,6569923,ok
2021-01-07,14.83,14.96,14.635,14.68,8853557,ok
2021-01-08,14.81,14.93,14.61,14.72,4023028,ok
2021-01-11,14.53,14.61,14.195,14.37,6084961,ok
2021-01-12,14.24,14.65,14.22,14.59,6934470,ok
2021-01-13,14.59,14.855,14.575,14.75,6967404,ok
2021-01-14,14.81,15.265,14.8,15.01,8988788,ok
2021-01-15,14.78,14.82,14.35,14.69,5139275,ok
2021-01-19,14.82,14.87,14.42,14.76,4673326,ok
2021-01-20,14.36,15.19,14.36,14.95,7293395,ok
2021-01-21,14.61,15.02,14.61,14.64,4721391,ok
2021-01-22,14.5,14.5,14.22,14.42,8364907,ok
2021-01-25,14.3,14.32,13.88,13.89,9169378,ok
2021-01-26,14.08,14.11,13.47,13.5,9621966,ok
2021-01-27,13.37,13.9,13.16,13.595,18309560,ok
2021-01-28,13.76,14.78,13.61,14.25,13350124,ok
2021-01-29,14.12,14.2392,13.39,13.55,8067751,ok
2021-02-01,13.66,13.72,13.43,13.64,6914366,ok
2021-02-02,13.74,14.255,13.64,14.19,6547517,ok
2021-02-03,14.17,14.285,14.07,14.19,7353967,ok
2021-02-04,14.32,14.43,13.85,14.13,12196323,ok
2021-02-05,14.22,14.42,14.035,14.195,3557303,ok
2021-02-08,14.19,14.31,13.94,14.3,5610623,ok
2021-02-09,14.29,14.32,13.79,13.87,5922583,ok
2021-02-10,14.01,14.39,13.95,14.09,7087154,ok
2021-02-11,14.06,14.63,14.02,14.6,10085374,ok
2021-02-12,14.6,14.91,14.53,14.9,9175220,ok
2021-02-16,14.95,15.67,14.95,15.61,12797742,ok
2021-02-17,15.6,15.705,15.26,15.66,11934765,ok
2021-02-18,15.21,16.06,15.1769,16.03,7780612,ok
2021-02-19,16.14,16.87,16.01,16.74,12099902,ok
2021-02-22,16.83,17.435,16.6422,16.69,12803329,ok
2021-02-23,16.7,16.77,16.045,16.59,11145142,ok
2021-02-24,16.75,17.33,16.66,17.12,9530143,ok
2021-02-25,17.14,17.19,16.145,16.36,9062201,ok
2021-02-26,16.41,16.795,16.15,16.59,9523619,ok
2021-03-01,16.85,16.945,16.38,16.42,7182617,ok
2021-03-02,16.34,16.405,15.91,16.01,6756626,ok
2021-03-03,16.14,16.635,16.01,16.23,7864755,ok
2021-03-04,16.12,16.19,15.3,15.84,10261790,ok
2021-03-05,16.0,16.0,15.275,15.8,6983527,ok
2021-03-08,16.225,16.54,15.89,16.44,6725334,ok
2021-03-09,16.42,16.74,16.18,16.45,5872487,ok
2021-03-10,16.55,16.75,16.275,16.54,7459354,ok
2021-03-11,16.55,17.05,16.38,16.93,9186219,ok
2021-03-12,17.05,17.265,16.98,17.23,7674118,ok
2021-03-15,17.39,18.12,17.32,18.0,7607395,ok
2021-03-16,17.88,17.91,17.5,17.72,7410821,ok
2021-03-17,17.75,18.445,17.72,18.42,7065772,ok
2021-03-18,18.43,18.44,17.825,17.99,4818358,ok
2021-03-19,17.77,17.945,17.415,17.82,11133280,ok
2021-03-22,17.75,17.9,17.47,17.56,7964646,ok
2021-03-23,17.55,17.58,16.78,16.855,7401506,ok
2021-03-24,16.92,17.59,16.87,17.07,7177748,ok
2021-03-25,17.07,17.09,16.44,17.01,10036448,ok
2021-03-26,17.22,17.3,16.95,17.19,6753055,ok
2021-03-29,17.16,17.395,16.84,16.915,7097422,ok
2021-03-30,17.0,17.47,16.98,17.3,4229718,ok
2021-03-31,17.14,17.28,16.73,16.85,7736264,ok
2021-04-01,16.94,17.14,16.775,17.11,4447503,ok
2021-04-05,17.22,17.42,16.97,17.3,5065725,ok
2021-04-06,17.48,17.49,17.025,17.325,7639025,ok
2021-04-07,17.35,17.58,17.21,17.52,7210098,ok
2021-04-08,17.47,17.64,17.27,17.54,8094168,ok
2021-04-09,17.67,17.69,17.11,17.34,9700452,ok
2021-04-12,17.3,17.36,16.95,17.25,8242500,ok
2021-04-13,17.15,17.26,16.83,17.19,7729483,ok
2021-04-14,17.31,17.825,17.2,17.435,5220340,ok
2021-04-15,17.36,17.57,17.16,17.56,6304046,ok
2021-04-16,17.76,17.78,17.47,17.48,5918814,ok
2021-04-19,17.33,17.52,17.185,17.4,5143622,ok
2021-04-20,17.06,17.31,16.715,16.94,7610674,ok
2021-04-21,16.98,17.425,16.76,17.35,5676271,ok
2021-04-22,17.42,17.55,17.08,17.09,4025524,ok
2021-04-23,17.11,17.465,17.0,17.29,5442029,ok
2021-04-26,17.54,17.69,17.33,17.43,5647665,ok
2021-04-27,17.32,17.98,17.27,17.95,7548410,ok
2021-04-28,18.02,18.32,17.86,18.28,8887888,ok
2021-04-29,18.47,18.505,18.095,18.43,9944104,ok
2021-04-30,18.34,18.36,17.97,18.16,7894924,ok
2021-05-03,18.43,18.52,17.99,18.07,13474684,ok
2021-05-04,17.94,18.08,17.415,17.57,8602921,ok
2021-05-05,17.735,18.09,17.4,17.53,11792720,ok
2021-05-06,17.96,18.0,16.94,17.12,11269702,ok
2021-05-07,17.06,17.65,16.93,17.58,9346235,ok
2021-05-10,17.67,17.745,17.04,17.11,9378734,ok
2021-05-11,16.86,17.09,16.68,16.99,8762204,ok
2021-05-12,16.95,17.15,16.44,16.51,5666852,ok
2021-05-13,16.6,16.99,16.53,16.7,6022703,ok
2021-05-14,17.02,17.5,16.87,17.33,4986435,ok
2021-05-17,17.22,17.41,17.09,17.38,6969597,ok
2021-05-18,17.34,17.61,17.145,17.35,10781287,ok
2021-05-19,17.202,17.202,16.725,17.01,5569129,ok
2021-05-20,17.01,17.05,16.57,16.97,11607290,ok
2021-05-21,16.94,17.08,16.77,16.94,11421890,ok
2021-05-24,17.01,17.125,16.84,17.01,7819867,ok
2021-05-25,17.2432,17.32,16.76,16.79,7784263,ok
2021-05-26,17.015,17.2481,16.69,17.06,5454704,ok
