Date,Open,High,Low,Close,Volume,Status
2020-01-02,367.16,367.9,360.53,363.24,637003,ok
2020-01-03,366.8,372.0,364.38,364.86,891418,ok
2020-01-06,364.25,370.64,363.5,370.55,956765,ok
2020-01-07,369.0,369.0,363.09,366.87,669436,ok
2020-01-08,368.18,376.395,367.39,375.0,1201693,ok
2020-01-09,373.0,373.76,363.2,364.51,1760901,ok
2020-01-10,366.08,369.08,362.63,364.12,1035828,ok
2020-01-13,363.21,364.75,354.77,356.88,1732243,ok
2020-01-14,356.26,361.43,355.2002,357.25,1377131,ok
2020-01-15,358.14,369.24,355.89,364.07,1126834,ok
2020-01-16,366.11,367.83,363.76,367.13,529683,ok
2020-01-17,364.5,368.065,362.0,366.55,882832,ok
2020-01-21,363.26,369.93,361.94,364.87,849392,ok
2020-01-22,367.1,368.1,360.925,365.72,560981,ok
2020-01-23,365.64,367.6779,361.82,363.58,709023,ok
2020-01-24,364.45,364.45,354.19,356.9,973928,ok
2020-01-27,352.42,352.86,344.125,346.91,1294997,ok
2020-01-28,348.1,357.2,346.01,352.85,999587,ok
2020-01-29,352.08,355.11,348.31,351.57,1581279,ok
2020-01-30,348.35,350.51,340.02,343.24,1225098,ok
2020-01-31,340.45,341.53,332.91,336.24,1519567,ok
2020-02-03,339.15,341.28,332.26,333.09,1354734,ok
2020-02-04,337.12,346.175,335.73,342.75,1410142,ok
2020-02-05,349.43,367.93,349.43,364.8,1572921,ok
2020-02-06,366.75,366.75,347.305,359.15,1193808,ok
2020-02-07,359.15,361.18,352.6,353.26,938597,ok
2020-02-10,351.66,356.19,351.09,353.0,748299,ok
2020-02-11,353.88,357.51,351.8,357.17,648372,ok
2020-02-12,361.49,375.19,361.49,373.86,1581145,ok
2020-02-13,370.09,381.04,370.09,380.2,1344332,ok
2020-02-14,379.68,380.0,370.8,375.85,837733,ok
2020-02-18,376.96,384.995,370.0,372.12,1029785,ok
2020-02-19,372.5,379.22,371.01,378.52,539264,ok
2020-02-20,373.98,375.02,366.32,370.99,822264,ok
2020-02-21,368.44,371.455,363.32,369.67,526270,ok
2020-02-24,353.0,355.94,345.635,346.16,1213101,ok
2020-02-25,349.64,349.64,329.69,332.02,1253618,ok
2020-02-26,333.09,336.19,323.62,328.67,1250510,ok
2020-02-27,322.26,325.98,312.45,314.33,1484780,ok
2020-02-28,306.85,319.78,304.14,319.68,2130317,ok
2020-03-02,321.5,346.97,313.66,345.36,1856195,ok
2020-03-03,344.81,353.65,322.61,325.37,1914925,ok
2020-03-04,358.61,374.69,357.51,372.34,3319399,ok
2020-03-05,364.5,379.37,361.85,370.6,2270016,ok
2020-03-06,358.5,368.28,351.415,367.01,2131886,ok
2020-03-09,336.69,348.81,323.3,337.2,2166043,ok
2020-03-10,346.33,357.31,342.1306,349.3,1816892,ok
2020-03-11,342.04,350.56,325.72,328.22,2243700,ok
2020-03-12,305.53,317.08,291.23,293.05,1726079,ok
2020-03-13,307.0,314.59,280.06,313.91,2184610,ok
2020-03-16,261.05,292.3,251.13,270.21,2795303,ok
2020-03-17,276.01,277.85,262.04,272.58,2568232,ok
2020-03-18,257.81,259.31,230.0,246.58,3177922,ok
2020-03-19,246.58,261.33,235.02,256.19,1912319,ok
2020-03-20,261.01,273.81,230.28,230.61,3308915,ok
2020-03-23,230.85,239.78,208.25,214.43,3564773,ok
2020-03-24,227.55,243.925,218.1,234.06,3403243,ok
2020-03-25,229.18,281.28,225.63,269.01,3035419,ok
2020-03-26,272.34,306.96,270.04,304.48,2204292,ok
2020-03-27,290.14,304.0,289.0,297.07,1918723,ok
2020-03-30,299.32,318.97,298.07,311.23,1635968,ok
2020-03-31,312.06,317.85,298.58,314.02,2504438,ok
2020-04-01,300.0,302.47,288.01,298.75,1607667,ok
2020-04-02,293.0,306.9416,287.9,300.11,1068727,ok
2020-04-03,293.68,299.0,285.49,291.63,1198739,ok
2020-04-06,305.22,330.84,301.2892,327.47,1559211,ok
2020-04-07,340.09,345.0,318.06,320.05,1747286,ok
2020-04-08,324.82,346.0,319.33,337.26,1619793,ok
2020-04-09,336.76,345.24,332.48,341.9,2190138,ok
