Date,Open,High,Low,Close,Volume,Status
2020-01-02,135.0,135.92,134.7701,135.42,3148833,ok
2020-01-03,133.57,134.86,133.56,134.34,2373676,ok
2020-01-06,133.42,134.24,133.2,134.1,2426305,ok
2020-01-07,133.69,134.96,133.4,134.19,3275968,ok
2020-01-08,134.51,135.86,133.92,135.31,4346140,ok
2020-01-09,135.74,136.79,135.31,136.74,3732830,ok
2020-01-10,137.0,137.87,136.31,136.69,3255641,ok
2020-01-13,135.48,136.64,135.07,136.6,3531572,ok
2020-01-14,136.28,137.139,135.55,135.82,3683458,ok
2020-01-15,136.0,138.055,135.71,136.62,4045952,ok
2020-01-16,137.32,138.19,137.01,137.98,4320911,ok
2020-01-17,136.54,138.33,136.16,138.31,5623336,ok
2020-01-21,137.81,139.35,137.6,139.17,7244079,ok
2020-01-22,143.32,145.79,142.55,143.89,16470431,ok
2020-01-23,144.2,144.4097,142.15,142.87,5657790,ok
2020-01-24,143.39,143.92,140.46,140.56,5580189,ok
2020-01-27,138.5,140.069,138.1,138.62,4166562,ok
2020-01-28,139.5,140.47,138.75,139.55,3451557,ok
2020-01-29,139.17,139.58,137.595,137.69,3054714,ok
2020-01-30,136.76,136.97,134.97,136.77,5057906,ok
2020-01-31,142.9,144.05,140.79,143.73,18994560,ok
2020-02-03,144.25,147.28,143.9,146.27,8887502,ok
2020-02-04,147.78,149.38,146.88,149.11,5620966,ok
2020-02-05,150.21,157.44,150.15,156.33,14386823,ok
2020-02-06,156.82,158.75,155.42,156.76,8400545,ok
2020-02-07,154.55,155.54,152.92,153.41,6423429,ok
2020-02-10,152.97,154.44,151.58,154.43,5239807,ok
2020-02-11,155.12,155.22,152.7304,153.48,3835112,ok
2020-02-12,153.75,155.6,153.52,155.31,4438007,ok
2020-02-13,154.37,154.83,153.41,154.31,3820697,ok
2020-02-14,154.42,154.56,149.77,150.7,6099244,ok
2020-02-18,149.79,151.38,149.64,151.1,3343514,ok
2020-02-19,151.54,151.89,150.31,150.86,2733277,ok
2020-02-20,150.81,151.62,149.51,151.22,2880709,ok
2020-02-21,151.04,151.04,148.84,149.84,3537258,ok
2020-02-24,145.51,148.05,145.38,146.43,5452408,ok
2020-02-25,146.51,147.07,141.261,141.71,6211547,ok
2020-02-26,142.9,144.06,139.6,139.75,5409537,ok
2020-02-27,137.24,138.69,133.01,133.11,8421125,ok
2020-02-28,129.98,131.09,126.36,130.15,13012228,ok
2020-03-02,130.75,134.44,127.95,134.3,8531415,ok
2020-03-03,134.48,136.095,127.8,128.9,7896068,ok
2020-03-04,131.58,134.28,129.0,134.22,4996370,ok
2020-03-05,130.5,132.29,128.45,129.55,5446227,ok
2020-03-06,126.7,128.33,124.52,127.73,8193257,ok
2020-03-09,120.16,122.41,117.28,117.81,10757487,ok
2020-03-10,122.78,124.88,115.76,124.77,11410688,ok
2020-03-11,121.01,122.58,116.3838,117.97,8451038,ok
2020-03-12,109.65,109.8,102.28,102.81,12512655,ok
2020-03-13,108.68,109.16,100.81,107.95,12502113,ok
2020-03-16,98.0,107.41,95.0,99.08,10567960,ok
2020-03-17,100.61,107.395,97.1,106.65,9258338,ok
2020-03-18,99.41,106.9345,99.4,103.55,8772460,ok
2020-03-19,102.33,103.69,98.235,100.34,8396521,ok
2020-03-20,100.92,100.99,94.71,95.39,10546455,ok
2020-03-23,94.6,97.74,90.56,94.77,9729393,ok
2020-03-24,99.99,106.04,99.26,105.48,7973944,ok
2020-03-25,105.48,112.4779,102.83,105.85,8654047,ok
2020-03-26,106.91,113.15,105.57,112.89,7158052,ok
2020-03-27,108.58,111.5,107.645,108.03,6423038,ok
2020-03-30,108.09,113.46,107.81,112.93,5564541,ok
2020-03-31,112.0,113.81,110.17,110.93,6346676,ok
2020-04-01,106.36,109.92,104.521,105.14,6112947,ok
2020-04-02,105.37,110.32,105.14,110.0,6328674,ok
2020-04-03,108.92,110.07,104.92,106.34,4538750,ok
2020-04-06,110.35,115.63,110.13,114.82,7034193,ok
2020-04-07,118.8,119.57,114.87,114.94,5595329,ok
2020-04-08,116.31,119.96,115.0742,119.29,5158641,ok
2020-04-09,120.48,122.92,120.1672,121.5,5576815,ok
2020-04-13,121.63,121.8,118.04,121.15,5119713,ok
2020-04-14,123.46,125.18,122.62,123.91,5088660,ok
2020-04-15,119.12,120.1852,116.76,118.69,5637341,ok
2020-04-16,119.01,119.75,114.42,115.73,6457556,ok
2020-04-17,119.3,120.39,117.92,120.12,4965992,ok
2020-04-20,119.15,122.8635,118.14,120.41,8181736,ok
2020-04-21,114.0,117.145,112.06,116.76,14349032,ok
2020-04-22,119.87,120.33,117.55,119.31,7087869,ok
2020-04-23,119.57,123.03,119.12,121.35,6881615,ok
2020-04-24,122.41,125.0,120.7634,124.72,4987346,ok
2020-04-27,125.56,126.99,125.47,125.92,4923806,ok
2020-04-28,128.03,128.2,125.38,126.27,4778144,ok
2020-04-29,128.88,129.31,127.53,128.69,5257579,ok
2020-04-30,126.52,127.27,125.22,125.56,6635783,ok
2020-05-01,123.19,123.47,121.39,121.87,4925535,ok
2020-05-04,120.82,121.97,119.391,121.68,4017877,ok
2020-05-05,123.39,124.32,122.47,122.58,3899416,ok
2020-05-06,123.24,124.05,122.41,123.17,3864589,ok
2020-05-07,122.98,123.26,120.85,121.23,4414328,ok
2020-05-08,122.67,123.23,121.06,122.99,5003939,ok
2020-05-11,121.81,123.45,120.67,122.59,3535276,ok
2020-05-12,123.01,124.32,120.26,120.26,4784457,ok
2020-05-13,119.95,119.99,114.85,115.73,5882813,ok
2020-05-14,114.57,117.09,111.81,116.95,5259373,ok
2020-05-15,115.93,117.39,115.25,116.98,4786330,ok
2020-05-18,119.88,122.36,119.75,121.56,4207593,ok
2020-05-19,121.19,122.17,120.14,120.29,3241117,ok
2020-05-20,120.93,122.4659,120.6,121.38,3840858,ok
2020-05-21,120.99,121.72,118.97,119.12,4000863,ok
2020-05-22,119.37,119.465,117.59,118.39,4180771,ok
2020-05-26,121.3,122.62,121.0101,121.76,5469282,ok
2020-05-27,123.94,125.83,123.47,125.54,5727496,ok
2020-05-28,126.87,126.97,124.22,124.53,3916377,ok
2020-05-29,123.67,125.13,122.24,124.9,7930467,ok
2020-06-01,124.64,125.75,124.03,124.89,2883294,ok
2020-06-02,125.67,126.0,124.66,126.0,2978056,ok
2020-06-03,127.15,129.595,127.0,129.05,3917746,ok
2020-06-04,127.78,128.95,127.02,128.89,3864785,ok
2020-06-05,133.885,134.23,131.75,132.06,5892960,ok
2020-06-08,132.27,135.88,132.27,135.75,5370469,ok
2020-06-09,133.52,133.6,131.02,131.87,5393644,ok
2020-06-10,132.15,132.23,129.8,129.87,4734835,ok
2020-06-11,126.03,126.1,117.8352,118.01,11763629,ok
2020-06-12,121.25,123.12,119.28,121.91,6220327,ok
2020-06-15,119.19,122.367,118.29,121.65,5151240,ok
2020-06-16,125.0,127.5,123.16,125.15,5609087,ok
2020-06-17,125.83,126.25,123.4,124.15,3156836,ok
2020-06-18,123.0,124.4,122.33,124.16,2865362,ok
2020-06-19,126.17,126.82,122.25,122.47,8092354,ok
2020-06-22,122.12,122.5,120.53,121.07,4773499,ok
2020-06-23,122.01,122.9,119.23,119.41,6632605,ok
2020-06-24,118.32,118.32,115.88,116.42,6750990,ok
2020-06-25,116.76,119.21,116.1,119.03,6130626,ok
2020-06-26,118.26,118.99,116.26,117.19,10750107,ok
2020-06-29,117.98,119.78,117.37,119.75,4159488,ok
2020-06-30,119.19,121.2,119.0,120.77,3919469,ok
2020-07-01,120.27,121.225,118.37,118.54,4655765,ok
