Date,Open,High,Low,Close,Volume,Status
2020-01-02,92.84,93.07,92.18,92.67,3045306,ok
2020-01-03,92.1,94.98,91.95,94.67,2544469,ok
2020-01-06,94.7,95.47,94.0225,94.7,2649690,ok
2020-01-07,94.08,94.93,93.77,94.43,2346083,ok
2020-01-08,94.66,94.9,93.48,93.6,3013701,ok
2020-01-09,93.62,94.98,93.62,94.43,2268259,ok
2020-01-10,94.41,94.8,94.07,94.25,1510521,ok
2020-01-13,94.2,95.07,94.03,95.03,2627651,ok
2020-01-14,95.05,95.12,93.51,93.77,3366071,ok
2020-01-15,94.06,96.25,93.6,95.77,3015803,ok
2020-01-16,96.73,96.989,95.58,96.27,2686572,ok
2020-01-17,96.05,97.05,96.05,96.77,2468719,ok
2020-01-21,96.69,97.45,96.6,96.76,2263597,ok
2020-01-22,96.63,97.1,96.34,96.43,1930376,ok
2020-01-23,96.15,97.42,96.01,97.3,2332985,ok
2020-01-24,97.3,98.0921,96.86,97.11,1880177,ok
2020-01-27,96.31,98.3878,95.64,98.18,2343553,ok
2020-01-28,98.14,99.1,98.09,98.94,2034020,ok
2020-01-29,99.26,99.8,98.55,98.91,1762582,ok
2020-01-30,98.58,100.18,98.45,100.17,1464186,ok
2020-01-31,99.86,100.43,99.39,99.74,2068071,ok
2020-02-03,100.15,100.43,99.52,100.04,1920011,ok
2020-02-04,100.76,101.93,91.05,92.59,11043570,ok
2020-02-05,93.61,94.02,91.33,92.88,12764475,ok
2020-02-06,92.75,92.83,86.825,90.11,17797698,ok
2020-02-07,93.9,95.46,92.1168,92.63,12776993,ok
2020-02-10,92.54,94.97,92.53,94.82,5715295,ok
2020-02-11,94.9,95.15,94.67,94.76,3827899,ok
2020-02-12,94.7,94.99,93.9301,94.39,4506128,ok
2020-02-13,94.61,94.67,93.89,94.19,5791323,ok
2020-02-14,94.5,96.9,94.451,96.86,5111620,ok
2020-02-18,95.85,96.6,95.01,96.2,2656210,ok
2020-02-19,96.72,96.95,95.41,95.42,2520305,ok
2020-02-20,95.14,95.69,94.48,95.21,1880792,ok
2020-02-21,95.08,95.2,94.5,94.75,2047257,ok
2020-02-24,93.5,94.74,93.0642,93.85,2559120,ok
2020-02-25,94.03,94.51,91.57,91.97,3063646,ok
2020-02-26,92.15,94.5,91.77,93.86,3923959,ok
2020-02-27,93.08,95.31,91.8,91.82,5272773,ok
2020-02-28,90.66,92.635,87.42,89.22,7204543,ok
2020-03-02,89.94,93.4,89.53,93.4,7056107,ok
2020-03-03,93.62,96.22,92.24,94.94,6139196,ok
2020-03-04,95.25,100.46,94.86,100.17,5223482,ok
