Date,Open,High,Low,Close,Volume,Status
2020-01-02,146.99,147.605,144.795,146.48,475271,ok
2020-01-03,143.48,144.96,140.4,141.82,311317,ok
2020-01-06,140.4,143.62,138.48,143.27,468564,ok
2020-01-07,144.22,145.37,143.0,144.1,292023,ok
2020-01-08,143.23,144.85,140.04,144.05,520733,ok
2020-01-09,145.46,145.5,139.525,139.64,461487,ok
2020-01-10,140.34,140.58,135.12,135.27,580111,ok
2020-01-13,135.61,137.76,133.03,137.08,550131,ok
2020-01-14,137.47,140.32,137.47,139.21,424669,ok
2020-01-15,138.72,141.88,138.38,139.75,429651,ok
2020-01-16,141.19,146.21,141.04,145.02,434323,ok
2020-01-17,145.71,147.535,145.24,145.95,390250,ok
2020-01-21,144.46,145.59,143.71,144.85,282847,ok
2020-01-22,145.49,147.85,145.49,146.09,307158,ok
2020-01-23,145.67,147.125,143.965,146.84,251243,ok
2020-01-24,147.89,148.63,143.44,144.33,331881,ok
2020-01-27,139.53,139.53,134.0066,134.67,428524,ok
2020-01-28,136.31,137.98,134.71,136.69,419848,ok
2020-01-29,135.61,136.955,129.97,130.07,456295,ok
2020-01-30,129.21,131.455,126.76,131.13,561491,ok
2020-01-31,130.05,130.93,127.41,127.67,609324,ok
2020-02-03,129.29,132.92,127.9313,132.81,386870,ok
2020-02-04,135.72,140.52,135.72,140.29,350051,ok
2020-02-05,143.2,143.2,139.0,140.41,299844,ok
2020-02-06,141.76,143.64,138.5,141.45,311222,ok
2020-02-07,139.7,139.7,133.36,133.55,436283,ok
2020-02-10,132.78,138.17,132.1,138.17,372321,ok
2020-02-11,139.86,145.0,139.86,140.75,378703,ok
2020-02-12,142.43,148.32,142.39,147.07,720273,ok
2020-02-13,144.0,150.0,132.33,149.97,1301070,ok
2020-02-14,150.0,150.0,139.0,139.49,868342,ok
2020-02-18,138.63,140.345,135.51,135.81,577458,ok
2020-02-19,137.25,144.2,137.065,143.935,484013,ok
2020-02-20,142.63,144.23,140.585,140.87,478815,ok
2020-02-21,139.47,139.47,134.62,135.01,521971,ok
2020-02-24,129.06,133.73,122.7,132.17,633613,ok
2020-02-25,134.67,135.39,124.76,127.05,629507,ok
2020-02-26,128.13,131.17,126.65,126.73,561652,ok
2020-02-27,122.42,128.93,120.075,122.81,600945,ok
2020-02-28,118.5,130.04,118.0,127.64,732556,ok
2020-03-02,129.21,130.84,123.8483,130.35,628906,ok
2020-03-03,130.0,133.96,126.06,127.75,507538,ok
2020-03-04,127.81,131.74,126.36,131.59,358886,ok
2020-03-05,125.66,132.31,124.55,127.61,358248,ok
2020-03-06,123.3,126.52,119.44,121.47,626996,ok
2020-03-09,112.52,120.32,110.0,116.93,654606,ok
2020-03-10,121.19,123.81,115.92,123.35,587562,ok
2020-03-11,118.96,119.59,109.74,110.85,464121,ok
2020-03-12,103.07,113.99,98.47,105.88,854396,ok
2020-03-13,110.25,112.75,104.045,112.15,675840,ok
2020-03-16,101.1,108.07,98.04,105.36,720002,ok
2020-03-17,107.85,127.205,105.36,124.25,993676,ok
2020-03-18,114.46,122.85,110.19,118.66,933906,ok
2020-03-19,116.83,120.59,107.27,109.94,773198,ok
2020-03-20,111.78,114.97,105.0,109.08,875581,ok
2020-03-23,109.56,115.72,107.06,110.02,650015,ok
2020-03-24,115.26,123.38,113.93,121.2,616279,ok
2020-03-25,115.7,123.37,111.7482,116.75,642463,ok
2020-03-26,117.76,118.98,113.75,116.98,472377,ok
2020-03-27,113.39,114.37,106.45,109.03,467011,ok
2020-03-30,109.25,111.805,104.65,109.2,435489,ok
2020-03-31,108.71,114.52,108.71,110.28,344255,ok
2020-04-01,106.27,109.89,103.65,105.8,545970,ok
2020-04-02,104.28,108.46,100.92,102.92,458009,ok
2020-04-03,102.09,105.57,101.845,102.74,516245,ok
2020-04-06,106.49,114.62,106.445,113.95,354385,ok
2020-04-07,117.43,119.59,113.595,114.35,384839,ok
2020-04-08,116.36,117.35,112.375,117.31,368823,ok
2020-04-09,117.25,121.12,115.5098,119.05,479912,ok
2020-04-13,118.29,119.16,115.01,116.99,252240,ok
2020-04-14,119.92,122.15,117.79,120.75,304678,ok
2020-04-15,117.9,118.58,113.0101,114.44,295358,ok
2020-04-16,116.28,117.36,112.51,115.48,489134,ok
2020-04-17,117.74,121.13,117.01,119.05,281413,ok
2020-04-20,118.39,120.4427,116.05,117.94,305629,ok
2020-04-21,113.99,115.29,111.41,111.65,348370,ok
2020-04-22,114.44,117.12,113.7,116.51,223334,ok
2020-04-23,114.98,119.195,114.98,116.34,366158,ok
2020-04-24,115.88,121.51,115.88,120.9,315283,ok
2020-04-27,122.44,127.62,122.31,126.08,233746,ok
2020-04-28,128.33,132.77,127.84,131.09,384097,ok
2020-04-29,131.42,134.3663,129.525,133.0,368601,ok
2020-04-30,131.34,132.27,129.14,129.33,416567,ok
2020-05-01,127.41,127.41,118.545,119.37,531027,ok
2020-05-04,117.75,120.86,116.4555,119.07,518119,ok
2020-05-05,140.0,146.515,136.2,144.1,1219666,ok
2020-05-06,145.85,146.96,140.735,144.2,700916,ok
2020-05-07,144.12,149.83,143.13,147.39,726078,ok
2020-05-08,149.85,153.22,149.56,152.06,613622,ok
2020-05-11,147.86,155.06,146.47,153.77,571498,ok
2020-05-12,154.99,156.0025,151.33,151.52,419297,ok
2020-05-13,150.54,152.005,143.29,145.21,590601,ok
2020-05-14,143.21,146.19,139.7,146.02,438448,ok
2020-05-15,142.51,146.625,141.02,146.18,356121,ok
2020-05-18,150.0,153.12,149.81,150.22,292782,ok
2020-05-19,149.08,156.75,149.08,154.16,365005,ok
2020-05-20,156.71,161.18,156.37,158.28,398223,ok
2020-05-21,160.0,160.48,154.91,155.86,328801,ok
2020-05-22,154.12,157.46,153.87,157.39,244869,ok
2020-05-26,156.03,157.99,152.65,152.99,587312,ok
2020-05-27,155.25,155.25,149.35,154.41,398998,ok
2020-05-28,152.52,155.58,151.685,152.17,234580,ok
2020-05-29,153.04,155.83,150.45,155.4,522591,ok
2020-06-01,155.22,160.04,154.0,159.81,468178,ok
2020-06-02,159.74,163.17,157.23,159.89,417280,ok
