Date,Open,High,Low,Close,Volume,Status
2020-01-02,155.23,156.73,153.57,156.41,1870861,ok
2020-01-03,153.97,154.95,153.73,154.19,1047163,ok
2020-01-06,153.12,155.09,152.17,155.0,1539496,ok
2020-01-07,155.78,157.9,155.38,156.8,1052869,ok
2020-01-08,157.07,159.25,156.825,157.6,1182144,ok
2020-01-09,158.29,159.84,158.08,159.5,850441,ok
2020-01-10,160.2,160.86,158.97,159.3,876403,ok
2020-01-13,159.63,159.63,157.575,158.15,1885061,ok
2020-01-14,157.49,159.09,156.76,158.93,1089547,ok
2020-01-15,158.86,160.59,158.29,159.37,950008,ok
2020-01-16,160.45,161.1,159.8,160.97,750744,ok
2020-01-17,161.45,161.69,159.39,161.51,777413,ok
2020-01-21,161.09,161.86,160.26,160.85,979908,ok
2020-01-22,161.07,162.14,160.44,160.5,733812,ok
2020-01-23,160.32,161.03,159.285,160.91,811664,ok
2020-01-24,161.62,162.14,157.78,158.1,821432,ok
2020-01-27,156.14,158.18,155.84,157.16,755209,ok
2020-01-28,157.86,159.5691,156.74,158.67,854554,ok
2020-01-29,158.85,160.325,158.405,158.5,821091,ok
2020-01-30,157.14,158.14,155.62,157.0,1594972,ok
2020-01-31,156.63,157.19,154.45,155.25,1143230,ok
2020-02-03,156.6,157.2181,154.94,155.25,1786059,ok
2020-02-04,157.12,157.59,155.62,157.04,3384339,ok
2020-02-05,159.06,161.55,158.38,159.76,1373281,ok
2020-02-06,160.64,161.25,159.79,160.53,976618,ok
2020-02-07,160.31,160.61,156.98,157.0,1193072,ok
2020-02-10,157.0,160.14,156.52,159.93,1303778,ok
2020-02-11,160.99,163.515,160.21,161.7,1582623,ok
2020-02-12,164.85,169.14,160.0,166.11,2302381,ok
2020-02-13,164.8,166.03,162.64,165.79,1439956,ok
2020-02-14,165.3,165.5,162.17,164.32,2967361,ok
2020-02-18,164.91,165.74,162.61,165.42,1436201,ok
2020-02-19,166.28,166.28,164.125,164.39,1070909,ok
2020-02-20,163.5,164.3264,162.17,164.14,1574310,ok
2020-02-21,163.48,164.35,161.575,163.43,967908,ok
2020-02-24,159.42,160.265,156.63,158.08,1313101,ok
2020-02-25,158.93,159.1,149.5,150.06,2918784,ok
2020-02-26,151.37,154.37,148.94,149.39,1667780,ok
2020-02-27,147.19,148.74,142.63,142.74,3406937,ok
2020-02-28,138.91,141.24,136.23,139.49,3112235,ok
2020-03-02,140.73,147.23,139.31,147.08,2504941,ok
2020-03-03,147.44,150.25,139.53,141.36,1557197,ok
2020-03-04,144.86,148.445,144.5,147.89,1228700,ok
2020-03-05,143.84,144.775,136.51,138.21,2214990,ok
2020-03-06,136.3,138.3,131.39,136.05,2110569,ok
2020-03-09,129.46,131.14,122.97,124.0,2760829,ok
2020-03-10,128.18,131.14,122.77,130.82,2721815,ok
2020-03-11,126.63,128.24,123.26,125.42,2112994,ok
2020-03-12,116.72,117.36,110.35,113.01,2910661,ok
2020-03-13,119.79,120.6,111.08,118.71,2244627,ok
2020-03-16,99.16,106.25,94.2,102.36,5128924,ok
2020-03-17,104.09,110.54,101.05,107.69,3699856,ok
2020-03-18,100.44,100.99,81.79,89.88,4695580,ok
2020-03-19,88.83,104.83,82.0,90.62,3712016,ok
2020-03-20,91.7935,99.73,89.5674,91.67,2987842,ok
2020-03-23,92.0,92.0,82.03,84.0,2741882,ok
2020-03-24,89.47,97.09,88.08,96.91,2750435,ok
2020-03-25,97.23,111.63,94.16,104.88,3646422,ok
2020-03-26,106.94,116.37,106.49,110.55,2865269,ok
2020-03-27,105.72,108.45,100.89,107.14,3063690,ok
2020-03-30,106.96,114.75,105.03,112.98,1627212,ok
2020-03-31,111.8,113.61,105.21,107.86,2853200,ok
2020-04-01,102.02,104.21,98.01,100.04,2084252,ok
2020-04-02,100.46,105.4,99.07,104.78,1708641,ok
2020-04-03,104.55,108.625,101.0,102.72,2687671,ok
2020-04-06,109.57,119.09,108.3,117.14,2062238,ok
2020-04-07,124.22,124.99,116.91,119.68,2148605,ok
2020-04-08,120.74,129.5,117.57,127.87,1634384,ok
2020-04-09,128.3,132.18,127.7,128.53,1522884,ok
2020-04-13,127.4,127.68,121.3404,124.79,1980847,ok
2020-04-14,127.22,129.0,125.46,126.49,1414960,ok
2020-04-15,123.39,124.54,121.22,124.02,1327522,ok
2020-04-16,124.78,125.79,122.16,124.46,973336,ok
2020-04-17,128.03,131.76,127.72,131.57,1486287,ok
2020-04-20,128.72,131.25,127.41,127.51,1180091,ok
2020-04-21,124.26,125.68,121.355,122.0,1077192,ok
2020-04-22,124.97,126.58,122.22,125.55,634343,ok
2020-04-23,126.77,131.74,126.01,127.67,822642,ok
2020-04-24,128.06,129.63,126.35,128.86,768040,ok
2020-04-27,130.0,132.49,129.9,131.88,1276395,ok
2020-04-28,138.5,147.41,130.46,135.88,2204959,ok
2020-04-29,139.72,143.45,138.1705,143.1,1428149,ok
2020-04-30,141.39,143.66,140.17,142.59,1790526,ok
2020-05-01,139.05,140.78,135.32,136.52,1205018,ok
2020-05-04,135.1,135.77,131.4,134.06,1070563,ok
2020-05-05,135.97,137.205,134.77,135.49,924383,ok
2020-05-06,135.99,137.36,133.86,134.01,728323,ok
2020-05-07,136.67,137.47,135.2475,135.52,868852,ok
2020-05-08,138.06,139.35,136.85,137.65,677940,ok
2020-05-11,136.54,139.05,135.34,138.65,814758,ok
2020-05-12,139.0,139.3986,134.7,134.8,678390,ok
2020-05-13,135.02,136.55,131.42,132.47,1174875,ok
2020-05-14,130.59,132.97,128.52,132.37,1224775,ok
2020-05-15,131.87,134.35,130.715,134.2,1133710,ok
2020-05-18,138.6,140.85,138.0,138.56,850288,ok
2020-05-19,138.1,141.8,137.73,140.86,2707559,ok
2020-05-20,142.2,145.73,141.635,145.42,1245096,ok
2020-05-21,145.2,146.38,142.45,143.2,1326402,ok
2020-05-22,143.44,144.02,141.76,142.9,682879,ok
2020-05-26,146.62,147.42,143.06,143.5,1468674,ok
2020-05-27,145.7,147.17,141.87,146.82,1015976,ok
2020-05-28,147.99,149.28,145.71,146.2,942701,ok
2020-05-29,146.69,150.345,146.16,149.52,3005472,ok
2020-06-01,149.1,150.01,147.01,149.41,884793,ok
2020-06-02,149.85,151.75,148.39,151.53,1199997,ok
