Date,Open,High,Low,Close,Volume,Status
2020-01-02,154.48,156.04,154.48,156.04,769087,ok
2020-01-03,153.7,156.5,153.24,155.98,447882,ok
2020-01-06,155.33,158.89,155.24,158.86,473114,ok
2020-01-07,158.28,158.91,156.46,156.58,477271,ok
2020-01-08,156.61,159.13,156.3,158.65,556100,ok
2020-01-09,159.56,161.24,158.8,161.16,382016,ok
2020-01-10,161.15,161.7619,158.9,159.39,335736,ok
2020-01-13,159.48,161.27,157.6,160.93,330503,ok
2020-01-14,160.81,162.08,158.73,158.87,257667,ok
2020-01-15,159.88,161.14,158.71,158.85,438186,ok
2020-01-16,159.71,160.92,159.22,160.92,631793,ok
2020-01-17,161.21,162.54,160.69,161.17,369168,ok
2020-01-21,160.25,162.76,160.25,161.23,413177,ok
2020-01-22,162.1,162.99,160.77,160.93,474679,ok
2020-01-23,161.02,161.58,159.74,161.27,185984,ok
2020-01-24,162.23,162.72,160.2103,160.57,217379,ok
2020-01-27,157.85,160.5273,156.01,159.63,310511,ok
2020-01-28,161.04,162.24,160.29,161.55,404900,ok
2020-01-29,162.22,163.61,161.56,162.14,240525,ok
2020-01-30,161.29,163.54,160.47,163.25,250494,ok
2020-01-31,162.86,162.86,159.72,160.78,386361,ok
2020-02-03,162.06,165.265,162.06,163.85,623284,ok
2020-02-04,155.52,159.64,153.55,154.0,2092795,ok
2020-02-05,154.0,155.68,153.8,154.31,1664717,ok
2020-02-06,155.06,156.27,153.71,154.29,794693,ok
2020-02-07,154.19,154.66,151.65,152.58,565107,ok
2020-02-10,152.31,152.71,148.25,149.17,1715271,ok
2020-02-11,149.61,152.67,149.4,152.08,1023461,ok
2020-02-12,153.33,154.065,151.5,151.55,1430384,ok
2020-02-13,150.97,152.67,150.69,150.88,699822,ok
2020-02-14,151.41,152.55,151.28,152.41,475731,ok
2020-02-18,152.53,153.35,151.72,152.66,594544,ok
2020-02-19,153.2,154.89,152.96,153.7,411602,ok
2020-02-20,153.89,155.885,153.28,154.95,500162,ok
2020-02-21,154.2,155.57,153.26,155.46,466560,ok
2020-02-24,150.02,153.45,149.15,149.18,629894,ok
2020-02-25,149.5,150.49,140.615,141.1,731243,ok
2020-02-26,141.62,143.08,138.09,138.64,732313,ok
2020-02-27,136.08,138.17,131.11,131.29,979536,ok
2020-02-28,128.38,131.5278,126.9,129.39,1424150,ok
2020-03-02,130.23,131.63,126.12,129.8,2231158,ok
2020-03-03,130.41,132.91,125.49,125.84,1429814,ok
2020-03-04,127.28,127.61,124.06,126.02,2047843,ok
2020-03-05,123.39,126.49,123.01,125.58,1887107,ok
2020-03-06,122.09,123.27,117.3,120.16,1125972,ok
2020-03-09,113.5,114.38,109.9875,110.12,1932363,ok
2020-03-10,110.4,114.185,107.41,114.11,1808289,ok
2020-03-11,111.18,112.28,106.0,107.18,1751962,ok
2020-03-12,99.06,103.5,96.27,102.34,2323880,ok
2020-03-13,106.56,108.18,98.705,106.31,1578059,ok
2020-03-16,91.23,103.55,90.95,92.75,1447301,ok
2020-03-17,94.86,97.3012,82.86,90.01,1277139,ok
2020-03-18,84.12,90.2395,76.91,83.38,1332849,ok
2020-03-19,83.0,94.0,82.63,92.95,1010994,ok
2020-03-20,94.38,94.38,82.38,83.24,1417052,ok
2020-03-23,83.11,85.9899,77.28,85.02,1139836,ok
2020-03-24,88.88,93.03,87.63,91.66,821532,ok
2020-03-25,90.79,94.97,84.815,90.31,1763420,ok
2020-03-26,90.68,105.6,88.82,105.12,2848154,ok
2020-03-27,101.46,108.2488,100.84,104.79,1725587,ok
2020-03-30,104.79,109.35,102.139,107.81,1255904,ok
2020-03-31,107.0,109.155,99.04,99.57,1763599,ok
2020-04-01,95.52,96.21,92.49,93.29,781099,ok
2020-04-02,91.88,94.92,90.18,94.1,1204463,ok
2020-04-03,93.79,94.2934,88.81,91.82,806388,ok
2020-04-06,95.78,100.94,95.24,99.86,1222315,ok
2020-04-07,104.0,105.43,100.77,101.16,958280,ok
2020-04-08,102.44,106.83,102.195,104.97,566012,ok
2020-04-09,105.87,108.4,104.8,106.89,643430,ok
2020-04-13,106.15,106.72,102.8741,105.78,339821,ok
2020-04-14,108.03,108.7,105.68,105.97,595762,ok
2020-04-15,103.62,104.51,100.845,102.6,408091,ok
2020-04-16,103.14,103.17,97.56,99.11,451705,ok
2020-04-17,101.81,106.81,101.01,105.96,534334,ok
2020-04-20,104.77,106.24,103.25,104.17,404813,ok
2020-04-21,101.63,103.35,101.08,101.58,1142556,ok
2020-04-22,104.05,105.77,102.19,105.26,355568,ok
2020-04-23,106.13,109.115,105.04,107.58,392570,ok
2020-04-24,108.14,110.88,107.29,109.76,827921,ok
2020-04-27,110.99,114.46,110.35,113.95,449291,ok
2020-04-28,116.07,117.97,112.99,114.75,623072,ok
2020-04-29,117.62,121.7,116.91,121.26,603299,ok
2020-04-30,119.21,120.13,117.9,118.81,663882,ok
2020-05-01,117.1,117.52,114.01,114.92,656610,ok
2020-05-04,113.91,116.42,112.11,116.3,442625,ok
2020-05-05,117.99,119.32,115.71,115.99,464142,ok
2020-05-06,116.54,117.02,113.57,115.02,656090,ok
2020-05-07,120.85,129.715,120.56,123.81,1004319,ok
2020-05-08,125.81,126.4798,120.23,122.58,795807,ok
2020-05-11,122.1,122.1,117.94,118.98,653907,ok
2020-05-12,119.13,119.31,116.1,116.11,651365,ok
2020-05-13,115.11,115.11,106.57,109.92,864908,ok
2020-05-14,108.31,111.26,106.6,110.64,499999,ok
2020-05-15,109.29,111.89,108.5,111.53,359788,ok
2020-05-18,114.55,119.57,114.55,118.8,490231,ok
2020-05-19,118.24,119.439,115.27,115.4,587489,ok
2020-05-20,117.27,119.27,116.79,118.21,403767,ok
2020-05-21,118.21,120.67,116.08,116.27,349366,ok
2020-05-22,116.98,118.36,114.43,117.61,441192,ok
2020-05-26,119.87,124.79,119.87,121.1,437217,ok
2020-05-27,122.77,123.72,120.34,122.88,357371,ok
2020-05-28,123.88,124.21,121.59,121.75,344643,ok
2020-05-29,121.09,123.02,119.445,121.7,508258,ok
2020-06-01,120.57,123.1,120.39,122.24,545487,ok
2020-06-02,123.63,126.77,122.3,126.75,468951,ok
2020-06-03,128.18,132.915,127.73,132.09,578431,ok
2020-06-04,131.39,132.6,129.28,130.58,442000,ok
2020-06-05,134.21,137.005,132.96,135.0,459807,ok
2020-06-08,136.51,138.715,135.41,137.69,628736,ok
2020-06-09,136.36,136.36,130.82,131.24,439946,ok
2020-06-10,130.64,130.79,126.58,127.03,724816,ok
2020-06-11,123.4,123.42,116.5,116.8,686259,ok
2020-06-12,120.55,121.275,116.405,118.73,800226,ok
2020-06-15,115.66,120.93,114.36,120.68,801010,ok
2020-06-16,124.74,125.79,121.61,122.08,582363,ok
2020-06-17,123.5,123.5,120.53,121.16,533509,ok
2020-06-18,119.9,122.505,119.08,121.87,460377,ok
2020-06-19,125.27,125.27,119.13,120.03,751753,ok
2020-06-22,119.78,122.21,118.1513,122.09,505375,ok
2020-06-23,123.94,123.94,121.47,122.14,433997,ok
2020-06-24,120.22,121.2,114.825,115.66,532905,ok
2020-06-25,115.59,119.43,115.47,119.19,668149,ok
2020-06-26,118.35,118.84,115.84,117.85,1404491,ok
2020-06-29,118.45,120.58,117.185,119.26,403612,ok
2020-06-30,118.64,122.02,118.08,121.33,474465,ok
2020-07-01,121.12,122.5,119.57,120.03,362492,ok
2020-07-02,121.69,122.82,119.74,120.33,328005,ok
2020-07-06,122.39,123.43,121.71,122.53,565444,ok
2020-07-07,121.59,122.97,120.92,121.01,816006,ok
2020-07-08,121.35,122.925,120.51,121.84,438923,ok
2020-07-09,120.77,121.55,116.51,118.16,369229,ok
2020-07-10,117.73,119.1,117.09,118.94,315446,ok
2020-07-13,120.18,122.01,119.16,119.51,477001,ok
2020-07-14,119.12,120.06,117.375,119.89,601311,ok
2020-07-15,122.16,126.86,122.14,126.74,498746,ok
2020-07-16,126.13,126.68,123.94,124.51,345410,ok
2020-07-17,125.02,125.02,122.55,123.09,472197,ok
2020-07-20,122.64,123.68,121.79,123.37,386640,ok
2020-07-21,124.63,125.7,122.985,123.38,245224,ok
2020-07-22,123.0,124.765,123.0,124.67,194228,ok
2020-07-23,124.2,127.36,124.2,125.87,578685,ok
2020-07-24,125.77,126.06,123.7853,124.69,378687,ok
2020-07-27,124.6,125.99,123.45,125.37,317759,ok
2020-07-28,124.75,125.735,123.65,123.85,294617,ok
2020-07-29,124.24,127.02,124.23,126.74,236941,ok
2020-07-30,125.11,125.78,123.23,125.6,258393,ok
2020-07-31,125.51,126.19,123.785,124.64,578162,ok
2020-08-03,125.77,126.74,123.87,125.66,897868,ok
2020-08-04,130.88,132.48,125.205,126.3,1155495,ok
2020-08-05,127.79,131.24,127.59,129.39,491985,ok
2020-08-06,129.4,131.66,128.815,130.66,374167,ok
2020-08-07,129.5,131.6,128.74,131.54,454992,ok
2020-08-10,131.45,132.72,131.04,132.63,331726,ok
2020-08-11,133.1,134.4,131.24,131.58,398873,ok
2020-08-12,132.19,132.63,130.46,130.79,462527,ok
2020-08-13,130.3,132.66,130.3,131.13,202958,ok
2020-08-14,130.21,131.01,128.94,129.49,157456,ok
2020-08-17,129.73,129.95,127.81,128.02,352081,ok
2020-08-18,128.09,128.41,127.18,127.64,251178,ok
2020-08-19,128.08,128.22,126.62,127.62,310851,ok
2020-08-20,127.51,128.935,127.07,127.76,298936,ok
2020-08-21,127.64,128.3,126.65,128.14,275599,ok
2020-08-24,129.01,132.395,128.725,131.65,473783,ok
2020-08-25,132.5,134.26,130.5,132.06,365746,ok
2020-08-26,132.1,132.1,129.96,131.51,251554,ok
2020-08-27,131.68,132.79,129.8,130.72,194374,ok
2020-08-28,130.8,131.54,129.61,131.48,300132,ok
2020-08-31,131.48,131.48,129.495,129.82,278387,ok
2020-09-01,129.36,130.31,128.66,130.06,264714,ok
2020-09-02,130.45,134.33,130.12,134.0,248104,ok
2020-09-03,133.5,133.93,130.4969,131.58,494088,ok
2020-09-04,132.3,132.88,128.94,131.18,429940,ok
2020-09-08,129.06,129.98,127.72,128.6,322692,ok
2020-09-09,129.59,132.7,128.52,131.28,357368,ok
2020-09-10,131.45,132.555,127.8,127.92,328188,ok
2020-09-11,128.27,128.27,125.57,126.64,257811,ok
2020-09-14,127.84,132.65,127.84,132.56,473337,ok
2020-09-15,132.98,134.58,132.475,134.19,307031,ok
2020-09-16,135.0,136.09,132.28,132.97,399010,ok
2020-09-17,131.95,133.99,130.56,132.32,323394,ok
2020-09-18,132.24,133.47,129.9,131.13,544013,ok
2020-09-21,128.83,129.56,125.125,126.41,367865,ok
2020-09-22,126.3,127.135,123.72,126.71,407322,ok
2020-09-23,126.74,128.18,123.9,124.0,344841,ok
2020-09-24,123.42,124.59,121.8,123.06,358616,ok
2020-09-25,122.51,125.74,121.16,125.65,350091,ok
2020-09-28,127.52,127.96,126.33,126.53,325198,ok
2020-09-29,126.39,127.915,125.11,125.23,293804,ok
2020-09-30,125.92,127.22,124.59,124.95,366452,ok
2020-10-01,125.84,127.28,124.63,125.72,302900,ok
2020-10-02,123.82,126.44,123.26,125.34,295579,ok
2020-10-05,126.74,126.95,125.33,125.98,300779,ok
2020-10-06,126.43,127.965,123.66,124.21,396581,ok
2020-10-07,124.5,125.995,123.86,125.62,482043,ok
2020-10-08,126.97,128.6,126.45,126.83,552971,ok
2020-10-09,128.12,128.569,126.0,126.4,653702,ok
2020-10-12,127.2,127.89,125.06,126.81,406754,ok
2020-10-13,125.99,128.82,125.52,128.0,1005153,ok
2020-10-14,128.0,129.88,124.59,124.77,558241,ok
2020-10-15,123.22,130.37,123.22,129.59,741404,ok
2020-10-16,130.27,131.71,129.12,130.07,465812,ok
2020-10-19,130.74,131.52,123.63,124.34,499856,ok
2020-10-20,125.18,126.87,124.33,125.44,400341,ok
2020-10-21,125.36,128.72,125.36,127.88,371121,ok
2020-10-22,127.47,128.3,125.36,127.52,216037,ok
2020-10-23,128.72,128.77,126.67,128.13,203280,ok
2020-10-26,126.5,126.5,122.001,124.03,346747,ok
2020-10-27,123.9,124.64,121.77,121.94,277507,ok
2020-10-28,119.3,120.23,116.56,117.45,517601,ok
2020-10-29,116.68,119.305,115.86,118.28,265316,ok
2020-10-30,117.68,120.35,117.13,120.1,580891,ok
2020-11-02,121.44,125.89,121.26,125.02,591093,ok
2020-11-03,137.69,143.4399,137.49,140.8,1163034,ok
2020-11-04,141.6,144.87,139.2,142.26,767530,ok
2020-11-05,144.15,146.47,143.72,146.25,558813,ok
2020-11-06,145.4,148.995,144.37,147.98,497326,ok
2020-11-09,156.69,162.94,155.65,155.85,966987,ok
2020-11-10,156.36,159.94,154.41,157.44,638845,ok
2020-11-11,157.14,158.64,155.94,156.8,320493,ok
2020-11-12,155.66,156.11,151.96,153.0,264537,ok
2020-11-13,154.43,159.0,154.43,157.98,440134,ok
2020-11-16,160.1,160.88,157.78,159.02,419274,ok
