Date,Open,High,Low,Close,Volume,Status
2020-01-02,40.91,41.41,40.73,41.4,3776569,ok
2020-01-03,40.81,41.02,40.405,40.66,4206720,ok
2020-01-06,41.03,41.43,40.97,41.18,4998123,ok
2020-01-07,41.01,41.18,40.63,40.75,5157908,ok
2020-01-08,40.83,41.545,40.77,41.08,4994329,ok
2020-01-09,41.23,41.59,41.1,41.33,4643857,ok
2020-01-10,41.42,41.51,40.9,40.98,3553830,ok
2020-01-13,41.0,41.32,40.96,41.16,4860284,ok
2020-01-14,41.18,41.23,40.86,40.98,3166317,ok
2020-01-15,40.96,41.23,40.81,40.93,3517601,ok
2020-01-16,40.99,41.16,40.76,41.04,5733915,ok
2020-01-17,40.91,41.36,40.85,40.99,6685809,ok
2020-01-21,40.86,41.25,40.82,41.03,4928599,ok
2020-01-22,41.2,41.455,41.0127,41.37,5673820,ok
2020-01-23,41.19,41.77,41.19,41.75,4467342,ok
2020-01-24,41.64,41.7,41.105,41.35,4563318,ok
2020-01-27,40.85,41.09,40.27,40.3,3765542,ok
2020-01-28,40.35,41.03,40.085,40.81,6266946,ok
2020-01-29,41.05,41.24,40.47,40.49,3785186,ok
2020-01-30,40.29,40.785,40.205,40.51,8705585,ok
2020-01-31,41.25,42.34,39.23,39.45,7536793,ok
2020-02-03,39.58,39.995,39.27,39.29,4574490,ok
2020-02-04,39.69,40.045,39.21,39.24,5921220,ok
2020-02-05,39.61,40.02,39.3,39.81,5966888,ok
2020-02-06,39.92,40.1,39.7,39.92,3840790,ok
2020-02-07,39.76,40.03,39.58,39.81,2991634,ok
2020-02-10,39.71,40.64,39.595,40.54,5277219,ok
2020-02-11,40.66,40.97,40.605,40.76,3116899,ok
2020-02-12,40.93,41.855,40.93,41.79,5993993,ok
2020-02-13,41.55,41.56,40.78,41.13,3835676,ok
2020-02-14,41.12,41.96,41.01,41.96,4706345,ok
2020-02-18,41.98,42.36,41.51,41.99,4339440,ok
2020-02-19,42.09,42.44,41.85,41.97,4206059,ok
2020-02-20,41.82,42.41,41.68,42.24,4741166,ok
2020-02-21,42.06,42.645,41.89,42.45,12196474,ok
2020-02-24,41.67,41.835,41.03,41.63,6659828,ok
2020-02-25,41.63,41.6865,39.43,39.45,7673504,ok
2020-02-26,39.85,40.4,39.3,39.31,6226452,ok
2020-02-27,38.72,39.42,37.9,37.9,8569123,ok
2020-02-28,36.91,37.34,35.575,36.57,13381405,ok
2020-03-02,36.81,38.12,36.095,38.07,8790712,ok
2020-03-03,37.92,39.47,37.31,37.45,9620037,ok
2020-03-04,38.17,39.48,37.58,39.35,8141198,ok
2020-03-05,38.48,39.4,38.18,38.82,9336452,ok
2020-03-06,37.28,38.48,37.26,38.16,9936187,ok
2020-03-09,35.58,36.9,35.23,35.72,13133824,ok
2020-03-10,36.83,37.605,35.16,37.55,11199872,ok
2020-03-11,36.42,36.77,34.95,35.21,10216529,ok
2020-03-12,32.64,33.23,30.52,30.52,9362966,ok
2020-03-13,32.04,32.81,30.66,32.81,9801030,ok
2020-03-16,28.75,32.855,28.58,30.6,9864588,ok
2020-03-17,31.29,31.9,28.72,29.53,9708525,ok
2020-03-18,27.67,28.13,23.96,26.32,7365408,ok
2020-03-19,25.94,26.63,24.12,26.08,7761651,ok
2020-03-20,26.69,26.69,24.11,24.91,12206773,ok
2020-03-23,24.44,24.55,22.775,23.5,10135366,ok
2020-03-24,24.64,25.64,24.3,25.36,12893627,ok
2020-03-25,25.56,27.37,24.78,26.13,13131721,ok
2020-03-26,26.41,27.55,25.815,27.0,11994173,ok
2020-03-27,26.13,26.665,25.23,25.94,7731287,ok
2020-03-30,25.94,26.69,24.6602,26.49,8695865,ok
2020-03-31,26.2,27.47,25.98,26.96,8473268,ok
