Date,Open,High,Low,Close,Volume,Status
2020-01-02,180.775,182.6988,180.021,182.57,1005598,ok
2020-01-03,179.33,181.17,177.86,179.08,833408,ok
2020-01-06,176.32,177.56,174.09,175.05,1266784,ok
2020-01-07,176.14,177.77,174.3,176.44,1140522,ok
2020-01-08,176.5,178.66,175.52,176.67,883499,ok
2020-01-09,178.41,179.42,174.95,175.49,916894,ok
2020-01-10,176.41,177.43,171.95,173.01,883844,ok
2020-01-13,173.97,175.11,173.36,175.1,662421,ok
2020-01-14,175.91,178.22,174.07,177.48,1279640,ok
2020-01-15,177.09,178.7,175.85,177.92,922813,ok
2020-01-16,179.5,181.83,179.01,180.91,1197268,ok
2020-01-17,180.87,180.9,177.36,178.73,1604769,ok
2020-01-21,177.65,180.89,177.565,178.81,1571351,ok
2020-01-22,180.0,182.78,179.87,180.13,1084723,ok
2020-01-23,179.82,182.66,179.115,182.55,1056877,ok
2020-01-24,183.88,184.5,178.43,179.4,961020,ok
2020-01-27,174.77,175.23,169.85,170.31,1581385,ok
2020-01-28,172.2,176.33,171.7,175.93,938118,ok
2020-01-29,176.35,176.94,171.66,171.72,1029384,ok
2020-01-30,173.5,175.37,169.57,172.92,1447964,ok
2020-01-31,171.38,172.75,165.25,165.74,1505971,ok
2020-02-03,167.27,170.65,167.01,169.93,1181617,ok
2020-02-04,174.33,178.8,173.84,178.8,1735912,ok
2020-02-05,176.06,177.79,168.8,171.28,3113142,ok
2020-02-06,171.43,173.39,170.15,171.74,1370335,ok
2020-02-07,170.71,171.27,164.76,165.1,1492780,ok
2020-02-10,164.1,169.01,164.08,168.92,1680342,ok
2020-02-11,169.21,173.53,168.33,173.04,1268990,ok
2020-02-12,174.0,176.46,173.85,175.97,958016,ok
2020-02-13,175.68,180.08,174.91,178.72,1158098,ok
2020-02-14,179.12,179.7599,174.89,176.28,864866,ok
2020-02-18,167.0,172.0,166.67,169.23,1778465,ok
2020-02-19,172.21,174.82,171.0,172.98,1069265,ok
2020-02-20,171.74,172.42,165.67,167.3,1664537,ok
2020-02-21,165.67,166.25,160.81,161.12,1909894,ok
2020-02-24,154.75,156.8625,152.9,153.73,2649605,ok
