Date,Open,High,Low,Close,Volume,Status
2020-01-02,55.32,55.43,54.76,54.99,11099117,ok
2020-01-03,54.32,54.99,54.09,54.69,11354497,ok
2020-01-06,54.65,54.905,54.52,54.67,14698444,ok
2020-01-07,54.45,54.6,54.15,54.25,10230672,ok
2020-01-08,54.27,54.64,54.15,54.35,10676712,ok
2020-01-09,55.0,55.395,54.839,55.34,15410150,ok
2020-01-10,55.48,55.93,55.45,55.53,13041106,ok
2020-01-13,55.53,56.23,55.42,56.13,14303171,ok
2020-01-14,56.24,56.292,55.83,56.0,16347160,ok
2020-01-15,56.0,56.98,56.0,56.7,17735380,ok
2020-01-16,56.85,56.95,56.605,56.82,10234416,ok
2020-01-17,56.87,57.15,56.8,56.94,14264298,ok
2020-01-21,56.85,57.245,56.5745,57.17,11968923,ok
2020-01-22,57.25,57.64,57.1799,57.61,12869732,ok
2020-01-23,57.38,57.845,57.24,57.83,12858946,ok
2020-01-24,57.85,57.87,57.46,57.68,8594325,ok
2020-01-27,57.21,57.85,57.13,57.48,14359938,ok
2020-01-28,57.45,57.75,56.97,57.01,15240426,ok
2020-01-29,57.0,57.2571,56.66,57.01,13173958,ok
2020-01-30,57.93,58.98,57.76,58.86,20225581,ok
2020-01-31,58.97,59.075,58.145,58.4,17685226,ok
2020-02-03,58.75,58.97,58.52,58.58,12336755,ok
2020-02-04,58.75,59.45,58.62,58.84,15417924,ok
2020-02-05,58.9,59.08,58.535,58.85,11414910,ok
2020-02-06,58.98,59.34,58.84,58.99,9347024,ok
2020-02-07,58.88,59.315,58.85,59.19,8757800,ok
2020-02-10,59.32,59.84,59.285,59.75,7984915,ok
2020-02-11,59.72,59.8,59.32,59.59,7431244,ok
2020-02-12,59.48,59.765,59.315,59.41,9179101,ok
2020-02-13,59.38,59.84,59.21,59.61,8173191,ok
2020-02-14,59.63,60.07,59.62,59.95,9965811,ok
2020-02-18,59.81,59.93,59.45,59.53,10076116,ok
2020-02-19,59.51,60.0,59.47,59.77,6265794,ok
2020-02-20,59.68,59.86,59.11,59.72,7597337,ok
2020-02-21,59.51,60.13,59.43,60.13,10842358,ok
2020-02-24,59.11,59.8,58.57,58.65,14415502,ok
2020-02-25,58.7,59.2,57.62,57.82,15915089,ok
2020-02-26,57.98,58.47,57.475,57.6,15839658,ok
2020-02-27,57.15,57.89,54.88,54.93,23754008,ok
2020-02-28,53.83,53.89,51.58,53.49,40891823,ok
2020-03-02,53.93,55.96,53.7,55.92,25698629,ok
2020-03-03,56.76,57.49,55.64,56.06,27099173,ok
2020-03-04,56.41,59.0,56.41,58.92,20526142,ok
2020-03-05,57.8,58.17,56.19,56.74,17948494,ok
2020-03-06,54.94,55.91,53.98,55.26,22353925,ok
2020-03-09,52.05,53.58,51.475,51.86,27898258,ok
2020-03-10,53.22,53.795,51.17,53.66,27457400,ok
2020-03-11,52.35,52.65,51.14,52.21,22660708,ok
2020-03-12,48.54,49.93,46.69,47.16,31913103,ok
2020-03-13,49.51,49.56,46.605,48.47,33697153,ok
2020-03-16,42.24,47.88,41.17,45.26,28682285,ok
2020-03-17,45.88,47.5,45.37,47.18,32106680,ok
2020-03-18,44.74,45.15,41.59,44.85,35408291,ok
2020-03-19,44.36,44.66,41.04,41.83,41956853,ok
2020-03-20,41.95,42.07,37.51,38.3,51513503,ok
2020-03-23,38.755,38.8862,36.27,37.56,44978496,ok
2020-03-24,41.22,41.4,38.83,39.45,49096206,ok
2020-03-25,40.63,43.45,39.91,41.61,42511651,ok
2020-03-26,42.84,45.27,42.45,44.29,37828294,ok
2020-03-27,43.66,44.03,42.4,42.81,23297904,ok
2020-03-30,43.04,45.56,43.04,45.0,23445966,ok
2020-03-31,45.07,45.51,44.06,44.25,25373932,ok
2020-04-01,42.48,43.65,41.8,42.12,21936414,ok
2020-04-02,42.22,44.19,41.8623,43.95,17621881,ok
2020-04-03,43.58,44.335,43.31,43.83,14207106,ok
2020-04-06,45.39,47.01,44.69,46.67,22849977,ok
2020-04-07,48.5,48.6,46.48,46.51,21279572,ok
2020-04-08,46.64,48.09,46.33,47.82,18937133,ok
2020-04-09,48.44,49.73,48.35,49.0,19167279,ok
2020-04-13,48.35,48.64,46.5,46.93,19586015,ok
2020-04-14,47.94,49.25,46.93,48.92,21801877,ok
2020-04-15,47.71,48.4,47.41,47.61,12893170,ok
2020-04-16,47.4,47.85,46.76,47.1,17606777,ok
2020-04-17,48.3,48.3,47.37,48.06,19844640,ok
2020-04-20,47.79,48.0,46.31,46.53,18957924,ok
2020-04-21,45.88,46.9014,44.26,45.38,26863724,ok
2020-04-22,46.05,46.145,45.5,45.68,15815150,ok
2020-04-23,45.95,46.1,44.97,45.07,17668165,ok
2020-04-24,45.5,45.75,45.1201,45.43,15177581,ok
2020-04-27,46.0,46.975,45.71,46.78,19175538,ok
2020-04-28,47.9,48.0,46.57,46.74,17246696,ok
2020-04-29,47.27,47.86,46.88,47.12,15780000,ok
2020-04-30,47.0,47.0,45.7,45.89,20801092,ok
2020-05-01,45.62,46.39,45.21,45.6,14290418,ok
2020-05-04,45.32,45.48,44.6,45.14,22544162,ok
2020-05-05,45.36,46.1,45.15,45.4,13370526,ok
2020-05-06,45.4,45.63,44.72,44.75,11892890,ok
2020-05-07,45.15,45.24,44.5,44.6,16474652,ok
2020-05-08,45.08,46.22,44.88,46.11,13987843,ok
2020-05-11,45.69,46.11,45.52,45.54,10874595,ok
2020-05-12,45.6,45.85,44.8,44.82,13424424,ok
2020-05-13,44.71,44.78,43.5217,43.94,15854778,ok
2020-05-14,43.38,44.06,43.23,43.7,18000815,ok
2020-05-15,43.96,44.69,43.2,43.26,31579431,ok
2020-05-18,44.82,45.39,44.13,44.97,26122327,ok
2020-05-19,45.01,45.33,44.25,44.54,17839922,ok
2020-05-20,45.2,46.17,45.02,45.89,22295929,ok
2020-05-21,46.08,46.09,45.03,45.17,13193528,ok
2020-05-22,45.22,45.305,44.65,45.03,13008410,ok
2020-05-26,46.92,46.93,45.93,46.09,22223098,ok
2020-05-27,47.0,47.09,46.165,46.73,18447622,ok
2020-05-28,47.3,47.46,46.82,47.09,16234424,ok
2020-05-29,46.68,47.19,46.14,46.68,51129923,ok
2020-06-01,46.66,47.23,46.59,46.99,17013041,ok
2020-06-02,47.16,47.28,46.56,46.9,15255146,ok
2020-06-03,47.27,48.115,47.12,47.9,15508291,ok
2020-06-04,47.94,48.265,47.38,47.92,13604668,ok
2020-06-05,48.54,49.49,48.46,49.09,20504798,ok
