Date,Open,High,Low,Close,Volume,Status
2020-01-02,29.03,29.16,28.36,28.66,6224928,ok
2020-01-03,28.48,28.82,28.4,28.7,5442013,ok
2020-01-06,28.57,28.87,28.35,28.8,6929596,ok
2020-01-07,28.72,28.8,28.42,28.59,5882994,ok
2020-01-08,28.71,28.73,28.415,28.42,7341572,ok
2020-01-09,28.5,28.66,28.19,28.44,5725302,ok
2020-01-10,28.4,28.57,28.23,28.36,4549288,ok
2020-01-13,28.34,28.71,28.25,28.42,3796307,ok
2020-01-14,28.33,28.91,28.325,28.84,6134732,ok
2020-01-15,28.76,28.86,28.22,28.29,5676423,ok
2020-01-16,28.34,28.62,28.01,28.08,5537525,ok
2020-01-17,28.04,28.345,28.02,28.15,5614546,ok
2020-01-21,28.2,28.56,28.06,28.41,7318176,ok
2020-01-22,28.33,28.63,28.33,28.37,4821759,ok
2020-01-23,28.37,28.62,28.22,28.44,3959588,ok
2020-01-24,28.48,28.51,28.14,28.19,4642165,ok
2020-01-27,27.95,28.505,27.76,28.33,4241668,ok
2020-01-28,28.35,28.47,28.17,28.33,3323286,ok
2020-01-29,28.39,28.4,27.41,27.45,4454532,ok
2020-01-30,27.3,27.56,27.2,27.55,3938623,ok
2020-01-31,27.4,27.45,26.72,26.86,6094408,ok
2020-02-03,27.01,27.28,26.87,26.98,5321666,ok
2020-02-04,27.07,27.61,27.0304,27.39,5330313,ok
2020-02-05,27.48,28.095,27.36,28.08,5244183,ok
2020-02-06,28.23,28.3092,27.9,28.05,5524123,ok
2020-02-07,28.05,28.2603,27.865,27.96,5952030,ok
2020-02-10,28.0,28.335,27.95,28.14,4511172,ok
2020-02-11,28.2,28.47,28.13,28.44,4096259,ok
2020-02-12,28.5,28.835,28.43,28.69,4375741,ok
2020-02-13,28.52,28.78,28.43,28.63,3682140,ok
2020-02-14,28.5,28.71,28.08,28.23,4807850,ok
2020-02-18,29.8,30.73,29.35,29.71,16001563,ok
2020-02-19,29.97,30.2,29.38,29.54,7528095,ok
2020-02-20,29.36,29.8,29.14,29.78,6187456,ok
2020-02-21,29.8,30.515,29.78,30.31,9065337,ok
2020-02-24,29.92,30.64,29.88,30.27,7668598,ok
2020-02-25,30.37,30.42,29.59,29.67,7335175,ok
2020-02-26,29.88,29.88,28.62,28.75,7565988,ok
2020-02-27,28.55,29.295,28.33,28.36,8376577,ok
2020-02-28,28.0,28.18,27.06,28.13,13514392,ok
2020-03-02,28.44,29.69,28.28,29.68,11951134,ok
2020-03-03,29.52,30.42,28.97,29.34,10566915,ok
2020-03-04,29.68,30.97,29.65,30.96,9597759,ok
2020-03-05,30.65,33.7,30.4305,33.47,25208114,ok
2020-03-06,32.72,32.99,31.51,32.04,14613601,ok
2020-03-09,30.68,31.7,30.0,31.25,13149889,ok
2020-03-10,31.3,32.75,31.18,32.6,16506566,ok
2020-03-11,31.81,32.26,30.07,30.59,12935307,ok
2020-03-12,28.6,30.38,28.37,29.12,15294030,ok
2020-03-13,30.54,30.98,28.25,30.71,16518294,ok
2020-03-16,29.33,33.21,29.0,31.1,24770336,ok
2020-03-17,31.81,34.94,30.9065,33.0,25167921,ok
2020-03-18,33.65,36.84,32.51,33.91,25779350,ok
2020-03-19,35.75,36.5,33.41,34.18,16699288,ok
2020-03-20,34.25,34.25,31.03,31.77,21979240,ok
2020-03-23,31.78,32.72,30.77,31.08,13199886,ok
2020-03-24,31.5,31.68,29.42,30.15,13695016,ok
2020-03-25,29.99,30.19,27.82,27.94,20520977,ok
2020-03-26,28.0,29.18,27.33,29.0,18245412,ok
2020-03-27,29.29,29.9,28.55,29.13,14993045,ok
2020-03-30,30.0,30.36,29.12,29.65,12973072,ok
2020-03-31,29.58,30.26,29.1,30.12,17225249,ok
2020-04-01,30.3,31.78,29.83,30.5,17162572,ok
2020-04-02,30.23,31.99,29.85,31.6,18951464,ok
2020-04-03,31.61,32.84,31.6,32.29,14538920,ok
2020-04-06,32.3,32.76,31.28,32.63,15549187,ok
2020-04-07,31.46,32.5,30.57,31.86,16983054,ok
2020-04-08,31.71,31.95,30.72,31.02,18720658,ok
2020-04-09,30.33,31.295,30.01,31.06,17331683,ok
2020-04-13,31.2,32.225,31.05,31.33,13509353,ok
2020-04-14,32.05,32.37,31.57,32.09,13328057,ok
2020-04-15,32.37,32.49,31.065,32.03,16203232,ok
2020-04-16,32.05,32.635,31.84,31.95,14498738,ok
2020-04-17,31.85,32.13,30.885,31.93,15774551,ok
2020-04-20,32.1,32.62,31.74,31.93,11003147,ok
2020-04-21,32.17,32.6,31.74,32.17,14815434,ok
2020-04-22,32.33,32.61,32.075,32.31,9433382,ok
2020-04-23,32.05,33.1,31.96,32.88,11731664,ok
2020-04-24,33.02,33.11,32.47,32.96,9342441,ok
