Date,Open,High,Low,Close,Volume,Status
2020-01-02,153.94,155.48,153.2215,155.45,713487,ok
2020-01-03,152.95,155.4,152.95,155.26,1053077,ok
2020-01-06,154.17,154.89,152.88,154.89,876993,ok
2020-01-07,154.47,157.3,154.42,155.35,1789998,ok
2020-01-08,155.58,159.35,155.58,158.76,1962360,ok
2020-01-09,158.99,161.59,158.87,159.91,1652823,ok
2020-01-10,159.75,160.01,157.97,158.25,1135811,ok
2020-01-13,158.34,160.29,157.3,160.15,842416,ok
2020-01-14,160.61,161.73,158.36,159.31,1990461,ok
2020-01-15,159.62,160.38,158.47,159.71,1259144,ok
2020-01-16,160.53,162.15,160.07,161.63,1966950,ok
2020-01-17,160.73,168.81,159.5,166.52,3566331,ok
2020-01-21,166.52,168.43,164.3818,165.46,1258047,ok
2020-01-22,164.8,166.54,163.69,164.81,1057802,ok
2020-01-23,164.24,166.83,163.525,166.73,1582566,ok
2020-01-24,167.0,168.17,165.72,166.58,697266,ok
2020-01-27,163.55,165.2,163.28,164.08,993567,ok
2020-01-28,165.66,168.33,164.885,167.52,1135636,ok
2020-01-29,168.98,170.74,168.33,169.7,1023733,ok
2020-01-30,167.52,170.89,164.85,170.65,974107,ok
2020-01-31,169.9,170.2,168.58,168.69,1121305,ok
2020-02-03,169.88,171.67,169.18,171.45,940600,ok
2020-02-04,173.79,175.1,172.25,172.49,867597,ok
2020-02-05,173.35,173.99,170.72,172.64,1160360,ok
2020-02-06,172.54,172.79,170.64,171.99,807714,ok
2020-02-07,171.65,172.06,169.9,171.86,815045,ok
2020-02-10,170.85,172.08,169.75,172.0,868270,ok
2020-02-11,173.02,173.5,169.71,170.24,677842,ok
2020-02-12,170.29,171.705,168.781,170.78,801482,ok
2020-02-13,170.32,173.91,170.32,173.46,1082825,ok
2020-02-14,173.21,175.08,172.895,173.64,917688,ok
2020-02-18,173.53,177.93,173.465,177.2,1083970,ok
2020-02-19,177.64,178.59,174.61,176.39,678591,ok
2020-02-20,176.3,177.35,174.2101,175.97,622784,ok
2020-02-21,175.13,176.06,173.32,174.23,598837,ok
2020-02-24,169.37,170.71,166.87,167.33,1416719,ok
2020-02-25,168.05,168.05,160.6601,161.44,1325963,ok
2020-02-26,162.05,164.29,160.8,160.81,1664328,ok
2020-02-27,156.36,159.21,152.34,152.34,1949571,ok
2020-02-28,147.37,151.04,143.22,150.68,1951327,ok
2020-03-02,151.57,156.02,147.5,155.06,2078605,ok
2020-03-03,155.51,159.61,150.45,152.27,1486520,ok
2020-03-04,155.45,158.99,153.085,158.63,1481629,ok
2020-03-05,154.66,156.57,153.155,154.02,1551130,ok
2020-03-06,147.18,150.63,144.73,147.08,2412180,ok
2020-03-09,135.41,136.31,124.49,124.74,2727268,ok
2020-03-10,129.14,131.07,123.99,129.95,3341006,ok
2020-03-11,126.21,130.78,124.96,129.23,2211250,ok
2020-03-12,119.65,124.1,109.85,114.55,2104215,ok
2020-03-13,121.03,127.8,118.82,127.61,1444928,ok
2020-03-16,115.06,122.24,110.79,114.21,1767676,ok
2020-03-17,116.59,126.22,112.16,121.2,1898804,ok
2020-03-18,113.0,116.04,92.86,109.32,1663921,ok
2020-03-19,108.48,119.29,105.63,116.42,1164617,ok
2020-03-20,118.6,120.78,107.33,108.52,1493905,ok
2020-03-23,105.74,107.43,96.23,100.54,2207871,ok
2020-03-24,106.7,123.62,105.855,122.36,1401459,ok
2020-03-25,123.06,138.97,122.37,130.14,2493310,ok
2020-03-26,133.4,135.365,128.11,133.48,1535177,ok
2020-03-27,127.01,131.405,121.3,127.96,1345357,ok
2020-03-30,128.36,131.87,125.02,129.38,1261161,ok
2020-03-31,128.06,130.81,123.825,127.18,1960387,ok
2020-04-01,119.18,122.88,115.9,122.13,1392154,ok
2020-04-02,117.36,122.53,116.3,121.0,1607177,ok
2020-04-03,120.87,124.34,119.9162,123.0,1461663,ok
2020-04-06,129.89,135.46,129.47,134.51,1409390,ok
2020-04-07,140.7,142.14,135.52,138.1,2298905,ok
2020-04-08,139.59,141.32,138.0,139.75,1679192,ok
2020-04-09,132.17,141.46,132.17,136.6,2242182,ok
2020-04-13,135.63,137.44,134.77,136.58,1086404,ok
2020-04-14,139.1,141.77,138.44,139.34,1006155,ok
2020-04-15,135.87,137.81,131.64,134.16,870563,ok
2020-04-16,134.2,136.06,131.24,135.0,1323225,ok
2020-04-17,143.78,145.9,137.21,139.36,1506959,ok
2020-04-20,135.75,136.69,127.465,131.23,1804496,ok
2020-04-21,127.78,132.76,125.51,131.01,1263181,ok
2020-04-22,133.5,134.31,128.55,129.34,1071812,ok
2020-04-23,131.66,133.07,128.62,128.83,1336390,ok
2020-04-24,130.97,132.32,126.52,131.41,1285911,ok
2020-04-27,133.96,134.18,130.01,131.83,1882345,ok
2020-04-28,134.69,136.7975,133.0,133.3,1354126,ok
2020-04-29,136.29,137.23,134.47,136.0,1436180,ok
2020-04-30,134.0,135.43,130.53,130.55,1733454,ok
2020-05-01,128.18,128.84,125.94,128.36,980064,ok
2020-05-04,126.81,127.21,122.35,123.93,2138450,ok
2020-05-05,126.87,127.5625,124.6,125.4,2038109,ok
2020-05-06,126.24,127.47,125.05,127.25,1114897,ok
2020-05-07,128.8,133.55,128.8,131.33,1286138,ok
2020-05-08,133.64,136.98,133.64,136.63,1045223,ok
2020-05-11,134.49,137.02,133.87,134.2,946088,ok
2020-05-12,134.34,136.115,132.17,132.17,944490,ok
2020-05-13,131.85,135.31,131.02,134.95,1452102,ok
2020-05-14,132.88,134.21,128.8,134.11,1009611,ok
2020-05-15,132.78,136.41,132.33,133.85,945146,ok
2020-05-18,138.62,143.18,138.6,138.98,1058369,ok
2020-05-19,138.46,144.11,138.45,142.62,1298991,ok
2020-05-20,144.6,149.94,144.6,148.74,1535336,ok
2020-05-21,147.71,148.57,145.71,146.34,972061,ok
2020-05-22,146.43,147.93,144.7902,147.25,783688,ok
2020-05-26,153.09,154.37,150.77,153.54,825852,ok
2020-05-27,155.32,157.74,152.97,154.75,1143149,ok
2020-05-28,156.4,156.95,151.925,152.17,1033582,ok
2020-05-29,151.22,151.865,149.5,150.52,1605080,ok
2020-06-01,150.94,150.99,148.08,149.27,827467,ok
2020-06-02,150.5,152.227,149.2,149.31,1098610,ok
2020-06-03,151.45,155.42,151.36,154.4,1112783,ok
2020-06-04,153.02,156.28,152.885,155.38,785733,ok
2020-06-05,159.45,164.27,159.03,162.56,1382293,ok
2020-06-08,162.03,163.96,158.17,159.44,1277346,ok
2020-06-09,155.65,159.95,154.5,158.17,811604,ok
