Date,Open,High,Low,Close,Volume,Status
2020-01-02,51.07,51.297,49.94,50.34,1385726,ok
2020-01-03,49.59,50.13,49.435,49.78,1174168,ok
2020-01-06,49.46,50.0,49.04,50.0,921703,ok
2020-01-07,50.25,50.25,49.12,49.33,913090,ok
2020-01-08,49.3,50.02,49.22,49.58,936932,ok
2020-01-09,49.83,49.85,49.12,49.67,977086,ok
2020-01-10,49.71,49.84,49.37,49.45,842701,ok
2020-01-13,49.56,50.565,49.437,50.51,880339,ok
2020-01-14,50.54,50.92,50.29,50.67,958751,ok
2020-01-15,50.6,51.21,50.54,50.99,799311,ok
2020-01-16,51.4,51.74,51.24,51.58,816896,ok
2020-01-17,51.68,51.76,50.99,51.2,971988,ok
2020-01-21,50.91,51.43,50.5704,51.14,841530,ok
2020-01-22,51.31,51.59,51.04,51.44,748486,ok
2020-01-23,51.16,51.346,50.26,51.31,1115198,ok
2020-01-24,51.35,51.57,50.56,50.88,828876,ok
2020-01-27,50.24,50.24,49.33,49.69,1553598,ok
2020-01-28,50.0,50.51,49.46,50.21,1085748,ok
2020-01-29,50.4,50.4,49.33,49.36,863630,ok
2020-01-30,48.86,49.38,48.56,49.37,941662,ok
2020-01-31,49.33,49.33,47.5,47.59,5575725,ok
2020-02-03,47.77,48.73,46.63,46.96,2926681,ok
2020-02-04,48.0,48.54,45.8,47.53,2813609,ok
2020-02-05,47.5,48.17,45.85,46.88,1764978,ok
2020-02-06,47.24,47.24,46.25,46.41,1110841,ok
2020-02-07,46.13,46.23,44.96,45.09,933443,ok
2020-02-10,45.02,45.37,44.7,44.92,826082,ok
2020-02-11,45.05,45.83,45.04,45.48,821516,ok
2020-02-12,45.65,46.14,45.62,46.08,574941,ok
2020-02-13,45.69,45.88,45.42,45.46,565514,ok
2020-02-14,45.4,45.63,45.12,45.6,478689,ok
2020-02-18,45.32,45.66,44.47,45.06,689888,ok
2020-02-19,45.22,45.53,44.94,44.98,573429,ok
2020-02-20,44.9,45.35,44.67,45.19,562158,ok
2020-02-21,44.83,45.07,44.48,44.65,966452,ok
2020-02-24,43.27,43.57,42.79,43.15,1561567,ok
2020-02-25,43.4,43.44,41.32,41.53,1141206,ok
2020-02-26,41.71,42.105,40.7,40.71,1417960,ok
2020-02-27,39.97,41.53,39.12,39.15,1660923,ok
2020-02-28,38.46,39.8509,38.1973,39.66,2470394,ok
2020-03-02,39.7,40.29,38.34,40.25,1300775,ok
2020-03-03,40.18,41.6599,38.67,39.14,1066975,ok
2020-03-04,39.82,40.52,39.13,40.51,618059,ok
2020-03-05,39.18,39.47,37.91,38.26,1117204,ok
2020-03-06,37.07,38.01,36.83,37.76,1405590,ok
2020-03-09,35.91,36.62,33.81,34.06,1178705,ok
2020-03-10,35.55,36.8,33.72,36.57,1253827,ok
2020-03-11,35.37,35.725,33.94,34.3,1420180,ok
2020-03-12,31.83,31.83,29.665,29.73,1333348,ok
2020-03-13,31.52,32.47,29.445,32.44,1694828,ok
2020-03-16,29.44,31.55,27.25,27.45,2258201,ok
2020-03-17,28.12,28.87,25.85,28.11,2125644,ok
2020-03-18,26.07,26.5402,22.13,23.85,1463417,ok
2020-03-19,23.58,26.82,22.11,26.15,1976619,ok
2020-03-20,26.79,27.0,23.79,23.84,1580180,ok
2020-03-23,23.77,24.82,22.03,22.47,1550270,ok
2020-03-24,23.93,26.7,23.8586,26.49,1040871,ok
2020-03-25,26.77,28.8,25.5,27.62,1291560,ok
2020-03-26,27.96,30.48,27.29,30.31,1405362,ok
2020-03-27,28.44,28.89,26.72,27.95,1155607,ok
2020-03-30,28.06,28.57,27.07,28.07,982249,ok
2020-03-31,27.69,27.98,26.4107,26.68,1571922,ok
2020-04-01,25.5,25.67,24.08,24.42,1351577,ok
2020-04-02,24.18,25.0314,23.56,24.21,1602758,ok
2020-04-03,23.41,23.91,22.27,22.72,1552224,ok
2020-04-06,24.21,25.8608,24.12,25.33,1489990,ok
2020-04-07,27.04,28.16,26.11,26.56,1527292,ok
2020-04-08,26.79,29.12,26.71,28.77,1281630,ok
2020-04-09,29.68,30.67,29.11,29.88,1669191,ok
2020-04-13,29.57,29.59,27.78,28.68,957410,ok
2020-04-14,28.88,29.6594,28.62,29.02,1077924,ok
2020-04-15,27.61,27.64,26.07,26.4,1185037,ok
2020-04-16,26.68,26.99,25.5,26.76,1173569,ok
2020-04-17,28.33,29.3,28.32,28.89,1233375,ok
2020-04-20,27.98,28.74,27.34,27.47,1113257,ok
2020-04-21,26.72,27.38,26.38,26.99,836408,ok
2020-04-22,27.72,27.99,27.18,27.44,1091887,ok
2020-04-23,27.87,29.38,27.69,28.83,1490576,ok
2020-04-24,29.02,30.2,29.02,29.88,2674772,ok
2020-04-27,30.21,32.8,30.21,32.29,1700414,ok
2020-04-28,33.26,34.55,32.98,33.74,1494238,ok
2020-04-29,35.18,36.12,34.8321,36.02,1790262,ok
2020-04-30,34.73,35.73,34.395,35.13,8035345,ok
2020-05-01,34.08,34.35,33.03,33.75,1380012,ok
2020-05-04,32.94,34.08,32.18,34.06,1780091,ok
2020-05-05,34.04,34.58,30.19,30.34,3220505,ok
2020-05-06,30.61,31.2,27.64,27.76,3615755,ok
2020-05-07,28.25,29.17,26.67,26.87,3771949,ok
2020-05-08,27.6,29.91,27.53,29.8,2371743,ok
2020-05-11,29.27,29.33,27.34,28.47,1636711,ok
2020-05-12,28.7,29.0,27.11,27.11,1539982,ok
2020-05-13,26.5,26.89,24.31,24.62,2055745,ok
2020-05-14,25.07,27.14,24.01,27.03,2257513,ok
2020-05-15,26.26,27.24,25.67,26.61,1834631,ok
2020-05-18,29.27,30.75,28.98,30.44,2160392,ok
2020-05-19,29.69,29.98,28.52,28.55,1080803,ok
2020-05-20,29.13,29.92,28.93,29.62,1128697,ok
2020-05-21,29.43,30.19,29.25,29.72,759130,ok
2020-05-22,29.62,30.01,28.97,29.99,1249795,ok
2020-05-26,31.82,32.3631,31.21,31.67,1698459,ok
2020-05-27,33.1,33.815,32.43,33.79,1687900,ok
2020-05-28,34.16,34.3,32.04,32.14,1745697,ok
2020-05-29,31.61,31.92,30.22,30.59,8145885,ok
2020-06-01,30.77,32.08,30.5714,31.79,1409998,ok
2020-06-02,31.81,32.655,31.81,32.39,1340675,ok
2020-06-03,33.16,35.5,33.16,35.12,1755534,ok
2020-06-04,34.68,35.83,33.96,35.77,1298188,ok
2020-06-05,39.14,39.24,36.94,37.15,1791010,ok
2020-06-08,37.78,38.82,37.62,38.6,1715263,ok
2020-06-09,37.63,37.99,37.06,37.64,1373414,ok
2020-06-10,37.39,37.65,35.71,35.98,1676960,ok
2020-06-11,32.94,34.39,32.79,33.22,2152528,ok
2020-06-12,34.36,34.83,31.88,32.82,1228638,ok
2020-06-15,31.25,34.01,31.1,33.74,968497,ok
2020-06-16,35.43,35.78,34.1,35.21,1296424,ok
2020-06-17,35.53,35.57,34.12,34.26,659177,ok
2020-06-18,33.75,34.74,33.5,34.61,1389924,ok
2020-06-19,35.32,35.55,33.36,33.92,2881912,ok
2020-06-22,33.6,34.13,32.88,33.9,790362,ok
2020-06-23,34.56,35.75,34.32,35.52,1226760,ok
2020-06-24,34.86,35.015,33.26,33.76,1816850,ok
2020-06-25,33.35,33.81,32.775,33.49,1165610,ok
2020-06-26,33.14,33.4,32.24,32.43,1315913,ok
2020-06-29,32.79,34.63,32.66,34.61,666356,ok
2020-06-30,34.45,35.36,34.21,35.15,1273918,ok
2020-07-01,35.04,35.94,34.36,34.38,1341511,ok
2020-07-02,35.25,35.92,34.13,34.34,693718,ok
2020-07-06,35.34,35.555,34.39,35.21,843079,ok
2020-07-07,34.79,35.28,34.55,35.09,1168669,ok
2020-07-08,35.18,36.26,34.97,36.08,1539929,ok
2020-07-09,35.99,35.99,33.175,33.51,1561312,ok
2020-07-10,33.59,34.92,33.41,34.9,973686,ok
2020-07-13,35.26,35.85,34.39,34.7,882659,ok
2020-07-14,34.6,35.46,34.18,35.44,964134,ok
2020-07-15,36.74,37.79,36.39,37.52,1104573,ok
2020-07-16,37.03,38.4,36.97,37.38,802259,ok
2020-07-17,37.48,37.64,36.51,36.54,926556,ok
2020-07-20,36.39,36.87,35.51,35.69,761619,ok
2020-07-21,35.73,36.55,35.64,35.8,748930,ok
