Date,Open,High,Low,Close,Volume,Status
2020-01-02,213.58,214.4459,210.46,210.74,2316757,ok
2020-01-03,207.4,209.05,205.17,205.26,2899274,ok
2020-01-06,204.6,206.3457,204.19,204.39,2397233,ok
2020-01-07,204.81,206.75,204.25,204.83,2591055,ok
2020-01-08,205.27,208.185,205.1,207.39,1327341,ok
2020-01-09,208.08,209.7399,207.81,208.85,1086061,ok
2020-01-10,210.74,211.825,208.93,209.08,1217575,ok
2020-01-13,209.79,211.93,209.33,211.8,1225710,ok
2020-01-14,211.27,212.12,209.14,209.96,2107343,ok
2020-01-15,210.99,212.08,210.35,211.44,1078220,ok
2020-01-16,212.88,213.07,211.78,213.06,1302600,ok
2020-01-17,213.19,214.42,212.84,214.1,1903666,ok
2020-01-21,211.7,212.74,211.18,211.73,1384595,ok
2020-01-22,211.2,211.95,210.45,211.08,966943,ok
2020-01-23,208.42,209.65,207.52,209.62,1400735,ok
2020-01-24,210.0,212.3,208.82,209.99,1541574,ok
2020-01-27,205.22,206.2986,204.0872,204.88,1947799,ok
2020-01-28,205.43,208.93,205.18,207.88,1229441,ok
2020-01-29,208.13,209.4396,207.66,208.23,982718,ok
2020-01-30,206.47,208.57,205.46,208.23,1381321,ok
2020-01-31,205.63,206.34,202.97,203.13,1909667,ok
2020-02-03,203.77,210.05,203.58,209.44,2912331,ok
2020-02-04,210.81,214.85,210.62,213.5,2369442,ok
2020-02-05,217.12,217.12,213.26,216.74,2970403,ok
2020-02-06,216.79,217.42,215.07,216.75,2234219,ok
2020-02-07,214.78,215.69,212.73,214.16,995283,ok
2020-02-10,214.89,215.73,214.12,215.44,1435573,ok
2020-02-11,217.58,218.84,215.98,216.22,1385718,ok
2020-02-12,217.12,217.42,215.51,217.2,1237977,ok
2020-02-13,222.3,227.85,221.14,221.26,2231949,ok
2020-02-14,221.64,223.1,221.22,222.64,1280266,ok
2020-02-18,224.04,224.59,222.87,223.55,1524665,ok
2020-02-19,223.02,223.55,221.87,222.48,1590105,ok
