Date,Open,High,Low,Close,Volume,Status
2020-01-02,392.86,399.37,390.95,399.37,1149985,ok
2020-01-03,404.02,417.17,403.0,413.74,2990531,ok
2020-01-06,417.99,417.99,407.69,413.11,2478943,ok
2020-01-07,411.25,416.12,408.29,414.5,1081521,ok
2020-01-08,417.06,418.1803,409.72,411.03,1709701,ok
2020-01-09,410.49,416.0,410.0,414.93,1064337,ok
2020-01-10,415.0,415.6,412.48,413.83,987835,ok
2020-01-13,414.94,420.96,414.6601,419.02,986889,ok
2020-01-14,417.59,418.27,415.0669,416.14,967466,ok
2020-01-15,416.42,421.48,416.14,420.95,833271,ok
2020-01-16,423.13,425.74,420.67,425.7,1085567,ok
2020-01-17,426.61,427.54,424.5,425.66,1195646,ok
2020-01-21,424.42,427.78,423.01,426.15,1071421,ok
2020-01-22,427.5,428.4976,424.36,424.42,919041,ok
2020-01-23,424.06,429.56,424.0,428.78,978485,ok
2020-01-24,429.9,433.522,429.69,432.5,1087074,ok
2020-01-27,425.86,434.45,425.86,432.38,1737869,ok
2020-01-28,434.77,438.99,426.27,437.17,2063247,ok
2020-01-29,437.72,437.99,431.02,433.84,1268927,ok
2020-01-30,430.3435,437.0,430.34,435.9,1210345,ok
2020-01-31,434.93,435.57,426.1,428.12,1650244,ok
2020-02-03,429.52,430.0,422.04,423.86,1795998,ok
2020-02-04,425.46,431.99,425.46,430.78,1216258,ok
2020-02-05,433.32,435.92,429.02,435.19,1251783,ok
2020-02-06,435.56,439.86,434.9131,438.97,833514,ok
2020-02-07,438.14,441.21,437.29,439.17,883793,ok
2020-02-10,439.0,441.52,437.82,439.76,870420,ok
2020-02-11,441.36,442.5322,437.47,439.85,744852,ok
2020-02-12,439.01,439.69,434.6,436.6,1419473,ok
2020-02-13,435.8,439.29,434.3,434.7,800252,ok
2020-02-14,434.98,438.47,434.31,437.85,948768,ok
2020-02-18,437.0,438.95,434.01,435.55,776502,ok
2020-02-19,437.0,438.27,434.4,434.48,787230,ok
2020-02-20,433.63,434.99,424.1562,425.97,1190564,ok
2020-02-21,425.12,428.72,422.66,427.8,1055800,ok
2020-02-24,419.65,424.2,418.1,419.35,1117774,ok
2020-02-25,420.1,421.73,397.53,400.36,1600075,ok
2020-02-26,400.31,410.52,399.34,400.9,1678581,ok
2020-02-27,393.52,399.01,384.33,384.6,1894460,ok
2020-02-28,369.86,373.82,360.34,369.87,3364321,ok
2020-03-02,371.35,383.1,360.57,381.35,2859878,ok
2020-03-03,384.84,396.9,376.59,377.4,2531514,ok
2020-03-04,385.42,402.96,383.185,402.03,2025808,ok
2020-03-05,393.92,397.85,382.22,384.7,1967451,ok
2020-03-06,372.09,384.95,368.4631,382.47,2161008,ok
2020-03-09,359.98,369.47,351.27,352.03,3086724,ok
2020-03-10,363.01,367.67,350.6,367.17,2505975,ok
2020-03-11,356.57,365.89,349.79,356.93,1951466,ok
2020-03-12,322.0,339.42,310.08,311.38,3892633,ok
2020-03-13,327.33,329.16,303.1,328.59,3877770,ok
2020-03-16,295.01,311.5615,285.0,287.94,2351530,ok
2020-03-17,293.0,319.47,287.15,318.83,2626228,ok
2020-03-18,296.92,339.23,296.04,333.41,3589404,ok
2020-03-19,333.41,334.1,311.205,314.2,2836722,ok
2020-03-20,314.2,315.84,288.21,291.22,3040087,ok
2020-03-23,285.0,287.06,266.11,276.8,3172086,ok
2020-03-24,287.97,294.99,280.241,288.91,3088354,ok
2020-03-25,300.62,329.82,293.61,319.67,2950520,ok
2020-03-26,326.0,352.1,324.0116,350.33,2681161,ok
2020-03-27,339.99,365.09,335.01,348.38,3562975,ok
2020-03-30,351.49,356.48,342.2794,348.85,1756317,ok
2020-03-31,344.81,346.9173,336.24,338.95,2169674,ok
2020-04-01,324.83,340.99,322.0101,338.52,2082566,ok
2020-04-02,335.25,354.0,334.545,353.96,1896286,ok
2020-04-03,352.0,355.84,349.61,350.5,2113228,ok
2020-04-06,361.91,369.95,361.91,367.95,2525354,ok
2020-04-07,380.5,381.9,354.05,355.28,2101620,ok
2020-04-08,361.37,372.65,358.59,361.41,1447756,ok
2020-04-09,369.74,376.325,363.52,371.0,1629395,ok
2020-04-13,370.95,373.9899,365.71,369.94,1237455,ok
2020-04-14,378.29,386.58,374.5509,380.03,1653386,ok
2020-04-15,376.75,376.75,367.36,374.38,1251454,ok
2020-04-16,373.61,381.295,372.5001,377.88,1568405,ok
2020-04-17,387.42,402.45,384.83,401.51,1768381,ok
2020-04-20,394.08,399.968,383.21,383.21,1487184,ok
2020-04-21,383.01,392.54,371.01,373.44,2041994,ok
2020-04-22,383.49,383.94,375.328,380.4,1188744,ok
2020-04-23,382.75,384.8671,376.185,376.73,1164387,ok
2020-04-24,378.72,384.057,372.9798,381.77,1029269,ok
2020-04-27,383.91,384.04,378.0,378.57,1457366,ok
2020-04-28,381.86,387.83,380.42,384.73,1314033,ok
2020-04-29,388.16,393.506,379.5,387.91,1500637,ok
2020-04-30,383.1,391.44,380.44,389.06,1343303,ok
2020-05-01,385.64,387.41,381.09,383.47,911670,ok
2020-05-04,382.02,382.97,374.13,380.16,1078298,ok
2020-05-05,382.41,392.78,381.59,390.3,1271196,ok
2020-05-06,390.89,390.89,378.41,378.58,1089821,ok
2020-05-07,383.01,384.13,376.0,376.54,1462008,ok
2020-05-08,378.03,381.13,376.25,378.4,1130673,ok
2020-05-11,375.0,379.5,374.14,376.56,1288199,ok
2020-05-12,378.0,382.44,371.03,371.11,1448022,ok
2020-05-13,371.28,372.46,362.01,364.18,1287444,ok
2020-05-14,360.99,361.54,352.26,356.28,1776414,ok
2020-05-15,352.53,361.51,352.32,360.4,1854733,ok
2020-05-18,371.21,380.4921,366.02,377.54,1879761,ok
2020-05-19,378.07,382.46,371.24,371.48,1087518,ok
2020-05-20,372.44,374.0,362.11,362.51,1880508,ok
2020-05-21,362.69,370.025,362.6,368.82,1179171,ok
2020-05-22,369.86,370.1595,365.62,369.0,752632,ok
2020-05-26,376.95,376.95,370.57,372.2,1596081,ok
2020-05-27,376.78,397.12,376.575,397.12,1986894,ok
2020-05-28,401.46,404.2619,398.16,398.44,1488858,ok
2020-05-29,396.04,396.235,384.77,388.44,1734084,ok
2020-06-01,388.94,394.0,387.31,388.96,1090489,ok
2020-06-02,388.64,393.23,386.99,389.77,1404816,ok
2020-06-03,393.65,403.6,392.59,402.63,1382257,ok
2020-06-04,401.78,404.8697,399.0,403.67,1261970,ok
2020-06-05,410.0,416.0,406.45,410.75,1702784,ok
2020-06-08,415.0,417.62,411.745,414.3,1294898,ok
2020-06-09,410.53,411.94,407.0,408.56,1188452,ok
2020-06-10,406.5,409.095,403.4503,403.77,1188244,ok
2020-06-11,392.69,397.31,383.57,383.88,1698839,ok
2020-06-12,393.33,394.425,376.47,381.87,1788398,ok
2020-06-15,373.28,377.1525,367.5501,373.28,2273477,ok
2020-06-16,386.56,391.79,379.58,382.77,2038769,ok
2020-06-17,382.5,386.235,376.92,382.11,1519042,ok
2020-06-18,379.68,381.32,376.07,378.39,1561989,ok
2020-06-19,383.34,383.59,372.0,372.2,4318735,ok
2020-06-22,372.26,376.84,370.44,375.96,1370570,ok
2020-06-23,378.25,378.78,371.0375,371.7,1469289,ok
2020-06-24,370.9,371.23,358.32,359.82,2302816,ok
2020-06-25,357.86,363.31,353.33,362.82,1391683,ok
2020-06-26,359.56,367.42,355.01,356.76,2008720,ok
2020-06-29,360.39,367.5,359.49,367.5,1073214,ok
2020-06-30,365.35,367.25,362.41,364.92,1482412,ok
2020-07-01,366.34,368.29,360.31,360.42,1430254,ok
2020-07-02,363.53,366.0699,360.69,362.0,1395968,ok
