Date,Open,High,Low,Close,Volume,Status
2020-01-02,59.4,59.85,58.9,59.75,2347629,ok
2020-01-03,58.74,58.87,57.62,57.97,1597786,ok
2020-01-06,57.25,57.79,56.83,57.48,1815436,ok
2020-01-07,58.0,58.25,57.6,58.12,1810428,ok
2020-01-08,58.36,59.87,58.14,59.02,2376324,ok
2020-01-09,59.32,59.71,58.78,59.56,1548051,ok
2020-01-10,59.54,59.64,58.82,58.98,1371190,ok
2020-01-13,59.25,59.39,58.84,59.17,1026380,ok
2020-01-14,59.03,60.11,58.93,59.22,2009933,ok
2020-01-15,58.55,59.18,57.965,58.24,1243901,ok
2020-01-16,58.75,59.42,58.45,59.2,1534336,ok
2020-01-17,59.34,60.145,59.15,60.04,1393607,ok
2020-01-21,59.41,59.4749,58.41,58.53,1302056,ok
2020-01-22,58.75,59.01,58.47,58.72,768216,ok
2020-01-23,58.08,58.55,57.21,58.33,1307662,ok
2020-01-24,58.34,58.34,55.94,56.55,1669048,ok
2020-01-27,54.87,55.31,54.54,54.65,1451001,ok
2020-01-28,55.21,56.09,54.84,55.61,1107031,ok
2020-01-29,55.92,56.05,55.06,55.07,1075520,ok
2020-01-30,54.16,56.11,54.01,56.08,1427758,ok
2020-01-31,55.15,55.54,54.11,54.48,1317261,ok
2020-02-03,54.92,55.83,54.4,54.42,1634048,ok
2020-02-04,55.72,56.28,55.5,55.68,1147171,ok
2020-02-05,56.97,58.15,56.91,57.99,1454260,ok
2020-02-06,60.0,60.61,59.09,59.37,2613980,ok
2020-02-07,58.55,59.77,58.55,59.46,1857337,ok
2020-02-10,59.16,59.82,58.77,59.71,1499065,ok
2020-02-11,60.07,61.51,60.02,60.55,1581081,ok
2020-02-12,61.08,61.79,60.86,60.98,1691242,ok
2020-02-13,60.5,61.31,60.48,61.17,1393807,ok
2020-02-14,61.2,61.68,60.64,61.11,1520448,ok
2020-02-18,60.55,61.17,59.66,60.17,1577346,ok
2020-02-19,60.34,61.11,60.29,60.86,1646986,ok
2020-02-20,60.56,61.96,60.515,61.03,1426501,ok
2020-02-21,60.22,60.575,59.33,59.77,1774183,ok
2020-02-24,57.09,57.27,54.25,55.1,2754196,ok
2020-02-25,55.26,55.28,51.67,52.1,2554088,ok
2020-02-26,52.75,52.88,51.16,51.18,2380643,ok
2020-02-27,49.52,50.38,47.72,47.73,2824838,ok
2020-02-28,45.87,47.02,44.03,45.39,3919400,ok
2020-03-02,45.79,48.28,44.84,48.28,3389241,ok
2020-03-03,48.08,48.7115,44.15,44.25,3110221,ok
2020-03-04,45.24,45.25,42.81,45.0,3164977,ok
2020-03-05,43.05,43.37,40.71,41.17,2213715,ok
2020-03-06,38.84,40.16,37.13,38.12,3666177,ok
2020-03-09,34.41,35.42,30.5,31.71,4637259,ok
2020-03-10,35.38,37.15,33.2,35.5,6362769,ok
2020-03-11,33.59,34.09,31.29,31.87,3329435,ok
2020-03-12,28.73,29.3,23.26,23.37,6204273,ok
2020-03-13,26.15,28.86,23.67,28.86,4789735,ok
2020-03-16,21.78,25.4,21.45,21.67,4148415,ok
2020-03-17,22.46,23.38,19.31,22.91,4480637,ok
2020-03-18,20.05,21.99,16.95,19.74,4407996,ok
2020-03-19,19.12,20.85,17.34,19.22,3806182,ok
2020-03-20,19.47,20.2941,16.96,17.06,4474631,ok
2020-03-23,17.05,17.705,16.1105,17.35,5804092,ok
2020-03-24,19.09,23.135,18.7801,22.85,5354207,ok
2020-03-25,24.39,26.86,22.53,25.09,5470640,ok
2020-03-26,25.71,29.01,24.86,28.77,5818911,ok
2020-03-27,26.0,29.5201,25.8,27.46,4182624,ok
2020-03-30,27.1,27.69,25.36,27.28,2819026,ok
2020-03-31,27.05,27.24,26.1,26.32,3858493,ok
2020-04-01,24.24,24.65,23.29,23.85,4446032,ok
2020-04-02,23.47,25.02,22.7604,23.53,3368627,ok
2020-04-03,23.18,23.9,22.645,23.46,3938967,ok
2020-04-06,25.81,27.25,25.01,26.99,3744199,ok
2020-04-07,29.69,31.72,29.03,29.42,5523597,ok
2020-04-08,29.96,32.89,29.67,32.56,3969006,ok
2020-04-09,34.43,36.93,32.95,34.29,3851196,ok
2020-04-13,34.21,34.44,31.43,32.37,2478165,ok
2020-04-14,33.5,33.99,31.57,32.22,2391732,ok
2020-04-15,29.91,30.38,28.88,28.9,2756961,ok
2020-04-16,29.01,29.01,27.47,27.63,2174286,ok
2020-04-17,28.84,30.18,28.82,29.66,3166822,ok
2020-04-20,28.11,29.78,27.82,29.01,2287854,ok
2020-04-21,27.28,28.37,26.97,27.13,4151899,ok
2020-04-22,28.45,29.345,27.78,29.04,2619348,ok
2020-04-23,29.5,30.58,28.66,28.7,1915228,ok
2020-04-24,29.29,30.59,28.791,30.21,2477564,ok
2020-04-27,30.52,32.11,30.44,31.87,1468866,ok
2020-04-28,34.26,34.65,32.69,33.71,1898786,ok
2020-04-29,35.84,37.365,35.44,36.6,3298434,ok
2020-04-30,35.02,36.45,34.27,35.47,2064367,ok
2020-05-01,33.78,34.23,31.92,32.48,1857227,ok
2020-05-04,31.57,32.82,30.7,32.71,1511365,ok
