Date,Open,High,Low,Close,Volume,Status
2020-01-02,232.9,233.47,231.765,233.42,1439799,ok
2020-01-03,231.24,234.5,230.23,232.64,1316345,ok
2020-01-06,231.49,235.53,230.8,235.43,1461113,ok
2020-01-07,235.5,236.85,233.34,233.7,1375380,ok
2020-01-08,234.88,238.01,234.01,237.27,1884976,ok
2020-01-09,239.22,239.47,235.29,235.9,1141626,ok
2020-01-10,236.21,236.2777,233.26,234.84,1178265,ok
2020-01-13,238.57,245.35,238.11,245.18,4120297,ok
2020-01-14,246.28,247.51,243.45,243.77,1644341,ok
2020-01-15,245.15,246.0429,243.39,243.49,996886,ok
2020-01-16,245.0,245.52,241.79,243.71,1409674,ok
2020-01-17,245.51,245.73,241.15,241.25,1335697,ok
2020-01-21,241.43,243.475,240.0005,242.52,1604776,ok
2020-01-22,243.3,246.02,243.06,244.3,1205824,ok
2020-01-23,242.62,244.28,241.5,243.06,868687,ok
2020-01-24,243.74,245.06,239.2695,240.35,938342,ok
2020-01-27,233.8,237.8699,231.84,236.74,1292033,ok
2020-01-28,238.66,240.19,236.332,239.35,971529,ok
2020-01-29,240.32,244.33,238.77,243.66,998493,ok
2020-01-30,241.84,244.0,240.9,243.77,770997,ok
2020-01-31,243.48,243.5799,239.3,239.39,1391572,ok
2020-02-03,240.18,247.7,240.18,246.37,1792231,ok
2020-02-04,249.85,250.1,247.66,247.99,1354876,ok
2020-02-05,249.15,249.71,243.555,243.9,1518920,ok
2020-02-06,244.35,244.53,242.79,243.78,1155913,ok
2020-02-07,243.77,246.89,242.17,243.51,1087615,ok
2020-02-10,244.02,249.74,244.02,248.54,1192235,ok
2020-02-11,249.34,252.385,248.34,251.58,1015053,ok
2020-02-12,252.11,254.1574,250.78,253.94,658191,ok
2020-02-13,253.41,256.8,252.37,253.86,905256,ok
2020-02-14,254.68,256.0,253.15,254.41,950970,ok
2020-02-18,254.01,259.74,253.66,259.23,1273919,ok
2020-02-19,261.0,263.5,259.81,262.51,907970,ok
2020-02-20,262.93,266.2,258.75,263.68,1518458,ok
2020-02-21,263.0,265.1,253.8001,255.9,1588000,ok
2020-02-24,245.39,247.87,235.69,246.21,1874983,ok
2020-02-25,248.38,250.4478,237.05,238.81,1550902,ok
2020-02-26,239.15,244.13,237.04,238.56,1219290,ok
2020-02-27,230.44,232.48,220.21,220.7,2834887,ok
2020-02-28,210.0,217.7,208.9,217.41,3748400,ok
2020-03-02,219.19,229.21,216.486,228.9,2333880,ok
2020-03-03,228.87,235.42,225.955,227.13,3570747,ok
2020-03-04,231.51,232.88,221.235,231.62,1723700,ok
2020-03-05,225.4,227.38,216.15,221.19,2005034,ok
2020-03-06,213.26,223.35,212.235,218.55,2494816,ok
2020-03-09,202.0,208.33,194.24,199.77,2292465,ok
2020-03-10,206.37,206.99,197.1108,204.12,2273975,ok
2020-03-11,199.39,201.49,191.39,193.74,2116125,ok
2020-03-12,179.45,180.33,167.331,169.13,3906790,ok
