Date,Open,High,Low,Close,Volume,Status
2020-01-02,13.34,13.37,12.74,12.92,12653577,ok
2020-01-03,12.78,12.86,12.51,12.59,11252956,ok
2020-01-06,12.52,12.96,12.465,12.85,17277575,ok
2020-01-07,12.86,12.88,12.56,12.73,18048744,ok
2020-01-08,12.7,13.02,12.7,12.98,20761126,ok
2020-01-09,13.03,13.29,12.89,13.12,10802617,ok
2020-01-10,13.16,13.18,12.88,12.99,8359351,ok
2020-01-13,12.99,13.12,12.88,13.09,9129184,ok
2020-01-14,13.04,13.22,13.04,13.18,12508630,ok
2020-01-15,13.15,13.185,13.03,13.06,8140049,ok
2020-01-16,13.36,13.68,13.265,13.56,17802235,ok
2020-01-17,13.73,14.12,13.64,14.06,15061718,ok
2020-01-21,14.05,14.74,13.9554,14.72,21275907,ok
2020-01-22,14.72,15.25,14.65,15.07,26902346,ok
2020-01-23,15.08,15.12,14.7735,14.85,9107588,ok
2020-01-24,14.92,14.97,14.585,14.71,10767141,ok
2020-01-27,14.45,14.67,14.35,14.54,8533503,ok
2020-01-28,14.64,14.65,14.34,14.47,8061054,ok
2020-01-29,14.5,14.5,13.81,13.83,9227757,ok
2020-01-30,13.7,13.975,13.65,13.88,9595072,ok
2020-01-31,13.85,13.96,13.6,13.66,9330512,ok
2020-02-03,13.7,13.88,13.57,13.6,6356767,ok
2020-02-04,13.69,13.97,13.66,13.96,7784527,ok
2020-02-05,14.03,14.44,13.93,14.41,8168895,ok
2020-02-06,14.49,14.53,14.3,14.5,7691654,ok
2020-02-07,14.48,14.59,14.435,14.53,6845098,ok
2020-02-10,14.51,14.86,14.47,14.81,11337688,ok
2020-02-11,14.9,14.94,14.68,14.93,7141024,ok
2020-02-12,14.97,15.3,14.95,15.16,17786403,ok
2020-02-13,14.49,14.5,13.43,13.88,29903615,ok
2020-02-14,13.9,14.19,13.74,13.9,8816577,ok
2020-02-18,13.55,13.7041,13.11,13.34,20971310,ok
2020-02-19,13.39,13.525,13.31,13.33,9368620,ok
2020-02-20,13.07,13.38,12.975,13.37,9598281,ok
2020-02-21,13.23,13.37,13.2,13.22,7083220,ok
2020-02-24,13.0,13.22,12.93,13.05,7989913,ok
2020-02-25,13.08,13.1,12.45,12.56,11568090,ok
2020-02-26,12.58,12.97,12.5252,12.75,10896658,ok
2020-02-27,12.51,12.6,11.81,12.08,16264692,ok
2020-02-28,11.8,12.11,11.54,12.07,25301307,ok
2020-03-02,12.13,12.66,11.9,12.59,16969005,ok
2020-03-03,12.6,13.15,12.28,12.45,11994077,ok
2020-03-04,12.65,12.7,12.43,12.63,8847560,ok
2020-03-05,12.31,12.64,12.22,12.56,12252654,ok
2020-03-06,12.01,12.15,11.73,11.97,11375226,ok
2020-03-09,11.11,11.19,10.25,10.26,20273734,ok
2020-03-10,10.66,11.17,10.16,11.17,13882626,ok
2020-03-11,10.75,10.84,10.0521,10.36,15019019,ok
2020-03-12,9.58,10.17,8.95,9.28,16743773,ok
2020-03-13,10.05,10.25,9.18,10.12,21022975,ok
2020-03-16,8.9,10.35,8.45,9.78,20759561,ok
2020-03-17,10.02,11.13,9.785,10.86,19567321,ok
2020-03-18,10.09,10.49,9.3,10.32,17500024,ok
2020-03-19,10.03,10.79,9.89,10.1,13420850,ok
2020-03-20,10.17,10.378,9.01,9.1,21130871,ok
2020-03-23,9.06,9.085,8.16,8.69,18642221,ok
2020-03-24,9.2,10.0,8.9501,9.95,12836457,ok
2020-03-25,9.0,9.86,8.66,9.05,19658651,ok
2020-03-26,9.06,9.41,9.0,9.29,14729558,ok
2020-03-27,9.03,9.18,8.81,9.06,18763703,ok
2020-03-30,9.1,9.925,9.02,9.84,17308709,ok
2020-03-31,9.84,9.955,9.38,9.46,12839816,ok
2020-04-01,8.61,9.05,8.51,8.79,11837659,ok
2020-04-02,8.96,9.1,8.63,8.8,14273759,ok
2020-04-03,8.76,9.25,8.68,9.11,13572650,ok
2020-04-06,9.51,9.535,9.05,9.43,15557956,ok
2020-04-07,9.75,9.81,9.48,9.5,11522359,ok
2020-04-08,9.6,9.9,9.535,9.83,11226656,ok
2020-04-09,10.0,10.9,9.91,10.65,15495186,ok
2020-04-13,10.57,10.67,9.95,10.1,10747582,ok
2020-04-14,10.3,10.33,10.015,10.26,11693678,ok
2020-04-15,10.03,10.2,9.825,10.1,11442403,ok
