Date,Open,High,Low,Close,Volume,Status
2020-01-02,69.88,70.94,69.79,70.8,5154845,ok
2020-01-03,69.62,70.15,69.39,69.72,2822522,ok
2020-01-06,69.18,70.12,69.04,70.09,2923450,ok
2020-01-07,69.55,70.2,69.495,70.16,2264186,ok
2020-01-08,70.0,71.3,69.89,70.8,3455338,ok
2020-01-09,71.51,71.72,71.03,71.52,3011411,ok
2020-01-10,71.72,71.94,70.76,70.91,2217136,ok
2020-01-13,71.24,72.4,71.05,72.16,2563577,ok
2020-01-14,72.41,73.49,72.231,73.36,3693139,ok
2020-01-15,73.5,73.53,72.4,72.77,2602598,ok
2020-01-16,73.11,73.41,72.81,73.4,3605317,ok
2020-01-17,73.51,74.29,73.51,74.06,3296175,ok
2020-01-21,69.52,71.34,68.85,70.06,10307126,ok
2020-01-22,70.6,70.73,69.1932,69.45,4340014,ok
2020-01-23,67.68,69.65,67.47,69.45,7292572,ok
2020-01-24,69.26,69.26,66.97,67.85,5362677,ok
2020-01-27,62.72,64.33,61.08,63.27,12594292,ok
2020-01-28,64.17,64.59,63.13,64.41,4731466,ok
2020-01-29,65.0,65.37,63.9,64.7,5876475,ok
2020-01-30,63.57,66.34,63.51,66.2,8015268,ok
2020-01-31,65.6,65.61,64.48,65.31,6778757,ok
2020-02-03,66.11,67.56,65.93,66.56,6055171,ok
2020-02-04,67.05,69.08,66.86,67.84,5983545,ok
2020-02-05,69.06,69.37,67.485,67.89,5040700,ok
2020-02-06,68.4,69.6,68.33,69.47,5556840,ok
2020-02-07,67.7,68.0,66.51,66.8,6581936,ok
2020-02-10,66.09,68.25,66.09,68.16,3569693,ok
2020-02-11,68.63,69.537,67.91,68.85,3078882,ok
2020-02-12,69.91,71.38,69.66,71.13,5839043,ok
2020-02-13,70.41,70.55,69.17,69.31,3572233,ok
2020-02-14,69.0,69.2,67.98,68.07,3813682,ok
2020-02-18,68.24,68.85,67.16,68.16,3798325,ok
2020-02-19,68.44,69.93,68.26,69.1,3183596,ok
2020-02-20,68.48,68.53,66.71,67.44,4068439,ok
2020-02-21,66.8,66.98,65.555,65.6,5224069,ok
2020-02-24,62.44,63.44,62.18,62.21,5799343,ok
2020-02-25,63.04,63.27,59.51,60.16,6769977,ok
2020-02-26,60.56,61.26,58.44,59.16,7137859,ok
2020-02-27,57.72,61.01,56.28,58.43,8874513,ok
2020-02-28,56.82,58.8,56.62,58.31,6558307,ok
2020-03-02,58.9,58.9,56.6,58.26,6246567,ok
2020-03-03,58.6,59.52,55.48,55.9,6564350,ok
2020-03-04,56.77,57.84,55.47,57.25,6957884,ok
2020-03-05,55.6,56.705,54.57,54.94,7765245,ok
2020-03-06,53.0,56.09,52.54,54.86,10002682,ok
2020-03-09,51.01,52.84,49.0,49.66,6998200,ok
2020-03-10,51.82,53.51,49.58,53.38,6690546,ok
2020-03-11,51.78,51.78,48.22,48.63,9938518,ok
2020-03-12,42.4,46.59,39.06,44.15,13388187,ok
2020-03-13,48.02,49.1,42.87,49.01,12515919,ok
2020-03-16,40.52,45.1,39.2,40.39,12380049,ok
2020-03-17,40.76,43.29,35.9169,40.86,12774685,ok
2020-03-18,36.74,40.1,33.3,37.68,14302375,ok
2020-03-19,36.75,44.67,33.8601,40.36,11398980,ok
2020-03-20,42.15,47.0,41.7876,43.31,12859281,ok
2020-03-23,43.51,45.33,41.61,43.45,8152148,ok
2020-03-24,46.45,47.82,44.25,44.84,8884131,ok
2020-03-25,46.85,51.67,44.77,47.35,10707226,ok
2020-03-26,48.58,52.93,46.51,48.36,10423783,ok
2020-03-27,45.55,46.2,42.0,42.1,11598494,ok
2020-03-30,41.75,44.73,41.25,43.49,7414969,ok
2020-03-31,43.44,43.925,41.8,42.47,5233144,ok
2020-04-01,40.32,41.2,39.67,40.3,7348867,ok
2020-04-02,39.9,41.31,39.63,40.27,6400478,ok
2020-04-03,40.25,40.49,36.8,37.92,8805471,ok
2020-04-06,40.56,41.42,39.73,40.7,7713797,ok
2020-04-07,43.64,44.75,42.18,42.7,8790006,ok
2020-04-08,43.74,47.52,43.18,46.55,7634840,ok
2020-04-09,48.41,49.89,46.15,47.86,7266014,ok
2020-04-13,47.59,47.625,45.51,46.49,4790697,ok
2020-04-14,47.59,48.25,46.09,48.13,5201959,ok
2020-04-15,46.01,48.0,45.6504,47.1,6095164,ok
2020-04-16,47.17,47.58,44.55,45.9,7540908,ok
2020-04-17,47.5,48.19,46.21,47.01,10000056,ok
2020-04-20,45.95,46.1,43.07,43.13,11410331,ok
2020-04-21,43.12,43.12,40.42,40.69,15101334,ok
2020-04-22,41.64,41.87,40.31,41.03,19895615,ok
2020-04-23,45.17,46.49,43.86,45.96,19525739,ok
2020-04-24,46.05,46.37,43.29,43.78,15676554,ok
2020-04-27,44.68,48.47,44.06,46.38,16024228,ok
2020-04-28,48.55,49.99,44.58,46.58,17592915,ok
2020-04-29,48.63,49.817,47.66,48.89,13085751,ok
2020-04-30,47.45,49.34,46.86,48.02,8066849,ok
2020-05-01,46.09,46.54,45.0,45.61,5476306,ok
2020-05-04,44.0,45.73,43.5,45.45,4861666,ok
2020-05-05,46.63,46.75,45.23,46.39,5096141,ok
2020-05-06,46.97,47.44,46.235,46.44,5232301,ok
2020-05-07,47.13,48.3455,46.66,47.37,5667772,ok
2020-05-08,48.69,51.06,48.05,50.94,7311209,ok
2020-05-11,50.36,50.49,48.405,48.5,5408978,ok
2020-05-12,48.71,48.79,45.92,45.96,6917968,ok
2020-05-13,46.0,46.19,43.98,44.42,6694505,ok
2020-05-14,43.08,46.05,42.43,45.68,8124291,ok
2020-05-15,45.07,45.86,44.73,44.76,5007848,ok
2020-05-18,48.11,48.66,47.29,48.39,7808904,ok
2020-05-19,48.5,49.7,47.32,48.25,5936000,ok
2020-05-20,49.7,50.36,48.785,50.17,6946213,ok
2020-05-21,50.38,50.48,48.32,48.57,6378489,ok
2020-05-22,47.66,48.0,46.5,46.9,6455687,ok
2020-05-26,49.97,50.3325,48.85,49.93,6800867,ok
2020-05-27,51.91,52.2,49.25,50.93,6734877,ok
2020-05-28,51.0,51.0784,48.33,48.55,5416900,ok
2020-05-29,47.68,48.68,46.78,47.94,7963893,ok
2020-06-01,48.52,49.76,47.62,49.03,6804177,ok
2020-06-02,49.11,49.26,47.3,47.79,9112070,ok
2020-06-03,48.77,52.17,48.69,51.79,11830525,ok
2020-06-04,53.86,53.92,49.06,52.35,18911751,ok
2020-06-05,56.0,56.02,52.445,52.97,11569331,ok
2020-06-08,54.75,55.73,53.63,55.64,7497619,ok
2020-06-09,54.78,54.79,53.04,53.66,4806948,ok
2020-06-10,53.01,53.63,51.68,51.77,5501010,ok
2020-06-11,48.48,50.36,48.17,49.09,8932712,ok
2020-06-12,51.35,51.36,48.6,49.87,5830765,ok
2020-06-15,47.9,49.67,47.75,49.06,5160682,ok
2020-06-16,51.28,51.38,47.75,49.4,8029904,ok
2020-06-17,49.19,49.56,48.26,48.9,4128471,ok
2020-06-18,48.39,49.2,47.96,48.2,5573377,ok
2020-06-19,49.09,49.15,47.05,47.19,8858174,ok
2020-06-22,46.78,46.89,45.11,46.29,9069481,ok
2020-06-23,47.0,47.005,46.35,46.88,5939701,ok
2020-06-24,46.39,46.67,44.25,44.94,7658114,ok
2020-06-25,44.0,45.15,43.03,44.99,10547731,ok
2020-06-26,44.72,44.84,43.01,43.33,8054984,ok
2020-06-29,43.52,44.94,42.88,44.65,7519301,ok
2020-06-30,43.78,45.72,43.64,45.54,5571305,ok
2020-07-01,45.65,46.64,44.83,45.04,3948767,ok
2020-07-02,46.08,46.9664,45.56,46.34,4753277,ok
2020-07-06,47.6,48.37,45.64,47.07,7295049,ok
2020-07-07,46.19,46.35,44.98,45.03,5096449,ok
2020-07-08,45.01,45.92,44.18,45.61,3999627,ok
2020-07-09,45.56,45.63,43.71,44.68,3836207,ok
2020-07-10,44.5,45.78,44.2535,45.72,3594684,ok
2020-07-13,46.57,50.095,45.22,48.53,11272958,ok
2020-07-14,47.85,47.9,46.54,47.39,6821311,ok
2020-07-15,49.03,50.45,48.65,50.25,6613834,ok
2020-07-16,49.43,49.96,48.91,49.71,4029971,ok
2020-07-17,49.87,49.87,48.28,48.69,3258800,ok
2020-07-20,48.0,48.57,46.55,47.28,4612210,ok
2020-07-21,47.93,48.98,47.58,48.0,4818676,ok
2020-07-22,47.64,48.08,46.6,46.84,7445959,ok
2020-07-23,45.49,45.98,44.25,44.88,10920807,ok
2020-07-24,44.25,44.95,43.81,44.36,5408190,ok
2020-07-27,43.86,44.205,42.69,43.48,6681008,ok
2020-07-28,43.19,44.795,43.15,44.22,7858844,ok
2020-07-29,44.15,45.13,43.365,44.32,4649374,ok
2020-07-30,44.41,45.75,44.24,45.5,6033046,ok
