Date,Open,High,Low,Close,Volume,Status
2020-01-02,85.77,86.07,83.9472,84.09,1554789,ok
2020-01-03,87.15,94.46,86.19,93.56,3940608,ok
2020-01-06,92.45,92.51,90.48,90.7,1960527,ok
2020-01-07,90.55,91.92,90.2,91.21,1791770,ok
2020-01-08,91.2,92.25,91.03,91.26,1516374,ok
2020-01-09,91.95,91.99,90.58,90.79,945692,ok
2020-01-10,90.83,91.27,90.21,90.48,908916,ok
2020-01-13,90.27,91.91,90.27,91.23,1586848,ok
2020-01-14,91.06,91.59,90.37,90.67,685477,ok
2020-01-15,90.73,92.02,90.67,90.88,809325,ok
2020-01-16,90.94,91.69,90.59,91.0,681999,ok
2020-01-17,91.21,91.43,90.49,90.5,908457,ok
2020-01-21,90.52,91.44,90.49,91.2,1010850,ok
2020-01-22,91.23,92.16,91.07,91.19,1001395,ok
2020-01-23,90.95,91.46,90.655,90.89,901311,ok
2020-01-24,91.09,91.16,90.29,90.69,519044,ok
2020-01-27,90.64,91.7,90.27,90.43,907160,ok
2020-01-28,90.11,91.99,89.8,91.66,1016466,ok
2020-01-29,91.6,92.64,90.8,92.05,739711,ok
2020-01-30,91.53,92.35,91.24,92.12,740226,ok
2020-01-31,91.87,92.76,91.22,91.31,932907,ok
2020-02-03,91.67,91.96,91.07,91.75,1438177,ok
2020-02-04,92.21,92.99,91.785,92.28,660610,ok
2020-02-05,92.38,93.48,92.06,92.58,973412,ok
2020-02-06,92.77,93.59,92.51,93.17,1128160,ok
2020-02-07,93.38,94.53,93.04,94.45,611036,ok
2020-02-10,94.43,94.97,94.19,94.58,580416,ok
2020-02-11,94.61,95.42,94.4,95.13,676680,ok
2020-02-12,94.98,95.42,94.15,94.51,465405,ok
2020-02-13,94.6,95.42,94.23,95.09,506357,ok
2020-02-14,95.14,95.6,94.54,95.17,466209,ok
2020-02-18,94.94,95.93,94.7,95.87,962837,ok
2020-02-19,95.98,96.32,94.13,94.35,534219,ok
2020-02-20,94.23,94.96,93.86,94.92,527606,ok
2020-02-21,94.92,95.14,94.535,94.84,421705,ok
2020-02-24,94.0,95.61,93.65,95.32,714003,ok
2020-02-25,95.2,96.11,93.74,93.77,937425,ok
2020-02-26,94.01,95.025,92.485,92.54,778537,ok
2020-02-27,92.1,92.84,89.44,89.45,984472,ok
2020-02-28,88.1,88.27,85.41,86.89,2623123,ok
2020-03-02,86.94,88.45,85.21,86.65,2420914,ok
2020-03-03,86.44,88.32,84.9738,85.5,1628827,ok
2020-03-04,86.56,88.28,86.17,88.09,1446473,ok
2020-03-05,87.32,87.945,85.95,86.36,1368905,ok
2020-03-06,83.78,84.13,80.17,83.37,2409459,ok
2020-03-09,79.76,79.99,73.25,73.38,1633315,ok
2020-03-10,75.0,75.0,70.88,72.73,2145437,ok
2020-03-11,71.01,73.0,70.175,71.43,2622330,ok
2020-03-12,67.57,68.93,62.24,63.36,2194813,ok
2020-03-13,65.78,66.36,60.39,63.85,2633122,ok
2020-03-16,58.32,60.98,51.47,52.44,2337364,ok
2020-03-17,53.35,53.81,49.04,53.13,2960444,ok
2020-03-18,50.4,51.09,39.06,45.01,2218325,ok
2020-03-19,43.07,49.36,42.78,48.81,2433294,ok
2020-03-20,49.45,51.21,47.43,47.63,2763685,ok
2020-03-23,46.06,48.76,42.43,47.71,1847074,ok
2020-03-24,49.86,57.65,49.75,55.04,3074932,ok
2020-03-25,55.0,57.89,54.17,56.33,2533691,ok
2020-03-26,56.89,61.46,56.1218,58.84,1826321,ok
2020-03-27,56.51,58.27,53.9,57.25,1975848,ok
2020-03-30,57.77,60.0,56.24,57.64,2033005,ok
2020-03-31,57.79,60.14,56.43,57.1,2604219,ok
2020-04-01,52.0,52.46,48.12,51.0,3141145,ok
2020-04-02,49.75,52.185,48.59,49.88,3217450,ok
2020-04-03,49.88,50.75,48.76,50.2,1692063,ok
2020-04-06,52.71,53.51,51.385,51.82,1977698,ok
2020-04-07,54.52,58.52,53.12,55.1,2614692,ok
2020-04-08,55.43,58.42,55.14,57.75,1857496,ok
2020-04-09,58.71,62.27,58.01,58.4,2046874,ok
2020-04-13,58.39,58.7,55.61,58.26,1072037,ok
2020-04-14,59.09,62.22,59.09,60.7,2045426,ok
2020-04-15,58.61,58.65,54.5,55.91,2021752,ok
2020-04-16,56.36,58.09,55.83,57.55,1221547,ok
2020-04-17,59.3,61.29,58.46,59.92,1533748,ok
2020-04-20,59.24,60.41,57.335,57.51,1245440,ok
2020-04-21,55.22,56.98,55.22,55.71,1341084,ok
2020-04-22,56.68,57.279,55.2077,56.33,981847,ok
2020-04-23,56.34,57.99,55.91,56.69,1418049,ok
2020-04-24,57.09,58.5,56.21,57.78,1152781,ok
2020-04-27,57.94,59.3985,57.83,58.55,1069207,ok
