Date,Open,High,Low,Close,Volume,Status
2020-01-02,95.28,95.47,93.45,93.86,2206992,ok
2020-01-03,92.88,93.35,91.54,91.55,2713235,ok
2020-01-06,91.34,92.58,91.09,91.31,2710709,ok
2020-01-07,90.65,92.23,90.09,90.92,3063770,ok
2020-01-08,90.48,91.15,89.29,90.54,1829915,ok
2020-01-09,90.66,91.24,89.81,90.57,1724180,ok
2020-01-10,90.57,90.96,89.2,89.43,1755352,ok
2020-01-13,89.4,91.2,89.1,91.2,1680926,ok
2020-01-14,90.86,92.78,90.86,91.93,2297309,ok
2020-01-15,91.37,92.15,90.75,91.19,1639403,ok
2020-01-16,91.69,91.98,91.2,91.51,1451515,ok
2020-01-17,91.5,92.04,90.71,92.0,2534687,ok
2020-01-21,91.4,91.404,88.41,89.39,2005463,ok
2020-01-22,89.16,89.16,86.28,86.64,3321427,ok
2020-01-23,85.9,86.51,83.97,86.24,3276815,ok
2020-01-24,85.96,86.13,84.39,84.95,2668835,ok
2020-01-27,82.89,82.89,81.52,82.11,3487989,ok
2020-01-28,82.62,83.83,82.52,82.93,2884912,ok
2020-01-29,83.8,85.09,83.76,83.85,2127577,ok
2020-01-30,82.8,83.63,81.56,83.45,2807481,ok
2020-01-31,80.22,80.6,77.29,77.86,7267782,ok
2020-02-03,78.36,79.74,77.5,78.82,2464203,ok
2020-02-04,80.64,83.31,80.01,81.72,2968380,ok
2020-02-05,83.0,84.18,82.6,84.08,2792991,ok
2020-02-06,84.38,84.43,82.1,83.38,1740230,ok
2020-02-07,82.55,82.61,81.23,82.1,1324135,ok
2020-02-10,81.69,82.79,81.16,81.93,2455474,ok
2020-02-11,82.77,84.8,82.63,83.97,1577178,ok
2020-02-12,85.17,86.67,84.55,85.61,2084523,ok
2020-02-13,84.8,85.36,83.38,83.49,1517684,ok
2020-02-14,83.65,83.79,81.88,82.6,1895729,ok
2020-02-18,82.04,82.6987,80.39,81.32,1158458,ok
2020-02-19,81.58,82.23,81.48,81.95,1290264,ok
2020-02-20,81.78,83.83,81.56,83.35,1635184,ok
2020-02-21,82.72,83.42,82.32,82.91,1580286,ok
2020-02-24,79.67,80.2998,78.9,79.65,2689784,ok
2020-02-25,80.06,80.41,74.81,75.41,2406318,ok
2020-02-26,76.39,76.94,74.04,74.39,2997094,ok
2020-02-27,72.55,74.54,70.85,70.9,3367869,ok
2020-02-28,69.17,71.9,68.5,71.46,4156302,ok
2020-03-02,72.34,74.58,70.88,74.52,3631335,ok
2020-03-03,74.5,76.27,70.56,72.24,2949128,ok
2020-03-04,73.45,75.31,71.04,75.23,2242359,ok
2020-03-05,72.79,74.21,72.61,73.91,2746172,ok
2020-03-06,71.41,74.16,70.84,71.99,3578552,ok
2020-03-09,65.0,68.0,59.6,59.61,4379118,ok
2020-03-10,62.77,63.06,57.83,59.74,3663316,ok
2020-03-11,57.76,58.18,53.93,54.0,6644975,ok
2020-03-12,48.96,48.96,45.06,46.07,8213169,ok
2020-03-13,50.0,50.22,42.03,46.84,8541159,ok
2020-03-16,39.52,44.25,33.71,34.9,7742045,ok
2020-03-17,36.14,42.27,35.6,41.72,9219420,ok
2020-03-18,38.4,42.72,37.11,40.57,6784523,ok
2020-03-19,39.97,47.21,39.22,43.23,6383599,ok
2020-03-20,42.96,44.32,40.39,42.0,7473999,ok
2020-03-23,41.93,42.66,40.0,40.49,3984606,ok
2020-03-24,44.02,46.02,42.03,45.29,4217012,ok
2020-03-25,47.0,52.92,46.395,52.1,4872510,ok
2020-03-26,51.25,54.49,51.25,53.93,5230451,ok
2020-03-27,51.18,51.593,48.56,49.4,3589156,ok
2020-03-30,48.72,50.75,48.09,49.58,2517442,ok
2020-03-31,48.94,50.4,48.77,49.63,3281043,ok
2020-04-01,46.24,47.32,44.51,45.03,3270573,ok
2020-04-02,45.34,49.14,45.06,45.92,3917671,ok
2020-04-03,46.25,47.305,45.49,46.1,2763789,ok
2020-04-06,48.33,50.52,48.33,49.88,2583216,ok
2020-04-07,53.75,54.93,51.28,51.65,2555267,ok
2020-04-08,52.75,55.8,51.86,55.47,2039152,ok
2020-04-09,56.56,59.97,55.66,58.93,3735159,ok
2020-04-13,58.61,59.17,56.82,58.04,2722190,ok
2020-04-14,59.29,59.54,57.29,58.64,2877540,ok
2020-04-15,55.9,56.45,51.651,52.7,3259895,ok
2020-04-16,52.46,53.235,48.88,49.45,2725101,ok
2020-04-17,50.26,53.36,50.26,52.19,4176560,ok
2020-04-20,50.36,51.04,48.2,48.41,2965522,ok
2020-04-21,46.15,47.215,44.33,46.63,4221653,ok
2020-04-22,48.31,48.79,47.115,48.11,1911824,ok
2020-04-23,49.08,51.5479,49.0,49.37,1664663,ok
2020-04-24,50.4,50.88,49.04,50.05,2329878,ok
2020-04-27,50.13,52.82,50.0,52.41,2276020,ok
2020-04-28,53.87,55.81,53.25,55.67,4150022,ok
2020-04-29,57.73,60.05,57.35,59.93,3078162,ok
2020-04-30,57.7,58.46,56.55,57.95,4304684,ok
2020-05-01,56.94,57.0,53.81,55.16,4095543,ok
2020-05-04,51.41,54.48,50.87,54.35,3164360,ok
2020-05-05,56.0,57.27,54.715,54.85,2038378,ok
2020-05-06,54.8,55.35,51.985,52.11,2294956,ok
2020-05-07,53.42,55.1,53.34,53.73,2246995,ok
2020-05-08,54.83,56.52,54.62,56.45,1918284,ok
2020-05-11,54.42,56.61,53.54,56.06,2760543,ok
2020-05-12,56.68,57.59,55.72,55.86,2212185,ok
2020-05-13,55.31,55.68,51.91,52.59,2204155,ok
2020-05-14,51.05,54.0,50.06,53.29,2813442,ok
2020-05-15,52.86,53.67,52.13,53.6,2263335,ok
2020-05-18,56.96,60.05,56.73,59.37,2117485,ok
2020-05-19,59.14,59.61,57.73,58.07,1882918,ok
2020-05-20,59.47,60.74,59.3,60.39,1618406,ok
2020-05-21,60.25,61.31,59.51,60.26,1698140,ok
2020-05-22,59.89,60.6,59.12,60.42,1245450,ok
2020-05-26,65.0,67.87,64.75,67.72,3274434,ok
2020-05-27,69.48,70.85,67.3,67.31,3372955,ok
2020-05-28,67.96,67.98,64.36,64.4,4464405,ok
2020-05-29,63.87,64.25,62.41,63.76,3110909,ok
2020-06-01,63.84,65.88,63.3375,65.34,2061175,ok
2020-06-02,66.2,69.1,66.2,68.39,2676481,ok
2020-06-03,69.76,71.83,69.25,70.5,1716309,ok
2020-06-04,70.32,74.17,69.18,73.95,2855984,ok
2020-06-05,76.17,79.97,74.17,74.87,3319149,ok
2020-06-08,75.63,77.18,74.78,76.39,3447060,ok
2020-06-09,73.83,76.36,73.06,76.0,3505629,ok
2020-06-10,75.6,75.87,73.56,73.57,3501254,ok
2020-06-11,68.27,69.39,63.52,63.9,3352957,ok
2020-06-12,68.72,69.17,65.505,66.61,2750195,ok
2020-06-15,63.42,68.51,63.3,67.28,2144835,ok
2020-06-16,70.78,71.71,67.4798,69.06,1654154,ok
2020-06-17,69.9,70.03,66.79,66.83,1805307,ok
2020-06-18,66.15,67.78,65.91,66.94,1230236,ok
2020-06-19,68.5,69.02,65.93,66.54,3684361,ok
2020-06-22,66.02,67.4,65.11,66.71,1182251,ok
2020-06-23,67.39,67.65,65.96,65.99,1996253,ok
2020-06-24,65.05,65.05,60.11,60.64,3822066,ok
2020-06-25,60.32,64.08,60.04,64.0,2442433,ok
2020-06-26,63.25,63.8,61.94,63.37,4788215,ok
2020-06-29,63.4,65.69,63.121,64.95,2938927,ok
2020-06-30,64.38,66.025,63.4026,65.72,1739357,ok
2020-07-01,66.17,66.52,64.61,65.61,1998529,ok
