Date,Open,High,Low,Close,Volume,Status
2020-01-02,198.0,200.8,197.81,200.79,3554837,ok
2020-01-03,199.39,200.55,198.85,200.08,2767663,ok
2020-01-06,199.6,202.7673,199.35,202.33,4660792,ok
2020-01-07,201.87,202.68,200.51,202.63,4054726,ok
2020-01-08,202.62,206.69,202.2,205.91,5286482,ok
2020-01-09,206.86,209.3748,206.1,208.35,5974942,ok
2020-01-10,208.44,208.95,207.2688,207.27,2336721,ok
2020-01-13,207.38,207.78,205.76,206.51,2784618,ok
2020-01-14,205.46,207.65,205.46,207.32,2623410,ok
2020-01-15,207.32,210.35,207.32,209.77,3369381,ok
2020-01-16,210.11,211.11,209.22,210.85,2726936,ok
2020-01-17,211.42,212.77,211.35,211.98,3540424,ok
2020-01-21,211.37,212.26,210.2208,211.16,4100505,ok
2020-01-22,213.16,213.6598,211.39,211.44,2757509,ok
2020-01-23,210.54,213.5,208.62,213.42,3378229,ok
2020-01-24,214.18,214.18,210.9,211.24,3106346,ok
2020-01-27,207.84,210.61,207.3,209.34,3389321,ok
2020-01-28,209.89,212.21,209.86,210.39,3855185,ok
2020-01-29,211.69,216.4168,210.8,214.44,5735460,ok
2020-01-30,214.0,216.74,212.83,216.18,3560701,ok
2020-01-31,215.52,217.1,213.14,213.97,3920820,ok
2020-02-03,214.99,216.88,214.23,215.18,3539429,ok
2020-02-04,216.11,216.69,214.2496,214.62,3367933,ok
2020-02-05,215.64,215.78,213.012,214.37,2911520,ok
2020-02-06,214.72,214.82,212.64,212.87,2903328,ok
2020-02-07,212.56,212.84,211.09,211.61,2421602,ok
2020-02-10,211.34,213.28,211.25,213.21,2318962,ok
2020-02-11,214.0,215.86,213.65,215.73,2694622,ok
2020-02-12,216.0,217.47,215.11,217.46,2844944,ok
2020-02-13,216.71,218.385,216.19,217.42,2853360,ok
2020-02-14,217.5,217.84,216.3832,217.09,1720400,ok
2020-02-18,215.92,217.04,215.67,216.15,2714047,ok
2020-02-19,216.81,216.92,215.61,215.63,2229508,ok
2020-02-20,216.15,216.65,212.7813,215.08,2869429,ok
2020-02-21,215.24,216.37,214.3,215.87,2791392,ok
2020-02-24,210.58,215.18,210.11,213.52,4219147,ok
2020-02-25,214.58,216.83,211.149,212.1,5053726,ok
2020-02-26,212.89,214.56,209.75,210.1,4191398,ok
2020-02-27,207.7,210.0,200.93,201.0,6406211,ok
2020-02-28,196.0,198.44,188.81,194.17,11377778,ok
2020-03-02,193.81,202.55,193.18,202.55,6154168,ok
2020-03-03,202.0,205.67,197.16,199.51,5115171,ok
2020-03-04,201.93,207.16,200.9,207.02,4260634,ok
2020-03-05,202.64,203.91,196.33,198.32,4107234,ok
2020-03-06,192.9,199.58,191.21,198.86,6360268,ok
2020-03-09,187.67,194.47,184.1,186.86,7788507,ok
2020-03-10,190.95,200.0,187.89,199.86,5835234,ok
2020-03-11,192.94,195.74,185.83,188.25,5627804,ok
2020-03-12,174.78,179.84,169.38,170.13,9079339,ok
2020-03-13,178.26,179.47,168.2,177.13,8042646,ok
2020-03-16,157.1,161.92,147.6283,149.01,9341340,ok
2020-03-17,148.02,149.48,135.0,147.62,13708246,ok
2020-03-18,137.5,141.71,124.23,137.3,12627575,ok
2020-03-19,135.2,154.8403,128.21,149.5,12773392,ok
2020-03-20,153.59,161.54,147.77,148.49,12000042,ok
2020-03-23,142.95,153.21,136.5,137.1,10660435,ok
2020-03-24,149.0,162.98,146.1,161.95,11678383,ok
2020-03-25,165.0,171.36,159.22,162.98,9708701,ok
2020-03-26,163.99,170.93,161.0,167.35,8264901,ok
2020-03-27,162.78,169.735,159.2164,164.01,6441366,ok
2020-03-30,164.92,170.31,163.57,168.13,5621669,ok
2020-03-31,166.84,169.51,165.0,165.35,4522292,ok
2020-04-01,160.22,161.44,156.35,158.17,4668869,ok
2020-04-02,155.0,161.95,155.0,161.5,4803514,ok
2020-04-03,160.31,162.23,156.15,160.33,5050441,ok
2020-04-06,169.2,177.87,168.24,177.04,8330914,ok
2020-04-07,184.53,185.19,175.16,175.59,7848299,ok
2020-04-08,175.01,179.42,174.1,177.49,5665728,ok
2020-04-09,180.73,185.46,179.62,183.7,4901856,ok
2020-04-13,182.68,182.8506,176.91,180.12,3182573,ok
2020-04-14,183.75,184.49,181.84,183.99,3864204,ok
2020-04-15,178.74,180.97,177.27,177.84,4961463,ok
2020-04-16,177.0,179.91,172.27,179.5,7120833,ok
2020-04-17,182.32,186.81,180.2275,186.1,6467814,ok
2020-04-20,184.45,185.78,181.55,181.65,3856456,ok
2020-04-21,177.37,179.39,176.1,177.58,4758289,ok
2020-04-22,180.75,187.73,180.75,186.48,4245902,ok
2020-04-23,186.16,187.33,181.32,182.04,5050147,ok
2020-04-24,183.26,184.35,180.86,184.02,3319849,ok
2020-04-27,185.15,188.365,184.77,185.89,4048222,ok
2020-04-28,190.0,190.0,185.57,185.93,3804981,ok
2020-04-29,188.53,190.41,186.88,187.82,3465196,ok
2020-04-30,182.0,188.31,180.76,187.56,7127221,ok
2020-05-01,184.0,185.54,182.15,182.66,3764754,ok
2020-05-04,181.31,182.46,178.87,181.87,4027063,ok
2020-05-05,183.53,183.86,179.11,179.24,3828424,ok
2020-05-06,180.6,181.12,176.86,176.97,3916862,ok
2020-05-07,179.5,181.56,178.3,181.12,3039953,ok
2020-05-08,183.2,183.43,179.9102,181.23,3411874,ok
2020-05-11,179.37,182.88,178.52,180.88,2631295,ok
2020-05-12,181.97,182.592,176.44,176.54,3610581,ok
2020-05-13,176.18,176.565,171.01,172.82,4729120,ok
2020-05-14,170.2,175.66,167.85,175.41,4868360,ok
2020-05-15,173.05,174.71,171.68,173.81,6879617,ok
2020-05-18,180.06,181.15,178.11,179.83,4653306,ok
2020-05-19,180.12,181.46,178.07,179.57,3365030,ok
2020-05-20,182.0,184.6,180.57,184.1,4920793,ok
2020-05-21,184.18,185.48,182.106,185.08,2913846,ok
2020-05-22,184.48,185.35,183.18,184.41,2475190,ok
2020-05-26,189.59,190.66,184.24,184.84,3990870,ok
2020-05-27,188.74,188.75,185.27,187.72,3993447,ok
2020-05-28,189.42,190.48,186.72,188.73,3568464,ok
2020-05-29,187.43,188.7,185.7101,186.32,5719059,ok
2020-06-01,186.71,187.84,185.6,187.41,2169455,ok
2020-06-02,188.4,188.56,186.085,187.59,3125455,ok
2020-06-03,188.47,193.81,188.09,193.29,3881453,ok
2020-06-04,192.32,194.26,191.62,193.24,3469436,ok
2020-06-05,198.0,200.15,196.27,197.16,4728306,ok
2020-06-08,195.68,202.73,195.64,202.65,4443911,ok
2020-06-09,200.37,201.57,199.01,199.52,3728614,ok
2020-06-10,199.13,199.555,195.6699,195.8,3459865,ok
2020-06-11,190.9,192.91,186.33,187.51,5795967,ok
2020-06-12,191.67,191.67,185.45,189.17,4108594,ok
2020-06-15,184.6,190.1199,184.13,189.49,4500420,ok
2020-06-16,192.0,193.5,187.51,190.32,5434776,ok
2020-06-17,191.92,192.88,190.42,190.79,3154073,ok
2020-06-18,190.01,190.74,187.89,189.49,3153262,ok
2020-06-19,192.29,192.3565,186.53,186.56,6264833,ok
2020-06-22,186.0,187.77,184.89,187.46,3223215,ok
2020-06-23,189.55,189.73,186.32,186.62,2951916,ok
2020-06-24,184.96,185.71,181.34,184.29,4146579,ok
2020-06-25,183.51,184.08,180.325,182.76,3145191,ok
2020-06-26,182.37,182.81,178.88,179.74,5107359,ok
2020-06-29,180.57,182.83,179.17,182.8,2622177,ok
2020-06-30,182.92,185.2,181.89,184.47,3163190,ok
2020-07-01,184.95,186.44,183.72,184.66,2193762,ok
2020-07-02,187.0,187.0,182.86,183.52,2690150,ok
2020-07-06,186.0,188.72,184.14,188.5,3171467,ok
2020-07-07,187.37,187.85,185.25,185.82,2399567,ok
2020-07-08,185.5,187.23,184.75,185.85,2776400,ok
2020-07-09,186.22,186.59,182.62,184.33,2333500,ok
2020-07-10,183.78,185.44,183.01,184.88,2714444,ok
2020-07-13,185.6,188.95,184.71,184.92,3221622,ok
2020-07-14,185.09,190.84,184.73,190.72,4138567,ok
2020-07-15,193.9,194.0,189.88,191.77,3735433,ok
2020-07-16,191.12,192.76,190.15,190.92,2111107,ok
2020-07-17,191.34,191.9,190.13,191.48,1972966,ok
2020-07-20,190.9,192.77,190.37,191.61,2157480,ok
2020-07-21,192.33,194.9,192.0,192.98,3505717,ok
2020-07-22,193.21,199.65,193.05,198.62,3484707,ok
2020-07-23,198.46,199.27,196.01,197.55,2702178,ok
2020-07-24,196.89,198.91,195.725,198.72,2200026,ok
2020-07-27,199.04,202.52,198.71,201.25,4541727,ok
2020-07-28,198.6,199.89,195.5,196.24,6051015,ok
2020-07-29,196.3,198.46,195.71,196.21,3342859,ok
2020-07-30,195.0,196.4019,192.9201,195.41,2705661,ok
2020-07-31,194.15,194.675,191.6403,194.28,3195486,ok
2020-08-03,194.33,195.6,193.59,194.4,3143754,ok
2020-08-04,194.95,199.7,194.34,199.36,3700233,ok
2020-08-05,200.0,200.5,197.91,199.26,2281830,ok
2020-08-06,198.78,203.6,198.37,203.18,3159323,ok
2020-08-07,203.36,205.16,203.285,204.6,2979950,ok
2020-08-10,204.35,205.16,202.5367,204.12,2783695,ok
2020-08-11,205.0,207.42,204.25,205.0,2478383,ok
2020-08-12,206.86,207.4,205.38,206.02,2167353,ok
2020-08-13,205.96,207.25,205.35,206.49,1795023,ok
2020-08-14,205.95,207.33,205.2,207.03,2060237,ok
2020-08-17,206.94,209.5,206.85,208.67,2619046,ok
2020-08-18,209.26,210.43,207.23,210.32,2921676,ok
2020-08-19,210.22,211.17,208.64,209.51,2711113,ok
2020-08-20,208.12,210.99,208.1,209.88,2085063,ok
2020-08-21,209.96,212.185,209.26,211.57,3484853,ok
2020-08-24,212.26,213.5,210.93,212.62,2463937,ok
2020-08-25,213.96,214.185,212.22,212.65,2302456,ok
2020-08-26,212.09,214.42,211.6,213.76,2316855,ok
2020-08-27,214.34,216.1,212.1,212.19,3226762,ok
2020-08-28,212.82,216.71,211.77,214.91,3212491,ok
2020-08-31,213.52,214.99,212.81,213.52,2900867,ok
2020-09-01,210.84,213.61,210.5816,212.69,2926889,ok
2020-09-02,213.25,217.13,212.69,216.23,4091998,ok
2020-09-03,218.11,218.11,211.9,213.8,3126675,ok
2020-09-04,215.29,217.78,210.76,211.73,3828823,ok
2020-09-08,211.18,216.3,211.06,213.58,4107917,ok
2020-09-09,215.0,218.17,214.44,215.71,3213195,ok
2020-09-10,215.72,219.48,215.72,217.24,3325601,ok
2020-09-11,217.69,219.18,216.28,218.0,3616483,ok
2020-09-14,219.72,222.59,219.34,220.56,2544140,ok
2020-09-15,221.76,223.64,221.4,222.37,2640872,ok
2020-09-16,222.17,226.72,221.3,224.81,3464160,ok
2020-09-17,223.7,223.73,220.5,222.58,3376985,ok
2020-09-18,221.62,223.57,220.13,220.27,3861750,ok
2020-09-21,217.14,218.045,213.4,216.41,2831750,ok
2020-09-22,216.43,216.96,214.55,216.41,2475978,ok
2020-09-23,217.67,219.685,214.24,214.97,2777715,ok
2020-09-24,214.75,218.41,213.59,216.12,1727041,ok
2020-09-25,215.3,219.25,213.65,218.18,2196831,ok
2020-09-28,220.0,221.98,219.02,220.26,2112107,ok
2020-09-29,220.42,220.955,218.4783,218.68,1732275,ok
2020-09-30,218.87,222.2,218.41,219.49,3034100,ok
2020-10-01,221.59,223.0,217.79,219.59,2443348,ok
2020-10-02,217.51,223.3499,217.1,222.67,3833110,ok
2020-10-05,224.86,226.5,224.01,226.07,2913824,ok
2020-10-06,226.83,228.66,223.6,224.09,2453627,ok
2020-10-07,225.58,228.41,225.125,226.48,1972777,ok
2020-10-08,226.09,227.08,224.29,225.8,3195785,ok
2020-10-09,226.94,227.22,223.12,224.83,3237709,ok
2020-10-12,224.81,226.51,223.12,226.11,2412627,ok
2020-10-13,225.7,228.58,224.93,227.35,2098972,ok
2020-10-14,228.41,229.4803,227.35,227.62,1862687,ok
2020-10-15,226.15,230.0,225.59,229.64,2178247,ok
2020-10-16,229.77,231.91,229.1501,229.37,2162939,ok
2020-10-19,229.55,231.02,225.17,226.0,2009635,ok
2020-10-20,226.74,230.0,226.43,227.45,1883639,ok
2020-10-21,227.23,229.49,227.21,228.19,1518200,ok
2020-10-22,227.76,229.4,226.875,229.15,1961450,ok
2020-10-23,230.41,230.41,227.8,228.71,2278124,ok
2020-10-26,226.78,227.25,220.97,224.27,2538058,ok
2020-10-27,224.47,225.23,222.72,222.97,1801922,ok
2020-10-28,218.39,220.5916,214.46,214.69,3273074,ok
2020-10-29,214.69,217.65,213.07,214.95,2477582,ok
2020-10-30,213.6,215.22,209.905,213.0,3451419,ok
2020-11-02,215.88,216.32,210.79,212.56,2983362,ok
2020-11-03,215.59,218.1,213.95,216.8,2615017,ok
2020-11-04,215.0,219.47,213.3,214.87,3360836,ok
2020-11-05,216.07,218.2,214.68,216.31,3622023,ok
2020-11-06,216.0,217.885,214.25,216.56,3916076,ok
2020-11-09,226.79,227.8477,207.17,213.22,7981211,ok
2020-11-10,215.75,215.99,211.34,213.32,4255577,ok
2020-11-11,214.81,219.25,214.3,218.02,4127212,ok
2020-11-12,217.56,217.82,210.88,213.07,4257495,ok
2020-11-13,213.76,214.39,212.34,213.28,3072628,ok
2020-11-16,215.5,216.75,213.6301,216.73,3702131,ok
2020-11-17,215.6,217.39,214.02,216.01,2443547,ok
2020-11-18,216.1,217.84,215.41,215.52,3095154,ok
2020-11-19,214.84,215.48,213.33,215.11,2840460,ok
2020-11-20,214.39,215.215,213.625,214.09,3932954,ok
2020-11-23,215.14,217.6,214.65,217.0,3011272,ok
2020-11-24,219.01,221.25,218.25,219.71,3872224,ok
2020-11-25,219.98,220.59,217.92,219.34,1889200,ok
2020-11-27,219.02,220.4,217.66,218.33,1394366,ok
2020-11-30,216.46,217.57,214.43,217.44,3413588,ok
2020-12-01,218.88,218.93,215.53,216.14,4226275,ok
2020-12-02,214.0,214.4,209.13,210.86,6223661,ok
2020-12-03,210.94,213.23,210.5581,211.51,3732543,ok
2020-12-04,211.6,213.38,210.1,210.74,3151060,ok
2020-12-07,208.53,209.11,206.19,208.89,3826001,ok
2020-12-08,206.55,209.1,206.41,208.39,2709447,ok
2020-12-09,209.49,209.5271,207.33,208.69,3011056,ok
2020-12-10,208.5,208.76,207.07,208.04,2956368,ok
2020-12-11,207.47,208.94,206.73,207.76,2770817,ok
2020-12-14,210.73,214.74,210.21,211.92,4744960,ok
2020-12-15,213.22,216.21,212.7392,214.86,3799294,ok
2020-12-16,214.88,217.51,213.66,213.8,2681984,ok
2020-12-17,215.39,215.785,213.53,214.25,2558810,ok
2020-12-18,215.15,216.85,213.82,215.08,7929060,ok
2020-12-21,210.62,212.55,208.01,211.67,4342480,ok
2020-12-22,211.2,212.905,210.37,211.92,2773709,ok
2020-12-23,212.3,213.4338,211.79,212.02,1658765,ok
2020-12-24,212.12,212.74,211.14,211.39,1047650,ok
2020-12-28,212.99,214.88,212.19,214.02,2550104,ok
2020-12-29,214.64,215.78,212.45,212.71,1665725,ok
2020-12-30,212.96,213.36,211.28,211.56,1854990,ok
2020-12-31,211.25,214.93,210.78,214.58,2610914,ok
2021-01-04,214.49,214.72,208.22,210.22,4055409,ok
