Date,Open,High,Low,Close,Volume,Status
2020-01-02,106.03,108.09,105.21,107.6,4778551,ok
2020-01-03,105.4,106.8491,104.86,105.24,10014975,ok
2020-01-06,103.66,104.23,103.01,103.73,2017235,ok
2020-01-07,107.9,110.8,106.87,110.69,6704476,ok
2020-01-08,110.6,110.76,108.83,109.29,2403277,ok
2020-01-09,110.39,110.64,108.295,110.32,2210856,ok
2020-01-10,110.6,111.15,109.34,110.83,3153930,ok
2020-01-13,111.25,111.7,110.57,111.21,2405560,ok
2020-01-14,110.63,112.4703,109.87,110.12,3353508,ok
2020-01-15,109.26,109.4,106.92,107.58,6176035,ok
2020-01-16,108.35,109.34,107.49,108.82,2439318,ok
2020-01-17,109.08,109.97,108.12,109.41,2348058,ok
2020-01-21,109.0,109.65,108.49,109.24,2056071,ok
2020-01-22,109.77,110.97,108.8,109.34,1355469,ok
2020-01-23,109.74,110.45,108.46,110.26,1833221,ok
2020-01-24,111.32,111.37,106.29,107.22,2854901,ok
2020-01-27,102.875,104.48,102.33,102.98,2659909,ok
2020-01-28,104.15,105.16,103.58,104.2,1980342,ok
2020-01-29,104.33,105.02,102.4,102.46,1723901,ok
2020-01-30,101.56,102.09,99.65,101.56,2456080,ok
2020-01-31,100.6,100.945,96.93,97.48,3885441,ok
2020-02-03,98.34,98.67,97.27,97.55,2112454,ok
2020-02-04,100.71,102.18,100.08,101.71,3409896,ok
2020-02-05,107.99,111.55,105.24,108.51,6160552,ok
2020-02-06,108.54,108.99,106.63,108.48,2115986,ok
2020-02-07,107.66,107.99,105.89,106.21,2503760,ok
2020-02-10,105.22,108.17,105.01,108.15,2010173,ok
2020-02-11,109.0,110.78,108.14,108.86,2875563,ok
2020-02-12,109.5,110.82,109.32,109.7,2002626,ok
2020-02-13,109.02,110.96,108.13,110.37,1826001,ok
2020-02-14,110.75,110.95,108.645,109.36,1097528,ok
2020-02-18,108.22,108.79,106.85,106.96,1097172,ok
2020-02-19,108.04,109.96,107.78,109.82,1615483,ok
2020-02-20,108.77,109.54,107.085,108.13,1277256,ok
2020-02-21,107.17,107.81,104.6,105.08,2023596,ok
2020-02-24,101.0,102.8,99.94,100.13,3455108,ok
2020-02-25,100.92,101.09,96.27,97.18,2720529,ok
2020-02-26,98.4,99.43,94.15,94.77,3728315,ok
2020-02-27,92.12,93.77,89.76,89.88,4124209,ok
2020-02-28,86.79,92.4,86.0,90.71,5479657,ok
2020-03-02,91.6,95.28,90.09,95.22,4625134,ok
2020-03-03,94.265,96.97,89.2,89.41,5671329,ok
2020-03-04,90.81,93.6,89.03,93.26,4504310,ok
2020-03-05,90.03,91.568,88.08,88.68,4156883,ok
2020-03-06,85.39,88.695,84.93,86.96,5440355,ok
2020-03-09,80.38,82.36,77.95,77.96,6094905,ok
2020-03-10,80.98,82.0,76.05,81.48,6410937,ok
2020-03-11,78.95,80.11,73.22,73.4,9410004,ok
2020-03-12,69.76,70.41,61.84,62.32,10344215,ok
2020-03-13,66.75,69.99,62.39,69.97,6608385,ok
2020-03-16,61.45,65.7,55.77,55.77,6622755,ok
2020-03-17,58.5,62.97,54.86,62.5,7465456,ok
2020-03-18,56.32,60.84,54.57,57.95,6816036,ok
2020-03-19,55.57,63.04,53.15,60.56,6610672,ok
2020-03-20,62.12,64.38,58.29,59.64,5097291,ok
2020-03-23,64.26,68.64,62.36,65.51,9718025,ok
2020-03-24,69.89,75.99,69.89,75.72,8867417,ok
2020-03-25,75.75,78.33,73.79,74.93,8790832,ok
2020-03-26,75.45,76.1,72.29,74.52,4476036,ok
2020-03-27,71.44,71.94,67.94,68.2,4663261,ok
2020-03-30,69.4,70.66,67.33,68.99,3413297,ok
2020-03-31,68.11,70.93,67.375,67.8,5362666,ok
2020-04-01,65.1,66.97,62.0,62.79,3916745,ok
2020-04-02,61.76,65.21,61.62,64.98,4007328,ok
2020-04-03,64.35,66.01,63.02,64.04,3119013,ok
2020-04-06,67.88,74.4,67.25,73.98,4767285,ok
2020-04-07,76.6,77.0,72.49,73.34,4331877,ok
2020-04-08,75.38,80.03,74.39,79.52,6674059,ok
2020-04-09,79.5,83.89,77.86,78.45,6068319,ok
2020-04-13,78.13,80.05,76.51,79.56,2448660,ok
2020-04-14,81.61,83.41,80.6,81.94,2786238,ok
2020-04-15,79.48,79.64,77.3216,78.57,2531244,ok
2020-04-16,78.93,79.67,76.6609,77.56,2806633,ok
2020-04-17,80.59,81.47,78.18,80.34,3161485,ok
2020-04-20,78.96,80.06,77.56,77.71,2178292,ok
2020-04-21,76.49,77.1,74.58,74.85,2318191,ok
2020-04-22,78.01,79.53,76.76,79.03,1851125,ok
2020-04-23,79.0,80.99,78.5,78.8,1692526,ok
2020-04-24,79.23,82.42,78.8,82.01,2274253,ok
2020-04-27,82.6,84.87,82.6,84.71,3309599,ok
2020-04-28,87.62,89.79,86.31,87.35,3612508,ok
2020-04-29,90.05,92.72,89.55,92.27,3707711,ok
2020-04-30,91.48,91.6,87.08,87.73,2950435,ok
2020-05-01,85.47,85.62,81.36,81.52,3253969,ok
2020-05-04,81.71,82.15,80.12,82.02,2291100,ok
2020-05-05,83.65,86.57,82.97,83.47,2187964,ok
2020-05-06,85.0,85.538,83.345,83.76,1465038,ok
2020-05-07,85.46,87.08,84.56,85.5,2967269,ok
2020-05-08,84.84,89.83,83.5,89.7,3384974,ok
2020-05-11,88.0,89.64,87.13,88.3,1941228,ok
2020-05-12,88.09,89.91,85.99,85.99,1879732,ok
2020-05-13,87.11,87.35,82.56,83.95,2234498,ok
2020-05-14,82.7868,85.94,81.0949,85.8,2341674,ok
2020-05-15,82.62,83.99,82.13,83.55,2539640,ok
2020-05-18,85.81,89.51,85.56,89.02,2271959,ok
2020-05-19,88.46,90.52,88.09,88.14,2013280,ok
2020-05-20,89.54,92.1,89.02,91.3,4066131,ok
2020-05-21,90.47,91.48,87.471,87.63,2344336,ok
2020-05-22,86.92,88.18,86.4349,87.81,1815597,ok
2020-05-26,91.46,95.165,91.0,93.85,5158350,ok
2020-05-27,95.37,99.24,95.07,96.75,10372990,ok
2020-05-28,96.54,98.72,95.01,95.43,6114655,ok
2020-05-29,95.65,97.87,95.125,96.02,7180825,ok
2020-06-01,94.98,96.64,94.05,95.74,2455574,ok
2020-06-02,96.25,98.2,95.93,96.84,3507140,ok
2020-06-03,103.05,109.79,102.8,108.79,8725549,ok
2020-06-04,108.09,108.76,105.74,106.85,3897068,ok
2020-06-05,109.16,113.28,109.16,110.0,3942626,ok
2020-06-08,111.07,111.62,106.46,108.47,3454816,ok
2020-06-09,106.96,108.49,105.29,105.73,4604305,ok
2020-06-10,106.5,106.51,103.66,104.35,2902272,ok
2020-06-11,101.5,101.97,97.165,97.45,3765483,ok
2020-06-12,101.46,102.59,96.86,99.63,1937283,ok
2020-06-15,96.62,101.34,96.51,101.25,2605639,ok
2020-06-16,104.98,105.97,102.0,103.78,2852872,ok
2020-06-17,104.83,105.91,103.85,104.59,2399705,ok
2020-06-18,103.89,104.85,103.19,104.29,1700714,ok
2020-06-19,106.89,107.58,103.37,103.45,4607093,ok
2020-06-22,103.76,104.3,102.04,103.71,1430901,ok
2020-06-23,105.02,105.56,103.99,104.08,1144412,ok
2020-06-24,103.05,104.08,100.55,101.08,2892489,ok
2020-06-25,99.97,102.19,99.0,101.98,1675933,ok
2020-06-26,101.7,101.94,99.5,100.05,4458740,ok
2020-06-29,100.84,103.24,99.41,102.57,1968576,ok
2020-06-30,102.86,105.76,102.24,105.31,2875808,ok
2020-07-01,105.1295,105.48,103.11,103.12,1562116,ok
2020-07-02,105.4,106.28,103.94,104.61,2124822,ok
2020-07-06,106.74,108.87,106.01,107.75,1539161,ok
2020-07-07,107.29,107.87,104.8,104.99,2321257,ok
2020-07-08,104.96,105.395,102.53,103.98,4740439,ok
2020-07-09,103.82,109.34,101.6,107.55,5057871,ok
2020-07-10,108.6,108.6,105.22,106.61,1978019,ok
2020-07-13,108.72,110.1225,104.46,104.57,3424957,ok
2020-07-14,103.88,107.85,103.31,107.57,3386720,ok
2020-07-15,108.37,108.845,106.71,107.88,1636925,ok
2020-07-16,106.14,106.84,105.02,105.64,1881462,ok
2020-07-17,106.47,107.11,105.23,105.67,2041826,ok
2020-07-20,106.1,107.91,104.985,107.68,2058059,ok
2020-07-21,107.74,108.65,106.38,106.69,1907723,ok
2020-07-22,107.14,107.39,104.37,104.49,2206089,ok
2020-07-23,104.39,104.93,100.83,101.53,2995129,ok
2020-07-24,100.6635,102.56,99.331,100.21,2371772,ok
2020-07-27,101.81,104.37,101.25,103.09,2809722,ok
2020-07-28,102.56,102.56,100.07,100.52,1530133,ok
2020-07-29,101.0,103.19,100.685,102.69,1845313,ok
2020-07-30,100.52,102.38,99.75,102.25,2142979,ok
2020-07-31,102.19,102.65,100.42,101.73,1559668,ok
2020-08-03,102.51,105.16,102.27,104.87,1909949,ok
2020-08-04,104.22,107.65,104.19,107.32,2776203,ok
2020-08-05,100.0744,100.76,97.86,98.5,7413095,ok
2020-08-06,98.01,99.19,97.51,99.19,2241965,ok
2020-08-07,99.18,99.7984,97.665,98.97,2182431,ok
2020-08-10,98.6,100.3334,98.44,100.26,1675815,ok
2020-08-11,100.6,103.15,100.48,100.64,2629126,ok
2020-08-12,101.86,102.42,101.04,102.09,1716525,ok
2020-08-13,102.29,102.31,100.1,100.58,1786463,ok
2020-08-14,100.39,101.07,99.93,100.2,1210578,ok
2020-08-17,100.6,103.58,100.44,103.36,2025841,ok
2020-08-18,103.91,107.66,103.53,107.35,5641268,ok
2020-08-19,107.67,110.99,107.01,108.12,5146233,ok
2020-08-20,106.53,107.35,104.18,104.92,2082836,ok
2020-08-21,104.6,108.385,103.493,107.93,3882381,ok
2020-08-24,108.39,109.42,105.34,107.42,2953136,ok
2020-08-25,107.5,109.19,107.21,109.0,1648332,ok
2020-08-26,107.82,108.61,107.1255,107.63,1648723,ok
2020-08-27,109.32,109.32,106.41,107.41,1311495,ok
2020-08-28,107.7,110.55,107.46,110.52,1655889,ok
2020-08-31,110.0,110.44,109.15,109.7,2011365,ok
2020-09-01,109.92,112.39,109.21,112.35,1872837,ok
2020-09-02,113.0,115.105,111.5,114.69,2430857,ok
2020-09-03,113.37,113.431,108.22,109.01,2415777,ok
2020-09-04,108.66,109.7,104.66,108.15,2211388,ok
2020-09-08,104.97,106.25,102.79,102.88,2188062,ok
2020-09-09,101.99,103.29,100.84,101.45,3429404,ok
2020-09-10,102.54,104.03,99.93,100.6,2364606,ok
2020-09-11,101.5,102.416,99.57,100.7,1264960,ok
2020-09-14,103.05,103.335,101.59,102.21,1328170,ok
2020-09-15,103.47,104.21,102.57,103.62,1142648,ok
2020-09-16,104.19,105.42,103.29,103.565,1582392,ok
2020-09-17,100.06,103.84,99.83,103.52,1481736,ok
2020-09-18,103.79,104.31,99.81,101.4,4695784,ok
2020-09-21,99.5,99.82,96.16,98.5,2342383,ok
2020-09-22,99.0,99.47,97.99,99.2,1580788,ok
2020-09-23,99.25,100.31,97.3,97.65,1784489,ok
2020-09-24,96.82,99.1,96.31,97.75,1457950,ok
2020-09-25,97.35,99.27,95.53,99.05,1432480,ok
2020-09-28,101.11,103.09,100.51,103.07,1956218,ok
2020-09-29,102.74,104.04,102.01,102.74,1399823,ok
2020-09-30,103.04,104.67,102.43,102.76,2409319,ok
2020-10-01,106.08,108.01,105.01,107.05,2444429,ok
2020-10-02,104.25,107.33,103.76,103.76,1664339,ok
2020-10-05,104.74,107.41,104.74,107.31,1337225,ok
2020-10-06,107.34,109.89,106.26,106.49,1286570,ok
2020-10-07,108.38,109.18,107.73,108.79,1350263,ok
2020-10-08,109.79,111.82,109.295,111.58,1784196,ok
2020-10-09,114.24,116.56,113.22,113.98,1602808,ok
2020-10-12,115.36,115.5,113.62,114.13,2024748,ok
2020-10-13,112.76,113.0,111.08,111.58,1887386,ok
2020-10-14,111.58,112.3,110.46,110.75,1192946,ok
2020-10-15,109.38,111.456,108.8601,111.34,986664,ok
2020-10-16,111.76,112.34,110.73,110.81,1437462,ok
2020-10-19,114.99,115.04,111.0,111.66,1547719,ok
2020-10-20,112.21,113.775,111.22,111.23,1231902,ok
2020-10-21,111.36,112.31,109.84,110.48,1113728,ok
2020-10-22,110.51,112.88,109.55,112.52,1792392,ok
2020-10-23,113.36,113.36,111.72,112.52,954045,ok
2020-10-26,111.3,111.56,108.06,109.73,1004993,ok
2020-10-27,109.64,110.58,107.66,107.95,1063889,ok
2020-10-28,106.05,106.52,102.4,102.54,2119994,ok
2020-10-29,102.47,107.56,102.345,106.35,1772367,ok
2020-10-30,105.0,106.4,103.725,105.08,1661204,ok
2020-11-02,106.87,106.98,103.99,105.11,1334452,ok
2020-11-03,106.29,109.64,106.21,108.97,1614980,ok
2020-11-04,112.17,114.08,108.54,113.32,2017365,ok
2020-11-05,115.31,118.63,114.005,118.38,2602516,ok
2020-11-06,122.32,126.79,120.05,125.28,3520985,ok
2020-11-09,130.99,131.65,126.29,126.51,2457979,ok
2020-11-10,124.59,125.71,121.25,121.92,2475511,ok
2020-11-11,123.74,126.985,123.01,126.25,2029135,ok
2020-11-12,125.73,126.55,122.93,123.46,1114686,ok
2020-11-13,125.15,127.14,124.705,126.15,937084,ok
2020-11-16,127.84,129.74,126.305,129.65,1005934,ok
2020-11-17,127.62,128.51,125.97,127.37,1248390,ok
2020-11-18,127.27,127.79,124.74,124.85,1301389,ok
