Date,Open,High,Low,Close,Volume,Status
2020-01-02,139.11,139.85,137.52,138.69,976465,ok
2020-01-03,136.53,137.63,135.57,136.72,746649,ok
2020-01-06,136.04,138.17,135.22,138.16,1228556,ok
2020-01-07,137.02,137.88,135.8,137.85,681113,ok
2020-01-08,138.0,140.74,137.35,140.56,845559,ok
2020-01-09,140.63,142.03,140.0,141.3,802881,ok
2020-01-10,144.52,145.42,143.25,143.81,1157468,ok
2020-01-13,143.53,144.97,142.38,143.65,937562,ok
2020-01-14,148.49,151.33,147.96,150.67,2318645,ok
2020-01-15,150.68,155.93,150.34,154.03,1385778,ok
2020-01-16,154.99,156.32,153.94,156.26,921467,ok
2020-01-17,156.8,156.97,155.045,156.33,1687005,ok
2020-01-21,155.8,156.11,154.24,155.27,1267015,ok
2020-01-22,155.67,156.45,154.54,155.74,1681657,ok
2020-01-23,155.17,155.46,152.54,155.11,1137500,ok
2020-01-24,155.5,155.5,149.56,152.62,1135869,ok
2020-01-27,149.94,151.3,148.84,150.63,1200753,ok
2020-01-28,151.11,153.56,150.8101,152.12,699677,ok
2020-01-29,152.32,152.87,149.27,149.34,1128983,ok
2020-01-30,148.5,149.595,144.74,147.2,1330575,ok
2020-01-31,146.87,147.12,141.91,142.61,1473900,ok
2020-02-03,143.03,146.83,142.84,143.9,1361631,ok
2020-02-04,148.01,152.8,147.75,149.25,2440390,ok
2020-02-05,150.01,156.12,149.73,152.15,1615339,ok
2020-02-06,154.78,159.1,154.49,158.32,2128310,ok
2020-02-07,160.15,161.93,155.77,156.32,1792267,ok
2020-02-10,161.61,164.8406,159.781,162.14,6018464,ok
2020-02-11,162.34,165.41,160.75,164.65,3337061,ok
2020-02-12,165.21,168.38,164.04,168.02,3604422,ok
2020-02-13,166.27,169.67,166.02,167.91,5000487,ok
2020-02-14,167.09,168.5,164.25,168.03,6157610,ok
2020-02-18,168.38,169.03,166.76,167.63,5202281,ok
2020-02-19,167.92,168.35,166.17,168.01,4262367,ok
2020-02-20,168.2,171.22,167.0,170.78,3313565,ok
2020-02-21,169.75,172.18,168.48,170.96,3727315,ok
2020-02-24,167.03,169.26,165.285,165.56,6325827,ok
2020-02-25,167.2,167.37,160.19,160.85,5059267,ok
2020-02-26,161.84,163.14,157.71,158.98,5578119,ok
2020-02-27,156.0,157.1,147.66,147.71,5900114,ok
2020-02-28,143.37,146.86,137.9441,139.86,9285792,ok
2020-03-02,141.57,150.49,139.25,150.41,11921068,ok
2020-03-03,150.56,154.79,145.77,147.8,18003118,ok
2020-03-04,153.07,153.62,149.17,152.26,18687126,ok
2020-03-05,149.48,151.2,141.12,145.12,16884304,ok
2020-03-06,140.0,145.21,137.105,141.49,22272511,ok
2020-03-09,132.27,137.31,121.31,131.97,25015663,ok
2020-03-10,134.57,138.07,129.01,138.0,17595444,ok
2020-03-11,134.14,139.87,133.38,135.17,9719648,ok
2020-03-12,128.71,132.0,120.52,124.03,10738733,ok
2020-03-13,131.71,132.955,124.02,132.57,9345274,ok
2020-03-16,119.39,129.99,112.6,121.28,9402610,ok
2020-03-17,124.5,140.06,120.0,139.47,6674711,ok
2020-03-18,131.56,147.11,124.8,135.9,5795962,ok
2020-03-19,132.78,139.99,126.315,127.4,3531633,ok
2020-03-20,127.88,131.49,119.51,124.97,2993848,ok
2020-03-23,123.23,123.94,113.71,115.75,2754148,ok
2020-03-24,122.36,126.9,118.65,126.31,3116531,ok
2020-03-25,126.21,130.13,120.12,121.24,2491371,ok
2020-03-26,123.3,132.03,121.38,131.66,2282412,ok
2020-03-27,126.13,128.635,122.9595,125.7,9223005,ok
2020-03-30,127.24,139.64,127.215,138.02,2538451,ok
2020-03-31,133.27,138.63,132.33,135.26,3114415,ok
2020-04-01,130.46,134.57,129.15,133.06,1902636,ok
2020-04-02,128.88,130.76,121.15,129.2,2926026,ok
2020-04-03,128.01,129.99,123.24,125.49,2267966,ok
2020-04-06,131.12,135.88,128.13,135.2,2327121,ok
2020-04-07,140.0,141.57,131.54,132.08,1988205,ok
2020-04-08,131.35,134.21,128.81,131.56,2106535,ok
2020-04-09,132.16,135.84,130.61,133.32,1857020,ok
2020-04-13,132.95,133.97,129.16,131.02,1604191,ok
2020-04-14,136.14,137.77,133.08,137.66,2701684,ok
2020-04-15,136.95,139.24,133.4,137.98,2131788,ok
2020-04-16,136.68,139.63,135.12,138.11,2213050,ok
2020-04-17,141.47,141.76,137.41,141.61,1558328,ok
2020-04-20,140.19,142.25,138.26,140.49,899143,ok
2020-04-21,138.5,138.5,131.27,132.44,2193093,ok
2020-04-22,134.29,136.59,134.29,135.22,1395670,ok
2020-04-23,135.78,139.36,134.4,136.57,1023930,ok
2020-04-24,136.9,140.19,135.32,139.94,2660522,ok
2020-04-27,141.55,144.19,139.41,143.28,1264774,ok
2020-04-28,145.0,145.41,139.94,140.36,1966819,ok
2020-04-29,142.0,142.49,139.28,140.26,1252786,ok
2020-04-30,139.51,142.45,138.0527,141.25,2536430,ok
2020-05-01,139.13,139.13,132.98,134.7,1071701,ok
2020-05-04,134.0,136.23,132.81,135.68,908907,ok
2020-05-05,137.48,138.22,132.94,133.55,1705053,ok
2020-05-06,134.51,135.16,131.35,131.86,1095971,ok
2020-05-07,133.44,136.035,133.02,134.58,1421375,ok
2020-05-08,136.47,137.42,134.47,135.97,943099,ok
2020-05-11,138.0,141.79,137.11,140.26,1571977,ok
2020-05-12,141.18,141.7,134.72,134.77,1627078,ok
2020-05-13,133.78,134.0262,128.88,129.63,2064304,ok
2020-05-14,127.99,129.93,125.65,129.42,1908990,ok
2020-05-15,130.87,136.57,130.37,136.45,2173397,ok
2020-05-18,140.14,143.85,139.17,142.68,1731280,ok
2020-05-19,143.02,146.05,142.55,144.63,1877811,ok
2020-05-20,140.1,151.315,139.22,146.36,3224159,ok
2020-05-21,145.0,149.4,144.52,145.82,1598113,ok
2020-05-22,145.91,150.0,145.89,149.42,902940,ok
2020-05-26,152.45,153.71,148.82,149.19,1259650,ok
2020-05-27,149.6,155.375,149.6,155.34,1561648,ok
2020-05-28,156.73,159.31,155.63,156.86,1573700,ok
2020-05-29,157.09,159.07,155.105,158.67,1642340,ok
2020-06-01,158.33,160.58,157.625,158.94,991832,ok
2020-06-02,158.9,163.35,156.42,163.19,3981937,ok
2020-06-03,164.65,164.65,161.12,161.72,1147159,ok
2020-06-04,160.38,162.25,158.39,159.52,1558074,ok
2020-06-05,161.08,165.035,160.7,161.62,1518161,ok
2020-06-08,161.21,165.13,161.05,164.68,1272175,ok
2020-06-09,163.42,163.42,160.43,161.19,787091,ok
2020-06-10,161.63,161.88,154.37,154.39,1435755,ok
2020-06-11,151.48,151.81,144.56,146.56,1570414,ok
2020-06-12,150.43,151.1,144.74,148.25,894661,ok
2020-06-15,145.84,152.35,144.4,151.72,1856803,ok
2020-06-16,155.82,157.61,153.3,156.32,1072124,ok
2020-06-17,156.82,156.97,154.18,154.45,780451,ok
2020-06-18,153.24,154.24,151.84,153.42,771276,ok
2020-06-19,156.16,158.44,154.77,156.7,1498483,ok
2020-06-22,156.43,157.48,153.965,154.89,1001162,ok
2020-06-23,156.27,156.41,153.42,153.67,1132529,ok
2020-06-24,152.55,154.33,148.67,150.56,1008490,ok
2020-06-25,150.43,151.78,149.1,151.29,877907,ok
2020-06-26,150.6,152.3,147.2,148.21,3726335,ok
2020-06-29,149.35,152.32,149.06,151.77,817238,ok
2020-06-30,150.83,154.49,149.96,153.42,1038825,ok
2020-07-01,153.42,154.89,150.4,150.91,1168556,ok
2020-07-02,152.13,155.83,152.13,152.73,841179,ok
2020-07-06,154.43,154.825,150.38,151.51,706388,ok
2020-07-07,148.21,149.62,145.76,145.8,1571333,ok
2020-07-08,146.27,147.44,143.53,144.57,1190736,ok
2020-07-09,144.74,145.46,139.765,140.89,1141133,ok
2020-07-10,141.0,143.8788,140.85,143.02,958429,ok
2020-07-13,143.92,146.97,142.39,144.98,1078481,ok
2020-07-14,144.05,148.3,143.0749,147.84,1259035,ok
2020-07-15,149.91,153.87,149.5,153.5,1339140,ok
2020-07-16,153.0,155.4,151.94,153.37,635448,ok
2020-07-17,153.69,155.65,153.46,154.81,653502,ok
2020-07-20,154.81,155.18,151.79,153.5,630049,ok
2020-07-21,154.0,157.02,153.5,155.98,856825,ok
2020-07-22,155.83,157.66,155.04,156.25,988312,ok
2020-07-23,156.63,158.08,155.87,156.66,891259,ok
2020-07-24,156.66,157.78,154.865,155.34,594275,ok
2020-07-27,154.49,157.38,152.82,157.15,744366,ok
2020-07-28,157.0,157.13,153.638,153.89,921594,ok
2020-07-29,154.98,157.12,152.77,155.7,1451875,ok
2020-07-30,154.49,154.49,150.985,153.61,748190,ok
2020-07-31,153.5,153.5,146.77,150.16,1488158,ok
2020-08-03,155.66,160.39,154.54,159.9,1452171,ok
2020-08-04,159.0,159.31,156.0,157.02,1051252,ok
2020-08-05,158.03,158.25,152.75,153.67,1234141,ok
2020-08-06,152.64,153.52,151.02,151.75,1216645,ok
2020-08-07,150.83,152.11,150.7292,152.0,569031,ok
2020-08-10,151.94,153.78,150.77,152.39,816509,ok
2020-08-11,153.27,154.13,150.67,151.31,892010,ok
2020-08-12,152.0,154.61,150.95,153.0,920087,ok
2020-08-13,152.1,152.33,149.03,152.19,874756,ok
2020-08-14,151.37,160.0,151.06,158.67,3209688,ok
2020-08-17,160.0,160.08,155.59,155.79,1069448,ok
2020-08-18,155.58,157.3,155.39,155.54,727470,ok
2020-08-19,155.36,156.17,152.97,153.34,599672,ok
2020-08-20,151.96,153.07,151.43,151.89,629542,ok
2020-08-21,151.47,151.97,149.645,150.97,1335866,ok
2020-08-24,151.96,152.0,148.04,149.66,783802,ok
2020-08-25,150.08,152.3,148.805,152.0,669089,ok
2020-08-26,150.96,152.55,149.75,152.08,587806,ok
2020-08-27,152.43,155.36,150.66,154.26,935014,ok
2020-08-28,154.26,154.58,152.23,153.87,517535,ok
2020-08-31,153.13,155.1,152.24,153.44,952196,ok
2020-09-01,154.17,154.505,148.39,150.22,1276294,ok
2020-09-02,150.41,156.87,150.1,156.25,1386582,ok
2020-09-03,158.14,159.06,152.69,154.32,1308346,ok
2020-09-04,153.37,155.67,150.09,152.43,1095841,ok
2020-09-08,152.3,153.76,149.7,149.93,1234188,ok
2020-09-09,151.03,153.8,149.855,152.31,1002273,ok
2020-09-10,152.38,154.91,150.62,150.73,934079,ok
2020-09-11,151.3,152.05,149.69,150.37,730836,ok
2020-09-14,151.14,152.91,149.51,150.9,1016491,ok
2020-09-15,151.34,153.66,150.81,150.87,982109,ok
2020-09-16,151.84,154.685,151.59,152.75,1411816,ok
2020-09-17,150.36,153.02,149.44,151.5,1515602,ok
2020-09-18,150.5,153.92,150.5,152.13,2188324,ok
2020-09-21,149.04,150.0,146.46,148.23,1460998,ok
2020-09-22,148.11,150.86,148.11,149.61,1437904,ok
2020-09-23,149.43,151.15,146.83,147.09,1002518,ok
2020-09-24,146.81,149.572,145.0,146.56,1024580,ok
2020-09-25,146.5,149.19,146.12,148.51,993474,ok
2020-09-28,150.85,151.61,149.05,150.09,1161069,ok
2020-09-29,150.28,150.28,146.5,146.56,1469682,ok
2020-09-30,146.23,150.49,146.06,148.93,1384491,ok
2020-10-01,149.45,150.16,146.27,146.96,1377817,ok
2020-10-02,145.23,148.82,144.58,146.98,1330383,ok
2020-10-05,148.0,150.095,147.315,149.18,982318,ok
2020-10-06,149.56,150.66,145.76,146.23,1550175,ok
2020-10-07,147.2,148.87,146.68,148.13,857317,ok
2020-10-08,148.86,154.09,148.1301,153.99,1013429,ok
2020-10-09,154.46,154.56,150.82,151.29,1075337,ok
2020-10-12,151.92,152.45,150.265,150.68,616902,ok
2020-10-13,149.8,152.7,149.66,151.64,642246,ok
2020-10-14,151.0,154.7989,151.0,154.01,854191,ok
2020-10-15,152.28,156.7,152.28,156.55,899856,ok
2020-10-16,157.11,158.9175,155.81,156.67,977758,ok
2020-10-19,156.47,158.8,152.27,152.42,686945,ok
2020-10-20,153.89,155.4,152.57,153.04,786943,ok
2020-10-21,152.73,154.445,152.07,152.62,889514,ok
2020-10-22,152.84,154.75,152.29,154.23,602400,ok
2020-10-23,155.07,156.5474,154.38,156.41,556634,ok
2020-10-26,155.08,155.37,151.23,152.27,639646,ok
2020-10-27,152.14,153.305,149.11,149.21,618615,ok
2020-10-28,146.51,148.74,143.89,144.1,920004,ok
2020-10-29,143.84,145.2,141.32,143.79,1012852,ok
2020-10-30,143.26,147.59,143.26,147.49,1125145,ok
2020-11-02,150.34,152.58,148.22,152.03,1348533,ok
2020-11-03,156.1,163.24,155.3,160.01,1706079,ok
2020-11-04,164.5,170.23,164.04,166.04,1903055,ok
2020-11-05,168.55,174.05,167.8586,170.95,1119366,ok
2020-11-06,170.01,172.2,169.566,170.92,730759,ok
2020-11-09,180.02,183.43,176.21,178.51,2200710,ok
2020-11-10,180.0,186.03,179.725,183.44,1633678,ok
2020-11-11,184.0,184.5,177.52,177.81,1337983,ok
2020-11-12,176.58,179.73,176.26,177.94,818602,ok
2020-11-13,178.71,184.16,178.17,182.99,805820,ok
2020-11-16,186.85,187.67,182.58,183.66,1272438,ok
2020-11-17,178.02,178.745,169.82,173.64,3924312,ok
2020-11-18,176.7,179.9,174.01,176.53,2010480,ok
2020-11-19,175.95,175.95,169.69,171.94,1816860,ok
2020-11-20,171.26,172.65,168.88,169.87,1132108,ok
2020-11-23,171.85,174.41,170.54,173.48,997408,ok
2020-11-24,176.5,181.205,174.5,179.75,1941260,ok
2020-11-25,181.4,181.4,178.34,179.5,991146,ok
2020-11-27,179.66,181.77,179.1,180.0,469445,ok
2020-11-30,180.75,182.52,179.24,179.91,1797857,ok
2020-12-01,183.06,183.54,178.82,179.0,1163832,ok
2020-12-02,178.81,181.92,178.58,180.85,990359,ok
2020-12-03,180.55,181.065,178.71,179.16,946282,ok
2020-12-04,179.44,181.19,178.78,180.76,812306,ok
2020-12-07,180.1,180.3252,177.14,178.26,981188,ok
2020-12-08,176.97,180.94,176.58,180.42,953396,ok
2020-12-09,180.55,181.15,176.885,178.68,777351,ok
2020-12-10,177.55,179.14,176.93,177.68,905258,ok
2020-12-11,176.95,177.09,173.1,174.66,747443,ok
2020-12-14,176.5,176.5,171.8004,172.33,910479,ok
2020-12-15,173.52,174.41,171.38,173.08,820534,ok
2020-12-16,172.8,173.59,170.7264,172.35,969152,ok
2020-12-17,173.81,174.0,171.07,172.91,802734,ok
2020-12-18,173.0,174.18,170.83,173.55,2085514,ok
2020-12-21,171.1,171.69,169.2,171.42,956454,ok
2020-12-22,171.47,172.21,169.3372,170.01,720783,ok
2020-12-23,170.11,172.945,170.0,170.07,504399,ok
2020-12-24,170.72,170.99,169.09,170.78,256761,ok
2020-12-28,171.85,174.79,171.26,174.32,1023849,ok
2020-12-29,175.15,176.8937,173.08,174.18,813989,ok
2020-12-30,174.04,175.13,173.05,173.42,579953,ok
2020-12-31,173.0,174.14,171.76,173.92,663276,ok
2021-01-04,174.28,175.0,170.5,174.43,1071980,ok
2021-01-05,174.52,177.955,173.65,175.6,1548755,ok
2021-01-06,174.0,182.5,173.87,178.93,1478998,ok
2021-01-07,179.9,183.76,179.51,183.02,2120500,ok
2021-01-08,183.86,184.39,181.84,183.55,1171645,ok
2021-01-11,182.6,184.98,181.23,183.4,1119280,ok
2021-01-12,184.05,184.34,181.96,183.27,696682,ok
2021-01-13,182.97,184.01,182.24,183.4,616148,ok
2021-01-14,183.28,184.504,181.85,182.82,684833,ok
2021-01-15,182.32,185.4832,179.5779,184.42,901764,ok
2021-01-19,183.98,184.82,181.41,182.47,788782,ok
2021-01-20,182.5,184.27,180.75,184.16,644279,ok
2021-01-21,184.19,184.83,180.81,182.79,760734,ok
2021-01-22,182.86,186.6,182.17,185.01,917069,ok
2021-01-25,183.17,185.39,182.3,183.15,893212,ok
2021-01-26,183.87,185.98,182.97,184.42,664414,ok
2021-01-27,182.93,184.1,177.35,178.19,1245564,ok
2021-01-28,178.3,182.8,178.24,180.13,906939,ok
2021-01-29,179.51,180.77,172.77,174.47,1718331,ok
2021-02-01,176.44,181.25,175.4,179.73,1418129,ok
2021-02-02,184.41,187.37,180.09,180.55,1680538,ok
2021-02-03,181.04,182.48,178.27,181.51,1544913,ok
2021-02-04,181.4,186.81,181.0,186.07,1373492,ok
2021-02-05,186.15,186.71,182.27,183.06,873834,ok
2021-02-08,182.23,183.85,181.11,183.8,914193,ok
2021-02-09,184.46,185.44,182.9,184.98,770812,ok
2021-02-10,186.31,186.62,182.82,184.04,752503,ok
2021-02-11,184.01,184.41,180.37,181.77,657068,ok
2021-02-12,181.77,183.5,180.67,182.24,906232,ok
2021-02-16,183.27,184.0,180.48,180.8,1458960,ok
2021-02-17,179.7,181.75,178.44,181.29,722461,ok
2021-02-18,179.96,180.69,177.385,177.72,953686,ok
2021-02-19,178.02,179.8,177.4,177.62,845446,ok
2021-02-22,177.34,178.635,174.88,177.99,746220,ok
2021-02-23,179.2,181.19,176.82,180.58,1007560,ok
2021-02-24,179.48,181.98,178.97,181.29,815113,ok
2021-02-25,181.94,182.45,173.5416,174.11,1265383,ok
2021-02-26,174.96,174.96,169.34,169.52,1880073,ok
2021-03-01,171.15,175.75,170.8998,173.75,1195547,ok
2021-03-02,174.57,174.83,172.945,173.72,970939,ok
2021-03-03,172.94,174.7,171.18,172.21,1603888,ok
2021-03-04,171.59,173.96,169.9952,172.31,1253779,ok
2021-03-05,173.51,175.78,169.75,175.11,880366,ok
2021-03-08,176.34,179.43,175.41,176.09,804931,ok
2021-03-09,176.57,181.28,176.01,178.72,991599,ok
2021-03-10,180.08,185.1,179.15,183.51,1249084,ok
2021-03-11,183.81,186.35,181.54,183.13,1018485,ok
2021-03-12,184.09,187.68,183.49,187.55,1087638,ok
2021-03-15,186.66,189.72,186.64,188.87,991066,ok
2021-03-16,188.18,189.0,185.445,186.54,893239,ok
2021-03-17,187.17,188.67,185.48,187.01,896265,ok
2021-03-18,185.99,189.84,185.45,187.99,701210,ok
2021-03-19,188.13,191.77,186.67,189.77,2182713,ok
2021-03-22,189.93,192.45,189.03,192.38,1029160,ok
2021-03-23,192.59,193.36,187.58,188.43,955138,ok
2021-03-24,188.25,191.3,187.77,187.8,1003327,ok
2021-03-25,187.55,191.82,186.16,191.45,873927,ok
2021-03-26,192.53,194.15,191.22,194.09,735488,ok
2021-03-29,193.35,197.33,192.75,196.0,863789,ok
2021-03-30,197.07,198.43,195.69,196.53,934765,ok
2021-03-31,196.17,197.4,193.66,195.04,1189806,ok
2021-04-01,194.83,195.015,189.66,193.57,824138,ok
2021-04-05,194.82,195.8778,193.0,194.61,674829,ok
2021-04-06,194.6,194.86,190.92,191.45,790921,ok
2021-04-07,191.55,193.53,191.13,193.26,683861,ok
2021-04-08,193.12,193.415,189.44,189.47,811720,ok
2021-04-09,190.18,191.62,189.62,190.87,688004,ok
2021-04-12,189.94,193.0599,189.94,191.71,839232,ok
2021-04-13,190.28,190.835,187.21,189.16,941298,ok
2021-04-14,189.29,191.97,189.2,190.61,694119,ok
2021-04-15,191.41,192.67,190.34,191.37,751414,ok
2021-04-16,191.53,193.36,189.95,193.18,868753,ok
2021-04-19,194.23,194.81,192.34,193.69,645862,ok
2021-04-20,193.03,195.28,192.78,194.53,512735,ok
2021-04-21,195.65,197.245,193.815,196.04,572896,ok
2021-04-22,195.49,197.235,194.54,195.33,855054,ok
2021-04-23,195.77,197.205,193.97,196.1,661025,ok
2021-04-26,196.17,196.25,191.315,191.62,757051,ok
2021-04-27,191.01,191.015,187.71,189.33,1017779,ok
2021-04-28,188.99,189.13,187.03,187.94,900616,ok
2021-04-29,188.81,190.5,187.41,190.27,518539,ok
2021-04-30,190.22,190.75,187.17,187.56,919528,ok
2021-05-03,189.51,192.38,188.48,192.12,1150446,ok
2021-05-04,191.76,194.14,191.38,193.67,1167229,ok
2021-05-05,192.59,193.24,185.68,189.08,1519313,ok
2021-05-06,185.0,185.6,180.415,185.09,1808597,ok
2021-05-07,193.5,198.35,191.1,197.61,1948717,ok
2021-05-10,197.01,204.6597,197.01,202.13,1506334,ok
2021-05-11,202.2,202.56,196.44,197.94,1588146,ok
2021-05-12,197.47,198.435,194.755,197.07,1395352,ok
2021-05-13,197.55,199.52,195.6,195.76,1291482,ok
2021-05-14,197.09,197.18,194.02,195.0,1103089,ok
2021-05-17,194.56,201.335,194.19,199.36,1596617,ok
2021-05-18,198.22,199.38,195.775,197.29,1069497,ok
2021-05-19,196.5,198.83,192.5758,198.74,1469585,ok
2021-05-20,198.4,201.71,197.355,200.41,1117670,ok
2021-05-21,201.29,204.45,200.31,202.68,1157486,ok
2021-05-24,203.53,203.74,199.59,199.64,916249,ok
2021-05-25,199.73,200.3,195.71,196.02,914791,ok
2021-05-26,195.56,196.03,191.0,194.3,1361298,ok
2021-05-27,195.7,195.7,193.4,194.31,1290159,ok
2021-05-28,194.16,196.285,192.3,192.39,1265397,ok
2021-06-01,189.12,192.84,188.07,191.83,1060725,ok
2021-06-02,191.89,193.03,190.5,191.38,1044185,ok
2021-06-03,191.29,194.96,190.54,193.86,1158207,ok
2021-06-04,194.38,195.32,192.54,194.94,1126733,ok
2021-06-07,195.8,196.63,194.41,195.03,1041336,ok
