Date,Open,High,Low,Close,Volume,Status
2020-01-02,55.06,55.35,54.11,54.33,7272946,ok
2020-01-03,54.0,54.57,53.96,54.24,6791739,ok
2020-01-06,54.39,54.48,53.85,54.15,5906380,ok
2020-01-07,54.05,54.08,53.57,53.92,6716447,ok
2020-01-08,54.03,54.42,53.91,54.05,5435515,ok
2020-01-09,54.09,54.375,53.93,54.19,5653906,ok
2020-01-10,54.47,54.48,54.14,54.25,4639027,ok
2020-01-13,54.36,54.61,54.3161,54.59,7528806,ok
2020-01-14,54.63,54.665,54.04,54.19,5984182,ok
2020-01-15,54.53,54.98,54.31,54.74,5681677,ok
2020-01-16,54.83,55.34,54.79,55.19,5481791,ok
2020-01-17,55.14,55.38,55.02,55.16,9336363,ok
2020-01-21,54.96,55.84,54.84,55.54,9152630,ok
2020-01-22,55.74,55.94,55.44,55.46,4505297,ok
2020-01-23,55.35,55.65,55.1,55.44,6536575,ok
2020-01-24,55.53,55.74,54.86,55.09,5916401,ok
2020-01-27,54.87,55.15,54.585,54.69,5602945,ok
2020-01-28,54.56,55.125,54.56,54.85,7426103,ok
2020-01-29,54.88,55.0,54.5,54.56,5573911,ok
2020-01-30,56.02,58.93,55.86,58.8,18286135,ok
2020-01-31,58.47,59.43,57.155,57.38,14070269,ok
2020-02-03,57.79,57.84,57.125,57.55,7686397,ok
2020-02-04,57.91,58.0,57.315,57.43,7231873,ok
2020-02-05,57.76,58.18,57.52,57.92,7629317,ok
2020-02-06,57.53,58.52,57.5,58.42,5180981,ok
2020-02-07,58.48,59.22,58.37,58.66,5941959,ok
2020-02-10,58.47,59.11,58.4,58.97,5561946,ok
2020-02-11,59.02,59.16,58.72,58.87,4446654,ok
2020-02-12,59.08,59.53,58.305,58.95,7041419,ok
2020-02-13,58.93,59.06,58.545,59.03,5871976,ok
2020-02-14,59.17,59.73,58.85,59.68,4959008,ok
2020-02-18,58.96,59.89,58.94,59.66,6972742,ok
2020-02-19,59.85,59.96,59.235,59.3,5448330,ok
2020-02-20,58.93,59.34,58.525,59.04,5008876,ok
2020-02-21,58.85,59.2,58.65,58.75,5709044,ok
2020-02-24,58.19,58.72,57.61,57.74,6232242,ok
2020-02-25,57.72,58.27,56.87,57.02,7636458,ok
2020-02-26,57.32,57.995,56.8,56.86,9747026,ok
2020-02-27,56.54,57.22,54.42,54.46,14101019,ok
2020-02-28,53.17,53.32,51.56,52.8,14447343,ok
2020-03-02,52.63,55.63,52.49,55.6,12252617,ok
2020-03-03,55.42,56.9,54.39,54.79,13008179,ok
2020-03-04,55.62,58.13,55.49,58.01,12787198,ok
2020-03-05,56.82,57.3,56.08,56.86,10517033,ok
2020-03-06,54.47,55.98,54.29,55.66,9781193,ok
2020-03-09,52.55,54.86,52.07,53.94,15615197,ok
2020-03-10,54.99,55.49,52.33,54.91,16742269,ok
2020-03-11,53.41,53.69,51.41,52.34,14984305,ok
2020-03-12,49.23,50.52,46.57,47.51,15532975,ok
2020-03-13,49.64,50.94,47.2101,50.92,15074277,ok
2020-03-16,46.41,47.39,44.74,45.1,12679529,ok
2020-03-17,45.85,49.715,44.73,48.82,15149311,ok
2020-03-18,45.37,48.12,43.19,46.55,15316280,ok
2020-03-19,46.91,47.29,43.19,45.47,15194463,ok
2020-03-20,46.06,46.21,42.85,43.32,16246047,ok
2020-03-23,43.32,45.02,41.19,41.93,13466939,ok
2020-03-24,44.08,47.255,42.95,46.66,12476309,ok
2020-03-25,46.46,47.76,45.81,46.11,12419787,ok
2020-03-26,46.11,49.24,46.0,48.9,11595411,ok
2020-03-27,47.42,49.27,47.12,47.89,8254368,ok
2020-03-30,48.81,51.41,48.21,51.13,8356565,ok
2020-03-31,51.41,51.43,49.93,50.08,9248777,ok
2020-04-01,48.38,49.895,48.0,48.68,9069196,ok
2020-04-02,48.25,50.68,48.05,50.38,6818454,ok
2020-04-03,50.36,51.14,49.83,50.79,7788484,ok
2020-04-06,52.89,52.89,51.52,52.03,9426764,ok
2020-04-07,52.93,53.25,51.4,51.8,9592544,ok
2020-04-08,52.02,52.23,51.16,51.79,5820856,ok
2020-04-09,51.79,53.6,51.7,52.34,7989978,ok
2020-04-13,52.38,52.52,51.38,52.02,5398675,ok
2020-04-14,53.06,54.61,52.625,54.51,6905118,ok
2020-04-15,53.87,53.97,53.4,53.71,7335702,ok
2020-04-16,53.87,54.38,53.3,53.43,7143587,ok
2020-04-17,54.14,54.5,52.78,53.48,10669654,ok
2020-04-20,53.08,54.445,52.865,53.49,7040806,ok
2020-04-21,52.53,52.975,51.0,51.08,8171023,ok
2020-04-22,51.67,52.61,51.24,52.22,5691905,ok
2020-04-23,51.89,52.6067,51.17,51.33,9781303,ok
2020-04-24,51.43,51.625,50.95,51.41,6263059,ok
2020-04-27,51.69,51.81,50.98,51.48,8014621,ok
2020-04-28,52.06,52.34,50.86,51.17,8869058,ok
2020-04-29,51.63,51.65,49.98,51.05,9774331,ok
2020-04-30,50.53,51.6,49.74,51.44,13343137,ok
2020-05-01,51.14,51.7,50.44,50.7,7063039,ok
