Date,Open,High,Low,Close,Volume,Status
2020-01-02,114.46,114.91,113.1,114.56,3916983,ok
2020-01-03,113.16,114.41,113.05,113.88,2764848,ok
2020-01-06,113.27,114.95,113.1,114.89,3332213,ok
2020-01-07,114.34,115.3,114.14,114.49,4443899,ok
2020-01-08,115.31,116.89,115.25,116.5,5482835,ok
2020-01-09,117.05,118.6678,116.95,118.39,5120866,ok
2020-01-10,118.71,118.96,117.92,118.64,3181042,ok
2020-01-13,118.31,118.73,117.16,118.01,3367807,ok
2020-01-14,117.38,117.67,116.16,117.04,5695377,ok
2020-01-15,117.17,118.41,116.955,117.33,3683218,ok
2020-01-16,118.12,119.3,117.78,118.86,4019411,ok
2020-01-17,118.95,119.84,118.56,119.03,4906103,ok
2020-01-21,119.0,120.505,118.81,120.32,5596969,ok
2020-01-22,121.59,122.1477,120.36,121.09,4169487,ok
2020-01-23,120.74,121.29,119.64,120.97,4126009,ok
2020-01-24,120.89,121.03,118.865,119.26,3382523,ok
2020-01-27,118.5,120.06,118.21,119.23,4192093,ok
2020-01-28,119.21,120.05,119.16,119.18,3422692,ok
2020-01-29,119.75,120.15,118.32,118.37,3019517,ok
2020-01-30,117.43,118.5,116.69,118.15,5056151,ok
2020-01-31,117.76,118.15,115.0,115.44,6068013,ok
2020-02-03,115.95,118.33,115.885,117.99,5618531,ok
2020-02-04,119.45,120.47,119.1746,119.99,4000311,ok
2020-02-05,120.63,121.41,120.12,120.62,3811073,ok
2020-02-06,120.63,121.36,119.81,121.3,3763727,ok
2020-02-07,120.63,120.905,118.76,118.95,3946911,ok
2020-02-10,118.32,119.49,118.21,119.38,4057058,ok
2020-02-11,119.93,120.18,118.43,118.95,3959335,ok
2020-02-12,118.89,118.89,116.29,116.49,7629474,ok
2020-02-13,115.0,117.51,114.0,116.83,5639938,ok
2020-02-14,116.85,117.53,116.0,117.33,3815629,ok
2020-02-18,114.23,115.0,111.95,112.66,12050653,ok
2020-02-19,113.9,114.94,113.2,113.77,5198364,ok
2020-02-20,115.03,115.41,113.22,113.86,4914920,ok
