Date,Open,High,Low,Close,Volume,Status
2020-01-02,33.52,33.7,33.29,33.66,3466734,ok
2020-01-03,33.21,33.43,33.11,33.29,3299309,ok
2020-01-06,32.98,33.05,32.85,32.89,4060666,ok
2020-01-07,32.79,32.91,32.735,32.91,3647168,ok
2020-01-08,32.95,33.53,32.92,33.24,4213432,ok
2020-01-09,33.43,33.5499,33.31,33.44,2176406,ok
2020-01-10,33.49,33.56,33.095,33.21,3626735,ok
2020-01-13,33.21,33.465,33.1,33.37,3680745,ok
2020-01-14,33.32,33.38,33.1,33.29,4582849,ok
2020-01-15,33.19,33.36,33.055,33.09,3484874,ok
2020-01-16,33.29,34.09,33.25,34.02,7146943,ok
2020-01-17,34.11,34.635,34.08,34.54,7306392,ok
2020-01-21,33.85,33.89,32.37,32.39,10123912,ok
2020-01-22,32.63,32.69,31.74,31.95,7373211,ok
2020-01-23,31.29,32.4,31.1485,32.32,7721442,ok
2020-01-24,32.33,32.4,31.155,31.57,6877981,ok
2020-01-27,29.5,30.8,29.5,30.35,8361326,ok
2020-01-28,30.58,31.14,30.52,30.97,5531647,ok
2020-01-29,31.24,31.72,31.12,31.27,5923500,ok
2020-01-30,30.79,31.665,30.68,31.3,6917961,ok
2020-01-31,31.21,31.23,30.65,31.06,6999944,ok
2020-02-03,31.29,31.6559,31.08,31.21,4918273,ok
2020-02-04,31.55,32.43,31.55,32.25,5925077,ok
2020-02-05,32.69,32.87,32.18,32.37,3847515,ok
2020-02-06,32.66,32.765,32.45,32.48,4078426,ok
2020-02-07,32.0,32.15,31.25,31.36,7201344,ok
2020-02-10,31.24,32.14,31.22,32.11,5116670,ok
2020-02-11,32.37,32.86,32.24,32.71,5504083,ok
2020-02-12,33.0,33.78,32.92,33.66,12411044,ok
2020-02-13,32.25,33.01,31.6,31.8,15763482,ok
2020-02-14,31.79,31.85,30.99,31.52,10274889,ok
2020-02-18,31.54,32.09,31.5,32.02,9386353,ok
2020-02-19,32.25,32.35,31.945,32.09,6107011,ok
2020-02-20,31.88,32.35,31.7,32.34,6731843,ok
2020-02-21,31.75,31.91,31.23,31.39,8037121,ok
2020-02-24,30.09,30.23,29.48,29.7,11664551,ok
2020-02-25,29.95,30.06,27.75,27.89,14198121,ok
2020-02-26,28.12,28.165,26.47,26.71,16980844,ok
2020-02-27,26.0,27.0566,25.125,25.52,14395035,ok
2020-02-28,24.78,25.265,23.9,24.56,18396496,ok
2020-03-02,24.6,25.06,23.26,25.05,15648030,ok
2020-03-03,25.05,25.54,23.1,23.3,15690681,ok
2020-03-04,23.52,23.69,22.465,23.3,14876683,ok
2020-03-05,22.53,22.62,20.44,20.6,22895803,ok
2020-03-06,19.65,21.57,19.36,20.39,19551060,ok
2020-03-09,18.6,19.58,17.53,17.88,26213684,ok
2020-03-10,18.91,21.42,17.9,20.79,43886256,ok
2020-03-11,20.1,20.1,17.75,18.08,47149288,ok
2020-03-12,16.5,17.58,14.845,15.26,34800104,ok
2020-03-13,16.0,16.82,14.03,15.44,41141636,ok
2020-03-16,12.5,14.06,10.22,10.25,32036577,ok
2020-03-17,10.92,11.01,9.0,9.55,31209792,ok
2020-03-18,9.0,9.03,5.9001,7.14,47723953,ok
2020-03-19,7.17,9.24,6.45,7.7,39224143,ok
2020-03-20,8.89,11.16,8.67,9.11,56192277,ok
2020-03-23,9.73,9.82,8.921,9.15,31171260,ok
2020-03-24,11.45,12.9,10.66,12.18,52043534,ok
2020-03-25,14.45,14.72,11.6,12.95,53358010,ok
2020-03-26,13.25,15.3,12.87,13.45,46218949,ok
2020-03-27,12.75,12.965,12.1,12.19,37027034,ok
