Date,Open,High,Low,Close,Volume,Status
2020-01-02,281.72,281.82,275.54,276.61,553452,ok
2020-01-03,274.65,279.45,274.65,275.79,442430,ok
2020-01-06,276.88,278.09,275.74,276.64,571631,ok
2020-01-07,275.86,279.55,274.76,276.02,533689,ok
2020-01-08,276.28,279.16,273.93,276.96,506472,ok
2020-01-09,277.77,279.755,276.76,277.61,481619,ok
2020-01-10,277.35,277.35,272.3,276.87,335623,ok
2020-01-13,276.16,276.48,271.8,272.15,647923,ok
2020-01-14,269.38,270.0,260.1,260.75,1076906,ok
2020-01-15,260.73,262.78,258.77,262.19,703110,ok
2020-01-16,262.46,264.045,261.29,263.01,728930,ok
2020-01-17,263.17,266.95,262.7,266.74,541702,ok
2020-01-21,265.74,269.03,265.3465,267.76,590791,ok
2020-01-22,268.04,268.475,264.91,265.23,400880,ok
2020-01-23,263.88,267.96,262.42,267.87,385686,ok
2020-01-24,267.48,267.61,262.27,263.89,305793,ok
2020-01-27,261.5,265.07,259.3,259.54,545086,ok
2020-01-28,260.75,266.02,258.69,265.55,434466,ok
2020-01-29,265.93,268.2,260.55,260.65,504956,ok
2020-01-30,259.23,266.88,259.23,266.7,737824,ok
2020-01-31,265.47,265.69,259.94,263.8,387860,ok
2020-02-03,265.72,274.61,264.5,272.37,607146,ok
2020-02-04,274.41,274.5,266.42,272.43,482602,ok
2020-02-05,274.55,278.3925,273.29,277.2,559640,ok
2020-02-06,276.61,277.79,271.59,274.18,534017,ok
2020-02-07,273.72,275.71,271.97,274.1,310900,ok
2020-02-10,273.88,276.85,272.69,276.79,744133,ok
2020-02-11,272.25,272.35,261.56,262.76,901393,ok
2020-02-12,261.64,261.98,255.3,260.0,636450,ok
2020-02-13,260.0,265.05,259.53,262.68,616080,ok
2020-02-14,262.67,263.8,261.48,263.48,545043,ok
2020-02-18,262.0,263.535,256.26,257.2,700388,ok
2020-02-19,256.87,260.83,255.7,258.67,753577,ok
2020-02-20,259.12,261.1,255.43,258.08,506254,ok
2020-02-21,257.22,257.24,250.835,251.42,725233,ok
