Date,Open,High,Low,Close,Volume,Status
2020-01-02,111.59,112.05,111.12,112.05,1838533,ok
2020-01-03,110.97,112.09,110.83,111.88,1486483,ok
2020-01-06,111.33,111.95,111.06,111.91,1344383,ok
2020-01-07,111.74,112.26,111.21,111.57,1014954,ok
2020-01-08,111.64,112.345,111.21,111.24,1327273,ok
2020-01-09,111.76,112.39,111.67,112.03,1276381,ok
2020-01-10,112.25,112.43,111.47,111.7,1394087,ok
2020-01-13,111.77,112.38,111.705,112.0,1529836,ok
2020-01-14,111.78,112.17,111.16,111.51,1510025,ok
2020-01-15,111.48,112.56,111.36,112.21,1392134,ok
2020-01-16,112.72,112.93,112.17,112.82,1328008,ok
2020-01-17,113.08,114.15,113.07,114.15,2238899,ok
2020-01-21,113.78,114.56,113.59,113.96,1335138,ok
2020-01-22,114.18,114.47,113.57,113.61,1192989,ok
2020-01-23,113.06,114.29,112.57,114.23,1364933,ok
2020-01-24,114.48,114.74,113.15,113.87,915036,ok
2020-01-27,112.58,113.82,112.27,113.0,1047012,ok
2020-01-28,113.17,115.67,113.17,115.14,1937156,ok
2020-01-29,115.41,116.84,115.1,115.94,2176132,ok
2020-01-30,113.66,115.48,111.52,114.6,2240484,ok
2020-01-31,114.23,114.99,111.16,111.86,2621472,ok
2020-02-03,112.52,113.88,112.3,113.45,1627933,ok
2020-02-04,114.58,115.89,114.38,114.73,1462636,ok
2020-02-05,115.7,116.7,114.51,116.69,2033838,ok
2020-02-06,116.93,116.99,115.69,116.45,2415010,ok
2020-02-07,116.36,117.26,115.84,116.68,1307312,ok
2020-02-10,116.0,117.57,115.97,117.57,1131372,ok
2020-02-11,117.95,118.45,117.58,118.15,1198826,ok
2020-02-12,118.08,118.89,117.77,118.75,1247280,ok
2020-02-13,118.69,119.88,118.66,119.37,1207289,ok
2020-02-14,119.36,119.64,118.24,118.78,1214236,ok
2020-02-18,118.63,119.51,118.22,119.45,1352661,ok
2020-02-19,119.5,119.56,118.45,118.48,1143832,ok
2020-02-20,118.33,118.63,116.695,117.08,1322639,ok
2020-02-21,116.58,116.94,115.54,116.35,1947776,ok
2020-02-24,113.89,115.35,112.725,113.33,2349602,ok
2020-02-25,113.75,114.12,110.655,111.11,1721833,ok
2020-02-26,111.8,113.4177,111.64,112.59,1964739,ok
2020-02-27,111.27,112.29,106.85,106.88,2325178,ok
2020-02-28,104.44,105.62,101.56,104.56,4077704,ok
2020-03-02,104.18,108.08,104.1,108.01,4028774,ok
2020-03-03,108.21,110.34,105.04,106.52,3264755,ok
2020-03-04,108.05,110.67,107.24,110.6,4734177,ok
2020-03-05,108.43,108.49,105.33,106.56,3075902,ok
2020-03-06,103.02,106.23,101.76,105.67,3651106,ok
2020-03-09,98.33,102.17,97.62,99.88,4864422,ok
2020-03-10,102.72,103.92,98.95,103.09,4267187,ok
2020-03-11,100.43,100.96,97.92,98.95,2827814,ok
2020-03-12,93.57,100.36,92.48,93.0,5559827,ok
2020-03-13,95.98,99.19,91.4,98.64,5974034,ok
2020-03-16,88.56,93.47,86.26,87.86,4249580,ok
2020-03-17,90.46,93.89,89.18,91.9,4341502,ok
2020-03-18,87.25,87.79,75.79,80.81,4721528,ok
2020-03-19,80.38,82.03,75.88,79.03,4356932,ok
2020-03-20,79.81,84.01,77.44,79.87,3788730,ok
2020-03-23,78.4,79.4,74.335,76.69,4772956,ok
2020-03-24,80.25,87.89,79.54,86.93,4379232,ok
2020-03-25,85.69,90.87,84.3334,86.86,3000004,ok
2020-03-26,88.04,89.71,84.53,85.86,3560534,ok
2020-03-27,82.74,88.24,82.62,85.45,3159224,ok
2020-03-30,85.7,89.9,84.99,89.55,2785649,ok
2020-03-31,88.56,89.58,85.27,86.46,3670576,ok
2020-04-01,83.69,85.08,81.43,82.02,3228633,ok
2020-04-02,81.25,84.22,81.1,82.75,2451132,ok
2020-04-03,81.89,82.975,78.951,79.9,2720178,ok
2020-04-06,83.63,88.06,82.63,87.33,2911149,ok
2020-04-07,90.96,91.077,87.3,87.4,2399924,ok
2020-04-08,88.61,94.07,87.36,93.61,2707282,ok
