Date,Open,High,Low,Close,Volume,Status
2020-01-02,177.68,180.01,177.1356,180.0,3448335,ok
2020-01-03,177.02,178.66,175.63,178.45,2467310,ok
2020-01-06,177.15,178.71,176.35,178.62,1997981,ok
2020-01-07,178.28,178.51,176.82,177.9,2176615,ok
2020-01-08,178.0,181.5,177.65,180.63,2758339,ok
2020-01-09,181.51,181.59,179.76,181.2,2746346,ok
2020-01-10,181.61,182.18,180.14,180.47,2103818,ok
2020-01-13,180.94,182.23,180.36,180.92,2091209,ok
2020-01-14,180.92,182.545,180.21,181.37,2911327,ok
2020-01-15,181.42,181.86,179.18,179.78,2482218,ok
2020-01-16,180.68,181.2,179.69,181.01,2149924,ok
2020-01-17,181.0,182.1545,180.7,181.35,3690110,ok
2020-01-21,181.85,181.91,178.63,179.39,3368041,ok
2020-01-22,179.51,180.57,177.88,178.03,2420200,ok
2020-01-23,177.07,178.435,176.39,177.74,2358443,ok
2020-01-24,178.49,179.81,177.53,178.15,2643095,ok
2020-01-27,179.86,180.59,175.54,175.63,4361414,ok
2020-01-28,171.9,172.34,165.05,165.58,8920690,ok
2020-01-29,166.35,166.47,161.53,162.0,5344836,ok
2020-01-30,161.0,162.64,158.76,162.51,4357053,ok
2020-01-31,162.0,162.652,158.225,158.66,5740330,ok
2020-02-03,160.03,160.31,156.38,156.59,3927092,ok
2020-02-04,159.77,159.96,157.0,157.24,4363945,ok
2020-02-05,159.12,162.33,158.7,162.33,3118214,ok
2020-02-06,164.49,165.0,162.47,162.89,3413761,ok
2020-02-07,161.41,161.92,159.63,160.08,2736232,ok
2020-02-10,160.21,161.255,158.87,160.15,2754764,ok
2020-02-11,161.0,162.52,160.02,162.45,2275323,ok
2020-02-12,164.24,165.04,163.5651,163.8,2736382,ok
2020-02-13,161.76,161.87,159.0,159.76,3414117,ok
2020-02-14,159.85,161.14,158.82,161.01,2233840,ok
2020-02-18,160.36,160.53,158.04,158.88,2481963,ok
2020-02-19,159.08,160.47,158.36,159.34,2296554,ok
2020-02-20,159.0,161.39,158.5,158.56,3275083,ok
2020-02-21,158.33,158.59,156.12,156.93,3535642,ok
2020-02-24,154.45,154.71,152.22,152.55,3635787,ok
2020-02-25,153.31,153.44,145.97,146.85,5263388,ok
2020-02-26,149.57,151.82,148.09,148.96,5155285,ok
2020-02-27,151.23,155.43,149.0,150.16,8241561,ok
2020-02-28,154.09,156.72,146.0,149.24,11508710,ok
2020-03-02,151.34,153.43,148.37,153.02,8026254,ok
2020-03-03,152.44,154.0,144.44,145.24,8296485,ok
2020-03-04,147.02,154.0,145.99,153.98,5773845,ok
2020-03-05,150.8,154.35,149.5475,151.41,5887040,ok
2020-03-06,149.59,154.74,147.87,153.65,7155126,ok
2020-03-09,146.59,149.46,143.55,144.06,8194358,ok
2020-03-10,149.02,153.38,144.882,153.3,5651741,ok
2020-03-11,149.73,149.73,146.47,147.24,4753737,ok
2020-03-12,139.96,141.71,130.34,133.58,8215829,ok
2020-03-13,141.01,141.69,131.0,141.68,6580346,ok
2020-03-16,129.86,135.5,128.01,130.91,7440840,ok
2020-03-17,131.94,136.77,129.61,134.44,6535424,ok
2020-03-18,128.46,139.37,128.39,137.02,6860393,ok
2020-03-19,137.71,140.18,132.93,137.51,6365999,ok
2020-03-20,138.07,139.24,122.71,124.89,9589183,ok
2020-03-23,128.16,128.4,114.04,117.87,7934299,ok
2020-03-24,122.29,133.45,121.0,132.72,9311725,ok
2020-03-25,133.15,134.69,126.8,131.54,7742500,ok
2020-03-26,131.79,136.38,130.61,136.18,6718291,ok
2020-03-27,132.83,137.07,130.91,133.24,4262337,ok
2020-03-30,132.25,138.01,131.06,137.74,3869504,ok
2020-03-31,135.69,139.44,135.68,136.51,3614963,ok
2020-04-01,132.0,135.835,131.01,133.14,3777954,ok
2020-04-02,132.36,138.21,132.1,137.91,3990340,ok
2020-04-03,136.01,137.435,132.9,133.79,3588252,ok
2020-04-06,137.86,141.25,136.9,140.7,5639666,ok
2020-04-07,147.5,150.6399,144.395,144.6,5496738,ok
2020-04-08,145.73,149.7231,143.91,148.99,3071063,ok
