Date,Open,High,Low,Close,Volume,Status
2020-01-02,60.88,61.92,60.38,61.91,4425042,ok
2020-01-03,61.06,61.36,58.165,58.23,9674271,ok
2020-01-06,57.72,58.73,57.02,58.22,7878031,ok
2020-01-07,57.68,59.17,57.23,59.14,6584133,ok
2020-01-08,58.92,59.11,57.7862,58.52,5585203,ok
2020-01-09,58.42,59.42,57.96,59.39,6180041,ok
2020-01-10,59.66,61.07,59.43,60.22,4941493,ok
2020-01-13,60.26,60.49,59.31,59.62,4044960,ok
2020-01-14,59.47,60.115,59.13,59.84,5413569,ok
2020-01-15,59.53,59.69,57.725,58.13,7231292,ok
2020-01-16,58.45,58.56,57.3,57.53,7222343,ok
2020-01-17,57.54,57.61,56.555,56.89,6122646,ok
2020-01-21,56.4,56.6,55.7,56.18,6499846,ok
2020-01-22,56.49,56.49,55.87,55.97,4152002,ok
2020-01-23,55.48,55.84,53.95,55.33,5106995,ok
2020-01-24,55.14,55.28,53.96,54.49,4607590,ok
2020-01-27,53.17,53.35,52.25,52.7,7797172,ok
2020-01-28,53.02,53.67,52.29,52.93,5148687,ok
2020-01-29,54.6,55.94,52.36,53.59,9915477,ok
2020-01-30,52.78,54.62,52.76,54.35,5282610,ok
2020-01-31,53.99,55.73,53.65,54.5,9482645,ok
2020-02-03,54.54,54.695,52.04,52.06,7341415,ok
2020-02-04,53.37,53.84,52.2415,53.39,7008960,ok
2020-02-05,54.01,55.74,54.01,55.54,6227668,ok
2020-02-06,55.82,56.09,55.28,55.46,3572139,ok
2020-02-07,55.0,55.41,54.5,54.69,5589065,ok
2020-02-10,54.39,55.09,53.89,55.07,4114111,ok
2020-02-11,55.55,57.16,55.08,56.76,6780852,ok
2020-02-12,58.29,59.015,57.6499,58.93,8065043,ok
2020-02-13,58.69,60.07,58.31,59.5,6661113,ok
2020-02-14,59.49,59.9,58.05,58.33,6811949,ok
2020-02-18,57.18,57.3,56.3,56.47,5258787,ok
2020-02-19,56.65,57.93,56.29,57.69,7065112,ok
2020-02-20,58.7,60.35,58.25,60.26,13576285,ok
2020-02-21,59.95,60.22,58.93,59.13,6490798,ok
2020-02-24,57.0,57.01,55.28,55.87,10276810,ok
2020-02-25,56.07,56.15,52.775,53.12,8826260,ok
2020-02-26,53.11,54.46,52.09,52.27,6041580,ok
2020-02-27,50.68,50.76,47.835,47.93,13247456,ok
2020-02-28,45.93,47.53,45.02,47.42,14193678,ok
2020-03-02,47.89,48.21,45.691,47.73,11884657,ok
2020-03-03,47.53,48.25,44.81,45.17,8506446,ok
2020-03-04,46.1,46.25,44.81,45.88,6923959,ok
2020-03-05,42.7,42.79,39.63,41.21,15767448,ok
2020-03-06,40.14,40.85,38.05,39.15,13936970,ok
2020-03-09,31.89,37.25,30.78,33.82,14834816,ok
2020-03-10,36.08,36.71,33.04,34.52,12203683,ok
2020-03-11,33.11,34.14,29.43,31.36,13536660,ok
2020-03-12,28.17,28.17,22.5,22.89,23938996,ok
2020-03-13,25.84,26.29,22.71,24.92,17766889,ok
2020-03-16,20.52,23.75,19.99,20.29,14482359,ok
2020-03-17,20.83,21.75,18.46,20.3,13424787,ok
2020-03-18,18.6,19.1,15.58,16.75,17496950,ok
2020-03-19,17.01,17.77,15.26,16.72,17581678,ok
2020-03-20,17.61,19.86,16.43,18.95,19580412,ok
2020-03-23,18.71,18.82,16.5,16.62,12971090,ok
2020-03-24,17.99,18.77,16.825,17.5,14391439,ok
2020-03-25,18.25,22.33,16.5701,21.11,18300250,ok
2020-03-26,22.25,24.86,22.08,23.14,18509020,ok
2020-03-27,22.05,23.93,20.6,23.15,11426336,ok
2020-03-30,22.83,24.7,21.5,24.33,10262979,ok
2020-03-31,25.53,25.64,22.69,23.62,11633027,ok
2020-04-01,21.93,22.69,20.65,20.87,9305056,ok
2020-04-02,22.19,24.8,20.94,21.22,11990433,ok
2020-04-03,22.4,22.51,18.27,20.06,14114521,ok
2020-04-06,21.16,23.53,21.065,23.09,10180003,ok
2020-04-07,25.39,26.0,22.1,22.51,14246865,ok
2020-04-08,23.25,25.28,23.18,24.31,18008627,ok
2020-04-09,26.07,27.27,24.03,25.63,15625778,ok
2020-04-13,26.8,26.8,24.72,25.33,11670062,ok
2020-04-14,25.32,26.46,25.32,26.3,11312392,ok
2020-04-15,24.81,24.81,23.515,23.98,8269069,ok
2020-04-16,24.01,24.1115,21.9,21.95,11792581,ok
2020-04-17,22.61,25.5,22.42,25.45,13646123,ok
