Date,Open,High,Low,Close,Volume,Status
2020-01-02,180.12,180.87,176.09,180.01,333696,ok
2020-01-03,176.74,178.5,176.12,176.75,233337,ok
2020-01-06,174.13,175.785,172.9806,174.94,339936,ok
2020-01-07,176.03,177.91,174.615,176.57,645310,ok
2020-01-08,176.7,177.59,175.08,176.34,297528,ok
2020-01-09,177.45,179.095,176.865,178.72,180560,ok
2020-01-10,178.65,179.46,176.4,176.87,275012,ok
2020-01-13,178.18,179.95,177.16,179.31,272410,ok
2020-01-14,179.3,181.0,178.01,178.93,212231,ok
2020-01-15,179.1,179.83,176.68,178.12,324250,ok
2020-01-16,179.56,180.6,178.53,180.34,388151,ok
2020-01-17,181.57,182.09,179.515,181.61,356103,ok
2020-01-21,181.12,184.03,181.1,182.18,322117,ok
2020-01-22,183.98,184.92,181.22,181.71,330814,ok
2020-01-23,181.99,183.465,180.35,183.03,393391,ok
2020-01-24,184.0,184.95,182.45,183.29,413900,ok
2020-01-27,178.0,178.46,175.85,176.05,302631,ok
2020-01-28,178.06,181.22,176.78,180.28,229830,ok
2020-01-29,180.28,180.95,177.39,177.5,229073,ok
2020-01-30,176.53,179.32,175.31,178.5,299714,ok
2020-01-31,176.95,177.74,170.925,171.17,460488,ok
2020-02-03,172.42,175.65,171.21,175.21,340947,ok
2020-02-04,179.84,182.97,177.91,182.62,284934,ok
2020-02-05,185.28,186.99,182.27,186.99,425066,ok
2020-02-06,187.15,190.88,179.6,181.86,765690,ok
2020-02-07,180.46,182.49,178.806,180.21,527015,ok
2020-02-10,176.73,184.42,175.83,184.19,247298,ok
2020-02-11,185.0,190.69,184.05,189.52,258946,ok
2020-02-12,190.45,191.98,188.72,190.73,335744,ok
2020-02-13,188.43,192.78,188.21,191.43,327196,ok
2020-02-14,192.59,193.1,189.61,191.19,321577,ok
2020-02-18,187.81,188.69,183.47,185.33,331269,ok
2020-02-19,184.3,188.94,184.3,187.46,285326,ok
2020-02-20,186.94,187.1,181.78,184.06,263929,ok
2020-02-21,182.68,182.68,175.55,176.63,318868,ok
2020-02-24,168.47,169.73,165.72,165.87,543160,ok
2020-02-25,167.95,168.296,162.325,164.54,423290,ok
2020-02-26,165.07,169.62,162.65,164.22,329751,ok
2020-02-27,159.19,161.88,155.27,157.22,364005,ok
2020-02-28,150.97,160.595,150.37,158.64,448171,ok
2020-03-02,160.86,164.57,156.345,164.12,370582,ok
2020-03-03,165.19,168.26,159.12,162.21,429677,ok
2020-03-04,165.48,171.79,162.79,171.54,277505,ok
2020-03-05,169.37,177.195,166.7509,172.33,447476,ok
2020-03-06,167.1,169.89,161.11,166.06,391744,ok
2020-03-09,151.36,159.06,148.22,148.51,432372,ok
2020-03-10,154.19,163.75,152.6341,163.62,582233,ok
2020-03-11,159.86,163.005,152.87,155.8,475987,ok
2020-03-12,145.3,156.805,139.59,145.99,612635,ok
2020-03-13,155.19,170.78,142.44,170.56,660812,ok
2020-03-16,151.5,159.955,135.97,135.97,703497,ok
