Date,Open,High,Low,Close,Volume,Status
2020-01-02,91.08,92.14,90.365,92.04,7877027,ok
2020-01-03,90.68,92.07,90.51,91.25,5633388,ok
2020-01-06,91.23,91.735,90.99,91.64,7179428,ok
2020-01-07,90.8,91.12,89.12,89.2,10629555,ok
2020-01-08,89.09,89.5,88.41,88.6,14505075,ok
2020-01-09,88.95,90.05,88.78,89.38,9269803,ok
2020-01-10,89.72,90.11,89.445,89.53,5673065,ok
2020-01-13,89.52,89.63,89.02,89.51,9792380,ok
2020-01-14,89.27,89.93,88.87,89.93,8231645,ok
2020-01-15,90.1,91.61,90.09,91.54,9173676,ok
2020-01-16,91.86,92.0554,91.05,91.18,6920322,ok
2020-01-17,91.28,91.63,90.86,90.97,9667383,ok
2020-01-21,90.72,90.97,89.71,89.97,9563099,ok
2020-01-22,90.17,90.46,89.62,89.65,7443497,ok
2020-01-23,89.66,89.66,88.26,88.56,12593987,ok
2020-01-24,88.63,88.825,85.58,85.98,14270276,ok
2020-01-27,85.1,86.505,84.71,86.1,10350735,ok
2020-01-28,86.44,86.71,85.9,86.25,9061461,ok
2020-01-29,86.6,88.16,86.43,87.24,8121480,ok
2020-01-30,86.95,87.13,86.2,86.5,10511860,ok
2020-01-31,86.38,86.67,85.0,85.44,9180904,ok
2020-02-03,86.04,88.22,86.04,87.34,9286129,ok
2020-02-04,88.43,89.2,88.06,88.36,14400107,ok
2020-02-05,84.68,86.74,84.0,85.83,27948598,ok
2020-02-06,86.02,86.225,85.26,85.68,15372326,ok
2020-02-07,85.89,85.94,84.83,85.08,10896597,ok
2020-02-10,85.08,85.98,84.94,85.66,10106104,ok
2020-02-11,85.86,86.0,84.945,85.25,9783063,ok
2020-02-12,85.04,85.23,82.9,83.25,18731834,ok
2020-02-13,82.93,82.93,81.45,81.97,18500736,ok
2020-02-14,82.23,82.8,81.67,82.65,8342959,ok
2020-02-18,82.88,83.11,82.255,82.46,9560516,ok
2020-02-19,83.08,83.11,81.57,82.0,11202466,ok
2020-02-20,82.22,82.83,81.72,82.49,10440206,ok
2020-02-21,82.19,82.63,81.71,82.34,8870220,ok
2020-02-24,80.61,82.5881,80.57,81.33,13105392,ok
2020-02-25,81.53,81.94,79.8532,80.27,12568408,ok
2020-02-26,80.66,81.63,79.77,79.94,11394319,ok
2020-02-27,80.71,81.75,78.0,78.08,15013632,ok
2020-02-28,76.68,77.49,74.18,76.56,27922045,ok
2020-03-02,77.13,81.55,77.08,81.37,17977601,ok
2020-03-03,81.4,82.4,77.91,79.13,16598138,ok
2020-03-04,81.5,83.07,79.88,82.97,19298038,ok
2020-03-05,81.53,82.77,80.94,81.58,14330037,ok
2020-03-06,79.97,82.62,79.43,82.2,13557823,ok
2020-03-09,78.0,80.725,76.99,78.96,18075232,ok
2020-03-10,80.48,82.18,77.5,82.02,16724740,ok
2020-03-11,79.83,80.16,78.03,79.25,13623740,ok
2020-03-12,74.4,78.06,73.26,74.45,21626661,ok
2020-03-13,76.22,77.23,72.26,76.75,24672803,ok
2020-03-16,70.77,76.09,67.12,69.92,19855331,ok
2020-03-17,71.65,76.07,71.38,74.48,23612425,ok
2020-03-18,71.45,74.66,68.83,71.63,17708454,ok
2020-03-19,71.35,72.86,68.91,70.73,18386197,ok
2020-03-20,69.55,72.5,68.5,71.36,22019171,ok
2020-03-23,70.27,71.61,65.25,66.4,17533427,ok
2020-03-24,68.99,69.75,67.19,69.05,18990360,ok
2020-03-25,68.41,70.38,66.75,68.22,17472813,ok
2020-03-26,68.14,74.18,68.1,73.53,17229093,ok
2020-03-27,71.8,73.43,71.25,71.73,11896224,ok
2020-03-30,73.62,77.59,72.88,76.95,15079481,ok
2020-03-31,76.25,77.6,75.52,76.94,14390485,ok
2020-04-01,74.66,75.47,72.99,73.8,11130985,ok
2020-04-02,75.98,77.12,74.03,76.87,12255544,ok
2020-04-03,76.28,77.44,75.32,76.25,9579423,ok
2020-04-06,78.33,80.85,77.9,80.31,13658505,ok
2020-04-07,81.68,81.97,78.4,78.56,10169822,ok
2020-04-08,79.18,83.0,78.34,81.62,10955974,ok
2020-04-09,81.17,83.29,80.18,82.49,13241567,ok
2020-04-13,81.82,82.47,79.83,80.54,7353681,ok
2020-04-14,82.33,83.2,80.73,82.84,11598637,ok
2020-04-15,81.23,82.96,80.56,82.07,10314025,ok
2020-04-16,82.65,83.33,82.26,83.0,8726155,ok
2020-04-17,83.95,84.16,82.44,83.46,14726296,ok
2020-04-20,82.82,84.13,80.76,83.1,11140981,ok
2020-04-21,81.62,82.3,78.21,78.56,17057774,ok
2020-04-22,79.2,80.65,78.83,79.98,11387462,ok
2020-04-23,80.19,81.875,80.17,80.88,7779088,ok
2020-04-24,81.6,82.1,81.02,81.43,7334926,ok
2020-04-27,81.23,84.67,80.83,83.98,12201139,ok
2020-04-28,81.18,82.23,80.17,81.18,19345014,ok
2020-04-29,82.19,82.19,79.03,80.77,13060348,ok
2020-04-30,79.82,80.4,79.14,79.34,11105843,ok
2020-05-01,78.86,78.86,76.93,77.67,9082822,ok
2020-05-04,78.02,78.025,76.2175,76.86,8445155,ok
2020-05-05,77.25,78.8025,76.77,78.01,7062437,ok
2020-05-06,78.35,78.64,77.08,77.12,11846262,ok
2020-05-07,77.0,77.12,75.43,75.6,12025916,ok
2020-05-08,76.5,76.96,75.97,76.4,8389200,ok
2020-05-11,76.03,78.0703,75.92,77.91,10135973,ok
2020-05-12,78.15,78.7,77.12,77.19,9107471,ok
2020-05-13,76.66,78.795,76.58,77.89,10434267,ok
2020-05-14,77.28,80.13,77.26,80.05,10885095,ok
2020-05-15,80.11,80.55,78.83,79.78,8938291,ok
2020-05-18,81.0,81.0,79.23,79.72,11977797,ok
2020-05-19,79.47,79.73,77.35,77.55,10106715,ok
2020-05-20,78.03,78.24,76.68,76.89,10522563,ok
2020-05-21,76.76,77.03,76.27,76.55,8588091,ok
2020-05-22,76.17,76.66,76.07,76.37,6066320,ok
2020-05-26,78.26,78.6,76.91,77.26,18269100,ok
2020-05-27,77.0,77.64,76.0,77.55,12241380,ok
2020-05-28,78.6,80.29,78.51,79.04,12585990,ok
2020-05-29,79.46,80.94,78.31,80.72,12900691,ok
2020-06-01,80.18,80.46,79.13,79.56,5991955,ok
2020-06-02,79.54,80.865,78.829,80.84,10832972,ok
2020-06-03,81.0,82.345,80.86,82.06,13049077,ok
2020-06-04,81.27,82.16,80.84,81.55,8867324,ok
2020-06-05,82.11,83.13,81.49,82.26,9936408,ok
2020-06-08,81.15,83.2,81.15,82.9,9500801,ok
2020-06-09,83.19,83.51,82.12,82.26,8440980,ok
2020-06-10,82.44,82.78,80.99,81.77,8664952,ok
2020-06-11,80.81,81.66,77.35,77.35,13648723,ok
2020-06-12,77.89,77.93,75.47,76.3,16221985,ok
2020-06-15,74.91,75.37,73.572,74.02,16882250,ok
2020-06-16,75.38,77.41,74.83,76.97,20460690,ok
2020-06-17,77.36,77.45,75.625,76.29,13342640,ok
2020-06-18,75.63,76.28,75.36,76.22,7395912,ok
2020-06-19,77.13,77.98,75.805,77.9,16855537,ok
2020-06-22,77.37,77.63,76.43,76.75,7131940,ok
2020-06-23,77.5,78.62,76.89,77.12,10905225,ok
2020-06-24,76.73,76.89,75.45,75.87,7714623,ok
2020-06-25,75.65,76.955,75.31,76.57,7236011,ok
2020-06-26,76.35,76.73,75.0,75.19,11764585,ok
2020-06-29,75.9,76.51,75.52,76.12,6899781,ok
2020-06-30,76.75,77.66,76.2,77.33,9485530,ok
2020-07-01,77.43,78.9399,77.12,78.12,9493099,ok
2020-07-02,78.57,79.31,78.215,78.78,6515116,ok
2020-07-06,79.24,80.022,78.9,79.58,7689223,ok
2020-07-07,79.0,79.68,78.59,78.72,6637905,ok
2020-07-08,78.63,78.9642,77.48,77.92,7831109,ok
2020-07-09,77.94,78.35,76.04,76.69,7601213,ok
2020-07-10,76.75,77.35,76.4,76.73,4925037,ok
2020-07-13,77.0,78.58,76.73,77.35,7742624,ok
2020-07-14,77.54,78.61,77.36,78.25,8012490,ok
2020-07-15,79.24,79.965,78.8384,79.44,7356574,ok
2020-07-16,79.78,79.81,78.75,79.4,5582878,ok
2020-07-17,79.72,80.25,79.31,79.87,7817460,ok
2020-07-20,79.87,80.2,79.065,79.41,5185257,ok
2020-07-21,79.72,80.12,78.79,78.89,8557094,ok
2020-07-22,79.32,79.755,78.02,78.78,11795937,ok
2020-07-23,79.15,79.2,77.51,78.06,11029496,ok
2020-07-24,77.85,77.99,76.36,77.1,8653360,ok
2020-07-27,76.41,79.14,76.31,78.93,10456552,ok
2020-07-28,79.19,80.21,78.97,79.69,8105844,ok
2020-07-29,79.25,79.74,78.74,79.35,6105298,ok
2020-07-30,78.73,79.28,77.63,78.99,6824952,ok
2020-07-31,80.89,81.68,79.15,80.24,11726443,ok
2020-08-03,82.15,83.8,81.86,82.54,10118572,ok
2020-08-04,82.55,82.55,81.07,81.67,6888062,ok
2020-08-05,82.07,82.47,81.15,81.64,6198438,ok
2020-08-06,81.46,82.39,80.58,81.05,6924188,ok
2020-08-07,80.79,81.02,80.03,81.02,6657998,ok
2020-08-10,81.01,81.21,80.3,80.91,5517577,ok
2020-08-11,81.75,81.87,80.63,80.91,7287065,ok
2020-08-12,81.37,82.91,81.34,82.68,6962679,ok
2020-08-13,82.13,83.63,82.0133,83.54,7113849,ok
2020-08-14,83.38,84.43,83.17,83.48,7051978,ok
2020-08-17,84.28,85.18,84.01,84.76,8362948,ok
2020-08-18,84.89,85.01,83.77,84.56,6251773,ok
2020-08-19,84.56,85.71,84.56,85.03,6580198,ok
2020-08-20,84.8,85.31,84.3855,85.03,6088218,ok
2020-08-21,85.1,85.18,84.12,84.98,6574964,ok
2020-08-24,85.2,85.47,84.48,85.42,7234978,ok
2020-08-25,85.91,86.29,85.2,85.68,9776744,ok
2020-08-26,85.31,85.68,84.66,85.54,7485169,ok
2020-08-27,85.45,86.16,85.08,85.82,6168751,ok
2020-08-28,85.88,85.88,84.9098,85.65,5853145,ok
2020-08-31,85.6,85.93,85.14,85.27,7566416,ok
2020-09-01,85.35,85.8,83.92,84.43,6486619,ok
2020-09-02,84.48,87.21,84.27,86.93,11041565,ok
2020-09-03,87.69,87.8,84.94,85.49,12389024,ok
2020-09-04,85.55,86.89,84.254,85.24,8931420,ok
2020-09-08,85.94,85.94,83.0,83.33,8679014,ok
2020-09-09,83.77,85.82,83.6627,84.88,8456456,ok
2020-09-10,84.73,84.88,83.28,83.57,6591165,ok
2020-09-11,83.84,84.88,83.78,84.48,6842757,ok
