Date,Open,High,Low,Close,Volume,Status
2020-01-02,51.2,52.06,51.17,52.04,7440294,ok
2020-01-03,51.22,51.45,50.83,51.2,6706712,ok
2020-01-06,50.67,51.04,50.46,51.02,7478540,ok
2020-01-07,51.04,51.19,50.71,50.92,4572114,ok
2020-01-08,50.96,51.79,50.9,51.57,6185249,ok
2020-01-09,52.17,52.25,51.82,52.06,7310275,ok
2020-01-10,52.15,52.47,51.915,52.21,7690485,ok
2020-01-13,52.21,52.78,52.07,52.78,8335362,ok
2020-01-14,53.06,53.245,52.675,52.86,9605014,ok
2020-01-15,52.48,52.94,52.11,52.94,11342486,ok
2020-01-16,56.05,57.36,55.65,56.44,34590664,ok
2020-01-17,56.26,57.57,56.18,57.51,15403886,ok
2020-01-21,55.88,56.48,55.18,55.92,20833888,ok
2020-01-22,56.18,56.51,55.85,55.86,10276830,ok
2020-01-23,55.22,55.65,54.8,55.53,10064905,ok
2020-01-24,55.53,55.61,54.1,54.55,9752123,ok
2020-01-27,53.0,53.692,52.86,53.11,10649107,ok
2020-01-28,53.8,54.44,53.375,54.02,9232924,ok
2020-01-29,54.48,54.55,53.68,53.68,9027852,ok
2020-01-30,52.61,53.86,52.4,53.82,8685860,ok
2020-01-31,53.2,53.28,51.885,52.26,11286887,ok
2020-02-03,52.64,53.59,52.58,52.6,8375623,ok
2020-02-04,53.75,54.6,53.73,54.02,9375133,ok
2020-02-05,54.86,55.15,54.3829,54.99,8237518,ok
2020-02-06,55.43,55.49,54.61,55.01,6976882,ok
2020-02-07,54.61,55.11,54.42,55.03,7587971,ok
2020-02-10,54.68,55.36,54.615,55.35,5115052,ok
2020-02-11,55.74,56.245,55.69,55.78,7120808,ok
2020-02-12,56.22,56.655,56.11,56.18,7130011,ok
2020-02-13,55.8,55.99,55.5,55.93,5718394,ok
2020-02-14,55.9,56.12,55.54,55.84,4579308,ok
2020-02-18,55.8,55.96,54.935,55.52,6898811,ok
2020-02-19,55.86,56.43,55.49,56.31,6075295,ok
2020-02-20,54.0,55.505,53.59,53.75,58533497,ok
2020-02-21,53.5,53.59,52.09,52.42,29541326,ok
2020-02-24,50.31,50.49,49.21,49.68,28670358,ok
2020-02-25,49.98,50.15,47.56,48.03,25568358,ok
2020-02-26,48.22,48.55,46.89,47.24,22286787,ok
2020-02-27,45.74,47.205,45.16,45.41,26815173,ok
2020-02-28,43.87,45.5462,43.69,45.03,36983543,ok
2020-03-02,45.11,46.48,44.4,46.48,23234145,ok
2020-03-03,46.37,46.92,43.855,44.4,30206617,ok
2020-03-04,45.16,45.3229,44.21,45.24,21938107,ok
2020-03-05,43.51,43.94,42.14,42.59,23950190,ok
2020-03-06,40.51,42.24,40.34,41.84,30898354,ok
2020-03-09,36.85,39.02,36.85,37.5,28177463,ok
2020-03-10,39.81,39.99,37.05,39.5,27110969,ok
2020-03-11,38.23,38.86,36.443,36.87,27383553,ok
2020-03-12,33.91,34.91,31.21,31.31,27964640,ok
2020-03-13,34.27,37.52,33.068,37.5,33305139,ok
2020-03-16,31.07,35.27,30.36,31.65,26789927,ok
2020-03-17,32.37,35.12,30.11,33.79,27047360,ok
2020-03-18,31.34,32.84,27.2,30.75,27603006,ok
2020-03-19,30.35,32.9,28.74,30.92,23929644,ok
2020-03-20,31.25,31.45,29.19,29.67,27472498,ok
2020-03-23,29.15,29.7899,27.76,27.81,26400955,ok
2020-03-24,30.09,33.375,29.4,33.22,25905496,ok
2020-03-25,33.9,35.48,32.25,33.99,27198494,ok
2020-03-26,33.8,36.85,33.33,35.71,26425797,ok
2020-03-27,33.64,34.73,33.12,34.01,33375420,ok
2020-03-30,33.53,35.34,32.97,34.84,18046780,ok
2020-03-31,34.53,35.29,33.715,34.0,17122553,ok
2020-04-01,31.68,32.41,31.16,31.62,23755111,ok
2020-04-02,31.34,34.0,31.25,33.9,21656043,ok
2020-04-03,33.56,34.3,32.86,33.85,16926486,ok
2020-04-06,35.93,37.5,35.75,37.01,18788712,ok
2020-04-07,39.66,39.66,36.86,36.94,19536694,ok
2020-04-08,37.71,39.785,37.45,39.37,15376701,ok
2020-04-09,40.26,41.85,40.18,41.08,21904393,ok
2020-04-13,40.88,41.0,39.25,39.58,13369867,ok
2020-04-14,40.51,40.77,38.37,39.86,14471851,ok
2020-04-15,38.21,39.41,37.59,38.4,15590055,ok
2020-04-16,37.86,38.82,37.07,38.36,27913002,ok
2020-04-17,39.55,40.1,38.19,39.09,25074468,ok
2020-04-20,38.19,39.54,37.82,38.36,16573774,ok
2020-04-21,37.3,38.14,36.56,36.95,14134853,ok
2020-04-22,37.87,38.18,37.44,37.81,10455168,ok
2020-04-23,38.1,38.39,37.28,37.47,8694790,ok
2020-04-24,37.97,38.19,37.26,37.97,8571340,ok
2020-04-27,38.64,39.55,38.33,39.31,11619370,ok
2020-04-28,40.57,41.38,39.84,40.13,12778364,ok
2020-04-29,41.1,41.355,40.55,40.79,15880383,ok
2020-04-30,39.9,40.11,39.0,39.43,13431739,ok
2020-05-01,38.35,38.72,37.91,38.4,12806181,ok
2020-05-04,38.0,38.22,37.17,38.09,13985071,ok
2020-05-05,38.98,39.305,37.9,37.98,8951215,ok
2020-05-06,38.47,38.63,37.05,37.3,7817785,ok
2020-05-07,37.76,39.14,37.76,38.81,9352100,ok
2020-05-08,39.51,40.165,39.2,40.08,12097712,ok
2020-05-11,39.38,40.06,39.3,39.83,10106435,ok
