Date,Open,High,Low,Close,Volume,Status
2020-01-02,162.17,162.31,160.77,161.63,1356911,ok
2020-01-03,160.03,164.58,159.371,164.38,962425,ok
2020-01-06,163.93,167.03,163.11,166.92,1544659,ok
2020-01-07,165.88,166.45,165.0,165.72,1131130,ok
2020-01-08,165.9,166.9,165.04,165.89,1386757,ok
2020-01-09,166.68,169.75,166.68,168.69,1281723,ok
2020-01-10,168.83,168.83,166.73,167.3,675427,ok
2020-01-13,167.93,171.33,167.13,170.87,1308993,ok
2020-01-14,170.4,170.89,167.83,168.34,1020300,ok
2020-01-15,168.42,171.87,168.29,170.55,909477,ok
2020-01-16,171.61,173.1225,170.36,172.86,918112,ok
2020-01-17,173.93,176.53,172.01,176.12,1231479,ok
2020-01-21,175.24,177.56,174.61,176.94,1384265,ok
2020-01-22,178.11,178.45,177.1,177.74,717945,ok
2020-01-23,178.2,178.4,176.3,177.04,685538,ok
2020-01-24,177.91,179.76,177.535,179.66,669091,ok
2020-01-27,176.93,178.3441,176.01,178.0,695364,ok
2020-01-28,178.69,180.3,178.06,179.07,809754,ok
2020-01-29,179.46,180.2118,178.77,179.42,447418,ok
2020-01-30,177.44,180.23,177.44,180.07,592127,ok
2020-01-31,179.23,179.5,176.58,177.0,828808,ok
2020-02-03,177.66,178.2,175.95,176.03,718004,ok
2020-02-04,177.14,179.54,176.73,178.32,810472,ok
2020-02-05,178.85,179.49,176.5,176.69,1216866,ok
2020-02-06,176.84,180.129,176.0661,178.93,1087690,ok
2020-02-07,180.15,185.9,178.86,179.46,1473230,ok
2020-02-10,179.01,184.43,179.01,184.07,1107265,ok
2020-02-11,185.84,186.97,184.37,184.46,1111431,ok
2020-02-12,183.95,185.09,181.45,184.67,1176396,ok
2020-02-13,184.0,185.34,183.292,184.12,666656,ok
2020-02-14,183.62,184.47,182.61,184.41,882266,ok
2020-02-18,184.3,185.57,183.66,184.87,746502,ok
2020-02-19,185.32,186.98,184.85,186.12,786944,ok
2020-02-20,186.02,187.49,183.03,185.6,902764,ok
2020-02-21,185.11,185.82,183.75,185.27,965317,ok
2020-02-24,181.87,185.16,180.81,181.8,830278,ok
2020-02-25,182.34,183.49,178.08,178.11,1042740,ok
2020-02-26,178.87,180.53,176.45,177.75,811614,ok
2020-02-27,175.44,176.73,168.75,168.81,1305246,ok
2020-02-28,164.89,166.51,159.76,165.68,2873698,ok
2020-03-02,166.81,173.55,166.17,173.49,1510221,ok
2020-03-03,174.28,178.6,171.63,174.99,1466218,ok
2020-03-04,177.28,182.43,176.67,182.41,1120543,ok
2020-03-05,178.65,181.2796,178.02,180.45,1288676,ok
2020-03-06,175.94,176.96,172.4024,175.92,1640645,ok
2020-03-09,165.28,170.79,162.0301,165.69,2003898,ok
2020-03-10,169.72,170.775,162.92,170.73,1825012,ok
2020-03-11,166.72,167.3775,159.42,161.21,1270184,ok
2020-03-12,150.49,152.87,136.01,141.37,2452220,ok
2020-03-13,149.71,154.99,144.23,154.95,2110975,ok
2020-03-16,138.58,150.1,138.47,145.24,2416335,ok
2020-03-17,148.39,157.08,144.1801,149.33,1939597,ok
2020-03-18,142.82,148.985,136.29,148.2,1413543,ok
2020-03-19,147.94,154.81,145.95,149.72,1629054,ok
