Date,Open,High,Low,Close,Volume,Status
2020-01-02,82.77,84.79,82.71,84.19,1711452,ok
2020-01-03,83.0,84.3,83.0,84.1,850894,ok
2020-01-06,83.38,84.33,82.77,84.32,1569156,ok
2020-01-07,84.16,84.62,83.25,83.82,1135924,ok
2020-01-08,83.7,85.94,83.655,85.05,1853043,ok
2020-01-09,85.93,87.08,85.365,85.75,1631185,ok
2020-01-10,86.51,87.5,85.13,87.13,2000077,ok
2020-01-13,87.99,91.38,87.61,89.58,3028412,ok
2020-01-14,89.87,90.37,88.9,89.72,1547769,ok
2020-01-15,89.97,91.9,89.75,91.1,1360702,ok
2020-01-16,91.67,92.51,91.31,92.45,1334216,ok
2020-01-17,91.98,92.36,90.22,91.11,2506755,ok
2020-01-21,90.25,91.51,89.54,89.75,2426276,ok
2020-01-22,90.25,91.32,89.31,89.56,1179533,ok
2020-01-23,89.88,90.65,88.47,88.47,1718779,ok
2020-01-24,88.79,89.485,85.47,85.57,1513749,ok
2020-01-27,82.44,84.76,81.46,84.35,2481332,ok
2020-01-28,84.92,85.29,83.92,83.96,1124587,ok
2020-01-29,83.19,83.7695,80.94,81.03,2181817,ok
2020-01-30,80.57,81.09,79.92,81.05,1211542,ok
2020-01-31,80.26,81.06,78.01,78.22,2034922,ok
2020-02-03,78.27,80.72,78.24,80.72,2166325,ok
2020-02-04,82.0,83.01,80.52,82.93,3134206,ok
2020-02-05,80.05,81.37,75.24,76.0,7092188,ok
2020-02-06,76.25,82.26,76.25,79.51,7927206,ok
2020-02-07,79.33,80.2,77.4,77.75,4869911,ok
2020-02-10,77.28,78.1,75.68,75.81,1637392,ok
2020-02-11,76.02,76.3999,74.53,74.58,1786591,ok
2020-02-12,74.54,75.71,73.01,75.5,2515586,ok
2020-02-13,74.91,75.96,73.78,75.21,1652510,ok
2020-02-14,75.31,77.09,75.09,76.5,2240626,ok
2020-02-18,76.5,77.23,75.315,76.7,1822760,ok
2020-02-19,77.3,77.64,75.8838,75.92,1499038,ok
2020-02-20,75.85,76.79,73.6,75.15,1640373,ok
2020-02-21,74.89,74.98,72.8,73.5,1300346,ok
2020-02-24,69.59,71.06,68.6,70.15,3283310,ok
2020-02-25,70.39,70.92,67.23,67.75,2899447,ok
2020-02-26,67.98,68.81,65.52,66.04,3753767,ok
2020-02-27,63.83,66.91,63.13,64.8,3190503,ok
2020-02-28,62.41,65.5,62.23,65.0,3133691,ok
2020-03-02,65.0,68.21,63.53,68.14,3845372,ok
2020-03-03,68.14,68.56,64.38,65.8,4149117,ok
2020-03-04,67.05,68.8,65.365,68.06,2746583,ok
2020-03-05,66.32,67.98,65.58,66.61,2368941,ok
2020-03-06,64.53,65.59,62.98,65.56,2250534,ok
2020-03-09,60.0,65.76,53.25,64.04,3394153,ok
2020-03-10,65.24,66.38,63.05,65.82,2053973,ok
2020-03-11,64.3,65.03,61.69,63.02,2574334,ok
2020-03-12,57.49,60.965,55.8,57.57,4206663,ok
2020-03-13,59.6,60.8,55.62,60.47,3622228,ok
2020-03-16,53.7,56.54,52.59,54.39,6139043,ok
2020-03-17,55.01,58.1,51.79,57.02,4437566,ok
2020-03-18,53.11,55.91,47.27,52.0,3659029,ok
2020-03-19,50.38,53.16,48.92,50.76,4080686,ok
2020-03-20,51.68,52.94,47.31,47.35,4844548,ok
