Date,Open,High,Low,Close,Volume,Status
2020-01-02,805.17,809.99,796.47,805.06,149222,ok
2020-01-03,790.1,802.07,788.2,789.54,149695,ok
2020-01-06,779.89,793.86,779.1,793.73,187914,ok
2020-01-07,790.56,801.12,787.18,797.16,105772,ok
2020-01-08,796.32,805.49,795.0,797.07,148194,ok
2020-01-09,806.16,813.095,800.52,810.86,168203,ok
2020-01-10,816.6,822.25,813.22,817.69,167569,ok
2020-01-13,815.15,824.62,813.66,822.57,147174,ok
2020-01-14,820.0,835.97,818.18,830.63,152161,ok
2020-01-15,827.43,830.46,815.505,818.39,133621,ok
2020-01-16,823.0,830.67,816.68,830.67,103913,ok
2020-01-17,833.97,834.84,825.36,831.31,122857,ok
2020-01-21,831.0,839.5,830.28,835.13,164219,ok
2020-01-22,838.23,843.82,833.82,834.92,84584,ok
2020-01-23,833.5,834.47,824.39,831.12,83011,ok
2020-01-24,836.07,836.07,817.87,819.95,122978,ok
2020-01-27,800.47,807.74,794.06,799.88,144041,ok
2020-01-28,802.15,803.65,790.69,799.95,162530,ok
2020-01-29,801.29,812.11,799.385,802.62,111759,ok
2020-01-30,792.43,794.36,766.21,777.0,177384,ok
2020-01-31,773.67,774.705,752.755,757.18,157835,ok
2020-02-03,762.97,766.5,757.63,758.06,130799,ok
2020-02-04,756.61,775.315,756.61,768.0,160238,ok
2020-02-05,779.51,790.495,776.7,779.03,149746,ok
2020-02-06,787.38,788.135,770.67,778.52,180540,ok
2020-02-07,777.45,808.94,770.18,787.15,423424,ok
2020-02-10,785.24,799.15,779.22,780.77,216580,ok
2020-02-11,781.61,787.87,775.49,780.0,242082,ok
2020-02-12,781.0,784.38,770.3,772.79,107847,ok
2020-02-13,767.64,775.03,759.15,769.48,172521,ok
2020-02-14,770.0,772.22,761.01,763.2,123167,ok
2020-02-18,759.68,763.26,750.17,752.24,152245,ok
2020-02-19,754.58,770.42,753.7,766.39,111061,ok
2020-02-20,763.92,765.9,751.43,755.39,111784,ok
2020-02-21,751.97,762.03,748.43,760.22,147678,ok
2020-02-24,735.25,737.0,717.66,726.58,181142,ok
2020-02-25,732.33,732.33,699.89,703.0,184284,ok
2020-02-26,707.81,721.97,698.12,700.38,166991,ok
2020-02-27,686.06,710.435,685.43,691.65,206545,ok
2020-02-28,672.09,703.16,666.36,701.7,338666,ok
2020-03-02,704.48,725.59,698.49,724.14,306838,ok
2020-03-03,725.04,751.21,722.92,731.05,261913,ok
2020-03-04,750.47,775.37,738.945,773.89,181130,ok
2020-03-05,754.66,754.66,724.96,734.1,281369,ok
2020-03-06,711.63,724.11,698.61,715.55,231396,ok
2020-03-09,670.0,687.84,660.88,669.78,217512,ok
2020-03-10,688.68,701.88,666.97,701.71,197505,ok
2020-03-11,683.37,686.6,650.03,658.65,182241,ok
2020-03-12,618.96,653.3,595.91,639.77,259977,ok
2020-03-13,667.13,680.11,608.07,672.64,252471,ok
2020-03-16,610.0,645.57,600.0,622.63,294026,ok
2020-03-17,633.96,697.31,632.56,682.49,267235,ok
2020-03-18,645.09,707.64,642.77,700.13,280377,ok
2020-03-19,696.28,755.66,676.04,721.43,246887,ok
2020-03-20,718.67,726.44,641.72,645.12,299087,ok
2020-03-23,645.9,654.87,579.4,589.41,303888,ok
2020-03-24,615.51,652.94,592.64,645.53,223498,ok
2020-03-25,636.18,679.08,632.7,640.3,191934,ok
2020-03-26,648.15,668.88,630.95,659.27,460689,ok
2020-03-27,650.4,668.37,641.69,658.78,187986,ok
2020-03-30,664.11,688.27,654.8,685.4,292969,ok
2020-03-31,677.83,709.99,671.83,690.51,221850,ok
2020-04-01,667.6,691.91,641.59,656.24,148435,ok
2020-04-02,632.21,673.11,627.4,655.57,192848,ok
2020-04-03,641.7,651.74,611.82,630.58,166744,ok
2020-04-06,657.17,705.95,653.91,702.6,194078,ok
2020-04-07,717.85,731.34,701.08,709.49,151875,ok
2020-04-08,709.1,746.65,695.315,740.99,180149,ok
2020-04-09,730.2,738.56,712.68,727.42,186166,ok
2020-04-13,718.52,718.52,677.5,690.78,191180,ok
2020-04-14,696.9,717.02,693.7,711.77,198567,ok
2020-04-15,705.11,707.98,685.79,692.96,158417,ok
2020-04-16,699.76,701.1,684.85,695.87,135236,ok
2020-04-17,708.24,720.91,697.82,720.91,161055,ok
2020-04-20,718.52,718.52,703.74,707.63,133164,ok
2020-04-21,700.0,700.0,681.48,683.43,158437,ok
2020-04-22,695.56,705.8,687.785,704.2,151711,ok
2020-04-23,704.0,720.513,698.01,703.3,181249,ok
2020-04-24,707.01,714.77,697.37,713.38,138882,ok
2020-04-27,713.84,739.5,710.27,735.26,126369,ok
2020-04-28,738.94,739.145,696.68,699.98,174571,ok
2020-04-29,708.11,747.66,706.01,738.62,241820,ok
2020-04-30,728.83,746.27,716.97,719.94,213925,ok
2020-05-01,709.69,709.69,684.03,689.16,104431,ok
2020-05-04,690.45,693.92,682.02,690.89,76621,ok
2020-05-05,694.25,716.69,692.15,709.73,135571,ok
2020-05-06,711.3,718.86,697.62,715.58,111559,ok
2020-05-07,721.0,742.5826,718.69,732.74,173977,ok
2020-05-08,741.97,757.42,714.47,719.57,182015,ok
2020-05-11,714.99,720.64,710.01,716.93,133424,ok
2020-05-12,710.77,720.69,687.78,690.07,155426,ok
2020-05-13,689.66,702.29,681.39,690.88,142436,ok
2020-05-14,675.74,690.71,661.32,689.53,129181,ok
2020-05-15,689.94,705.89,678.85,698.7,183381,ok
