Date,Open,High,Low,Close,Volume,Status
2020-01-02,163.22,165.23,162.23,165.23,251914,ok
2020-01-03,162.83,164.38,162.52,164.06,163241,ok
2020-01-06,163.82,163.9,162.44,163.6,160883,ok
2020-01-07,162.87,164.2,162.225,163.01,201211,ok
2020-01-08,163.0,163.4,161.68,162.18,197459,ok
2020-01-09,162.74,164.67,162.165,164.63,180465,ok
2020-01-10,164.73,164.85,163.43,163.61,314836,ok
2020-01-13,163.5,165.39,163.2401,165.37,128247,ok
2020-01-14,165.37,165.835,163.75,165.09,331895,ok
2020-01-15,165.43,166.31,164.29,165.99,178339,ok
2020-01-16,166.89,168.62,166.89,168.33,193014,ok
2020-01-17,168.5,170.15,168.5,169.5,197296,ok
2020-01-21,168.96,170.33,167.97,168.71,290075,ok
2020-01-22,169.51,171.66,169.51,170.34,562981,ok
2020-01-23,170.0,172.58,168.65,172.29,338440,ok
2020-01-24,172.3,173.4,170.36,170.98,266850,ok
2020-01-27,173.07,173.96,168.85,173.01,297347,ok
2020-01-28,173.02,176.75,173.02,175.33,297011,ok
2020-01-29,175.47,176.85,173.93,173.98,212486,ok
2020-01-30,173.18,174.09,170.5,172.56,309810,ok
2020-01-31,171.87,171.88,168.19,168.86,416266,ok
2020-02-03,169.85,172.525,169.5867,171.67,172154,ok
2020-02-04,174.43,178.485,174.43,178.03,203189,ok
2020-02-05,180.28,180.28,178.21,178.76,204751,ok
2020-02-06,178.79,178.79,175.9561,177.61,192361,ok
2020-02-07,175.22,177.56,173.365,175.2,199824,ok
2020-02-10,174.36,176.225,174.36,175.62,117996,ok
2020-02-11,175.8,178.07,175.26,176.97,131877,ok
2020-02-12,176.69,179.1,176.655,178.51,132075,ok
2020-02-13,177.47,178.71,177.19,177.62,101430,ok
2020-02-14,177.6,178.63,176.42,177.49,143265,ok
2020-02-18,176.6,176.67,172.04,172.58,309443,ok
2020-02-19,173.08,175.49,170.75,171.49,424402,ok
2020-02-20,169.81,175.87,169.81,172.1,376972,ok
2020-02-21,171.2,171.86,169.91,170.2,291899,ok
2020-02-24,163.94,165.5,161.78,164.58,271788,ok
2020-02-25,164.85,166.2531,156.75,157.16,317771,ok
2020-02-26,158.67,160.03,155.28,155.41,244083,ok
2020-02-27,152.42,154.755,149.38,149.46,259009,ok
2020-02-28,144.71,147.3206,142.46,145.3,486302,ok
2020-03-02,146.46,148.34,143.53,147.91,513468,ok
