Date,Open,High,Low,Close,Volume,Status
2020-01-02,43.55,43.875,43.19,43.22,5870534,ok
2020-01-03,43.75,44.04,42.79,42.83,9149101,ok
2020-01-06,43.76,43.85,42.98,43.26,10416493,ok
2020-01-07,43.16,43.52,42.98,43.23,9392397,ok
2020-01-08,43.26,43.39,41.96,42.08,9456345,ok
2020-01-09,41.74,42.26,41.55,41.66,6096205,ok
2020-01-10,41.73,42.35,41.7,42.27,6673100,ok
2020-01-13,42.53,42.905,42.36,42.45,4811479,ok
2020-01-14,42.27,42.85,42.11,42.83,6072738,ok
2020-01-15,42.99,43.65,42.87,43.52,5997862,ok
2020-01-16,43.45,43.84,43.09,43.82,5895460,ok
2020-01-17,43.84,44.01,43.36,43.48,9702501,ok
2020-01-21,43.23,43.76,43.09,43.71,7471448,ok
2020-01-22,43.74,43.86,43.42,43.78,4257450,ok
2020-01-23,43.25,43.925,43.13,43.7,5526681,ok
2020-01-24,43.65,44.36,43.46,44.29,5677481,ok
2020-01-27,44.83,45.36,44.245,44.56,7132008,ok
2020-01-28,44.21,44.485,43.74,44.3,6324457,ok
2020-01-29,44.3,44.71,44.04,44.62,4065281,ok
2020-01-30,44.9,45.22,44.43,44.97,6522019,ok
2020-01-31,44.95,45.41,44.87,45.06,7670925,ok
2020-02-03,44.82,45.705,44.8,45.59,8395271,ok
2020-02-04,44.92,44.97,43.53,44.23,10062716,ok
2020-02-05,44.07,44.47,43.85,44.3,7318074,ok
2020-02-06,44.33,44.6,44.17,44.39,4994979,ok
2020-02-07,44.58,44.69,43.93,44.02,4691388,ok
2020-02-10,44.09,44.64,44.025,44.42,4596523,ok
2020-02-11,44.41,44.67,44.055,44.22,4584759,ok
2020-02-12,44.1,44.3599,43.62,43.89,4985059,ok
2020-02-13,44.35,44.38,43.78,44.01,6076752,ok
2020-02-14,43.88,44.34,43.8,44.07,6226629,ok
2020-02-18,44.31,45.73,44.26,45.58,7515238,ok
2020-02-19,45.75,46.42,45.6,46.17,8137475,ok
2020-02-20,46.59,48.99,46.4,48.1,12255874,ok
2020-02-21,48.96,49.59,48.34,49.44,10402945,ok
2020-02-24,51.15,51.34,49.98,50.26,14746609,ok
2020-02-25,49.5,51.07,49.0645,49.14,11595012,ok
2020-02-26,48.88,49.835,48.51,49.4,8875701,ok
2020-02-27,49.94,50.17,46.42,46.53,13346826,ok
2020-02-28,43.69,44.97,42.37,44.63,20172196,ok
2020-03-02,45.65,46.91,45.39,46.83,12708757,ok
2020-03-03,47.05,50.94,46.54,49.73,18278773,ok
2020-03-04,50.2,51.07,48.55,51.0,10207141,ok
2020-03-05,51.21,52.24,50.425,52.08,9960677,ok
2020-03-06,52.18,52.495,50.16,52.35,12278100,ok
2020-03-09,50.0,50.58,47.75,47.78,12440452,ok
2020-03-10,48.55,48.91,46.37,48.38,13334657,ok
2020-03-11,47.46,48.3,44.86,46.02,11533307,ok
2020-03-12,41.34,47.85,39.5285,44.44,14944780,ok
2020-03-13,45.91,46.2,39.39,39.5,17784410,ok
2020-03-16,34.38,43.19,33.0,40.73,17769512,ok
2020-03-17,40.6,46.472,40.58,45.8,13940539,ok
2020-03-18,44.48,46.8673,40.01,41.57,12221079,ok
2020-03-19,41.44,46.36,37.1301,41.74,10520340,ok
2020-03-20,42.35,43.02,39.15,40.56,11641519,ok
2020-03-23,41.44,43.9428,40.39,41.66,11250235,ok
2020-03-24,45.12,48.3,43.61,47.5,11861273,ok
2020-03-25,47.15,48.95,45.27,47.54,11293855,ok
2020-03-26,48.19,50.29,46.92,48.28,10894130,ok
2020-03-27,47.26,48.89,45.71,46.35,8735348,ok
2020-03-30,46.4,48.8,45.64,46.36,8988446,ok
2020-03-31,45.68,47.7,44.585,45.28,10544686,ok
2020-04-01,45.04,47.29,44.78,46.47,8534141,ok
2020-04-02,47.07,49.75,46.56,48.23,9183962,ok
2020-04-03,48.27,49.6,47.07,47.15,7800408,ok
2020-04-06,48.43,51.14,48.43,50.11,11003876,ok
2020-04-07,50.07,51.41,49.36,49.96,7002326,ok
2020-04-08,49.79,50.78,49.36,50.53,5422042,ok
2020-04-09,51.13,57.7,51.13,57.31,15206681,ok
2020-04-13,57.22,60.46,56.333,59.77,11329710,ok
2020-04-14,60.08,61.53,58.81,59.89,11337930,ok
2020-04-15,58.54,59.703,57.06,58.22,8304205,ok
2020-04-16,57.85,60.0,57.85,59.9,7570806,ok
2020-04-17,57.08,59.44,57.08,59.23,10473247,ok
2020-04-20,59.13,60.22,58.5,59.54,8867455,ok
2020-04-21,58.49,60.04,57.64,59.27,8977754,ok
2020-04-22,60.95,62.15,60.5,61.73,8482409,ok
2020-04-23,62.64,64.65,62.21,62.44,7648285,ok
2020-04-24,63.55,63.88,61.76,63.11,6972376,ok
2020-04-27,63.26,63.68,60.86,62.61,5424362,ok
2020-04-28,61.58,63.24,60.93,62.67,6062331,ok
2020-04-29,62.01,62.8,60.92,62.35,7349170,ok
2020-04-30,61.25,62.31,59.36,59.48,6981751,ok
2020-05-01,58.65,61.31,58.2106,60.99,6214063,ok
2020-05-04,62.1,63.13,61.21,62.74,8285087,ok
2020-05-05,62.69,65.06,61.33,64.91,7367445,ok
2020-05-06,64.02,64.93,62.27,62.43,7239545,ok
2020-05-07,63.34,65.37,62.715,64.56,7034085,ok
2020-05-08,64.98,66.0601,64.07,64.55,6371269,ok
2020-05-11,64.07,64.81,61.83,62.95,5997743,ok
2020-05-12,63.2,64.47,62.35,62.48,5181662,ok
2020-05-13,63.34,64.495,62.575,63.89,6876350,ok
2020-05-14,64.17,67.1,64.08,66.64,8611333,ok
2020-05-15,67.96,68.47,67.0,67.9,7419321,ok
2020-05-18,68.14,68.77,65.88,66.26,8210840,ok
2020-05-19,66.62,69.1326,66.35,67.38,7241560,ok
2020-05-20,67.38,67.75,65.51,65.72,7607895,ok
2020-05-21,65.0,65.04,62.295,63.48,7481043,ok
2020-05-22,64.34,64.9774,62.78,63.05,4512970,ok
2020-05-26,61.73,61.75,59.0,59.21,11325282,ok
2020-05-27,57.11,58.74,55.75,58.73,14701722,ok
2020-05-28,60.14,60.38,57.94,58.72,8499969,ok
2020-05-29,60.0,60.3,58.39,58.47,23792891,ok
2020-06-01,58.95,60.51,58.81,60.49,8057361,ok
