Date,Open,High,Low,Close,Volume,Status
2020-01-02,4.1,4.1,3.61,3.72,103899030,ok
2020-01-03,3.5,3.9,3.48,3.83,82981638,ok
2020-01-06,4.19,4.24,3.66,3.68,106848660,ok
2020-01-07,3.7,3.73,3.21,3.24,109299493,ok
2020-01-08,3.14,3.49,3.13,3.39,65258120,ok
2020-01-09,3.44,3.58,3.33,3.46,54722031,ok
2020-01-10,3.49,3.575,3.4,3.51,35762408,ok
2020-01-13,3.705,3.73,3.52,3.7,59974787,ok
2020-01-14,3.7,3.82,3.61,3.76,55273777,ok
2020-01-15,4.19,4.48,4.0,4.29,236357902,ok
2020-01-16,3.99,4.4,3.91,4.37,99336772,ok
2020-01-17,4.51,4.705,4.46,4.67,109601251,ok
2020-01-21,4.6,5.29,4.52,5.17,181423633,ok
2020-01-22,5.42,5.65,4.69,4.79,207132680,ok
2020-01-23,4.57,4.95,4.31,4.92,102535338,ok
2020-01-24,5.0,5.06,4.51,4.66,65537979,ok
2020-01-27,3.985,4.35,3.84,4.01,102028723,ok
2020-01-28,4.25,4.27,4.03,4.21,48979120,ok
2020-01-29,4.23,4.33,4.02,4.27,54690961,ok
2020-01-30,4.24,4.38,4.01,4.08,75009830,ok
2020-01-31,4.02,4.04,3.67,3.78,77923240,ok
2020-02-03,3.535,4.11,3.52,4.06,74051574,ok
2020-02-04,4.2899,4.7,4.16,4.51,123640368,ok
2020-02-05,4.37,4.48,4.13,4.39,73632529,ok
2020-02-06,4.2,4.33,4.05,4.08,75641235,ok
2020-02-07,4.02,4.02,3.74,3.81,80780664,ok
2020-02-10,3.67,3.91,3.6187,3.87,67157664,ok
2020-02-11,3.83,4.05,3.8,3.96,54097105,ok
2020-02-12,4.0,4.2,3.98,4.07,50975290,ok
2020-02-13,3.95,4.05,3.86,4.03,42411229,ok
2020-02-14,4.02,4.035,3.75,3.77,69655607,ok
2020-02-18,3.9,3.98,3.76,3.8,47957233,ok
2020-02-19,3.93,4.1,3.86,4.08,73256322,ok
2020-02-20,4.1,4.4,4.01,4.26,86873471,ok
2020-02-21,4.2,4.2,4.02,4.08,40482810,ok
2020-02-24,3.79,3.935,3.76,3.88,56247056,ok
2020-02-25,5.18,5.19,4.24,4.4,206259361,ok
2020-02-26,4.5,4.71,4.3,4.34,69730248,ok
2020-02-27,4.09,4.3,3.92,4.14,77846721,ok
2020-02-28,3.96,4.14,3.87,4.13,63782042,ok
2020-03-02,4.15,4.19,3.9,4.11,56063195,ok
2020-03-03,4.08,4.21,3.95,4.06,47644480,ok
2020-03-04,4.03,4.07,3.77,3.87,49465751,ok
