Date,Open,High,Low,Close,Volume,Status
2020-01-02,284.96,291.68,284.22,291.24,1771770,ok
2020-01-03,286.9,293.06,286.5,291.1,1135820,ok
2020-01-06,285.19,293.41,284.6,292.87,1474090,ok
2020-01-07,293.22,294.58,288.03,292.91,1439902,ok
2020-01-08,294.56,297.69,293.24,295.65,1740786,ok
2020-01-09,297.3,299.77,294.225,299.31,1403564,ok
2020-01-10,300.72,303.39,297.45,298.88,1258528,ok
2020-01-13,302.35,305.86,301.0,303.85,1643781,ok
2020-01-14,303.85,306.0,301.37,301.5,1499109,ok
2020-01-15,302.0,307.73,301.9,304.87,1486320,ok
2020-01-16,306.0,310.5,305.3481,310.02,2269426,ok
2020-01-17,310.44,312.79,309.56,312.52,2114283,ok
2020-01-21,312.0,315.6,311.11,312.98,2558574,ok
2020-01-22,317.03,317.2676,312.75,312.85,1769898,ok
2020-01-23,313.0,316.18,310.9,311.46,1591830,ok
2020-01-24,314.58,318.84,307.78,309.39,1789576,ok
2020-01-27,300.45,308.18,298.05,307.63,1724839,ok
2020-01-28,309.29,315.21,308.4,314.05,1544072,ok
2020-01-29,315.52,315.98,311.06,312.93,2547323,ok
2020-01-30,333.73,343.89,329.65,341.62,4947373,ok
2020-01-31,339.5,339.91,332.83,338.23,2432902,ok
2020-02-03,338.41,344.75,337.245,343.2,2119252,ok
2020-02-04,346.0,354.6438,344.52,352.03,2039307,ok
2020-02-05,353.17,355.99,334.81,338.5,2851148,ok
2020-02-06,340.01,342.82,334.08,341.7,1474432,ok
2020-02-07,341.71,345.77,339.69,341.06,1677741,ok
2020-02-10,340.72,345.0,338.9,342.77,1781890,ok
2020-02-11,345.96,346.19,341.04,343.57,1194805,ok
2020-02-12,345.02,350.43,339.5,349.8,1306853,ok
2020-02-13,347.5,357.0,347.5,351.81,2489096,ok
2020-02-14,353.64,356.32,350.88,356.16,1106504,ok
2020-02-18,356.0,358.756,354.04,357.49,1289043,ok
2020-02-19,358.75,362.95,357.4,357.72,1307132,ok
2020-02-20,357.72,361.98,345.41,352.94,1948079,ok
2020-02-21,350.48,351.75,338.78,344.48,2348680,ok
2020-02-24,327.34,336.5,324.19,333.56,2016939,ok
2020-02-25,338.56,342.08,327.57,329.72,1839551,ok
2020-02-26,331.0,342.51,330.25,334.27,1616541,ok
2020-02-27,323.69,331.43,317.77,320.1,2275983,ok
2020-02-28,310.0,327.0,307.1,326.09,3202474,ok
2020-03-02,333.83,344.48,326.32,344.4,2699972,ok
2020-03-03,344.39,350.7,325.1303,329.63,2952500,ok
2020-03-04,336.74,345.215,331.63,345.07,1575508,ok
2020-03-05,337.49,343.03,326.27,329.33,1959899,ok
2020-03-06,319.39,323.51,300.8,317.24,4108955,ok
2020-03-09,294.39,306.8406,288.0,292.09,3436296,ok
2020-03-10,302.38,313.0,291.62,312.8,3919257,ok
2020-03-11,304.98,310.265,283.81,290.63,2914960,ok
2020-03-12,270.04,287.1344,261.61,262.12,3877823,ok
2020-03-13,277.41,288.5,264.84,287.67,3038289,ok
2020-03-16,251.01,283.844,250.0,265.43,3389124,ok
2020-03-17,271.41,302.9786,270.02,287.42,3908334,ok
2020-03-18,266.0,279.94,238.93,278.16,4428490,ok
2020-03-19,276.46,290.0,258.01,277.66,2792150,ok
2020-03-20,276.06,284.68,252.25,254.7,3502329,ok
2020-03-23,254.9,260.39,240.16,255.32,2825075,ok
2020-03-24,275.58,283.6,268.54,272.0,3371383,ok
2020-03-25,272.35,278.947,257.32,264.67,3088719,ok
2020-03-26,269.69,295.0,267.985,294.73,3731688,ok
2020-03-27,284.13,284.13,269.46,274.0,3076173,ok
2020-03-30,277.77,292.695,275.2,286.39,2368737,ok
2020-03-31,289.59,296.1698,281.31,286.58,3394846,ok
2020-04-01,274.39,278.8,268.68,273.07,2424010,ok
2020-04-02,265.0,272.62,249.2453,259.0,4418665,ok
2020-04-03,258.85,261.16,246.67,249.57,2849812,ok
2020-04-06,259.49,272.25,255.5112,269.95,3215117,ok
2020-04-07,277.0,278.1,255.24,262.35,3045355,ok
2020-04-08,266.44,276.41,263.905,274.05,1770052,ok
2020-04-09,276.08,285.12,274.615,278.06,2754274,ok
2020-04-13,276.76,284.5,273.76,283.56,2319536,ok
2020-04-14,297.0,303.14,289.28,302.09,2556082,ok
2020-04-15,297.21,299.39,293.56,295.92,1799710,ok
2020-04-16,300.48,301.85,289.215,291.94,2076425,ok
2020-04-17,302.09,303.12,296.51,299.59,2128579,ok
2020-04-20,298.19,308.1351,296.6,302.46,1877210,ok
2020-04-21,298.96,303.7003,281.57,288.77,2892848,ok
2020-04-22,295.92,302.68,293.06,299.61,1421974,ok
2020-04-23,300.0,304.689,296.0,297.31,1456946,ok
2020-04-24,297.53,303.68,292.6995,302.94,1475280,ok
2020-04-27,307.53,311.0,306.27,308.6,1156552,ok
2020-04-28,312.79,315.0,295.78,296.0,2254624,ok
2020-04-29,301.6,325.44,301.57,321.99,3477898,ok
2020-04-30,327.84,357.78,327.49,351.54,5389531,ok
2020-05-01,342.09,351.0,336.0,339.51,2449831,ok
2020-05-04,336.52,356.5,335.01,354.64,2537680,ok
2020-05-05,360.0,376.18,356.07,370.64,2977190,ok
2020-05-06,374.63,379.8,364.5,365.39,2390486,ok
2020-05-07,368.97,386.5746,368.53,381.83,2763337,ok
2020-05-08,384.0,387.6,376.13,377.26,2106079,ok
2020-05-11,375.0,388.5,370.04,383.65,1576533,ok
2020-05-12,384.13,384.99,364.57,365.6,3390918,ok
2020-05-13,366.01,370.46,351.29,361.29,2895248,ok
2020-05-14,358.71,370.06,351.51,367.83,2307241,ok
2020-05-15,365.45,372.45,363.06,370.46,2504681,ok
2020-05-18,378.0,381.779,373.18,374.87,1754997,ok
2020-05-19,375.0,389.67,373.23,382.88,1722083,ok
2020-05-20,390.0,394.755,384.39,390.16,1463644,ok
2020-05-21,390.52,393.5858,382.41,383.64,991786,ok
2020-05-22,389.04,394.14,384.99,387.96,1006172,ok
2020-05-26,396.13,396.15,379.63,380.67,1714930,ok
2020-05-27,378.05,378.05,352.07,371.16,3761116,ok
2020-05-28,370.0,386.67,368.46,377.98,1546830,ok
2020-05-29,381.41,388.23,378.625,387.93,1969262,ok
2020-06-01,385.06,387.935,381.85,383.37,1336559,ok
2020-06-02,384.45,392.9,375.44,392.9,2024387,ok
2020-06-03,389.99,393.11,381.1001,388.09,1400870,ok
2020-06-04,385.69,389.6999,372.42,376.95,2087448,ok
2020-06-05,370.0,390.68,367.03,390.46,2455443,ok
2020-06-08,386.58,388.77,375.68,386.64,1512760,ok
2020-06-09,390.98,398.0,385.4913,388.83,1689679,ok
2020-06-10,392.34,405.53,392.34,401.66,2005313,ok
2020-06-11,393.83,397.46,372.87,375.05,2924986,ok
2020-06-12,387.62,392.38,377.76,385.13,1556615,ok
2020-06-15,378.2,393.98,375.37,392.5,1437586,ok
2020-06-16,400.0,402.87,389.19,398.46,1743981,ok
2020-06-17,400.01,407.59,398.05,400.65,1562548,ok
2020-06-18,402.26,404.49,396.1,401.03,1320777,ok
2020-06-19,406.25,407.99,398.44,399.87,2304956,ok
2020-06-22,396.42,403.22,391.8519,402.82,1570513,ok
2020-06-23,408.0,409.8,397.38,400.94,1671804,ok
2020-06-24,399.78,405.24,388.865,392.93,1450491,ok
2020-06-25,391.715,401.69,385.66,401.64,1295413,ok
2020-06-26,401.83,402.84,391.08,399.97,2013158,ok
2020-06-29,401.48,402.9899,385.5,394.55,1388937,ok
2020-06-30,394.88,406.17,394.0,405.06,1760810,ok
2020-07-01,405.38,417.615,403.5,416.79,1794284,ok
2020-07-02,421.31,424.84,412.69,414.21,1385672,ok
2020-07-06,419.29,425.0,412.15,416.44,1774825,ok
2020-07-07,416.44,421.23,410.97,411.74,1313515,ok
2020-07-08,416.8,426.78,415.5,425.2,1516193,ok
2020-07-09,428.0,430.83,415.6,426.37,1407118,ok
2020-07-10,426.5,427.78,419.46,422.91,1482532,ok
2020-07-13,425.0,427.78,399.47,401.87,1622996,ok
2020-07-14,400.0,413.805,390.84,413.23,1782688,ok
2020-07-15,422.89,425.96,415.74,423.56,2118362,ok
2020-07-16,416.06,418.261,404.49,413.88,1446456,ok
2020-07-17,415.75,423.4,411.45,421.81,1099520,ok
2020-07-20,425.0,454.695,424.54,449.27,3131832,ok
2020-07-21,447.23,447.47,434.18,437.22,1600573,ok
2020-07-22,440.0,443.9649,434.315,441.6,872830,ok
2020-07-23,441.1,448.34,428.62,430.85,1324394,ok
2020-07-24,420.28,430.31,414.599,425.19,1003821,ok
2020-07-27,430.0,436.16,426.005,433.81,985255,ok
2020-07-28,435.0,442.58,431.0,435.04,1038071,ok
2020-07-29,442.57,446.505,437.87,445.71,2255868,ok
2020-07-30,432.72,438.6,421.33,431.4,3143077,ok
2020-07-31,436.99,439.2,428.3176,439.2,1745876,ok
2020-08-03,443.72,444.79,431.16,439.96,1801941,ok
2020-08-04,437.42,442.49,433.87,438.15,1141120,ok
2020-08-05,440.0,441.05,435.33,435.74,1018629,ok
2020-08-06,437.88,439.57,425.335,430.33,2230896,ok
2020-08-07,432.04,439.2877,423.714,431.21,2459662,ok
2020-08-10,430.44,439.13,422.17,438.68,2724446,ok
2020-08-11,434.35,434.99,418.533,421.36,1639128,ok
2020-08-12,425.14,431.43,423.05,427.13,1619889,ok
2020-08-13,427.86,439.81,426.71,438.42,1700125,ok
2020-08-14,438.36,442.8927,434.32,435.73,1252370,ok
2020-08-17,436.98,445.15,436.98,442.37,1969937,ok
2020-08-18,441.72,444.36,435.3,437.58,2272083,ok
2020-08-19,438.0,443.64,432.1,437.13,1964921,ok
2020-08-20,435.42,454.73,433.355,453.34,2718235,ok
2020-08-21,452.78,453.99,446.1789,449.42,2339210,ok
2020-08-24,453.05,458.64,445.0,448.1,2357007,ok
2020-08-25,450.0,458.88,445.74,457.93,1164912,ok
2020-08-26,465.0,488.582,464.101,487.7,2199754,ok
2020-08-27,485.0,485.1,474.5,480.55,1521161,ok
2020-08-28,485.0,494.0,484.4,487.87,1061372,ok
2020-08-31,488.25,489.995,480.99,482.02,1390680,ok
2020-09-01,485.0,497.25,482.58,497.19,1370853,ok
2020-09-02,500.0,501.82,482.66,499.69,1355545,ok
2020-09-03,485.0,487.99,462.67,468.84,2024617,ok
2020-09-04,466.0,470.0,435.1,450.35,2680167,ok
2020-09-08,439.99,452.73,432.85,443.14,1765371,ok
2020-09-09,452.09,462.86,441.845,458.2,1805559,ok
2020-09-10,461.0,468.32,450.27,452.98,1114841,ok
2020-09-11,457.63,458.49,439.76,445.9,895909,ok
2020-09-14,451.42,463.2,451.17,458.06,1434433,ok
2020-09-15,463.23,474.315,462.6096,473.96,1120502,ok
2020-09-16,476.47,479.44,455.78,456.01,1507316,ok
2020-09-17,445.7,455.0,442.0,453.8,1578503,ok
2020-09-18,454.15,457.255,442.71,453.09,1461231,ok
2020-09-21,446.82,462.4,446.2,461.88,1106413,ok
2020-09-22,465.75,471.1,454.6049,470.57,930129,ok
2020-09-23,470.0,473.315,459.04,460.47,826736,ok
2020-09-24,458.79,465.17,453.7,460.12,842539,ok
2020-09-25,468.91,481.65,464.565,479.97,1206757,ok
2020-09-28,486.61,488.4,478.97,484.21,1257986,ok
2020-09-29,486.35,489.56,483.0952,487.98,829337,ok
2020-09-30,485.67,493.31,481.15,485.0,1202344,ok
2020-10-01,491.57,495.13,487.4528,492.52,922437,ok
2020-10-02,480.49,502.63,478.99,493.15,1593110,ok
2020-10-05,495.61,502.23,491.2702,501.79,1287437,ok
