Date,Open,High,Low,Close,Volume,Status
2020-01-02,39.83,39.99,38.585,38.8,2564003,ok
2020-01-03,38.57,38.79,38.01,38.2,2751309,ok
2020-01-06,38.14,38.179,37.26,37.38,2605644,ok
2020-01-07,37.22,37.58,36.82,36.87,2446023,ok
2020-01-08,36.88,37.0,36.24,36.86,3594180,ok
2020-01-09,36.89,37.31,36.76,37.14,2329401,ok
2020-01-10,37.23,37.64,37.07,37.31,1859327,ok
2020-01-13,37.22,37.426,36.9,36.92,2447759,ok
2020-01-14,36.94,37.51,36.9,37.5,2727966,ok
2020-01-15,37.38,38.395,37.38,38.13,2736537,ok
2020-01-16,38.27,38.8,38.23,38.62,2059100,ok
2020-01-17,38.62,38.69,38.26,38.54,2209205,ok
2020-01-21,38.51,38.62,38.09,38.52,1958494,ok
2020-01-22,38.68,39.24,38.62,38.68,2445575,ok
2020-01-23,38.61,38.91,38.325,38.87,1912185,ok
2020-01-24,38.79,38.885,37.8,37.96,2912605,ok
2020-01-27,37.67,37.775,36.8,36.82,2094078,ok
2020-01-28,37.0,37.29,36.83,37.01,1822901,ok
2020-01-29,36.96,37.26,36.36,37.16,2315216,ok
2020-01-30,37.2,37.22,36.58,37.16,2352793,ok
2020-01-31,36.7,37.14,36.65,36.89,3231315,ok
2020-02-03,37.03,37.75,36.97,37.54,2428807,ok
2020-02-04,37.67,38.12,37.26,37.26,3247868,ok
2020-02-05,37.26,38.4099,37.26,38.0,2897141,ok
2020-02-06,38.11,38.21,37.73,37.83,2283424,ok
2020-02-07,37.81,38.05,37.6,37.88,1302271,ok
2020-02-10,37.86,38.32,37.64,38.29,1810836,ok
2020-02-11,38.49,39.37,38.41,38.84,1978112,ok
2020-02-12,38.85,39.51,38.78,39.24,1822185,ok
2020-02-13,39.22,39.7,39.1,39.56,1749292,ok
2020-02-14,39.65,40.06,39.51,40.06,1825522,ok
2020-02-18,40.01,40.25,39.76,39.95,1828227,ok
2020-02-19,40.11,40.15,39.39,39.4,1888222,ok
2020-02-20,39.38,39.38,38.28,39.04,2425725,ok
2020-02-21,38.89,39.4,38.8101,39.37,1854635,ok
2020-02-24,38.79,39.03,38.07,38.14,2629730,ok
2020-02-25,38.08,38.08,36.04,36.13,3499664,ok
2020-02-26,36.15,36.3,35.03,35.05,3559379,ok
2020-02-27,34.85,35.42,33.51,34.5,3885257,ok
2020-02-28,33.65,33.65,31.9,33.21,6020229,ok
2020-03-02,33.31,34.19,32.86,34.17,3885155,ok
2020-03-03,34.22,34.97,33.05,33.3,3208772,ok
2020-03-04,33.77,35.5,33.72,35.45,4961192,ok
2020-03-05,34.55,35.105,33.845,34.35,3470954,ok
2020-03-06,32.98,34.44,32.83,34.32,3078686,ok
2020-03-09,31.53,31.87,29.325,30.13,4954659,ok
2020-03-10,31.32,32.37,30.46,32.35,4503926,ok
2020-03-11,31.29,31.47,29.21,30.0,5745381,ok
2020-03-12,27.98,29.45,26.46,26.6,6385514,ok
