Date,Open,High,Low,Close,Volume,Status
2020-01-02,106.53,107.63,106.29,107.58,675690,ok
2020-01-03,106.0,106.48,105.21,105.37,995938,ok
2020-01-06,104.6,105.3,104.29,105.24,878938,ok
2020-01-07,105.27,106.4,105.215,105.82,686202,ok
2020-01-08,106.12,106.955,105.81,106.79,1099881,ok
2020-01-09,106.44,108.26,106.21,108.125,1001625,ok
2020-01-10,108.01,108.12,106.71,106.99,1035935,ok
2020-01-13,107.35,108.72,107.02,108.68,1231563,ok
2020-01-14,108.74,108.95,107.63,108.0,1133182,ok
2020-01-15,107.33,107.89,106.6,107.02,907310,ok
2020-01-16,105.97,108.25,105.96,107.93,966996,ok
2020-01-17,108.73,109.59,108.29,109.38,2064606,ok
2020-01-21,108.79,109.88,108.57,108.57,1978890,ok
2020-01-22,102.33,106.68,101.24,104.99,3113262,ok
2020-01-23,104.45,104.54,102.25,104.07,1583384,ok
2020-01-24,104.35,104.51,101.0,101.62,1319823,ok
2020-01-27,99.23,100.355,98.36,98.46,1305593,ok
2020-01-28,99.27,100.33,98.8,99.75,1192018,ok
2020-01-29,100.24,100.88,99.6,99.64,1057971,ok
2020-01-30,99.01,101.09,98.46,101.05,710134,ok
2020-01-31,100.25,101.07,97.39,97.81,1253284,ok
2020-02-03,98.84,100.03,97.48,97.66,1643523,ok
2020-02-04,99.76,101.005,98.31,100.42,1374207,ok
2020-02-05,102.24,103.6,102.01,103.42,797230,ok
2020-02-06,104.12,104.44,102.21,102.65,790805,ok
2020-02-07,101.53,101.98,101.13,101.26,765676,ok
2020-02-10,101.05,101.34,100.69,101.06,535302,ok
2020-02-11,101.51,103.49,101.46,102.89,1003802,ok
2020-02-12,104.0,104.45,102.25,102.43,704115,ok
2020-02-13,102.04,102.435,101.17,101.21,705210,ok
2020-02-14,100.94,101.42,100.12,101.2,688765,ok
2020-02-18,101.02,101.355,99.84,100.83,667859,ok
2020-02-19,101.17,103.18,101.17,103.07,690970,ok
2020-02-20,102.65,104.25,102.5,102.7,753040,ok
2020-02-21,101.86,102.11,100.58,101.94,990408,ok
2020-02-24,97.75,98.97,95.96,96.53,1437117,ok
2020-02-25,96.75,97.3388,90.8,91.13,1748631,ok
2020-02-26,92.37,93.17,88.72,89.37,2473651,ok
2020-02-27,87.37,90.59,86.63,87.68,3088158,ok
2020-02-28,84.57,87.83,83.16,87.76,3582349,ok
2020-03-02,87.74,88.55,84.7,88.49,3152636,ok
2020-03-03,88.19,89.57,81.75,83.44,2853805,ok
2020-03-04,84.73,85.78,81.93,85.05,1837900,ok
2020-03-05,81.29,81.84,79.795,80.89,2639692,ok
2020-03-06,78.39,79.5,76.34,77.64,2610532,ok
2020-03-09,70.95,73.02,69.21,70.83,3275942,ok
2020-03-10,74.31,75.47,70.85,74.36,2592141,ok
2020-03-11,71.9,73.62,69.925,71.47,2477804,ok
2020-03-12,65.11,69.4,63.02,63.04,3488080,ok
2020-03-13,67.66,76.35,66.34,76.05,3533951,ok
2020-03-16,64.09,70.7,61.74,62.22,2885228,ok
2020-03-17,64.36,68.74,61.5101,68.55,3567795,ok
2020-03-18,64.43,69.81,63.2766,66.18,2954127,ok
2020-03-19,65.13,72.01,62.8601,67.41,2586673,ok
2020-03-20,67.56,69.38,64.0,64.56,2422868,ok
2020-03-23,65.17,65.29,60.67,63.11,2312236,ok
2020-03-24,66.16,70.25,66.14,69.86,1936809,ok
2020-03-25,70.43,75.78,67.66,72.86,1827910,ok
2020-03-26,73.57,75.9,72.56,75.35,1585757,ok
2020-03-27,72.71,75.45,71.82,73.98,1582089,ok
2020-03-30,73.9,76.185,72.07,75.79,1455522,ok
2020-03-31,74.65,76.89,73.9666,75.46,1585533,ok
2020-04-01,71.25,73.91,70.62,73.0,1657861,ok
2020-04-02,71.51,77.5,71.51,76.92,1883933,ok
2020-04-03,75.98,77.97,74.57,77.03,1520179,ok
2020-04-06,79.55,82.38,78.0437,81.37,2238624,ok
2020-04-07,85.04,86.14,82.31,82.6,2168998,ok
2020-04-08,83.55,84.7,80.97,83.38,1742484,ok
2020-04-09,84.88,86.48,83.49,84.89,2148042,ok
2020-04-13,84.37,84.8,81.93,83.55,1136476,ok
2020-04-14,85.88,86.0,82.45,83.39,1277017,ok
2020-04-15,80.4,80.88,78.2,78.89,1567858,ok
2020-04-16,79.02,80.73,77.19,77.96,1722199,ok
2020-04-17,80.96,82.48,79.05,80.0,3483941,ok
2020-04-20,78.89,80.905,78.1831,79.33,2361621,ok
2020-04-21,78.25,78.67,71.74,74.43,3134205,ok
2020-04-22,76.4,77.09,74.78,76.17,1038175,ok
2020-04-23,76.58,77.57,75.08,75.61,889709,ok
2020-04-24,77.18,77.93,75.73,77.39,997278,ok
2020-04-27,77.96,80.46,77.86,79.91,1079060,ok
2020-04-28,81.83,82.79,80.05,80.13,927077,ok
2020-04-29,82.32,83.04,81.5,82.04,1046340,ok
2020-04-30,80.41,80.74,78.61,79.16,1090008,ok
2020-05-01,76.94,77.98,74.34,75.47,1280456,ok
2020-05-04,74.66,75.59,73.27,74.96,1033083,ok
2020-05-05,75.88,75.91,73.04,73.07,1006265,ok
2020-05-06,73.77,73.93,71.29,72.07,881370,ok
2020-05-07,73.82,75.96,73.15,73.94,1048840,ok
2020-05-08,75.55,76.13,74.42,75.99,1271926,ok
2020-05-11,74.89,75.28,74.21,74.77,994860,ok
2020-05-12,75.7,76.23,72.81,72.85,1180688,ok
2020-05-13,71.71,72.23,69.29,70.25,1214784,ok
2020-05-14,69.0,72.34,67.43,72.26,1184415,ok
2020-05-15,71.03,71.96,70.35,71.13,890050,ok
2020-05-18,73.92,76.39,73.11,75.94,1126783,ok
2020-05-19,75.42,75.92,73.32,73.37,865428,ok
2020-05-20,74.1,75.28,73.47,74.76,1053755,ok
2020-05-21,74.06,74.91,73.62,73.94,1084404,ok
2020-05-22,74.21,74.21,72.91,73.88,1071379,ok
2020-05-26,77.28,80.72,76.38,79.14,1920651,ok
2020-05-27,82.45,84.36,80.155,82.9,1489265,ok
2020-05-28,84.08,84.08,79.76,79.92,1061881,ok
2020-05-29,78.75,80.16,78.28,79.01,1514171,ok
2020-06-01,79.65,81.52,79.22,80.67,857414,ok
2020-06-02,81.75,82.56,80.36,80.86,1134775,ok
2020-06-03,82.55,85.55,82.01,85.14,1142784,ok
2020-06-04,84.58,88.09,84.28,87.98,1332886,ok
2020-06-05,92.34,92.86,90.27,90.7,2437947,ok
2020-06-08,92.25,92.72,89.86,91.16,1781989,ok
2020-06-09,89.75,92.93,89.19,91.99,1227641,ok
2020-06-10,90.99,91.11,87.54,87.63,1323368,ok
2020-06-11,84.39,85.39,81.85,82.05,1613619,ok
2020-06-12,84.82,84.96,81.385,83.61,1150381,ok
2020-06-15,80.53,84.57,80.53,83.52,1447556,ok
2020-06-16,86.75,86.795,83.53,84.93,1136980,ok
2020-06-17,84.6,85.385,83.65,83.82,1770862,ok
2020-06-18,82.38,84.05,82.24,82.62,1672689,ok
2020-06-19,83.36,83.495,80.81,82.66,4060094,ok
2020-06-22,81.73,83.06,80.64,81.75,1518032,ok
2020-06-23,82.95,83.78,81.08,81.1,1938845,ok
2020-06-24,79.46,79.99,77.13,77.18,1644472,ok
2020-06-25,76.97,78.72,76.37,78.44,1440745,ok
2020-06-26,77.17,77.4,75.11,76.2,1970567,ok
2020-06-29,77.33,77.575,75.77,76.3,1134150,ok
2020-06-30,76.39,79.69,76.09,79.34,1468317,ok
2020-07-01,78.86,79.32,76.63,76.94,895409,ok
2020-07-02,78.885,79.57,77.41,77.67,833629,ok
2020-07-06,79.64,80.0,77.8,78.7,1036040,ok
2020-07-07,78.31,78.66,77.62,77.85,1419558,ok
2020-07-08,80.15,80.26,78.17,80.16,1456689,ok
2020-07-09,79.07,79.66,75.63,76.41,1379520,ok
2020-07-10,76.87,80.44,76.74,80.17,1144259,ok
2020-07-13,80.78,82.73,79.97,81.57,1437765,ok
2020-07-14,81.76,82.28,80.31,81.65,1044798,ok
2020-07-15,82.82,82.82,79.81,80.55,1636915,ok
2020-07-16,79.71,81.59,79.02,79.94,1102313,ok
2020-07-17,80.27,80.27,77.55,77.71,1399258,ok
2020-07-20,76.97,78.18,76.97,77.74,1528199,ok
2020-07-21,77.64,80.54,77.5,79.83,1507677,ok
2020-07-22,82.28,82.28,72.64,75.62,2889689,ok
2020-07-23,75.28,77.705,75.1701,77.48,1709311,ok
2020-07-24,78.07,79.04,75.78,76.03,1092242,ok
2020-07-27,75.27,76.78,74.47,76.61,1072825,ok
2020-07-28,76.09,77.37,75.87,77.1,1290261,ok
2020-07-29,76.87,79.64,76.78,79.26,1263386,ok
2020-07-30,77.81,78.17,76.74,77.93,890709,ok
2020-07-31,77.93,78.44,77.24,78.35,845601,ok
2020-08-03,78.56,80.04,77.8,79.28,993570,ok
2020-08-04,79.7,79.79,78.5265,79.28,672437,ok
2020-08-05,79.57,80.48,79.38,80.39,602411,ok
2020-08-06,80.45,80.92,79.95,80.06,764800,ok
2020-08-07,79.71,83.32,79.68,83.25,752806,ok
2020-08-10,83.2,84.2,82.61,83.66,871460,ok
2020-08-11,85.47,86.485,83.92,84.27,1033382,ok
2020-08-12,85.93,86.04,83.43,84.07,705632,ok
2020-08-13,83.03,83.83,82.23,82.65,603076,ok
2020-08-14,82.69,83.97,82.46,83.42,616275,ok
2020-08-17,82.94,83.35,82.0101,82.58,560572,ok
2020-08-18,82.4,82.685,81.55,82.22,598977,ok
2020-08-19,82.76,83.74,82.44,83.0,635570,ok
2020-08-20,82.12,82.29,81.07,81.43,725354,ok
2020-08-21,81.19,81.81,80.53,81.73,628733,ok
2020-08-24,81.69,84.36,81.55,84.26,698210,ok
2020-08-25,85.0,85.45,83.88,84.0,568247,ok
2020-08-26,83.96,83.96,82.7,82.74,729406,ok
2020-08-27,83.09,84.73,82.955,84.28,515552,ok
2020-08-28,84.45,84.45,83.52,83.91,566638,ok
2020-08-31,83.74,84.02,81.56,81.89,1048370,ok
2020-09-01,81.79,83.19,81.09,82.08,835585,ok
2020-09-02,81.83,84.29,81.265,83.92,699664,ok
2020-09-03,84.46,86.24,83.0,83.66,1015520,ok
2020-09-04,84.84,86.2,83.67,84.45,1002464,ok
2020-09-08,83.01,83.745,81.11,81.61,1585662,ok
2020-09-09,82.63,82.63,81.04,81.09,955865,ok
2020-09-10,80.52,81.425,78.54,78.65,1077135,ok
2020-09-11,78.38,80.46,78.081,79.85,792586,ok
2020-09-14,80.56,81.9664,80.24,80.5,1335900,ok
2020-09-15,81.2,81.2,78.32,78.76,1603532,ok
2020-09-16,79.11,85.9,79.0,83.22,2867575,ok
2020-09-17,82.19,83.525,81.92,82.9,1988050,ok
2020-09-18,82.56,83.6,81.58,81.74,2014649,ok
2020-09-21,79.7,81.16,77.69,79.5,1648362,ok
2020-09-22,79.08,80.15,76.94,77.79,1574556,ok
2020-09-23,77.73,79.04,75.86,75.99,807372,ok
2020-09-24,76.48,77.28,74.75,75.22,1017660,ok
2020-09-25,74.23,76.53,74.03,76.46,875099,ok
2020-09-28,78.1,79.58,77.72,78.61,679286,ok
2020-09-29,78.36,78.64,77.07,77.46,607854,ok
2020-09-30,78.13,79.03,77.4,77.97,798158,ok
2020-10-01,77.78,78.79,76.53,77.05,772704,ok
2020-10-02,75.83,79.09,75.72,78.41,514797,ok
2020-10-05,79.28,81.04,79.275,80.83,659134,ok
