Date,Open,High,Low,Close,Volume,Status
2020-01-02,3.99,4.57,3.86,4.49,6127114,ok
2020-01-03,4.47,4.6,4.21,4.44,1709045,ok
2020-01-06,4.41,4.72,4.36,4.58,2112230,ok
2020-01-07,4.6,4.66,4.53,4.57,1043423,ok
2020-01-08,4.56,4.6,4.26,4.28,1790614,ok
2020-01-09,4.25,4.26,3.9401,4.01,2096899,ok
2020-01-10,4.0,4.05,3.91,3.93,1687180,ok
2020-01-13,3.97,4.0,3.6518,3.95,1771386,ok
2020-01-14,3.91,4.05,3.77,3.99,925232,ok
2020-01-15,4.47,4.6,4.26,4.38,5106990,ok
2020-01-16,4.5,4.85,4.49,4.78,4380156,ok
2020-01-17,4.88,5.81,4.76,5.74,9559872,ok
2020-01-21,9.15,9.99,7.32,9.82,55305238,ok
2020-01-22,8.38,8.5,6.8,7.09,16921190,ok
2020-01-23,7.88,8.14,7.24,7.66,16709381,ok
2020-01-24,7.99,8.12,7.51,7.8,10553554,ok
2020-01-27,9.225,9.32,8.31,8.5,16742097,ok
2020-01-28,8.01,8.17,7.01,7.17,8664339,ok
2020-01-29,7.22,7.34,6.26,6.84,5600580,ok
2020-01-30,7.03,7.1,6.73,7.0,3738759,ok
2020-01-31,7.21,7.79,6.79,7.62,6765938,ok
2020-02-03,7.26,7.43,6.75,6.81,4206771,ok
2020-02-04,6.63,7.07,6.55,7.01,4168339,ok
2020-02-05,6.9,7.01,6.59,6.97,2158461,ok
2020-02-06,6.89,6.98,6.71,6.84,1457623,ok
2020-02-07,6.76,6.889,6.26,6.31,2607215,ok
2020-02-10,6.43,7.39,6.43,7.02,6183559,ok
2020-02-11,6.93,7.35,6.7,7.21,2428997,ok
2020-02-12,7.2,7.69,7.11,7.31,2714979,ok
2020-02-13,7.6,8.05,7.51,7.79,4408571,ok
2020-02-14,8.05,8.08,7.32,7.68,2732788,ok
2020-02-18,7.69,8.18,7.56,7.99,2580664,ok
2020-02-19,7.86,8.03,7.6301,7.95,2131955,ok
2020-02-20,7.88,8.06,7.76,7.94,2355136,ok
2020-02-21,7.87,7.94,7.6301,7.72,1804471,ok
2020-02-24,8.305,8.5,7.93,8.165,5044232,ok
2020-02-25,8.21,8.3,7.7,7.95,2947844,ok
2020-02-26,8.65,11.21,8.32,9.22,24939954,ok
2020-02-27,11.1,11.88,9.8,11.8,27547104,ok
2020-02-28,14.94,17.71,12.7162,16.0,36373233,ok
2020-03-02,13.96,14.0,11.49,12.02,14261694,ok
2020-03-03,10.56,11.11,9.92,10.78,9957330,ok
2020-03-04,10.12,12.35,10.1,11.32,10977444,ok
2020-03-05,11.85,13.4,11.71,12.87,14057084,ok
2020-03-06,13.83,14.25,11.58,12.48,13250765,ok
2020-03-09,12.51,13.0,9.6001,10.02,8328807,ok
2020-03-10,12.47,12.48,10.35,10.65,12365442,ok
2020-03-11,10.51,10.8,9.3201,10.51,9102787,ok
2020-03-12,9.51,10.47,9.15,9.29,5488378,ok
2020-03-13,9.5,9.73,7.52,8.41,6115375,ok
2020-03-16,7.77,8.14,6.77,6.91,4779370,ok
2020-03-17,8.0,10.19,7.85,9.5,11623967,ok
2020-03-18,8.85,11.48,8.8,10.65,11034050,ok
2020-03-19,10.98,13.2,10.8,11.58,11901386,ok
