Date,Open,High,Low,Close,Volume,Status
2020-01-02,19.43,19.44,18.87,19.08,3960847,ok
2020-01-03,18.78,18.85,18.5,18.66,3206853,ok
2020-01-06,18.52,18.925,18.44,18.9,3491953,ok
2020-01-07,18.95,19.15,18.73,19.0,3363018,ok
2020-01-08,19.07,19.27,18.95,19.2,2966971,ok
2020-01-09,19.31,19.32,19.05,19.16,3903515,ok
2020-01-10,19.23,19.35,19.12,19.24,2339339,ok
2020-01-13,19.31,19.6,19.04,19.57,2514589,ok
2020-01-14,19.52,20.05,19.4,19.98,3991607,ok
2020-01-15,19.88,20.2214,19.74,19.82,3610891,ok
2020-01-16,20.04,20.23,19.88,20.21,2708719,ok
2020-01-17,20.3,20.49,20.19,20.26,2712568,ok
2020-01-21,19.53,20.08,19.53,20.05,3623659,ok
2020-01-22,20.06,20.23,20.031,20.09,1803443,ok
2020-01-23,19.98,20.23,19.65,20.16,1845275,ok
2020-01-24,20.11,20.1763,19.73,19.89,1479317,ok
2020-01-27,19.4,19.82,19.35,19.6,2902115,ok
2020-01-28,19.74,20.13,19.5,20.1,3021823,ok
2020-01-29,20.21,20.24,19.84,19.86,2448343,ok
2020-01-30,19.79,20.01,19.555,20.0,2422914,ok
2020-01-31,19.98,20.0,19.41,19.53,5176315,ok
2020-02-03,19.62,20.01,19.56,19.71,2841421,ok
2020-02-04,19.99,20.08,19.8,19.91,3584382,ok
2020-02-05,20.14,20.54,20.045,20.53,3675993,ok
2020-02-06,20.68,20.8,20.155,20.22,2370077,ok
2020-02-07,20.11,20.14,19.83,20.06,2762966,ok
2020-02-10,19.93,20.2,19.85,20.19,2880548,ok
2020-02-11,20.21,20.34,20.08,20.17,2340295,ok
2020-02-12,20.23,20.36,19.66,19.69,3684639,ok
2020-02-13,19.65,19.905,19.46,19.52,4622542,ok
2020-02-14,18.93,20.69,18.55,20.1,7850528,ok
2020-02-18,20.03,20.46,19.7107,20.02,3006669,ok
2020-02-19,20.09,20.27,19.8,19.9,2647844,ok
2020-02-20,19.83,20.22,19.78,19.89,3323110,ok
2020-02-21,19.75,19.88,19.21,19.23,2779949,ok
2020-02-24,18.7,18.77,18.12,18.24,5677033,ok
2020-02-25,18.28,18.45,16.98,17.03,7006389,ok
2020-02-26,17.12,17.33,16.57,16.59,4196037,ok
2020-02-27,15.97,16.53,15.235,15.24,7236774,ok
2020-02-28,14.75,15.5,14.5,15.43,9330111,ok
2020-03-02,15.51,16.48,15.37,16.45,7320457,ok
2020-03-03,16.23,16.77,15.27,15.47,5033031,ok
2020-03-04,15.73,15.778,14.99,15.33,3925447,ok
2020-03-05,14.77,14.87,14.075,14.19,4593017,ok
2020-03-06,13.92,14.49,13.64,13.98,5553909,ok
2020-03-09,13.0,13.84,12.5,13.68,6973882,ok
2020-03-10,14.31,14.62,13.37,13.79,8180487,ok
2020-03-11,13.26,13.89,13.16,13.63,9538367,ok
2020-03-12,12.7,12.96,11.26,11.3,6619242,ok
2020-03-13,11.96,12.97,11.45,12.96,6614041,ok
2020-03-16,11.7,12.89,11.5567,12.28,5681294,ok
2020-03-17,12.89,13.81,11.905,13.26,6087480,ok
2020-03-18,12.4,12.72,11.2,12.16,6415732,ok
2020-03-19,11.91,12.84,11.1,12.43,4304060,ok
2020-03-20,12.39,12.43,11.385,11.42,6597662,ok
2020-03-23,11.43,11.72,10.44,10.55,5432447,ok
2020-03-24,11.2,12.52,11.19,12.46,6163769,ok
2020-03-25,12.63,13.29,11.83,12.76,5181742,ok
2020-03-26,12.98,14.22,12.73,14.11,4452323,ok
2020-03-27,13.4,14.335,13.18,13.61,4094653,ok
2020-03-30,13.59,13.85,13.44,13.64,4105140,ok
2020-03-31,13.5,13.77,12.93,13.28,5506994,ok
2020-04-01,12.52,12.85,12.01,12.39,5029252,ok
2020-04-02,12.28,12.73,11.79,12.07,4159880,ok
2020-04-03,11.9,12.39,11.7,11.99,3122123,ok
2020-04-06,12.68,13.11,12.525,12.82,3250990,ok
2020-04-07,13.449,13.6181,12.935,13.1,3638391,ok
2020-04-08,13.27,13.58,13.03,13.47,3275169,ok
2020-04-09,13.63,14.44,13.63,14.15,5238289,ok
2020-04-13,14.08,14.11,13.04,13.34,2139613,ok
2020-04-14,13.76,13.88,13.44,13.8,2850587,ok
2020-04-15,13.25,13.31,12.62,12.73,2930707,ok
2020-04-16,12.71,12.86,12.25,12.61,2955349,ok
2020-04-17,13.11,13.38,12.52,12.86,4870250,ok
2020-04-20,12.67,13.045,12.08,12.78,6883565,ok
2020-04-21,12.32,12.74,12.24,12.52,3001988,ok
2020-04-22,12.52,12.65,12.02,12.055,4209683,ok
2020-04-23,12.25,12.83,12.2,12.595,4692790,ok
