Date,Open,High,Low,Close,Volume,Status
2020-01-02,128.61,129.5,127.19,128.54,2247936,ok
2020-01-03,126.23,128.28,126.12,127.3,1546142,ok
2020-01-06,125.4,126.99,124.68,126.4,2157907,ok
2020-01-07,127.5,129.78,127.0,128.04,2595859,ok
2020-01-08,128.21,129.11,127.13,128.36,1589050,ok
2020-01-09,129.8,130.95,128.685,129.18,2429658,ok
2020-01-10,130.11,130.83,129.18,129.64,2293956,ok
2020-01-13,131.0,132.51,130.15,131.98,2313983,ok
2020-01-14,131.4,133.68,131.29,132.71,2499353,ok
2020-01-15,132.45,132.91,131.56,132.5,2206154,ok
2020-01-16,133.98,134.96,132.8,134.18,2495050,ok
2020-01-17,134.99,135.48,132.47,133.84,2268291,ok
2020-01-21,133.4,134.45,132.69,133.96,2018213,ok
2020-01-22,134.52,136.3,133.48,134.64,2422027,ok
2020-01-23,134.89,137.22,134.855,136.41,2534130,ok
2020-01-24,137.49,137.92,134.55,135.28,2887925,ok
2020-01-27,131.56,131.73,128.06,130.45,3781242,ok
2020-01-28,132.5,133.65,131.24,132.68,2207844,ok
2020-01-29,133.05,134.77,131.74,132.66,2273470,ok
2020-01-30,130.81,132.0053,128.85,131.62,2039836,ok
2020-01-31,130.02,130.9699,126.05,126.86,4448584,ok
2020-02-03,127.69,129.03,125.01,125.7,4207394,ok
2020-02-04,133.0,134.5,127.75,130.51,5559965,ok
2020-02-05,133.4,136.84,132.43,134.23,4386733,ok
2020-02-06,135.37,135.75,133.05,135.34,2082783,ok
2020-02-07,134.49,134.86,132.0,132.26,2522440,ok
2020-02-10,130.75,133.31,130.46,133.19,1769690,ok
2020-02-11,134.13,137.16,133.79,135.52,2406950,ok
2020-02-12,136.58,138.43,136.15,137.83,2592920,ok
2020-02-13,136.87,139.265,135.98,138.69,1426190,ok
2020-02-14,138.88,139.59,134.69,137.08,1846684,ok
2020-02-18,134.41,135.485,132.608,133.87,1919928,ok
2020-02-19,134.91,137.32,134.31,134.95,2028182,ok
2020-02-20,134.33,135.14,131.615,134.8,2294986,ok
2020-02-21,134.59,137.12,129.54,130.5,3522122,ok
2020-02-24,124.55,125.58,123.22,124.04,5135477,ok
2020-02-25,125.59,125.9,119.0,120.82,4628537,ok
2020-02-26,121.54,122.87,118.23,119.47,4415467,ok
2020-02-27,115.34,117.84,113.895,114.64,4950815,ok
2020-02-28,110.02,115.6,110.0,113.69,5507119,ok
2020-03-02,117.59,120.34,114.43,120.08,4306264,ok
2020-03-03,119.41,122.78,116.34,116.56,3969722,ok
2020-03-04,118.22,121.34,117.51,121.27,2755954,ok
2020-03-05,116.55,118.915,114.03,115.27,3161542,ok
2020-03-06,110.74,114.0671,109.13,111.69,3544483,ok
2020-03-09,104.7,108.0,101.4552,101.97,5696661,ok
2020-03-10,104.43,107.395,101.63,106.85,4622472,ok
2020-03-11,103.63,105.3252,98.865,100.52,4958102,ok
2020-03-12,86.4,97.23,86.0,91.97,7271865,ok
2020-03-13,96.0,99.7,87.55,95.54,7099132,ok
2020-03-16,84.54,86.82,78.26,80.32,7781186,ok
2020-03-17,81.65,81.98,75.6001,80.08,9133944,ok
2020-03-18,73.35,76.78,58.41,64.56,10744549,ok
2020-03-19,64.83,77.24,63.05,76.12,6107945,ok
2020-03-20,78.84,83.99,72.7,73.58,5722140,ok
2020-03-23,74.21,78.61,69.16,77.27,3664800,ok
2020-03-24,83.03,88.3,81.3,85.73,3691037,ok
2020-03-25,87.16,89.99,82.51,84.86,3174057,ok
2020-03-26,86.46,89.86,83.76,89.72,4068535,ok
2020-03-27,86.13,87.87,80.87,81.3,2923319,ok
2020-03-30,81.65,85.145,79.11,84.93,2963070,ok
2020-03-31,84.83,87.645,82.09,82.93,2697277,ok
2020-04-01,79.48,79.99,73.81,74.73,3433995,ok
2020-04-02,74.15,79.27,73.51,77.78,2455262,ok
2020-04-03,77.26,79.11,72.86,75.75,2330855,ok
2020-04-06,80.07,87.19,79.895,86.94,3657851,ok
