Date,Open,High,Low,Close,Volume,Status
2020-01-02,75.92,76.11,75.0402,75.71,1808622,ok
2020-01-03,75.92,76.7499,75.65,76.58,1727643,ok
2020-01-06,76.3,77.14,76.12,76.91,2109670,ok
2020-01-07,76.71,76.951,76.2646,76.85,1364852,ok
2020-01-08,76.92,77.03,75.65,75.65,2153880,ok
2020-01-09,75.63,75.73,74.87,75.61,1726768,ok
2020-01-10,75.6,75.91,75.17,75.53,1444995,ok
2020-01-13,75.53,76.48,74.98,76.24,1368002,ok
2020-01-14,76.19,76.31,75.19,75.97,2308350,ok
2020-01-15,75.95,76.368,75.69,75.91,1410293,ok
2020-01-16,76.67,77.085,76.2909,76.78,1637564,ok
2020-01-17,76.88,77.18,76.31,77.17,1774703,ok
2020-01-21,77.14,77.26,75.89,75.91,2469397,ok
2020-01-22,75.91,76.02,75.27,75.6,1687349,ok
2020-01-23,75.22,76.32,74.96,76.29,1585539,ok
2020-01-24,75.43,75.53,74.4,74.84,1774704,ok
2020-01-27,73.53,74.465,73.5,74.0,1841136,ok
2020-01-28,74.39,75.46,74.295,75.05,1735905,ok
2020-01-29,75.26,75.46,74.795,74.94,1495985,ok
2020-01-30,74.34,75.62,74.34,75.47,2782350,ok
2020-01-31,74.72,75.09,74.22,74.87,3381463,ok
2020-02-03,74.92,75.315,74.28,74.44,2726234,ok
2020-02-04,75.27,75.865,74.7,74.91,2495286,ok
2020-02-05,75.78,76.54,75.775,76.07,1575613,ok
2020-02-06,76.04,76.4,75.49,75.85,1124412,ok
2020-02-07,75.4,76.17,75.2,75.36,1147188,ok
2020-02-10,74.98,75.9,74.65,75.57,1471385,ok
2020-02-11,76.2,76.67,75.74,75.94,1363282,ok
2020-02-12,76.68,76.8,75.9504,76.41,1389481,ok
2020-02-13,76.17,76.32,75.74,76.22,1910335,ok
2020-02-14,76.47,76.98,76.355,76.98,1397901,ok
2020-02-18,76.61,76.95,76.2,76.94,1702179,ok
2020-02-19,77.03,77.15,76.29,76.75,1528503,ok
2020-02-20,76.95,78.48,76.75,77.52,2111646,ok
2020-02-21,76.93,77.478,76.35,77.06,2509029,ok
