Date,Open,High,Low,Close,Volume,Status
2020-01-02,24.75,25.08,24.4,25.06,5651181,ok
2020-01-03,24.48,25.0,24.23,24.69,4413234,ok
2020-01-06,24.25,24.38,23.99,24.07,8586622,ok
2020-01-07,24.49,25.15,24.39,24.66,10549966,ok
2020-01-08,24.67,25.22,24.67,24.82,6660878,ok
2020-01-09,25.13,25.19,24.56,24.86,4118234,ok
2020-01-10,24.86,25.02,24.55,24.58,4065526,ok
2020-01-13,24.76,25.34,24.76,25.32,5471777,ok
2020-01-14,25.3,25.92,25.23,25.62,9298709,ok
2020-01-15,25.45,25.45,24.75,24.88,7302793,ok
2020-01-16,25.1,25.17,24.785,25.03,5712646,ok
2020-01-17,25.08,25.18,24.81,25.0,5149029,ok
2020-01-21,24.83,25.09,24.7547,24.79,4599302,ok
2020-01-22,25.07,25.275,24.79,24.79,3520891,ok
2020-01-23,24.77,25.52,24.6,25.47,5936219,ok
2020-01-24,25.76,25.83,24.715,24.99,5426048,ok
2020-01-27,24.05,24.09,23.57,23.66,7665994,ok
2020-01-28,24.05,24.31,23.71,24.17,5615033,ok
2020-01-29,24.26,24.31,23.835,23.88,5717932,ok
2020-01-30,23.59,23.99,23.21,23.94,8514053,ok
2020-01-31,23.69,23.76,22.95,23.15,7994698,ok
2020-02-03,21.45,21.82,19.85,19.905,34727486,ok
2020-02-04,19.96,20.14,19.28,19.82,22432097,ok
2020-02-05,20.36,21.23,20.01,21.15,18620900,ok
2020-02-06,21.18,21.525,20.59,20.91,9550952,ok
2020-02-07,20.91,20.93,20.22,20.45,9186218,ok
2020-02-10,20.28,20.72,20.0603,20.54,6650163,ok
2020-02-11,20.71,21.56,20.69,21.4,8215496,ok
2020-02-12,21.73,21.83,21.24,21.385,5323643,ok
2020-02-13,21.22,21.81,21.11,21.63,6131701,ok
2020-02-14,21.74,21.9,21.14,21.44,5629126,ok
2020-02-18,21.21,21.315,21.0,21.11,5020590,ok
2020-02-19,21.3,21.67,20.76,20.9,7905734,ok
2020-02-20,20.74,20.89,20.24,20.6,10806483,ok
2020-02-21,20.43,20.5,19.68,20.015,13925731,ok
2020-02-24,19.29,19.58,19.11,19.35,9111866,ok
2020-02-25,19.56,19.79,18.575,18.62,9452955,ok
2020-02-26,18.82,19.0879,18.26,18.36,7466327,ok
2020-02-27,17.84,18.33,17.54,17.54,8843713,ok
2020-02-28,16.93,18.78,16.9107,18.66,13505754,ok
2020-03-02,18.79,18.93,18.07,18.93,8422122,ok
2020-03-03,18.73,19.13,18.0,18.13,9669519,ok
2020-03-04,18.39,18.76,18.005,18.73,5615553,ok
2020-03-05,18.19,18.52,17.73,17.83,7134745,ok
2020-03-06,17.63,18.42,17.03,17.28,11756344,ok
2020-03-09,16.12,16.77,15.51,15.53,13614707,ok
2020-03-10,16.32,16.89,15.735,16.89,9504476,ok
2020-03-11,16.42,16.5,15.0,15.07,10587573,ok
2020-03-12,14.26,14.4401,12.61,12.93,15397784,ok
2020-03-13,13.83,14.49,12.95,14.49,12869717,ok
2020-03-16,12.75,14.25,11.61,11.81,11719793,ok
2020-03-17,12.1,12.69,10.68,11.55,16903868,ok
2020-03-18,10.61,10.98,8.17,8.45,15551104,ok
2020-03-19,8.36,10.7,8.27,10.51,15907353,ok
2020-03-20,10.89,11.96,10.51,10.82,15008566,ok
2020-03-23,11.06,11.67,10.27,11.49,8972288,ok
2020-03-24,12.42,13.87,12.215,13.85,13318664,ok
2020-03-25,14.08,15.21,13.06,14.79,14851333,ok
2020-03-26,15.04,15.1,13.68,14.16,12689729,ok
2020-03-27,13.5,13.5,12.85,12.89,9738498,ok
2020-03-30,12.89,13.195,12.46,12.97,9251445,ok
2020-03-31,13.0,13.49,12.275,12.44,10982252,ok
2020-04-01,11.94,12.23,10.84,11.0,12326494,ok
2020-04-02,10.96,11.77,10.61,11.27,13409889,ok
2020-04-03,11.15,11.39,10.78,10.94,8374133,ok
2020-04-06,11.7,12.96,11.65,12.87,13508965,ok
