Date,Open,High,Low,Close,Volume,Status
2020-01-02,233.24,235.94,232.95,235.41,945332,ok
2020-01-03,232.94,236.99,232.94,236.83,743784,ok
2020-01-06,236.35,240.54,235.71,240.26,1114453,ok
2020-01-07,240.26,242.5,239.33,241.64,1132105,ok
2020-01-08,238.0,239.76,236.78,238.57,1052455,ok
2020-01-09,239.18,240.945,237.88,240.07,751197,ok
2020-01-10,240.3,242.62,237.28,237.87,877264,ok
2020-01-13,238.85,241.71,238.85,240.92,911652,ok
2020-01-14,240.82,242.495,238.88,240.0,958367,ok
2020-01-15,240.57,244.26,240.41,240.7,639459,ok
2020-01-16,241.64,243.62,240.82,243.26,1022347,ok
2020-01-17,243.43,244.39,240.745,242.07,1026991,ok
2020-01-21,241.56,243.8,240.186,243.23,1141144,ok
2020-01-22,244.88,245.48,243.065,243.73,710131,ok
2020-01-23,242.9,244.95,242.2142,244.9,610619,ok
2020-01-24,245.0,247.73,242.2071,242.9,1005890,ok
2020-01-27,238.15,238.65,235.625,237.85,785491,ok
2020-01-28,238.77,241.6677,236.91,239.12,604001,ok
2020-01-29,240.22,241.795,237.52,237.55,584979,ok
2020-01-30,236.28,238.71,235.7703,238.0,770738,ok
2020-01-31,238.03,238.55,234.11,234.78,722599,ok
2020-02-03,234.86,236.35,233.64,235.97,1002198,ok
2020-02-04,236.75,240.84,235.11,240.19,704943,ok
2020-02-05,242.51,242.9,238.48,241.66,717452,ok
2020-02-06,242.57,246.32,241.575,246.07,848797,ok
2020-02-07,246.0,246.87,243.98,245.82,659763,ok
2020-02-10,245.37,248.49,243.769,247.52,572587,ok
2020-02-11,249.0,249.95,246.3,246.83,561989,ok
2020-02-12,247.39,247.39,240.3,244.72,1211368,ok
2020-02-13,244.2,246.57,243.215,245.61,868368,ok
2020-02-14,247.0,248.98,245.37,247.25,631591,ok
2020-02-18,247.55,250.02,246.442,249.22,964217,ok
2020-02-19,249.22,251.105,247.31,248.71,707564,ok
2020-02-20,247.81,249.71,244.26,249.14,1070216,ok
2020-02-21,248.44,248.44,240.405,243.0,1503577,ok
2020-02-24,236.83,237.94,231.28,237.33,2939029,ok
2020-02-25,202.0,203.9,192.18,196.96,9953113,ok
2020-02-26,197.08,199.2996,187.52,189.58,3282042,ok
2020-02-27,184.5,195.49,182.62,187.56,3414438,ok
2020-02-28,181.76,191.3458,181.06,184.62,3596076,ok
2020-03-02,184.91,189.49,179.11,189.29,2159769,ok
2020-03-03,189.35,191.16,179.38,182.04,1865632,ok
2020-03-04,185.96,186.46,183.05,185.89,1348005,ok
2020-03-05,182.01,185.6,179.22,181.05,1442746,ok
2020-03-06,176.88,179.19,172.91,176.17,1930049,ok
2020-03-09,164.66,169.9,153.78,158.78,3342515,ok
2020-03-10,164.41,168.09,159.32,167.47,2091426,ok
2020-03-11,164.08,165.67,155.28,157.53,1987858,ok
2020-03-12,146.05,149.34,140.01,140.55,3001913,ok
2020-03-13,147.26,151.61,138.55,151.57,1997347,ok
2020-03-16,135.1,141.48,133.835,137.17,2211286,ok
2020-03-17,138.41,144.7,134.66,141.56,2204893,ok
2020-03-18,133.54,140.95,125.47,132.58,2583906,ok
2020-03-19,131.63,144.21,131.0687,139.11,1901412,ok
2020-03-20,142.27,152.97,141.0,143.53,1747466,ok
2020-03-23,141.84,150.5741,141.22,146.16,1562221,ok
2020-03-24,154.37,162.82,154.01,160.72,2602837,ok
2020-03-25,163.76,168.75,156.56,166.01,2059598,ok
2020-03-26,168.56,172.26,165.76,168.0,1566566,ok
2020-03-27,162.23,165.28,160.26,162.54,1542937,ok
2020-03-30,163.0,170.2,161.75,166.47,2063344,ok
2020-03-31,164.0,168.7,162.2,163.96,1459302,ok
2020-04-01,158.0,169.755,158.0,163.86,2150033,ok
2020-04-02,162.77,168.72,160.55,165.54,1463000,ok
2020-04-03,163.29,167.62,160.49,162.66,999919,ok
2020-04-06,169.36,172.44,166.1401,171.34,1686347,ok
2020-04-07,176.97,178.88,172.5582,172.81,1504123,ok
2020-04-08,175.0,177.77,172.36,176.16,1318144,ok
2020-04-09,178.87,184.45,177.34,177.88,1976286,ok
2020-04-13,180.61,183.88,179.11,182.96,1463279,ok
2020-04-14,187.48,188.55,184.42,187.93,1284246,ok
2020-04-15,184.69,188.0,184.0,186.35,1032915,ok
2020-04-16,187.86,191.55,186.61,190.29,1273421,ok
2020-04-17,195.0,196.34,191.36,193.43,1794130,ok
2020-04-20,192.47,197.43,191.83,194.29,1180483,ok
2020-04-21,191.96,194.24,184.33,186.51,1215243,ok
2020-04-22,190.0,193.525,189.64,191.86,784425,ok
2020-04-23,191.59,194.9,190.19,192.09,675477,ok
2020-04-24,192.85,194.92,192.41,193.45,843434,ok
2020-04-27,196.29,199.82,195.21,196.88,1497952,ok
2020-04-28,200.0,200.65,193.16,193.55,1029657,ok
2020-04-29,197.21,200.02,195.9,197.7,1053006,ok
2020-04-30,196.16,199.36,195.32,196.51,607501,ok
2020-05-01,193.0,195.94,192.14,194.68,1072229,ok
2020-05-04,193.7,193.7,190.55,191.84,988713,ok
2020-05-05,193.79,199.95,193.76,198.21,1096976,ok
2020-05-06,202.87,204.1,200.55,201.23,1388030,ok
2020-05-07,204.84,214.16,203.9401,213.13,1731789,ok
2020-05-08,214.35,215.12,211.15,213.96,1065525,ok
2020-05-11,213.0,219.53,212.4625,218.26,1199520,ok
2020-05-12,219.0,219.4221,213.55,214.17,973633,ok
2020-05-13,220.0,221.85,210.79,215.74,1749805,ok
2020-05-14,211.9,219.58,211.89,219.57,1611105,ok
2020-05-15,218.0,223.97,216.95,222.83,1359445,ok
2020-05-18,225.77,231.37,224.07,226.14,1246374,ok
2020-05-19,226.78,232.43,226.78,227.15,2199553,ok
2020-05-20,230.5,234.755,230.01,234.48,1556760,ok
2020-05-21,234.0,237.67,228.51,229.5,2643051,ok
2020-05-22,240.0,243.14,232.015,237.93,4105710,ok
2020-05-26,239.95,241.26,231.0,231.17,2108708,ok
2020-05-27,231.08,232.15,223.13,231.79,1652218,ok
2020-05-28,230.48,233.22,227.3903,229.39,1068476,ok
2020-05-29,230.06,235.695,229.01,235.27,1333572,ok
2020-06-01,235.0,239.395,232.405,238.31,978800,ok
2020-06-02,238.31,239.94,235.39,239.86,899775,ok
2020-06-03,237.93,240.84,233.31,233.41,1984549,ok
2020-06-04,230.0,231.92,224.84,226.69,3109449,ok
2020-06-05,226.75,232.42,224.25,231.39,1755357,ok
2020-06-08,230.09,237.93,228.83,237.79,1781707,ok
2020-06-09,238.0,238.43,233.49,233.56,875431,ok
2020-06-10,235.0,236.5,232.66,232.68,1205732,ok
2020-06-11,227.57,231.2,221.59,221.92,1443983,ok
2020-06-12,227.22,228.39,217.75,221.85,1416408,ok
2020-06-15,219.79,227.07,217.48,226.3,1205647,ok
2020-06-16,230.0,230.17,226.0,228.7,977644,ok
2020-06-17,229.48,231.65,228.75,229.24,804141,ok
2020-06-18,229.0,231.2,228.18,230.33,1127007,ok
2020-06-19,233.0,234.345,227.86,230.73,1895980,ok
2020-06-22,230.86,234.51,230.18,232.88,1360476,ok
2020-06-23,232.07,232.85,228.42,229.31,1388246,ok
2020-06-24,229.0,231.11,221.33,223.4,1284270,ok
2020-06-25,223.0,227.1,221.2,226.9,973716,ok
2020-06-26,226.44,226.88,223.04,225.39,2181729,ok
2020-06-29,224.85,228.0,220.75,227.09,956274,ok
2020-06-30,227.09,230.03,226.1392,229.67,1584768,ok
2020-07-01,229.41,230.95,227.72,229.36,1323671,ok
2020-07-02,231.0,232.85,229.32,230.53,1424385,ok
2020-07-06,232.67,238.53,232.11,235.91,1022141,ok
2020-07-07,235.66,238.91,232.8,233.07,1255967,ok
2020-07-08,234.0,243.0,233.59,242.82,1953895,ok
2020-07-09,243.97,249.6,242.35,248.58,1974022,ok
2020-07-10,248.71,249.0,245.23,248.96,1362224,ok
2020-07-13,250.25,255.84,240.5575,241.06,2488388,ok
2020-07-14,240.04,245.53,235.59,245.33,1488257,ok
2020-07-15,246.51,246.745,239.47,240.5,777019,ok
2020-07-16,238.04,239.51,234.79,237.38,878629,ok
2020-07-17,238.34,240.65,235.63,239.81,553122,ok
2020-07-20,241.46,252.37,241.0101,251.6,981036,ok
2020-07-21,252.33,252.99,247.87,249.32,1017176,ok
2020-07-22,251.24,255.3,249.01,250.36,1007507,ok
2020-07-23,250.16,255.0,247.1201,248.5,1112770,ok
2020-07-24,244.59,245.57,241.5,243.77,516828,ok
2020-07-27,245.15,248.26,243.275,247.66,519727,ok
2020-07-28,247.5,249.56,244.61,244.81,357628,ok
2020-07-29,247.3,251.48,247.23,248.55,510891,ok
2020-07-30,246.99,252.71,245.48,251.79,734244,ok
2020-07-31,253.0,255.92,247.47,255.92,565621,ok
2020-08-03,255.92,256.4183,252.63,254.43,529848,ok
2020-08-04,253.04,254.92,250.717,254.91,386071,ok
2020-08-05,259.05,266.2,257.45,264.1,1362516,ok
2020-08-06,264.67,265.92,259.14,265.88,695129,ok
2020-08-07,265.06,265.74,257.6614,261.25,826012,ok
2020-08-10,261.25,261.716,253.85,258.23,717753,ok
2020-08-11,256.46,260.97,254.06,255.23,665643,ok
2020-08-12,256.2,261.72,255.96,259.82,498128,ok
2020-08-13,259.5,263.57,256.961,261.56,454258,ok
2020-08-14,261.99,262.64,258.35,259.11,444186,ok
2020-08-17,260.2,264.19,260.0,262.46,609158,ok
2020-08-18,267.0,269.5,264.13,265.76,822982,ok
2020-08-19,266.84,272.305,263.5,269.48,1395177,ok
2020-08-20,268.33,273.56,267.18,272.52,1247545,ok
2020-08-21,273.62,275.03,268.465,269.33,1446328,ok
2020-08-24,274.01,274.37,264.761,267.07,3252712,ok
2020-08-25,259.98,265.5203,259.98,260.99,4477896,ok
2020-08-26,261.0,264.59,260.6106,263.44,2343918,ok
2020-08-27,263.0,263.0,252.11,255.37,2315094,ok
2020-08-28,256.93,258.58,252.6725,254.67,1303957,ok
2020-08-31,253.65,258.24,252.96,257.41,1477427,ok
2020-09-01,258.9,261.11,257.25,258.5,1473393,ok
2020-09-02,259.45,260.65,253.6,257.46,1114710,ok
2020-09-03,253.55,253.55,238.53,242.21,2407166,ok
2020-09-04,240.64,242.77,227.15,235.65,1954779,ok
2020-09-08,230.0,237.64,228.51,233.93,1971742,ok
2020-09-09,239.24,240.05,233.59,238.4,929878,ok
2020-09-10,238.75,243.24,236.5595,236.96,1135495,ok
2020-09-11,242.0,244.08,238.5101,242.94,1585577,ok
2020-09-14,246.0,247.85,244.09,245.73,1167375,ok
2020-09-15,248.0,249.62,245.0,248.08,1059526,ok
2020-09-16,248.8,250.73,246.81,246.87,785754,ok
2020-09-17,242.31,243.098,238.3,241.43,1560246,ok
2020-09-18,244.14,244.335,237.91,241.6,1239273,ok
2020-09-21,237.92,243.78,236.82,242.61,1038343,ok
2020-09-22,244.05,247.76,239.64,246.5,908291,ok
2020-09-23,246.5,247.8915,238.51,239.13,1044182,ok
2020-09-24,238.06,240.735,235.175,237.99,782188,ok
2020-09-25,238.04,242.79,236.22,242.14,1148996,ok
2020-09-28,244.42,247.55,244.01,245.94,972494,ok
2020-09-29,245.99,248.63,245.68,246.49,1231899,ok
2020-09-30,244.76,247.81,243.81,244.75,677944,ok
2020-10-01,248.67,252.78,247.63,250.53,1125982,ok
2020-10-02,246.32,251.36,243.68,245.16,728644,ok
2020-10-05,245.67,249.56,244.01,248.67,829634,ok
2020-10-06,247.7,252.43,246.58,247.24,569302,ok
2020-10-07,249.29,253.04,247.65,250.96,471555,ok
2020-10-08,252.24,253.32,248.5,249.51,746913,ok
2020-10-09,252.24,254.07,250.2,252.52,634147,ok
2020-10-12,255.0,255.99,252.52,253.1,619077,ok
2020-10-13,253.0,255.51,251.28,254.55,729581,ok
2020-10-14,256.5,260.15,254.04,256.1,821432,ok
2020-10-15,252.96,255.2328,249.4501,251.82,658136,ok
2020-10-16,253.36,253.87,245.51,246.36,1081010,ok
2020-10-19,247.61,249.2,240.69,242.34,897599,ok
2020-10-20,242.87,245.51,239.23,239.28,740770,ok
2020-10-21,238.99,239.55,234.57,235.85,1133223,ok
2020-10-22,236.95,239.68,233.33,237.6,791564,ok
2020-10-23,238.44,238.72,235.44,236.54,530249,ok
2020-10-26,235.59,236.135,228.09,231.62,746094,ok
2020-10-27,233.25,234.01,231.24,231.54,502000,ok
