Date,Open,High,Low,Close,Volume,Status
2022-02-17,29.51,30.4486,29.1,29.35,12100480,ok
2022-02-18,29.0,29.64,27.62,28.38,17019971,ok
2022-02-22,28.12,29.14,27.75,27.85,13261099,ok
2022-02-23,28.07,28.93,27.8,28.4,14566853,ok
2022-02-24,27.35,29.07,27.25,29.05,13670619,ok
2022-02-25,29.1,29.68,28.38,29.56,9130017,ok
2022-02-28,28.82,30.895,28.82,30.61,23784077,ok
2022-03-01,30.6,33.04,30.42,32.26,21537673,ok
2022-03-02,32.54,35.74,32.5,35.24,30575520,ok
2022-03-03,34.75,35.525,34.45,35.44,15983441,ok
2022-03-04,34.94,35.59,33.67,34.07,17462203,ok
2022-03-07,33.73,34.165,33.19,33.79,2824531,ok
