Date,Open,High,Low,Close,Volume,Status
2020-01-02,266.92,271.98,265.65,271.8,388661,ok
2020-01-03,269.49,273.68,268.11,272.71,343153,ok
2020-01-06,267.9,278.2,267.0,278.09,446713,ok
2020-01-07,278.4,282.6,276.7893,279.49,453793,ok
2020-01-08,280.54,286.64,279.61,283.12,532239,ok
2020-01-09,285.0,287.83,283.3001,285.29,506467,ok
2020-01-10,286.5,288.26,284.19,285.58,414304,ok
2020-01-13,289.0,297.09,287.59,295.43,589963,ok
2020-01-14,295.53,297.53,285.55,286.51,751432,ok
2020-01-15,288.63,292.5,287.31,289.09,394366,ok
2020-01-16,290.72,294.4,288.68,294.31,326653,ok
2020-01-17,295.78,296.5158,292.3656,296.24,310655,ok
2020-01-21,296.2,301.21,295.5415,299.78,463372,ok
2020-01-22,303.14,306.37,300.74,303.28,507616,ok
2020-01-23,318.26,324.0,314.02,314.85,3206454,ok
2020-01-24,316.33,317.87,311.71,314.81,2162946,ok
2020-01-27,307.46,314.45,307.46,312.53,9525543,ok
2020-01-28,312.98,319.9,311.005,318.59,1116620,ok
2020-01-29,320.44,324.75,318.4,322.05,1046799,ok
2020-01-30,320.8,325.76,318.0,325.62,601851,ok
2020-01-31,323.45,323.9993,317.87,318.16,871662,ok
2020-02-03,321.12,325.38,318.18,323.47,926063,ok
2020-02-04,328.2,337.99,327.09,337.74,1048559,ok
2020-02-05,341.62,342.0,318.72,322.5,1713194,ok
2020-02-06,301.08,306.99,288.1001,290.71,2686119,ok
2020-02-07,290.26,299.73,290.26,293.53,951492,ok
2020-02-10,293.53,300.0,292.5,297.99,815985,ok
2020-02-11,299.42,300.61,292.07,294.76,826436,ok
2020-02-12,295.7,296.605,288.28,296.36,625362,ok
2020-02-13,294.36,306.61,294.36,303.29,698883,ok
2020-02-14,304.72,315.74,304.72,314.43,864555,ok
2020-02-18,314.27,318.51,311.641,318.16,666238,ok
2020-02-19,320.71,325.99,320.51,324.48,859232,ok
2020-02-20,324.89,325.17,305.22,310.33,942638,ok
2020-02-21,308.91,309.51,299.22,300.39,786998,ok
