Date,Open,High,Low,Close,Volume,Status
2020-01-02,25.97,26.15,25.62,26.14,1365911,ok
2020-01-03,25.64,25.965,25.415,25.93,906764,ok
2020-01-06,25.58,26.33,25.52,26.21,995897,ok
2020-01-07,26.13,26.48,26.045,26.455,1106159,ok
2020-01-08,26.43,27.075,26.42,26.845,1296027,ok
2020-01-09,27.0,27.03,26.77,26.86,985677,ok
2020-01-10,26.8,26.86,26.2695,26.325,1157413,ok
2020-01-13,26.41,26.69,26.1,26.53,1140706,ok
2020-01-14,26.27,27.135,26.26,26.98,1215746,ok
2020-01-15,26.81,27.5,26.25,26.34,1587591,ok
2020-01-16,26.65,26.93,26.105,26.27,1565836,ok
2020-01-17,26.32,26.4725,25.805,26.0,1464965,ok
2020-01-21,25.86,26.045,25.12,25.18,1797265,ok
2020-01-22,25.33,25.8866,25.02,25.26,1256865,ok
2020-01-23,25.06,25.91,24.743,25.9,1255876,ok
2020-01-24,25.92,26.39,25.695,25.96,1408235,ok
2020-01-27,25.25,25.82,24.98,25.415,956500,ok
2020-01-28,25.69,26.34,25.38,26.21,1118583,ok
2020-01-29,27.65,30.436,27.62,29.02,12601098,ok
2020-01-30,29.53,31.99,29.285,30.87,10273811,ok
2020-01-31,30.92,30.95,29.795,29.83,3427930,ok
2020-02-03,30.15,30.7301,29.47,29.91,2010306,ok
2020-02-04,31.69,32.7638,30.51,32.12,5621848,ok
2020-02-05,32.78,32.8,31.6,32.27,2750738,ok
2020-02-06,32.08,35.67,32.0,34.9,6593931,ok
2020-02-07,35.37,35.43,33.65,34.32,3260791,ok
2020-02-10,34.45,36.59,34.35,36.31,4565935,ok
2020-02-11,36.72,37.1848,36.1,36.805,2417923,ok
2020-02-12,37.08,37.7,36.41,37.26,2019600,ok
2020-02-13,37.08,38.7,36.41,38.28,3352517,ok
2020-02-14,38.65,38.73,36.77,36.87,3023044,ok
2020-02-18,36.95,37.0943,36.425,36.92,1708434,ok
2020-02-19,37.36,37.68,37.0,37.1,2025646,ok
2020-02-20,37.14,39.18,36.64,38.17,4048130,ok
2020-02-21,38.03,38.11,36.95,37.81,2018884,ok
2020-02-24,36.05,37.0,35.2,35.94,3005202,ok
