Date,Open,High,Low,Close,Volume,Status
2020-01-02,55.43,55.89,55.1,55.73,1164526,ok
2020-01-03,54.66,55.06,54.23,54.91,896202,ok
2020-01-06,54.36,55.03,54.19,55.0,851679,ok
2020-01-07,54.89,55.65,54.39,55.35,868317,ok
2020-01-08,55.29,56.045,55.205,55.59,1176942,ok
2020-01-09,55.91,56.23,55.619,56.18,945250,ok
2020-01-10,56.24,56.475,55.68,55.7,1122082,ok
2020-01-13,55.84,56.2,55.68,56.05,1420868,ok
2020-01-14,56.08,56.3,55.62,55.75,1703854,ok
2020-01-15,55.58,55.68,55.035,55.21,1604764,ok
2020-01-16,55.71,56.37,55.625,56.1,1425614,ok
2020-01-17,56.1,57.16,56.1,57.08,1848263,ok
2020-01-21,56.62,56.81,55.47,55.615,1608727,ok
2020-01-22,55.85,56.15,55.57,55.61,1014749,ok
2020-01-23,55.36,55.575,54.29,55.33,1073779,ok
2020-01-24,55.33,55.34,54.0,54.36,1186327,ok
2020-01-27,53.1,53.65,52.8,52.91,1150763,ok
2020-01-28,53.51,54.34,53.2799,53.85,1605236,ok
2020-01-29,55.9,55.9,54.21,54.48,1638031,ok
2020-01-30,53.9,54.46,53.58,54.43,1162068,ok
2020-01-31,53.99,54.08,52.92,52.95,2459376,ok
2020-02-03,53.51,54.52,53.35,53.87,1299370,ok
2020-02-04,54.62,55.045,54.54,54.58,738248,ok
2020-02-05,55.56,56.37,55.35,56.14,989811,ok
2020-02-06,56.55,56.56,55.9,56.12,1058742,ok
2020-02-07,55.65,55.98,55.31,55.59,733622,ok
2020-02-10,55.35,55.8,55.24,55.8,592905,ok
2020-02-11,55.94,56.89,55.8328,56.34,748708,ok
2020-02-12,56.4,57.0,56.365,56.515,758682,ok
2020-02-13,56.12,56.51,55.64,55.99,1276306,ok
2020-02-14,55.91,56.39,55.905,56.36,766534,ok
2020-02-18,56.02,56.65,54.68,55.26,1324961,ok
2020-02-19,55.56,56.0,55.31,55.91,726063,ok
2020-02-20,55.68,56.37,55.58,55.98,929385,ok
2020-02-21,55.59,55.65,54.37,54.41,1125358,ok
2020-02-24,52.76,53.44,51.25,51.73,1299549,ok
2020-02-25,52.05,52.34,49.12,49.48,1427507,ok
2020-02-26,50.14,50.56,48.9,48.95,1491911,ok
2020-02-27,48.05,48.9,46.46,46.81,1721796,ok
2020-02-28,45.2,45.5784,43.1,44.39,3159853,ok
2020-03-02,44.6,47.11,43.97,47.08,2399142,ok
2020-03-03,46.97,47.63,44.56,44.75,2615197,ok
2020-03-04,45.61,46.34,44.15,46.24,2419238,ok
2020-03-05,44.45,44.79,43.44,43.89,1824263,ok
2020-03-06,41.56,43.83,41.2093,42.28,3040992,ok
2020-03-09,38.42,40.26,35.27,35.41,3157321,ok
2020-03-10,37.37,38.68,34.72,37.57,4202419,ok
2020-03-11,36.11,36.97,35.03,35.92,3555186,ok
2020-03-12,32.72,33.78,30.8575,30.98,4020909,ok
2020-03-13,33.36,35.62,31.59,35.55,3880412,ok
2020-03-16,29.51,32.69,29.17,29.31,2457759,ok
2020-03-17,30.11,30.775,27.6,28.66,3726932,ok
2020-03-18,26.4,27.5,25.34,27.21,2941353,ok
2020-03-19,26.53,29.01,25.51,26.89,2373492,ok
2020-03-20,27.05,28.04,25.14,25.68,3215538,ok
2020-03-23,25.31,25.84,23.31,24.16,2243117,ok
2020-03-24,25.99,29.73,25.84,29.61,2697061,ok
2020-03-25,30.23,34.86,29.78,32.59,2908800,ok
2020-03-26,33.0,34.66,32.25,33.85,2493702,ok
2020-03-27,32.0,34.05,31.51,32.6,2035063,ok
2020-03-30,32.2,33.44,30.96,33.21,2070269,ok
2020-03-31,32.92,33.115,30.88,31.34,2277746,ok
2020-04-01,29.37,29.75,27.02,27.4,2325757,ok
2020-04-02,27.01,28.14,26.09,26.6,2529411,ok
2020-04-03,26.325,27.1,25.8,26.41,1790906,ok
2020-04-06,28.36,28.62,27.57,28.26,2556711,ok
2020-04-07,30.61,31.335,28.71,28.81,2163526,ok
2020-04-08,29.32,30.9252,28.67,30.44,3185385,ok
2020-04-09,31.85,34.5,31.35,32.6,2436578,ok
2020-04-13,32.71,32.75,31.085,31.5,2120474,ok
2020-04-14,32.11,32.57,31.26,31.58,2019780,ok
2020-04-15,30.04,30.33,29.22,29.63,1740050,ok
