Date,Open,High,Low,Close,Volume,Status
2020-01-02,38.87,38.98,38.33,38.68,2049336,ok
2020-01-03,38.49,39.08,38.31,39.02,2607211,ok
2020-01-06,39.1,39.5668,39.0,39.31,2145735,ok
2020-01-07,39.52,39.8085,39.2,39.57,4942159,ok
2020-01-08,40.13,40.48,39.92,39.93,5464174,ok
2020-01-09,40.0,40.23,39.57,39.81,3737735,ok
2020-01-10,39.55,40.42,39.4,39.99,3008498,ok
2020-01-13,39.97,40.47,39.955,40.43,2988480,ok
2020-01-14,40.5,41.04,40.41,40.94,3172379,ok
2020-01-15,41.0,41.6,40.84,41.31,2735832,ok
2020-01-16,41.43,41.74,41.31,41.66,2037825,ok
2020-01-17,41.89,42.2204,41.695,41.79,2322545,ok
2020-01-21,41.87,42.65,41.76,42.54,3415762,ok
2020-01-22,42.62,43.185,42.28,42.88,2588004,ok
2020-01-23,42.92,44.155,42.89,43.85,3867317,ok
2020-01-24,43.96,44.315,43.48,43.71,4147380,ok
2020-01-27,43.35,44.45,43.3,44.3,5233294,ok
2020-01-28,45.32,47.3,44.09,46.84,9197110,ok
2020-01-29,47.0,47.11,44.85,46.01,5995320,ok
2020-01-30,46.0,46.41,45.46,45.68,3302659,ok
2020-01-31,45.88,46.06,44.58,44.65,4179973,ok
2020-02-03,44.8,45.08,44.52,44.66,2816001,ok
2020-02-04,44.8,44.91,44.06,44.08,4343888,ok
2020-02-05,44.09,45.29,43.72,45.27,2974045,ok
2020-02-06,45.61,45.91,45.26,45.49,3720216,ok
2020-02-07,45.73,46.33,45.51,46.1,3333941,ok
2020-02-10,46.31,46.74,46.25,46.66,2163494,ok
2020-02-11,46.67,47.1484,46.37,46.98,2358662,ok
2020-02-12,46.93,47.17,46.36,46.7,1986412,ok
2020-02-13,46.5,47.01,46.39,46.69,2796771,ok
2020-02-14,46.96,47.0,46.39,46.69,1854114,ok
2020-02-18,46.44,47.02,46.25,46.65,2382582,ok
2020-02-19,47.07,47.37,46.5228,46.55,3036975,ok
2020-02-20,46.48,46.8169,45.77,46.67,4012331,ok
2020-02-21,46.7,47.12,46.38,46.41,2104367,ok
2020-02-24,45.6,45.995,45.13,45.25,3154930,ok
2020-02-25,45.28,45.39,43.3396,43.35,2929816,ok
2020-02-26,42.67,43.75,41.93,42.07,4577290,ok
2020-02-27,41.45,43.33,40.91,41.74,4835568,ok
2020-02-28,40.57,41.5,39.11,40.2,9513676,ok
2020-03-02,40.49,41.74,39.64,41.55,5879425,ok
2020-03-03,42.0,43.45,41.19,42.19,5791880,ok
2020-03-04,42.77,44.49,42.77,44.42,6005612,ok
2020-03-05,43.59,44.13,42.625,42.96,4308244,ok
2020-03-06,41.36,42.03,40.31,41.5,4006837,ok
2020-03-09,38.99,39.71,36.86,38.63,5384623,ok
2020-03-10,39.56,40.09,37.52,39.63,4085835,ok
2020-03-11,38.39,38.66,35.29,35.34,6646421,ok
2020-03-12,32.59,32.93,28.53,30.49,6071548,ok
2020-03-13,32.07,32.69,28.59,30.53,6549148,ok
2020-03-16,23.4,25.42,23.4,24.08,6509090,ok
2020-03-17,24.59,25.1,21.84,23.09,7899246,ok
2020-03-18,20.92,21.87,17.51,19.46,8763846,ok
2020-03-19,19.17,21.45,18.2,19.53,7297454,ok
2020-03-20,20.03,21.05,19.0,19.77,11935520,ok
2020-03-23,18.85,19.5,17.12,17.74,10710761,ok
2020-03-24,19.03,22.49,18.965,22.08,6022564,ok
2020-03-25,22.64,25.2,21.68,24.22,6806357,ok
2020-03-26,24.72,25.85,24.12,25.71,5366397,ok
2020-03-27,24.51,25.72,23.82,24.52,5583221,ok
2020-03-30,24.13,24.3,22.85,23.76,3817850,ok
2020-03-31,23.44,23.62,22.16,22.32,5156750,ok
2020-04-01,20.89,21.38,20.55,20.8,6250404,ok
2020-04-02,20.6,21.27,19.37,19.79,6392596,ok
2020-04-03,19.5,19.93,18.28,18.92,5619246,ok
2020-04-06,20.69,21.93,20.16,21.7,4930180,ok
2020-04-07,23.57,24.41,22.4,23.03,7934789,ok
2020-04-08,23.59,25.8,23.14,25.52,5948358,ok
2020-04-09,26.83,27.89,25.89,26.34,4015550,ok
2020-04-13,26.04,26.14,23.99,24.8,4543554,ok
2020-04-14,25.62,26.1,24.74,25.68,4546053,ok
2020-04-15,24.35,24.58,23.56,23.88,4162277,ok
2020-04-16,23.91,24.67,23.45,24.27,5155798,ok
2020-04-17,25.51,26.58,24.98,25.52,5347396,ok
2020-04-20,24.59,25.1,23.98,24.31,5504160,ok
2020-04-21,23.5,24.73,23.32,24.18,4602812,ok
2020-04-22,24.91,25.045,24.0,24.07,3758167,ok
2020-04-23,23.33,25.16,23.18,23.87,4055925,ok
2020-04-24,24.03,25.855,24.03,25.64,5020215,ok
2020-04-27,26.03,27.5,25.865,27.24,4389076,ok
2020-04-28,28.99,30.04,28.44,28.99,8080507,ok
2020-04-29,29.86,30.825,29.835,30.29,5873527,ok
2020-04-30,29.47,29.49,28.03,28.27,6142838,ok
2020-05-01,27.41,27.78,26.73,27.24,4073381,ok
2020-05-04,26.71,27.57,26.21,27.27,4278128,ok
2020-05-05,27.79,28.38,27.56,27.8,3770202,ok
2020-05-06,27.95,28.225,27.21,27.63,3914228,ok
2020-05-07,28.13,28.67,27.91,28.18,4517254,ok
2020-05-08,28.84,30.09,28.47,29.88,3170705,ok
2020-05-11,29.2,29.98,28.54,29.42,3847240,ok
2020-05-12,29.5,29.66,28.03,28.09,3491490,ok
2020-05-13,27.85,27.85,26.52,27.18,5381899,ok
2020-05-14,26.54,27.71,26.095,27.59,4253356,ok
2020-05-15,27.09,28.01,26.74,27.72,2742570,ok
2020-05-18,29.37,31.47,29.18,31.13,4504219,ok
2020-05-19,30.98,32.41,30.3,31.39,3986069,ok
2020-05-20,31.96,32.4,30.86,31.43,5138239,ok
2020-05-21,31.3,32.93,31.27,32.69,4504656,ok
2020-05-22,33.01,33.5599,32.3899,33.31,2785829,ok
2020-05-26,35.0,35.42,34.15,34.34,4616063,ok
2020-05-27,35.47,36.48,34.46,36.45,3947778,ok
2020-05-28,36.91,37.1,34.22,34.41,3688861,ok
2020-05-29,34.11,35.16,33.6402,33.97,5710735,ok
2020-06-01,34.15,35.32,33.82,34.33,2795070,ok
2020-06-02,34.4,34.88,34.25,34.75,2349115,ok
2020-06-03,35.42,36.2,35.08,35.98,2818059,ok
2020-06-04,35.65,36.5,34.805,35.01,3760751,ok
2020-06-05,36.77,37.49,36.01,36.72,4512795,ok
2020-06-08,37.32,38.77,36.185,36.67,3074094,ok
2020-06-09,35.97,36.44,35.56,35.84,3430425,ok
2020-06-10,35.71,36.92,34.72,36.32,4812353,ok
2020-06-11,34.53,35.22,32.9,32.91,4235075,ok
2020-06-12,34.54,35.14,32.85,33.89,4470057,ok
2020-06-15,32.64,35.84,32.45,35.72,4542275,ok
2020-06-16,37.39,37.52,35.41,36.53,4479548,ok
2020-06-17,36.91,37.18,36.2,36.4,2829651,ok
2020-06-18,35.91,36.5,35.53,35.61,2443869,ok
2020-06-19,36.5,36.5,34.455,34.67,4743279,ok
2020-06-22,34.54,35.17,34.0406,35.07,3043060,ok
2020-06-23,35.61,35.7299,34.64,35.12,2292428,ok
2020-06-24,34.62,34.6574,32.74,33.84,3443459,ok
2020-06-25,32.86,33.55,31.88,32.58,6406961,ok
2020-06-26,32.34,32.49,31.84,31.93,4902913,ok
2020-06-29,32.25,33.845,31.55,33.5,3029860,ok
2020-06-30,33.6,34.25,33.045,34.03,2609502,ok
2020-07-01,34.17,34.26,32.96,32.98,3022833,ok
2020-07-02,33.73,34.13,32.72,32.88,2497647,ok
2020-07-06,33.7,34.315,33.43,34.1,2749040,ok
2020-07-07,33.63,34.51,33.58,33.92,4110983,ok
2020-07-08,34.18,35.52,34.03,35.27,3366752,ok
2020-07-09,35.53,35.6,33.63,33.88,3110930,ok
2020-07-10,34.07,35.055,33.99,35.01,2602732,ok
2020-07-13,35.15,35.48,33.86,33.89,3319973,ok
2020-07-14,33.74,35.495,33.71,35.45,2869082,ok
2020-07-15,36.48,36.53,35.24,36.18,2809099,ok
2020-07-16,35.98,37.0,35.64,36.75,3297281,ok
2020-07-17,37.48,37.94,36.97,37.3,4351671,ok
2020-07-20,37.16,37.805,36.73,37.58,3881171,ok
2020-07-21,37.05,37.88,36.77,37.7,3043285,ok
2020-07-22,37.96,39.738,37.71,39.44,4099345,ok
2020-07-23,41.92,43.99,40.7426,41.29,9080832,ok
2020-07-24,41.78,42.91,40.7,42.62,5236136,ok
2020-07-27,43.38,44.4,42.57,44.24,4976358,ok
2020-07-28,44.55,44.98,43.43,43.49,4662434,ok
2020-07-29,43.66,44.74,43.62,44.7,2752994,ok
2020-07-30,43.87,44.387,43.47,43.87,2245006,ok
2020-07-31,43.86,43.86,42.51,43.6,2694840,ok
2020-08-03,43.87,44.64,43.5883,44.03,2264417,ok
2020-08-04,43.85,44.365,43.62,44.14,2358369,ok
2020-08-05,44.29,44.76,43.84,44.51,1895730,ok
2020-08-06,44.45,44.95,44.26,44.72,1829986,ok
2020-08-07,44.22,44.62,43.5696,44.26,2446391,ok
2020-08-10,44.48,46.16,44.21,45.16,3426756,ok
2020-08-11,45.64,46.06,44.15,44.37,3295242,ok
2020-08-12,44.74,45.75,44.35,45.44,2288460,ok
2020-08-13,45.23,45.84,44.585,45.52,2281821,ok
2020-08-14,45.16,45.25,44.8,45.07,2200783,ok
2020-08-17,45.35,46.66,45.2,46.43,3461472,ok
2020-08-18,47.43,47.43,46.47,46.61,3209919,ok
2020-08-19,46.34,46.6,45.75,46.17,2003917,ok
2020-08-20,45.71,46.88,45.55,46.34,2132792,ok
2020-08-21,46.37,47.64,46.18,47.48,2006639,ok
2020-08-24,47.59,47.9,46.89,47.62,2095130,ok
