Date,Open,High,Low,Close,Volume,Status
2020-01-02,98.25,98.86,97.6827,98.86,708876,ok
2020-01-03,96.71,97.68,95.77,96.99,558920,ok
2020-01-06,96.37,98.05,96.05,98.0,464905,ok
2020-01-07,97.73,98.99,97.275,98.8,442044,ok
2020-01-08,98.84,99.74,97.26,98.59,597643,ok
2020-01-09,99.22,99.91,98.62,99.86,445352,ok
2020-01-10,100.0,101.16,99.71,100.34,471256,ok
2020-01-13,100.38,100.95,99.92,100.63,398180,ok
2020-01-14,100.21,102.06,100.21,101.69,785223,ok
2020-01-15,101.71,102.455,101.56,101.73,377724,ok
2020-01-16,102.11,102.3,100.86,101.22,566990,ok
2020-01-17,101.59,101.82,101.15,101.32,853818,ok
2020-01-21,101.0,101.71,100.55,101.34,833022,ok
2020-01-22,101.81,102.3,100.6,100.82,606575,ok
2020-01-23,100.38,100.765,98.805,99.39,824436,ok
2020-01-24,99.89,99.945,99.0,99.78,916081,ok
2020-01-27,98.4,99.07,97.84,98.67,1113282,ok
2020-01-28,97.5,99.61,95.01,97.53,1837879,ok
2020-01-29,98.0,99.45,97.04,98.5,892015,ok
2020-01-30,97.34,98.24,94.63,95.43,959992,ok
2020-01-31,95.15,95.31,91.95,92.48,965030,ok
2020-02-03,93.45,94.11,92.53,92.87,990071,ok
2020-02-04,93.86,95.0,93.42,94.24,603008,ok
2020-02-05,95.5,96.96,95.33,96.22,648801,ok
2020-02-06,96.7,96.7,95.5,95.6,376488,ok
2020-02-07,95.0,95.695,92.47,93.07,597760,ok
2020-02-10,92.37,94.6,92.29,94.26,396125,ok
2020-02-11,94.98,96.22,94.8,95.86,502172,ok
2020-02-12,96.47,97.24,95.82,96.5,559424,ok
2020-02-13,95.88,96.48,94.93,95.99,470248,ok
2020-02-14,96.25,96.25,95.41,95.56,553226,ok
2020-02-18,95.4,96.05,93.8,94.16,380268,ok
2020-02-19,94.44,94.9,94.09,94.33,533432,ok
2020-02-20,93.77,94.49,92.36,93.3,439011,ok
2020-02-21,92.78,93.35,92.125,92.85,520393,ok
2020-02-24,90.52,90.55,87.97,88.62,679519,ok
