Date,Open,High,Low,Close,Volume,Status
2020-01-02,159.75,160.37,158.9,160.37,1881277,ok
2020-01-03,158.41,159.59,157.4318,158.83,1374430,ok
2020-01-06,158.1,158.6818,157.45,158.51,1335484,ok
2020-01-07,157.43,158.4,156.61,157.26,1936596,ok
2020-01-08,158.0,159.905,157.3,158.89,1958425,ok
2020-01-09,160.38,161.25,159.84,160.81,1651980,ok
2020-01-10,160.98,160.98,158.47,158.57,2182480,ok
2020-01-13,158.88,159.54,157.82,159.44,2391330,ok
2020-01-14,159.17,160.95,158.81,159.88,3335543,ok
2020-01-15,158.31,158.31,153.33,154.08,4078473,ok
2020-01-16,153.58,153.7,149.95,152.62,3831616,ok
2020-01-17,153.05,154.05,152.85,153.36,2515591,ok
2020-01-21,152.14,153.33,151.46,151.65,2036594,ok
2020-01-22,151.96,153.02,151.65,152.26,2637334,ok
2020-01-23,151.39,153.25,149.93,152.71,2118177,ok
2020-01-24,152.48,152.48,149.52,150.38,3152878,ok
2020-01-27,147.94,150.0,147.3238,148.53,2343406,ok
2020-01-28,149.32,150.97,148.88,149.69,1636228,ok
2020-01-29,149.91,150.765,148.33,148.59,1091882,ok
2020-01-30,147.13,151.1,147.13,150.96,2277498,ok
2020-01-31,149.27,150.69,148.24,148.55,2808410,ok
2020-02-03,150.04,151.145,149.26,149.54,1969404,ok
2020-02-04,151.95,152.23,150.43,150.66,1502467,ok
2020-02-05,152.52,153.85,152.3,153.79,1451879,ok
2020-02-06,154.82,154.95,152.68,152.85,1484322,ok
2020-02-07,151.82,153.64,151.38,153.35,1547163,ok
2020-02-10,152.49,153.86,152.31,153.86,1206488,ok
2020-02-11,154.34,155.69,154.19,154.79,1224393,ok
2020-02-12,156.0,156.92,154.84,155.21,956180,ok
2020-02-13,154.76,155.55,154.13,155.32,1388011,ok
2020-02-14,155.16,155.44,153.175,154.13,1832369,ok
2020-02-18,153.49,154.13,150.0,151.39,2121901,ok
2020-02-19,152.15,153.9,151.885,153.35,1317613,ok
2020-02-20,152.75,154.94,152.27,154.48,1426397,ok
2020-02-21,153.6,154.07,151.78,153.8,1547548,ok
2020-02-24,149.31,150.22,148.08,148.81,2234698,ok
2020-02-25,148.9,149.34,141.01,141.34,2827986,ok
2020-02-26,142.55,143.084,138.68,138.71,2734837,ok
2020-02-27,136.01,136.81,130.53,130.62,3669168,ok
2020-02-28,126.31,127.95,122.55,126.4,4900446,ok
2020-03-02,126.82,132.76,124.65,132.64,2965206,ok
2020-03-03,132.0,133.64,124.05,125.49,3545500,ok
2020-03-04,127.16,129.61,124.61,129.4,2598630,ok
2020-03-05,124.66,124.81,118.45,120.69,3561536,ok
2020-03-06,115.38,118.49,112.12,114.23,3703980,ok
2020-03-09,102.6,107.21,97.5501,98.75,4702274,ok
2020-03-10,104.05,108.98,100.3001,108.04,4757122,ok
2020-03-11,104.29,106.08,100.125,101.94,5605566,ok
2020-03-12,93.48,104.0,90.89,94.72,5347720,ok
2020-03-13,103.31,107.18,99.46,106.98,6420111,ok
2020-03-16,91.18,103.29,89.26,89.97,5318354,ok
2020-03-17,91.3,96.19,87.5369,96.0,4487231,ok
2020-03-18,88.78,91.19,81.03,87.53,5107585,ok
2020-03-19,85.43,96.5,84.57,92.42,3370805,ok
2020-03-20,94.08,95.37,86.6,89.49,3939893,ok
2020-03-23,86.35,88.44,79.41,80.64,3848297,ok
2020-03-24,86.55,90.99,84.66,90.18,5137316,ok
2020-03-25,91.52,97.17,86.9,92.05,3793113,ok
2020-03-26,92.58,103.73,92.05,102.92,3736695,ok
2020-03-27,97.48,103.29,96.98,100.13,2535559,ok
2020-03-30,99.27,101.68,97.82,100.97,2707409,ok
2020-03-31,98.73,100.54,94.24,95.72,3563801,ok
2020-04-01,90.0,90.76,86.52,87.35,4024819,ok
2020-04-02,87.33,91.97,85.86,90.73,3063549,ok
2020-04-03,89.39,91.12,84.02,85.19,3118565,ok
2020-04-06,90.17,96.15,89.56,95.31,3169721,ok
2020-04-07,101.35,103.33,94.43,94.92,2962491,ok
2020-04-08,95.87,100.35,94.62,99.5,2900385,ok
2020-04-09,101.57,106.77,101.0,105.42,4331530,ok
2020-04-13,105.14,105.265,100.42,100.96,2802304,ok
2020-04-14,103.22,104.15,97.7,99.47,3377049,ok
2020-04-15,94.55,96.6,91.1008,92.43,3934217,ok
2020-04-16,92.83,93.33,89.13,90.54,3104173,ok
2020-04-17,94.28,101.86,94.12,101.5,4058169,ok
2020-04-20,98.37,103.99,97.29,102.55,4165203,ok
2020-04-21,98.17,99.93,96.96,99.0,4106994,ok
2020-04-22,101.41,101.8441,98.35,98.9,2577943,ok
2020-04-23,99.19,102.2,99.19,99.43,2034925,ok
2020-04-24,99.97,101.78,98.46,100.73,2122806,ok
2020-04-27,102.17,106.08,101.13,105.49,1953504,ok
2020-04-28,109.97,110.68,105.33,105.99,2400069,ok
2020-04-29,110.65,112.9,108.63,110.99,2332312,ok
2020-04-30,107.67,108.47,105.165,106.67,2111323,ok
2020-05-01,103.41,105.96,101.73,102.97,2351004,ok
2020-05-04,100.0,101.93,98.68,101.61,2176026,ok
2020-05-05,103.57,104.17,99.59,99.77,1275383,ok
2020-05-06,101.0,101.35,98.19,98.5,2457869,ok
2020-05-07,99.96,104.4,99.96,101.29,1703858,ok
2020-05-08,104.17,105.48,103.11,105.03,1330885,ok
2020-05-11,103.0,103.0,100.7,102.12,2527933,ok
