Date,Open,High,Low,Close,Volume,Status
2020-01-02,46.08,46.43,45.8,46.42,732529,ok
2020-01-03,45.57,46.035,45.57,45.98,1023664,ok
2020-01-06,45.6,45.89,45.36,45.66,794627,ok
2020-01-07,45.66,45.69,45.18,45.26,1009283,ok
2020-01-08,45.47,45.83,45.1695,45.43,940954,ok
2020-01-09,45.65,45.76,45.485,45.7,527538,ok
2020-01-10,45.79,45.89,45.12,45.26,764356,ok
2020-01-13,45.4,45.99,45.25,45.95,1026663,ok
2020-01-14,45.86,45.92,45.48,45.58,726704,ok
2020-01-15,45.54,45.92,45.54,45.84,764634,ok
2020-01-16,46.44,47.1577,46.34,46.71,1097170,ok
2020-01-17,46.92,47.43,46.85,47.29,1171885,ok
2020-01-21,47.05,47.085,46.51,46.72,1089574,ok
2020-01-22,47.07,47.19,46.34,46.46,899600,ok
2020-01-23,46.02,46.78,45.6,46.78,1115436,ok
2020-01-24,46.79,46.86,45.97,46.2,747628,ok
2020-01-27,45.21,45.45,44.65,44.88,2189754,ok
2020-01-28,44.99,45.33,43.88,44.28,2019476,ok
2020-01-29,44.65,44.65,43.65,43.72,1445383,ok
2020-01-30,43.3,44.29,43.3,44.27,1344130,ok
2020-01-31,43.97,44.25,42.77,42.93,3088916,ok
2020-02-03,43.38,44.03,43.06,43.36,1096820,ok
2020-02-04,44.2,44.5,43.87,43.93,1304098,ok
2020-02-05,44.62,44.72,44.3335,44.68,1493514,ok
2020-02-06,44.78,44.8,44.08,44.35,902200,ok
2020-02-07,43.92,44.085,43.62,43.64,878944,ok
2020-02-10,43.48,43.9197,43.3,43.84,1068568,ok
2020-02-11,44.01,44.495,43.895,44.27,697501,ok
2020-02-12,44.48,44.76,44.18,44.72,863435,ok
2020-02-13,44.57,44.67,44.27,44.64,860188,ok
2020-02-14,44.64,44.79,44.04,44.24,1141754,ok
2020-02-18,43.98,44.2,43.09,43.46,1079335,ok
2020-02-19,43.61,43.85,43.48,43.69,620608,ok
2020-02-20,43.51,44.61,43.45,44.55,1072169,ok
2020-02-21,44.18,44.8,43.795,44.56,1218832,ok
2020-02-24,43.25,43.845,43.03,43.59,1021476,ok
