Date,Open,High,Low,Close,Volume,Status
2020-01-02,90.13,90.25,88.4,88.71,707637,ok
2020-01-03,88.55,89.27,88.49,88.99,1058507,ok
2020-01-06,89.09,89.4,88.8,88.9,909261,ok
2020-01-07,88.39,88.715,88.1,88.68,931276,ok
2020-01-08,88.81,89.09,88.465,88.51,797170,ok
2020-01-09,88.51,89.91,88.33,89.89,779272,ok
2020-01-10,89.94,90.595,89.88,90.56,808525,ok
2020-01-13,90.53,91.91,90.44,91.23,1074917,ok
2020-01-14,91.16,92.04,91.0075,92.04,758269,ok
2020-01-15,92.2,92.92,92.09,92.64,1034128,ok
2020-01-16,92.86,93.46,92.77,93.24,1204233,ok
2020-01-17,93.33,93.75,92.52,93.34,935066,ok
2020-01-21,93.67,94.59,93.23,94.38,700621,ok
2020-01-22,94.72,95.21,94.48,94.56,761523,ok
2020-01-23,94.57,95.93,94.49,95.84,701139,ok
2020-01-24,95.6,97.2,95.565,97.12,763107,ok
2020-01-27,97.28,98.06,96.97,97.67,1228350,ok
2020-01-28,97.86,98.3595,97.05,97.05,840075,ok
2020-01-29,96.99,98.1,96.9,98.05,816274,ok
2020-01-30,97.71,98.805,97.37,98.78,743983,ok
2020-01-31,98.05,98.64,97.46,97.69,2172599,ok
2020-02-03,97.93,98.5904,97.49,98.24,776460,ok
2020-02-04,98.05,98.5775,97.62,97.62,1090628,ok
2020-02-05,97.39,98.23,97.0,98.17,751837,ok
2020-02-06,98.21,98.5546,97.84,97.99,984523,ok
2020-02-07,98.36,98.49,97.84,98.06,1000869,ok
2020-02-10,98.24,98.88,97.87,98.81,649042,ok
2020-02-11,98.68,99.33,98.45,98.61,689573,ok
2020-02-12,98.32,98.83,98.07,98.65,649270,ok
2020-02-13,98.76,100.22,98.71,100.22,685061,ok
2020-02-14,100.4,100.74,99.88,100.43,714985,ok
2020-02-18,100.72,102.17,100.45,101.81,1066945,ok
2020-02-19,101.66,101.98,101.12,101.54,894733,ok
2020-02-20,101.16,101.74,101.02,101.09,1309365,ok
2020-02-21,100.71,105.51,100.375,103.6,2333689,ok
2020-02-24,103.31,103.31,100.94,100.94,1312558,ok
2020-02-25,100.94,101.33,98.34,98.4,975091,ok
2020-02-26,98.76,99.3,97.16,97.2,978438,ok
2020-02-27,96.78,97.62,93.54,93.61,1451857,ok
2020-02-28,91.38,91.91,88.6,89.49,1847867,ok
2020-03-02,90.0,94.99,89.59,94.91,1534550,ok
2020-03-03,94.69,97.53,94.1,94.49,1527005,ok
2020-03-04,95.68,100.73,95.68,100.26,1217490,ok
2020-03-05,98.39,100.34,98.05,99.67,988961,ok
2020-03-06,96.88,99.71,95.345,99.31,1995707,ok
2020-03-09,95.79,97.95,93.11,95.37,1250970,ok
2020-03-10,96.39,98.285,92.31,96.19,997232,ok
2020-03-11,94.11,94.135,88.15,89.55,1454247,ok
2020-03-12,81.51,83.44,77.83,80.1,2171880,ok
2020-03-13,83.83,84.38,76.8801,81.57,1233380,ok
2020-03-16,75.5,78.26,67.61,68.11,1342795,ok
2020-03-17,69.97,74.98,67.2708,74.83,1861789,ok
2020-03-18,70.51,70.835,60.05,65.57,2921204,ok
2020-03-19,65.26,72.17,61.73,68.36,1860865,ok
2020-03-20,69.25,72.105,65.27,65.55,1976268,ok
2020-03-23,64.01,66.45,61.215,62.91,1412427,ok
2020-03-24,65.7,71.75,65.08,71.04,1116696,ok
2020-03-25,70.81,75.88,67.75,72.66,1112863,ok
2020-03-26,72.86,80.31,72.32,79.34,1217528,ok
2020-03-27,76.26,79.93,75.13,77.63,1084023,ok
2020-03-30,78.44,80.205,76.625,78.36,902577,ok
2020-03-31,77.34,78.95,75.51,75.79,1030260,ok
2020-04-01,72.56,74.13,69.22,70.84,896513,ok
2020-04-02,69.83,74.52,69.83,71.77,993337,ok
2020-04-03,70.93,72.115,67.29,68.19,1152603,ok
2020-04-06,71.72,76.5,70.67,74.33,1194554,ok
2020-04-07,77.15,77.305,72.775,73.6,1010649,ok
2020-04-08,73.68,79.92,73.4,78.87,1165301,ok
2020-04-09,80.29,84.69,79.72,82.23,1634571,ok
2020-04-13,81.1,81.555,78.09,79.61,819540,ok
2020-04-14,81.03,82.02,79.925,81.83,1198775,ok
2020-04-15,79.01,80.63,78.3831,79.66,902186,ok
2020-04-16,79.88,80.56,78.01,79.01,971409,ok
2020-04-17,80.59,81.92,78.695,79.91,1505261,ok
2020-04-20,79.65,79.855,76.14,76.6,649436,ok
2020-04-21,75.15,76.1,74.13,75.61,687283,ok
2020-04-22,76.78,78.21,75.66,77.58,671638,ok
2020-04-23,77.64,78.18,75.69,75.82,660385,ok
2020-04-24,76.25,77.4,75.03,77.14,1026802,ok
2020-04-27,77.95,79.57,77.55,78.76,740815,ok
2020-04-28,80.87,80.87,79.13,79.99,1197564,ok
2020-04-29,81.5,81.52,78.25,78.55,1226161,ok
2020-04-30,77.78,77.97,75.5,76.99,1381421,ok
2020-05-01,75.48,75.48,72.99,74.12,1479753,ok
2020-05-04,74.0,74.23,72.75,73.65,834385,ok
2020-05-05,74.04,75.74,73.78,74.64,1037320,ok
2020-05-06,74.97,74.98,71.7,72.01,868418,ok
2020-05-07,72.94,73.87,71.62,71.76,1585461,ok
2020-05-08,74.32,74.97,72.63,73.87,1268379,ok
2020-05-11,73.0,73.91,71.925,73.65,1189830,ok
2020-05-12,74.5,74.65,72.3,72.48,1271544,ok
2020-05-13,71.96,72.66,70.91,72.46,1373636,ok
2020-05-14,71.59,72.7,70.11,72.02,1554856,ok
2020-05-15,71.23,71.76,69.5616,71.42,2709431,ok
2020-05-18,73.69,75.5,73.37,74.86,940628,ok
2020-05-19,74.63,74.63,72.56,72.59,638207,ok
2020-05-20,72.92,73.03,71.77,72.77,1446351,ok
2020-05-21,72.61,73.32,72.15,72.28,941195,ok
2020-05-22,72.2,72.74,71.5,72.66,825208,ok
2020-05-26,74.38,75.4,73.76,74.34,1085333,ok
2020-05-27,75.63,75.85,73.79,75.5,1433462,ok
2020-05-28,76.85,77.4,75.64,76.85,1264029,ok
2020-05-29,76.42,78.67,75.56,77.9,4708486,ok
2020-06-01,77.9,78.14,76.69,77.58,1245444,ok
2020-06-02,78.11,78.76,77.65,78.16,1035720,ok
2020-06-03,79.11,80.14,78.8835,78.97,718911,ok
2020-06-04,78.58,78.58,76.785,77.83,879523,ok
2020-06-05,79.22,81.07,79.22,79.38,778389,ok
2020-06-08,79.6,82.29,79.35,82.04,1445658,ok
2020-06-09,81.14,81.14,78.03,80.11,972163,ok
2020-06-10,79.9,80.375,77.82,78.13,1321060,ok
2020-06-11,76.47,77.0,73.97,74.7,1828865,ok
2020-06-12,76.54,76.54,74.57,75.6,1437635,ok
2020-06-15,75.44,77.6,74.435,77.09,1112332,ok
2020-06-16,79.04,79.69,76.82,77.23,1114658,ok
2020-06-17,77.68,77.7,75.83,76.25,1204838,ok
2020-06-18,76.29,77.52,76.02,76.65,1279822,ok
2020-06-19,77.55,77.76,73.43,73.5,2726812,ok
2020-06-22,73.59,74.47,72.82,73.28,1146139,ok
2020-06-23,73.91,74.08,71.95,72.24,861815,ok
2020-06-24,71.53,72.33,70.98,71.62,1235287,ok
2020-06-25,71.35,71.42,70.35,71.36,1313799,ok
2020-06-26,71.2,72.22,69.96,71.05,1302787,ok
2020-06-29,71.81,72.96,70.88,72.96,775070,ok
2020-06-30,72.85,73.58,72.33,73.29,1229956,ok
2020-07-01,73.52,75.72,73.425,75.39,1026536,ok
2020-07-02,75.89,77.11,75.51,76.03,1001121,ok
2020-07-06,76.73,77.54,75.91,76.8,921853,ok
2020-07-07,75.88,76.69,75.53,76.0,1347863,ok
2020-07-08,76.0,76.905,75.7,76.72,715308,ok
2020-07-09,76.48,76.71,75.11,76.25,698031,ok
2020-07-10,76.08,78.4,76.08,78.26,627656,ok
2020-07-13,78.32,79.6,78.14,78.91,749481,ok
2020-07-14,78.87,79.985,78.82,79.62,837713,ok
2020-07-15,80.73,80.9,79.4,79.88,808066,ok
2020-07-16,80.0,80.76,79.83,80.56,696690,ok
2020-07-17,81.25,82.6,81.09,82.53,641168,ok
2020-07-20,82.32,82.515,80.61,80.78,904039,ok
2020-07-21,80.85,81.66,80.53,80.92,764010,ok
2020-07-22,80.45,83.09,79.86,82.98,1020561,ok
2020-07-23,82.9,83.33,81.92,82.31,811367,ok
2020-07-24,82.65,83.225,81.03,81.38,849042,ok
2020-07-27,81.3,81.33,79.07,80.28,638657,ok
2020-07-28,79.96,81.6,79.96,81.23,710320,ok
2020-07-29,81.24,82.36,80.73,82.09,833936,ok
2020-07-30,81.45,83.4,80.43,82.7,1145271,ok
2020-07-31,81.12,83.28,80.59,83.08,1542590,ok
2020-08-03,82.99,83.04,80.63,81.99,817017,ok
2020-08-04,81.54,81.86,80.71,81.59,1320807,ok
2020-08-05,81.7,81.83,79.25,79.74,1150237,ok
2020-08-06,80.0,81.65,78.88,80.79,1113010,ok
2020-08-07,80.5,82.525,80.5,82.16,968042,ok
2020-08-10,82.61,82.93,81.95,82.58,787246,ok
2020-08-11,82.9,83.43,80.68,80.77,1447221,ok
2020-08-12,81.16,81.42,80.31,80.43,780575,ok
2020-08-13,80.08,80.08,77.41,78.49,1420008,ok
2020-08-14,78.48,78.72,77.75,78.0,662138,ok
2020-08-17,77.87,78.19,76.24,76.4,1436773,ok
2020-08-18,76.52,76.84,74.92,75.75,1525697,ok
2020-08-19,76.06,76.3,75.08,76.02,945305,ok
2020-08-20,75.75,75.88,74.715,74.97,516077,ok
2020-08-21,75.06,75.15,73.75,74.26,727553,ok
2020-08-24,74.39,75.39,73.48,75.15,655720,ok
2020-08-25,75.33,75.33,74.05,74.47,492565,ok
2020-08-26,74.12,74.17,72.35,72.82,779983,ok
2020-08-27,73.01,73.54,72.285,73.23,602898,ok
2020-08-28,73.59,73.92,72.73,73.48,528753,ok
2020-08-31,73.23,73.98,72.98,73.35,852308,ok
2020-09-01,73.0,73.055,71.27,71.54,1026150,ok
2020-09-02,71.54,74.44,71.5,73.92,889598,ok
2020-09-03,74.4,74.78,72.29,72.97,839029,ok
2020-09-04,73.12,73.39,71.43,72.4,906746,ok
2020-09-08,72.5,73.57,71.46,73.18,987131,ok
2020-09-09,72.99,74.07,72.51,72.63,570503,ok
2020-09-10,72.57,72.69,71.13,71.39,1005475,ok
2020-09-11,71.69,71.69,70.5,70.9,514195,ok
2020-09-14,71.1,72.57,71.025,72.09,807477,ok
2020-09-15,72.35,73.25,71.66,72.02,773249,ok
2020-09-16,72.0,73.03,71.9,72.3,805900,ok
2020-09-17,72.05,72.49,71.32,72.16,901403,ok
2020-09-18,71.7,72.41,70.41,70.43,1575647,ok
2020-09-21,70.0,71.56,69.29,70.81,944086,ok
2020-09-22,70.61,72.43,70.52,71.83,767707,ok
2020-09-23,71.86,72.5,70.91,70.93,675214,ok
2020-09-24,71.0,73.04,70.4,72.76,978589,ok
2020-09-25,72.29,73.9,72.0,73.77,747111,ok
2020-09-28,74.17,74.85,73.63,73.89,781338,ok
2020-09-29,73.82,74.65,73.38,73.45,658992,ok
2020-09-30,74.16,75.2,73.76,74.55,1265969,ok
2020-10-01,74.97,75.86,74.35,75.32,843651,ok
2020-10-02,74.37,78.1,74.18,77.86,1039504,ok
2020-10-05,77.92,80.34,77.53,79.64,1166296,ok
2020-10-06,80.01,82.54,79.39,81.12,1251332,ok
2020-10-07,81.67,83.4,81.18,82.95,1056496,ok
2020-10-08,82.88,84.11,82.85,83.54,761988,ok
2020-10-09,84.07,84.24,82.12,82.56,670805,ok
2020-10-12,81.65,82.13,81.07,81.56,732010,ok
2020-10-13,81.32,81.32,79.44,80.73,1060837,ok
2020-10-14,80.96,81.32,80.12,80.26,783189,ok
2020-10-15,79.55,81.48,79.44,80.88,686004,ok
2020-10-16,80.93,81.87,80.4,81.07,600567,ok
2020-10-19,81.41,82.26,81.38,81.81,762614,ok
2020-10-20,82.27,82.65,81.58,82.33,444954,ok
2020-10-21,82.29,84.2,81.935,83.69,1025615,ok
2020-10-22,83.66,85.91,82.78,85.73,1137519,ok
2020-10-23,86.67,87.045,85.73,86.73,1161076,ok
2020-10-26,86.26,86.87,85.286,86.51,963904,ok
2020-10-27,86.32,87.13,85.84,85.86,921038,ok
2020-10-28,84.81,85.74,82.44,82.77,1441137,ok
2020-10-29,82.21,83.99,80.97,83.26,1147369,ok
2020-10-30,82.35,83.33,80.0,81.57,1420741,ok
2020-11-02,82.08,82.86,80.19,81.07,982233,ok
2020-11-03,82.12,82.82,80.95,81.76,867428,ok
2020-11-04,81.18,85.02,81.18,82.2,1135926,ok
2020-11-05,82.95,85.755,82.67,84.48,985013,ok
2020-11-06,84.25,85.6,83.59,83.79,926101,ok
2020-11-09,86.67,89.85,86.67,87.94,1408596,ok
2020-11-10,88.26,91.06,88.05,90.9,1191585,ok
2020-11-11,90.75,91.88,89.5,89.59,817972,ok
2020-11-12,89.38,89.695,86.72,87.84,889571,ok
2020-11-13,88.33,89.98,88.2636,89.46,682205,ok
2020-11-16,91.01,91.3991,89.715,90.44,704383,ok
2020-11-17,89.6,90.14,86.72,86.78,1153967,ok
2020-11-18,87.43,88.14,84.52,84.72,1033613,ok
2020-11-19,84.95,85.005,83.25,83.55,773715,ok
2020-11-20,83.34,84.54,83.15,83.25,744660,ok
2020-11-23,83.39,84.73,83.33,84.48,662090,ok
2020-11-24,85.01,86.21,84.76,85.78,781351,ok
2020-11-25,85.55,86.71,84.88,86.52,986685,ok
2020-11-27,86.34,86.34,83.61,83.94,289245,ok
2020-11-30,84.0,84.26,81.3614,81.85,1460424,ok
2020-12-01,82.7,83.17,82.205,82.35,610322,ok
2020-12-02,81.95,83.12,81.08,82.89,657942,ok
2020-12-03,82.89,82.95,81.25,81.4,818344,ok
2020-12-04,81.5,82.71,81.295,82.41,1231281,ok
2020-12-07,81.79,83.38,81.6,82.58,576915,ok
2020-12-08,82.03,82.82,81.58,81.82,690294,ok
2020-12-09,81.83,82.32,80.57,81.33,1133713,ok
2020-12-10,81.49,81.835,80.55,80.74,895900,ok
2020-12-11,80.58,81.13,79.69,79.72,879806,ok
2020-12-14,80.62,81.175,78.895,79.14,1245602,ok
2020-12-15,79.45,80.48,78.75,80.03,1213594,ok
2020-12-16,80.38,80.8,78.61,78.65,637118,ok
2020-12-17,78.8,80.21,78.7235,79.32,870821,ok
2020-12-18,79.24,79.745,78.21,78.65,1319356,ok
2020-12-21,78.0,78.455,76.4,77.29,823258,ok
2020-12-22,77.14,78.165,76.15,77.78,894023,ok
2020-12-23,78.39,79.37,77.35,77.4,635344,ok
2020-12-24,77.42,78.06,76.72,77.87,239259,ok
2020-12-28,78.18,79.21,77.84,78.43,386702,ok
2020-12-29,78.43,79.35,78.43,79.07,641297,ok
2020-12-30,78.85,79.609,78.51,79.11,561948,ok
2020-12-31,79.05,80.03,78.84,79.95,539364,ok
2021-01-04,80.0,80.75,78.7,79.09,963539,ok
